Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8152,0.2917,0.8203,0.536,0.8333,0.5331,0.9379,0.7292,0.9399,4067,14,34,891,2643,40,8,2315,4660,35,13,298
0.8218,0.2708,0.8271,0.5416,0.75,0.5395,0.9431,0.625,0.9461,4101,13,35,857,2675,36,12,2283,4691,30,18,267
0.8286,0.3542,0.8332,0.5431,0.7917,0.5407,0.9493,0.6667,0.952,4131,17,31,827,2681,38,10,2277,4720,32,16,238
0.8186,0.2917,0.8237,0.5372,0.7083,0.5355,0.9565,0.6667,0.9593,4084,14,34,874,2655,34,14,2303,4756,32,16,202
0.8226,0.4167,0.8265,0.5386,0.8333,0.5357,0.9543,0.6667,0.957,4098,20,28,860,2656,40,8,2302,4745,32,16,213
0.8232,0.4167,0.8271,0.54,0.75,0.5379,0.9319,0.7292,0.9338,4101,20,28,857,2667,36,12,2291,4630,35,13,328
0.8206,0.4583,0.8241,0.5419,0.7917,0.5395,0.9411,0.5833,0.9445,4086,22,26,872,2675,38,10,2283,4683,28,20,275
0.823,0.375,0.8273,0.5465,0.8542,0.5436,0.9493,0.6042,0.9526,4102,18,30,856,2695,41,7,2263,4723,29,19,235
0.8204,0.3333,0.8251,0.5354,0.6458,0.5343,0.9553,0.6458,0.9582,4091,16,32,867,2649,31,17,2309,4751,31,17,207
0.8178,0.2083,0.8237,0.5408,0.6875,0.5393,0.9588,0.5625,0.9627,4084,10,38,874,2674,33,15,2284,4773,27,21,185
0.8266,0.4167,0.8306,0.5445,0.9167,0.5409,0.9584,0.5625,0.9623,4118,20,28,840,2682,44,4,2276,4771,27,21,187
