Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC4,3,0.1,0.938,0.4,0.946,0.673,0.99,0.149
VC5,3,0.1,0.879,0.453,0.886,0.67,0.99,0.082
VC6,3,0.1,0.877,0.447,0.884,0.666,0.99,0.079
VC7,3,0.1,0.971,0.333,0.981,0.657,0.989,0.252
VC8,3,0.1,0.961,0.359,0.971,0.665,0.989,0.209
VC9,3,0.1,0.958,0.338,0.969,0.653,0.989,0.19
VC10,3,0.1,0.943,0.381,0.952,0.666,0.989,0.155
VC11,3,0.1,0.949,0.38,0.958,0.669,0.99,0.172
VC1,3,0.2,0.919,0.412,0.928,0.67,0.99,0.118
VC2,3,0.2,0.91,0.424,0.918,0.671,0.99,0.109
VC3,3,0.2,0.83,0.484,0.835,0.659,0.99,0.056
VC4,3,0.2,0.88,0.462,0.886,0.674,0.99,0.084
VC5,3,0.2,0.814,0.496,0.819,0.657,0.99,0.051
VC6,3,0.2,0.812,0.501,0.817,0.659,0.99,0.051
VC7,3,0.2,0.941,0.391,0.95,0.67,0.99,0.155
VC8,3,0.2,0.928,0.403,0.937,0.67,0.99,0.13
VC9,3,0.2,0.921,0.406,0.929,0.668,0.99,0.119
VC10,3,0.2,0.893,0.437,0.901,0.669,0.99,0.091
VC11,3,0.2,0.903,0.431,0.911,0.671,0.99,0.101
VC1,3,0.3,0.877,0.46,0.884,0.672,0.99,0.082
VC2,3,0.3,0.865,0.452,0.872,0.662,0.99,0.071
VC3,3,0.3,0.789,0.528,0.794,0.661,0.99,0.047
VC4,3,0.3,0.823,0.489,0.829,0.659,0.99,0.054
VC5,3,0.3,0.766,0.548,0.77,0.659,0.99,0.042
VC6,3,0.3,0.763,0.532,0.767,0.649,0.99,0.039
VC7,3,0.3,0.905,0.432,0.913,0.672,0.99,0.104
VC8,3,0.3,0.887,0.455,0.894,0.675,0.99,0.09
VC9,3,0.3,0.874,0.448,0.881,0.665,0.99,0.078
VC10,3,0.3,0.836,0.481,0.842,0.661,0.99,0.059
VC11,3,0.3,0.854,0.48,0.86,0.67,0.99,0.069
VC1,3,0.4,0.847,0.469,0.853,0.661,0.99,0.063
VC2,3,0.4,0.83,0.482,0.836,0.659,0.99,0.057
VC3,3,0.4,0.766,0.537,0.77,0.653,0.99,0.041
VC4,3,0.4,0.794,0.513,0.799,0.656,0.99,0.046
VC5,3,0.4,0.739,0.552,0.742,0.647,0.99,0.035
VC6,3,0.4,0.735,0.542,0.738,0.64,0.99,0.033
VC7,3,0.4,0.863,0.457,0.87,0.664,0.99,0.072
VC8,3,0.4,0.848,0.468,0.854,0.661,0.99,0.063
VC9,3,0.4,0.827,0.486,0.833,0.659,0.99,0.057
VC10,3,0.4,0.791,0.52,0.796,0.658,0.99,0.046
VC11,3,0.4,0.82,0.507,0.825,0.666,0.99,0.056
VC1,3,0.5,0.79,0.489,0.795,0.642,0.99,0.042
VC2,3,0.5,0.775,0.506,0.78,0.643,0.99,0.039
VC3,3,0.5,0.711,0.551,0.714,0.632,0.99,0.028
VC4,3,0.5,0.739,0.534,0.742,0.638,0.99,0.032
VC5,3,0.5,0.684,0.571,0.686,0.628,0.99,0.025
VC6,3,0.5,0.686,0.562,0.688,0.625,0.99,0.024
VC7,3,0.5,0.809,0.476,0.814,0.645,0.99,0.046
VC8,3,0.5,0.788,0.493,0.793,0.643,0.99,0.041
VC9,3,0.5,0.769,0.507,0.774,0.64,0.99,0.037
VC10,3,0.5,0.735,0.534,0.738,0.636,0.99,0.032
VC11,3,0.5,0.759,0.519,0.763,0.641,0.99,0.036
VC1,4,0.05,0.978,0.266,0.99,0.628,0.988,0.266
VC2,4,0.05,0.974,0.263,0.986,0.624,0.988,0.232
VC3,4,0.05,0.928,0.351,0.937,0.644,0.989,0.112
VC4,4,0.05,0.968,0.295,0.979,0.637,0.988,0.213
VC5,4,0.05,0.925,0.361,0.934,0.648,0.989,0.111
VC6,4,0.05,0.923,0.358,0.932,0.645,0.989,0.107
VC7,4,0.05,0.982,0.242,0.994,0.618,0.988,0.293
VC8,4,0.05,0.978,0.266,0.99,0.628,0.988,0.268
VC9,4,0.05,0.976,0.256,0.987,0.622,0.988,0.239
VC10,4,0.05,0.969,0.291,0.98,0.636,0.988,0.218
VC11,4,0.05,0.973,0.283,0.984,0.633,0.988,0.235
VC1,4,0.1,0.962,0.337,0.972,0.654,0.989,0.204
VC2,4,0.1,0.957,0.341,0.967,0.654,0.989,0.185
VC3,4,0.1,0.891,0.432,0.899,0.665,0.99,0.088
VC4,4,0.1,0.942,0.376,0.951,0.664,0.989,0.151
VC5,4,0.1,0.884,0.446,0.891,0.669,0.99,0.085
VC6,4,0.1,0.882,0.434,0.889,0.661,0.99,0.08
VC7,4,0.1,0.972,0.306,0.983,0.645,0.989,0.249
VC8,4,0.1,0.965,0.33,0.975,0.652,0.989,0.215
VC9,4,0.1,0.961,0.327,0.971,0.649,0.989,0.194
VC10,4,0.1,0.947,0.36,0.956,0.658,0.989,0.158
VC11,4,0.1,0.953,0.363,0.963,0.663,0.989,0.18
VC1,4,0.2,0.921,0.34,0.931,0.635,0.989,0.099
VC2,4,0.2,0.909,0.361,0.918,0.64,0.989,0.09
VC3,4,0.2,0.829,0.447,0.835,0.641,0.989,0.05
VC4,4,0.2,0.879,0.407,0.886,0.647,0.989,0.072
VC5,4,0.2,0.814,0.461,0.82,0.64,0.989,0.046
VC6,4,0.2,0.809,0.467,0.815,0.641,0.989,0.045
VC7,4,0.2,0.941,0.311,0.951,0.631,0.988,0.123
VC8,4,0.2,0.93,0.336,0.939,0.638,0.989,0.112
VC9,4,0.2,0.921,0.351,0.93,0.641,0.989,0.104
VC10,4,0.2,0.893,0.389,0.901,0.645,0.989,0.08
VC11,4,0.2,0.904,0.376,0.913,0.645,0.989,0.088
VC1,4,0.3,0.878,0.395,0.885,0.64,0.989,0.069
VC2,4,0.3,0.856,0.43,0.863,0.646,0.989,0.061
VC3,4,0.3,0.787,0.493,0.792,0.643,0.99,0.042
VC4,4,0.3,0.821,0.477,0.827,0.652,0.99,0.051
VC5,4,0.3,0.766,0.516,0.77,0.643,0.99,0.038
VC6,4,0.3,0.759,0.507,0.763,0.635,0.99,0.035
VC7,4,0.3,0.899,0.374,0.908,0.641,0.989,0.082
VC8,4,0.3,0.887,0.389,0.895,0.642,0.989,0.075
VC9,4,0.3,0.868,0.426,0.875,0.65,0.989,0.068
VC10,4,0.3,0.836,0.469,0.842,0.655,0.99,0.057
VC11,4,0.3,0.853,0.451,0.859,0.655,0.99,0.064
VC1,4,0.4,0.84,0.433,0.847,0.64,0.989,0.053
VC2,4,0.4,0.815,0.457,0.821,0.639,0.989,0.046
VC3,4,0.4,0.755,0.515,0.759,0.637,0.99,0.035
VC4,4,0.4,0.783,0.486,0.788,0.637,0.989,0.039
VC5,4,0.4,0.734,0.534,0.737,0.635,0.99,0.032
VC6,4,0.4,0.725,0.537,0.728,0.632,0.99,0.03
VC7,4,0.4,0.853,0.422,0.86,0.641,0.989,0.058
VC8,4,0.4,0.838,0.439,0.845,0.642,0.989,0.054
VC9,4,0.4,0.811,0.464,0.816,0.64,0.989,0.046
VC10,4,0.4,0.779,0.496,0.784,0.64,0.99,0.039
VC11,4,0.4,0.806,0.472,0.811,0.641,0.989,0.045
VC1,4,0.5,0.791,0.493,0.795,0.644,0.99,0.042
VC2,4,0.5,0.765,0.516,0.769,0.643,0.99,0.037
VC3,4,0.5,0.715,0.547,0.718,0.632,0.99,0.029
VC4,4,0.5,0.733,0.549,0.736,0.643,0.99,0.033
VC5,4,0.5,0.694,0.572,0.696,0.634,0.99,0.027
VC6,4,0.5,0.685,0.572,0.687,0.629,0.99,0.026
VC7,4,0.5,0.804,0.493,0.809,0.651,0.99,0.046
VC8,4,0.5,0.791,0.493,0.796,0.645,0.99,0.042
VC9,4,0.5,0.758,0.516,0.762,0.639,0.99,0.036
VC10,4,0.5,0.73,0.549,0.733,0.641,0.99,0.032
VC11,4,0.5,0.756,0.528,0.76,0.644,0.99,0.036
VC1,5,0.05,0.978,0.244,0.99,0.617,0.988,0.254
VC2,5,0.05,0.975,0.243,0.987,0.615,0.988,0.23
VC3,5,0.05,0.929,0.339,0.939,0.639,0.989,0.111
VC4,5,0.05,0.97,0.274,0.981,0.628,0.988,0.209
VC5,5,0.05,0.926,0.344,0.936,0.64,0.989,0.108
VC6,5,0.05,0.925,0.351,0.934,0.642,0.989,0.107
VC7,5,0.05,0.982,0.22,0.995,0.607,0.987,0.276
VC8,5,0.05,0.978,0.24,0.99,0.615,0.988,0.251
VC9,5,0.05,0.977,0.242,0.989,0.615,0.988,0.241
VC10,5,0.05,0.97,0.273,0.982,0.627,0.988,0.215
VC11,5,0.05,0.974,0.266,0.986,0.626,0.988,0.238
VC1,5,0.1,0.962,0.285,0.973,0.629,0.988,0.178
VC2,5,0.1,0.956,0.301,0.967,0.634,0.988,0.162
VC3,5,0.1,0.892,0.411,0.9,0.655,0.989,0.084
VC4,5,0.1,0.941,0.338,0.95,0.644,0.989,0.134
VC5,5,0.1,0.884,0.428,0.891,0.659,0.99,0.08
VC6,5,0.1,0.881,0.422,0.889,0.656,0.989,0.077
VC7,5,0.1,0.972,0.26,0.984,0.622,0.988,0.219
VC8,5,0.1,0.965,0.274,0.976,0.625,0.988,0.183
VC9,5,0.1,0.961,0.287,0.972,0.629,0.988,0.174
VC10,5,0.1,0.946,0.324,0.957,0.64,0.989,0.143
VC11,5,0.1,0.954,0.316,0.964,0.64,0.989,0.162
VC1,5,0.2,0.921,0.348,0.93,0.639,0.989,0.102
VC2,5,0.2,0.904,0.386,0.913,0.649,0.989,0.092
VC3,5,0.2,0.825,0.468,0.831,0.649,0.99,0.051
VC4,5,0.2,0.874,0.427,0.881,0.654,0.989,0.073
VC5,5,0.2,0.809,0.489,0.815,0.652,0.99,0.048
VC6,5,0.2,0.802,0.489,0.808,0.648,0.99,0.046
VC7,5,0.2,0.938,0.32,0.948,0.634,0.988,0.121
VC8,5,0.2,0.928,0.339,0.938,0.639,0.989,0.11
VC9,5,0.2,0.915,0.37,0.924,0.647,0.989,0.101
VC10,5,0.2,0.887,0.416,0.895,0.655,0.989,0.081
VC11,5,0.2,0.901,0.41,0.909,0.659,0.989,0.094
VC1,5,0.3,0.879,0.381,0.887,0.634,0.989,0.066
VC2,5,0.3,0.859,0.407,0.866,0.637,0.989,0.058
VC3,5,0.3,0.773,0.472,0.778,0.625,0.989,0.034
VC4,5,0.3,0.823,0.453,0.829,0.641,0.989,0.048
VC5,5,0.3,0.753,0.495,0.758,0.626,0.989,0.031
VC6,5,0.3,0.747,0.499,0.751,0.625,0.989,0.031
VC7,5,0.3,0.899,0.351,0.908,0.63,0.988,0.076
VC8,5,0.3,0.885,0.375,0.894,0.634,0.989,0.069
VC9,5,0.3,0.871,0.387,0.879,0.633,0.989,0.061
VC10,5,0.3,0.836,0.434,0.843,0.639,0.989,0.051
VC11,5,0.3,0.853,0.422,0.86,0.641,0.989,0.057
VC1,5,0.4,0.843,0.431,0.85,0.64,0.989,0.054
VC2,5,0.4,0.822,0.466,0.828,0.647,0.99,0.05
VC3,5,0.4,0.759,0.526,0.763,0.644,0.99,0.037
VC4,5,0.4,0.787,0.495,0.792,0.644,0.99,0.041
VC5,5,0.4,0.736,0.545,0.739,0.642,0.99,0.033
VC6,5,0.4,0.727,0.551,0.73,0.641,0.99,0.032
VC7,5,0.4,0.858,0.416,0.865,0.64,0.989,0.059
VC8,5,0.4,0.844,0.438,0.851,0.644,0.989,0.056
VC9,5,0.4,0.822,0.473,0.828,0.65,0.99,0.052
VC10,5,0.4,0.788,0.503,0.793,0.648,0.99,0.043
VC11,5,0.4,0.815,0.48,0.82,0.65,0.99,0.049
VC1,5,0.5,0.797,0.496,0.802,0.649,0.99,0.045
VC2,5,0.5,0.779,0.526,0.783,0.655,0.99,0.043
VC3,5,0.5,0.713,0.562,0.715,0.639,0.99,0.03
VC4,5,0.5,0.748,0.547,0.751,0.649,0.99,0.036
VC5,5,0.5,0.694,0.579,0.696,0.638,0.99,0.028
VC6,5,0.5,0.687,0.593,0.689,0.641,0.99,0.028
VC7,5,0.5,0.811,0.48,0.816,0.648,0.99,0.048
VC8,5,0.5,0.797,0.495,0.802,0.649,0.99,0.045
VC9,5,0.5,0.776,0.528,0.78,0.654,0.99,0.042
VC10,5,0.5,0.747,0.551,0.75,0.65,0.99,0.036
VC11,5,0.5,0.771,0.534,0.774,0.654,0.99,0.041
