Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC4,3,0.1,0.944,0.38,0.953,0.667,0.989,0.158
VC5,3,0.1,0.89,0.424,0.898,0.661,0.99,0.085
VC6,3,0.1,0.895,0.413,0.903,0.658,0.989,0.087
VC7,3,0.1,0.971,0.328,0.981,0.655,0.989,0.253
VC8,3,0.1,0.952,0.365,0.962,0.664,0.989,0.18
VC9,3,0.1,0.961,0.338,0.972,0.655,0.989,0.203
VC10,3,0.1,0.948,0.363,0.958,0.66,0.989,0.164
VC11,3,0.1,0.948,0.378,0.957,0.668,0.989,0.17
VC1,3,0.2,0.908,0.403,0.916,0.66,0.989,0.099
VC2,3,0.2,0.916,0.388,0.924,0.656,0.989,0.105
VC3,3,0.2,0.84,0.447,0.846,0.647,0.989,0.055
VC4,3,0.2,0.895,0.422,0.903,0.663,0.99,0.089
VC5,3,0.2,0.829,0.458,0.835,0.646,0.989,0.052
VC6,3,0.2,0.839,0.448,0.845,0.647,0.989,0.055
VC7,3,0.2,0.937,0.373,0.946,0.659,0.989,0.137
VC8,3,0.2,0.91,0.393,0.918,0.656,0.989,0.099
VC9,3,0.2,0.919,0.376,0.928,0.652,0.989,0.106
VC10,3,0.2,0.899,0.408,0.907,0.657,0.989,0.09
VC11,3,0.2,0.902,0.409,0.91,0.66,0.989,0.094
VC1,3,0.3,0.854,0.467,0.86,0.664,0.99,0.066
VC2,3,0.3,0.864,0.447,0.871,0.659,0.99,0.069
VC3,3,0.3,0.793,0.516,0.798,0.657,0.99,0.046
VC4,3,0.3,0.837,0.476,0.843,0.659,0.99,0.058
VC5,3,0.3,0.778,0.534,0.782,0.658,0.99,0.043
VC6,3,0.3,0.786,0.507,0.79,0.649,0.99,0.042
VC7,3,0.3,0.894,0.431,0.901,0.666,0.99,0.09
VC8,3,0.3,0.86,0.467,0.866,0.667,0.99,0.07
VC9,3,0.3,0.871,0.447,0.878,0.663,0.99,0.075
VC10,3,0.3,0.845,0.473,0.851,0.662,0.99,0.062
VC11,3,0.3,0.847,0.475,0.854,0.664,0.99,0.064
VC1,3,0.4,0.814,0.489,0.819,0.654,0.99,0.05
VC2,3,0.4,0.823,0.477,0.829,0.653,0.99,0.052
VC3,3,0.4,0.758,0.543,0.761,0.652,0.99,0.039
VC4,3,0.4,0.796,0.501,0.801,0.651,0.99,0.045
VC5,3,0.4,0.742,0.551,0.745,0.648,0.99,0.035
VC6,3,0.4,0.75,0.535,0.754,0.644,0.99,0.036
VC7,3,0.4,0.851,0.457,0.857,0.657,0.99,0.063
VC8,3,0.4,0.818,0.484,0.823,0.653,0.99,0.051
VC9,3,0.4,0.829,0.48,0.834,0.657,0.99,0.055
VC10,3,0.4,0.802,0.502,0.807,0.654,0.99,0.047
VC11,3,0.4,0.808,0.501,0.813,0.657,0.99,0.049
VC1,3,0.5,0.775,0.527,0.779,0.653,0.99,0.041
VC2,3,0.5,0.778,0.504,0.783,0.643,0.99,0.04
VC3,3,0.5,0.73,0.547,0.733,0.64,0.99,0.032
VC4,3,0.5,0.755,0.52,0.759,0.639,0.99,0.035
VC5,3,0.5,0.715,0.561,0.718,0.64,0.99,0.03
VC6,3,0.5,0.72,0.531,0.723,0.627,0.989,0.028
VC7,3,0.5,0.806,0.492,0.812,0.652,0.99,0.048
VC8,3,0.5,0.776,0.523,0.781,0.652,0.99,0.041
VC9,3,0.5,0.783,0.507,0.788,0.647,0.99,0.042
VC10,3,0.5,0.759,0.526,0.763,0.645,0.99,0.037
VC11,3,0.5,0.767,0.523,0.771,0.647,0.99,0.039
VC1,4,0.05,0.972,0.302,0.983,0.643,0.989,0.243
VC2,4,0.05,0.977,0.281,0.988,0.634,0.988,0.265
VC3,4,0.05,0.933,0.38,0.942,0.661,0.989,0.134
VC4,4,0.05,0.97,0.32,0.981,0.65,0.989,0.241
VC5,4,0.05,0.931,0.387,0.939,0.663,0.989,0.13
VC6,4,0.05,0.933,0.381,0.942,0.661,0.989,0.134
VC7,4,0.05,0.982,0.251,0.994,0.622,0.988,0.299
VC8,4,0.05,0.974,0.294,0.985,0.639,0.988,0.25
VC9,4,0.05,0.977,0.266,0.989,0.627,0.988,0.259
VC10,4,0.05,0.972,0.306,0.983,0.644,0.989,0.245
VC11,4,0.05,0.971,0.315,0.982,0.649,0.989,0.246
VC1,4,0.1,0.952,0.315,0.962,0.639,0.988,0.154
VC2,4,0.1,0.959,0.305,0.969,0.637,0.988,0.173
VC3,4,0.1,0.895,0.407,0.903,0.655,0.989,0.087
VC4,4,0.1,0.946,0.347,0.955,0.651,0.989,0.15
VC5,4,0.1,0.889,0.418,0.897,0.658,0.99,0.084
VC6,4,0.1,0.891,0.408,0.899,0.653,0.989,0.083
VC7,4,0.1,0.97,0.281,0.981,0.631,0.988,0.216
VC8,4,0.1,0.955,0.31,0.966,0.638,0.988,0.164
VC9,4,0.1,0.961,0.296,0.972,0.634,0.988,0.18
VC10,4,0.1,0.949,0.332,0.959,0.645,0.989,0.154
VC11,4,0.1,0.95,0.336,0.96,0.648,0.989,0.158
VC1,4,0.2,0.908,0.373,0.917,0.645,0.989,0.091
VC2,4,0.2,0.92,0.361,0.929,0.645,0.989,0.103
VC3,4,0.2,0.838,0.447,0.844,0.646,0.989,0.054
VC4,4,0.2,0.898,0.401,0.906,0.654,0.989,0.087
VC5,4,0.2,0.826,0.465,0.832,0.649,0.99,0.051
VC6,4,0.2,0.836,0.451,0.842,0.646,0.989,0.054
VC7,4,0.2,0.941,0.326,0.951,0.639,0.989,0.131
VC8,4,0.2,0.911,0.364,0.92,0.642,0.989,0.093
VC9,4,0.2,0.925,0.353,0.934,0.644,0.989,0.109
VC10,4,0.2,0.903,0.389,0.912,0.651,0.989,0.091
VC11,4,0.2,0.905,0.386,0.914,0.65,0.989,0.091
VC1,4,0.3,0.864,0.427,0.871,0.649,0.989,0.065
VC2,4,0.3,0.87,0.426,0.877,0.651,0.989,0.069
VC3,4,0.3,0.795,0.499,0.8,0.65,0.99,0.044
VC4,4,0.3,0.845,0.46,0.851,0.655,0.99,0.06
VC5,4,0.3,0.78,0.515,0.785,0.65,0.99,0.042
VC6,4,0.3,0.788,0.507,0.792,0.649,0.99,0.043
VC7,4,0.3,0.9,0.385,0.908,0.647,0.989,0.085
VC8,4,0.3,0.864,0.438,0.871,0.654,0.99,0.067
VC9,4,0.3,0.874,0.424,0.882,0.653,0.989,0.072
VC10,4,0.3,0.849,0.455,0.855,0.655,0.99,0.061
VC11,4,0.3,0.853,0.452,0.86,0.656,0.99,0.063
VC1,4,0.4,0.812,0.469,0.818,0.643,0.989,0.046
VC2,4,0.4,0.818,0.449,0.824,0.636,0.989,0.046
VC3,4,0.4,0.759,0.491,0.763,0.627,0.989,0.033
VC4,4,0.4,0.795,0.482,0.8,0.641,0.99,0.042
VC5,4,0.4,0.744,0.505,0.747,0.626,0.989,0.031
VC6,4,0.4,0.751,0.493,0.755,0.624,0.989,0.031
VC7,4,0.4,0.848,0.439,0.855,0.647,0.989,0.058
VC8,4,0.4,0.816,0.445,0.822,0.634,0.989,0.044
VC9,4,0.4,0.823,0.441,0.83,0.635,0.989,0.047
VC10,4,0.4,0.8,0.468,0.805,0.637,0.989,0.042
VC11,4,0.4,0.807,0.475,0.812,0.644,0.99,0.045
VC1,4,0.5,0.773,0.501,0.777,0.639,0.99,0.037
VC2,4,0.5,0.773,0.49,0.778,0.634,0.989,0.036
VC3,4,0.5,0.723,0.535,0.726,0.63,0.99,0.029
VC4,4,0.5,0.753,0.515,0.757,0.636,0.99,0.034
VC5,4,0.5,0.709,0.548,0.712,0.63,0.99,0.028
VC6,4,0.5,0.713,0.543,0.716,0.63,0.99,0.028
VC7,4,0.5,0.802,0.462,0.808,0.635,0.989,0.042
VC8,4,0.5,0.77,0.501,0.775,0.638,0.99,0.037
VC9,4,0.5,0.774,0.492,0.778,0.635,0.989,0.037
VC10,4,0.5,0.754,0.515,0.758,0.636,0.99,0.034
VC11,4,0.5,0.762,0.516,0.766,0.641,0.99,0.036
VC1,5,0.05,0.973,0.253,0.984,0.618,0.988,0.214
VC2,5,0.05,0.976,0.249,0.988,0.618,0.988,0.239
VC3,5,0.05,0.934,0.338,0.943,0.64,0.989,0.118
VC4,5,0.05,0.971,0.284,0.982,0.633,0.988,0.223
VC5,5,0.05,0.93,0.351,0.94,0.645,0.989,0.117
VC6,5,0.05,0.932,0.346,0.942,0.644,0.989,0.119
VC7,5,0.05,0.983,0.211,0.995,0.603,0.987,0.273
VC8,5,0.05,0.975,0.258,0.987,0.622,0.988,0.237
VC9,5,0.05,0.978,0.247,0.989,0.618,0.988,0.249
VC10,5,0.05,0.973,0.28,0.984,0.632,0.988,0.236
VC11,5,0.05,0.973,0.281,0.984,0.632,0.988,0.234
VC1,5,0.1,0.952,0.304,0.963,0.633,0.988,0.15
VC2,5,0.1,0.958,0.303,0.969,0.636,0.988,0.172
VC3,5,0.1,0.896,0.391,0.904,0.648,0.989,0.084
VC4,5,0.1,0.946,0.355,0.956,0.656,0.989,0.156
VC5,5,0.1,0.891,0.401,0.899,0.65,0.989,0.081
VC6,5,0.1,0.892,0.399,0.9,0.65,0.989,0.081
VC7,5,0.1,0.972,0.25,0.984,0.617,0.988,0.212
VC8,5,0.1,0.957,0.301,0.968,0.634,0.988,0.164
VC9,5,0.1,0.961,0.289,0.971,0.63,0.988,0.174
VC10,5,0.1,0.95,0.336,0.96,0.648,0.989,0.16
