,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_extratreesclassifier__bootstrap,param_extratreesclassifier__max_depth,param_extratreesclassifier__min_samples_leaf,param_extratreesclassifier__min_samples_split,param_extratreesclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,diff train test,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.460027635097504,0.001988976980158,0.416554391384125,0.004065123845784,False,32,1,2,300,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.771488469601677,0.757385172479512,0.75871926815323,0.787307032590051,0.768724985706118,0.012058555649415,469,0.779620100374817,0.772377866717489,0.780318912394384,0.791944603265358,0.781065370688012,0.007008502567813,0.505882352941176,0.564705882352941,0.428571428571429,0.523809523809524,0.505742296918768,0.049392538991094,47.06,0.976284584980237,0.984189723320158,0.980314960629921,0.964566929133858,0.976339049516044,0.007348923952566,0.775862068965517,0.760557923285548,0.764090644973852,0.79159403447608,0.773026167925249,0.012125476256317,475,0.776407541322314,0.768917871900826,0.777038806741138,0.789113449990314,0.777869417488648,0.007235078289987,0.680421405292067,0.706371219545548,0.647329210591849,0.677260590465123,0.677845606473646,0.020928079235955,1,0.940660039239866,0.94332996296508,0.944993235372924,0.944719574303874,0.943425702970436,0.001716779170391,0.989621942179392,0.990663638657583,0.987978963185575,0.990307729585656,0.989643068402051,0.001031143858084,50,0.999501288338459,0.999664232351213,0.999584683113215,0.99926410466067,0.999503577115889,0.000149783662952,0.037813867164648,0.040981710623741,0.024539877300614,0.044634658720479,0.03699252845237,0.00758384545298,254,0.097493760900358,0.094732833282396,0.098664100712063,0.103155363093273,0.098511514497022,0.003037386477023
1,0.019545793533325,0.000464107929509,0.025639414787293,0.000522915390664,False,16,1,2,10,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 10}",0.766152086906804,0.769963788831713,0.777587192681532,0.789594053744997,0.775824280541262,0.008952809699708,417,0.775173114795756,0.788958770090846,0.800393875865574,0.794612794612795,0.789784638841243,0.009354754038957,0.494117647058824,0.529411764705882,0.452380952380952,0.452380952380952,0.482072829131653,0.03220740423473,47.158,0.964426877470356,0.948616600790514,0.940944881889764,0.960629921259842,0.953654570352619,0.00937570582742,0.770631538163503,0.773924835335141,0.782878171605656,0.795080379624249,0.780628731182137,0.009470958408374,420,0.772081611570248,0.786350723140496,0.798088719571253,0.791889972234778,0.787102756629194,0.009615211493626,0.685088998792078,0.688586275269503,0.651609898268818,0.685262813240733,0.677636996392783,0.015091238907329,2,0.934595035197465,0.933744446803646,0.934214192345218,0.941548639473595,0.936025578454981,0.003202941549432,0.98930614275056,0.990086741016109,0.988747553816047,0.988918332931824,0.989264692628635,0.000515964934617,328,0.999247931812484,0.998933727034121,0.998787878787879,0.999185269675737,0.999038701827555,0.000186541701238,0.03482971103519,0.040335980121585,0.032250677183618,0.035730337527541,0.035786676466984,0.00292054838975,303,0.093884577171042,0.0992202990559,0.105192832630018,0.10421167370242,0.100627345639845,0.004503770249215
2,0.4403395652771,0.014259058250868,0.388584613800049,0.009281586689593,False,16,1,2,300,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.807509052792072,0.778158947970269,0.755288736420812,0.797408042691062,0.784591194968553,0.019934315081976,377,0.813226605679436,0.788323486436694,0.778158947970269,0.800203290769328,0.794978082713932,0.013109904030763,0.482352941176471,0.541176470588235,0.452380952380952,0.464285714285714,0.485049019607843,0.034116993774016,47.252,0.928853754940711,0.956521739130435,0.984251968503937,0.960629921259842,0.957564345958732,0.019666036806158,0.812863231305695,0.78206121658272,0.760216928142553,0.802827813286849,0.789492297329454,0.020225631899063,382,0.811337809917355,0.785575929752066,0.774778846774714,0.797572157293214,0.792316185934337,0.013623846117002,0.681766073341386,0.687232490826629,0.657962332715383,0.677326305304225,0.676071800546906,0.011028512564088,3,0.937059904084866,0.935370083787933,0.940179698594046,0.941290104120855,0.938474947646925,0.002370327489495,0.989622641509434,0.990431795878312,0.988416016116847,0.989260143198091,0.989432649175671,0.000724170613337,201,0.998569612205976,0.999096731811463,0.999666749979172,0.999191069406245,0.999131040850714,0.000389540412249,0.046606533305364,0.04438222658102,0.026642001678236,0.03988293843733,0.039378425000488,0.00774200543748,176,0.111384377782772,0.099816153079653,0.097992739251051,0.107535964913688,0.104182308756791,0.005488417211207
3,0.699645578861237,0.002005825994154,0.628600180149078,0.001642931282413,False,16,1,2,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.78692586239756,0.770726129216695,0.771488469601677,0.793215170573661,0.780588907947398,0.0097425854113,395,0.791245791245791,0.789149355187091,0.789022298456261,0.797090400863986,0.791626961438282,0.0032755634271,0.505882352941176,0.541176470588235,0.440476190476191,0.464285714285714,0.487955182072829,0.038627669341231,47.259,0.952569169960474,0.964426877470356,0.968503937007874,0.956692913385827,0.960548224456133,0.00626230878958,0.791553661371561,0.774506005424254,0.776873910517141,0.798566724772419,0.785375075521344,0.010032460120479,400,0.788610537190083,0.786286157024793,0.786078646606832,0.794472783624976,0.788862031111671,0.0033884417352,0.675255828794129,0.677165713243841,0.652520682880938,0.697377401473857,0.675579906598191,0.015886144831562,4,0.936065126539379,0.939781378621827,0.939221567085221,0.942511092615651,0.93939479121552,0.002290057733663,0.989825581395349,0.990339360911568,0.988417939871858,0.989203454894434,0.989446584268302,0.000717270894405,183,0.999018485195485,0.999261508164438,0.999343293383681,0.999106780349167,0.999182516773193,0.000127211558811,0.042599195254962,0.042042352862616,0.02909495979662,0.038506067145202,0.03806064376485,0.00540912072276,216,0.100959826916834,0.101213152161304,0.101981601499377,0.105180442722939,0.102333755825113,0.001686051020857
4,0.762378990650177,0.005243060597008,0.684336841106415,0.003632582711678,False,64,1,2,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.779683628740233,0.766342672003049,0.763102725366876,0.782351820087669,0.772870211549457,0.008281547457213,433,0.793659869131567,0.784511784511784,0.789339940283337,0.785718823454672,0.78830760434534,0.003564494723641,0.482352941176471,0.541176470588235,0.452380952380952,0.5,0.493977591036415,0.032130267943449,47.643,0.956521739130435,0.976284584980237,0.97244094488189,0.976377952755906,0.970406305437117,0.008172142945427,0.784579620302208,0.77005036807439,0.768158047646717,0.78694557427852,0.777433402575459,0.008397786104158,436,0.790999483471074,0.781379132231405,0.786336927745851,0.782591851230064,0.785326848669599,0.003750457352172,0.685908334662807,0.695842924539052,0.617931619674792,0.702545815924665,0.675557173700329,0.03379256392398,5,0.940369619320223,0.94394538268056,0.945871925094402,0.94721036032761,0.944349321855699,0.002574153301979,0.989252564728872,0.990284005979073,0.988534396809571,0.989768574908648,0.989459885606541,0.000646910916064,177,0.999102919588974,0.999504459861249,0.999425523184243,0.999505195447798,0.999384524520566,0.000165777099251,0.037182909360587,0.040727200498185,0.028494425926514,0.039880364674315,0.0365712251149,0.004843329917425,269,0.102803651723458,0.100078090411343,0.102629161306933,0.101093110024668,0.1016510033666,0.001125909780643
5,0.298939406871796,0.000608260219184,0.24910831451416,0.0006599033272,True,16,1,2,200,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 200}",0.864303411473223,0.858585858585859,0.860301124452068,0.863922241280732,0.86177815894797,0.002415905724049,5,0.870275077822248,0.868813925417699,0.875802045613366,0.870338606187663,0.871307413760244,0.0026656849594,0.4,0.470588235294118,0.357142857142857,0.404761904761905,0.40812324929972,0.04055293046142,39.661,0.814229249011858,0.790513833992095,0.799212598425197,0.81496062992126,0.804729077837602,0.010337342659933,0.871948857032158,0.864974815962805,0.868487313577377,0.871392601200852,0.869200896943298,0.002771453313532,6,0.871190599173554,0.870092975206611,0.877058177826564,0.871246852198618,0.872397151101337,0.002730080209772,0.685769309661098,0.690791302960549,0.639021471459008,0.685923420307499,0.675376376097038,0.021086442748198,6,0.927039651251102,0.931290551603894,0.934626908318839,0.933604460738979,0.931640392978204,0.002918306421344,0.988796133567663,0.990022172949002,0.988100484795064,0.989008573312816,0.988981841156136,0.000688164440935,446,0.996528803545051,0.996082489467071,0.996259351620948,0.996528803545051,0.99634986204453,0.000189552336554,0.060044131226239,0.070317096747079,0.048421491731694,0.060094985059798,0.059719426191203,0.007749200314965,10,0.1431861338225,0.13738887917463,0.147405901982164,0.14386450030295,0.142961353820561,0.00359418563997
6,0.735925495624542,0.000685994543662,0.602886259555817,0.002057440020748,True,16,1,2,500,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.868496283590623,0.85515532685344,0.866590432628168,0.876691442729178,0.866733371450353,0.007686718919726,1,0.877517311479576,0.868559811956038,0.884314846578998,0.880820786481164,0.877803189123944,0.005852976253966,0.364705882352941,0.447058823529412,0.357142857142857,0.404761904761905,0.393417366946779,0.035868836793386,40.836,0.810276679841897,0.798418972332016,0.78740157480315,0.811023622047244,0.801780212256077,0.009691152341623,0.876791941108098,0.861875242154204,0.874878946349022,0.884369552585706,0.874478920549257,0.008096100850293,2,0.878615702479339,0.869705578512397,0.885904306837993,0.881965519467941,0.879047776824417,0.0059788916929,0.666437997128336,0.677865396449165,0.647766156627284,0.707608164319379,0.674919428631041,0.021716739097598,7,0.929281345955966,0.930095057655244,0.934989417082857,0.934780199191702,0.932286504971442,0.002615227848303,0.9882096069869,0.989546263345196,0.988186392474294,0.989168110918544,0.988777593431234,0.000594870682787,507,0.996485061511424,0.99622808963834,0.996079570204734,0.996498139636682,0.996322715247795,0.000176920563715,0.055298649341893,0.06365656982142,0.051947368095005,0.068792025009896,0.059923653067053,0.006663228756104,9,0.151026165560126,0.138504392094492,0.155975445743382,0.1558515466294,0.15033938750685,0.007118423827346
7,0.074390053749085,0.000275592103046,0.073337316513062,0.000626948004363,False,16,1,2,50,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.787878787878788,0.78063655422146,0.766342672003049,0.803316180674671,0.784543548694492,0.013323588574678,378,0.797153929229401,0.803252652309256,0.78692586239756,0.806047900387523,0.798345086080935,0.007335446112934,0.482352941176471,0.517647058823529,0.452380952380952,0.476190476190476,0.482142857142857,0.0233548404316,46.755,0.944664031620553,0.940711462450593,0.960629921259842,0.952755905511811,0.9496903302107,0.007664139678073,0.792909724912825,0.784967067028284,0.771450706953322,0.808638388533798,0.789491471857057,0.013455745144229,383,0.794744318181818,0.801007231404959,0.784076967779428,0.803641764060179,0.795867570356596,0.007535486182287,0.684110126034141,0.68654192401486,0.644554199754664,0.683337483744224,0.674635933386972,0.017407904929169,8,0.938049705190605,0.93741182769575,0.938820672049557,0.941627191512922,0.938977349112209,0.001609160728552,0.989364273628233,0.9899828976301,0.988582774882105,0.989570988385873,0.989375233631578,0.000508843406713,248,0.998863913008196,0.99879236776427,0.999177157903398,0.999036763525445,0.998967550550328,0.000150129466675,0.039719705695914,0.042119300798924,0.02929664688387,0.043634359832991,0.038692503302925,0.005601387097095,198,0.10337378161148,0.106534296807636,0.099888877556939,0.110184845610255,0.104995450396578,0.003808043026794
8,0.142648875713348,0.001571407362715,0.137339890003204,0.000813715998138,False,16,1,5,100,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 5, 'extratreesclassifier__n_estimators': 100}",0.782351820087669,0.765199161425577,0.752239374880884,0.781208309510196,0.770249666476082,0.012414026178046,454,0.789149355187091,0.791626961438282,0.772949622006226,0.783558859030557,0.784321199415539,0.00718643135579,0.529411764705882,0.517647058823529,0.452380952380952,0.476190476190476,0.49390756302521,0.031074372701833,45.874,0.948616600790514,0.936758893280632,0.968503937007874,0.956692913385827,0.952643086116212,0.011581103769041,0.786516853932584,0.769275474622239,0.757117954677513,0.78617083091226,0.774770278536149,0.012346578834713,459,0.786544421487603,0.789256198347107,0.769742364563828,0.78071931297217,0.781565574342677,0.00749064523676,0.68387082070333,0.673335688401668,0.644513848537672,0.695676885900593,0.674349310885816,0.018951958007577,9,0.935585219106262,0.933042896400222,0.932691325058507,0.937018550991967,0.93458449788924,0.001794902224291,0.990243902439024,0.989780658025922,0.988369152970923,0.989276139410188,0.989417463211514,0.000695312707947,211,0.998933989339893,0.998692810457516,0.999329365412021,0.999091059329036,0.999011806134617,0.0002318073872,0.044221744197212,0.037489968121333,0.025948989663587,0.036404333044745,0.036016258756719,0.00653839275457,291,0.099324648371698,0.099262165971205,0.093578410608895,0.097617474729267,0.097445674920266,0.002335349513333
9,0.148632824420929,0.003049811842567,0.146545350551605,0.012357690768866,False,16,1,2,100,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 100}",0.812083095101963,0.780255384028969,0.75662283209453,0.800076234038498,0.78725938631599,0.021024643909195,369,0.816657137411854,0.799313893653516,0.778857759989835,0.803443237405502,0.799568007115177,0.013564979669576,0.494117647058824,0.541176470588235,0.440476190476191,0.440476190476191,0.47906162464986,0.042019666102518,47.159,0.924901185770751,0.940711462450593,0.984251968503937,0.952755905511811,0.950655130559273,0.021767538807287,0.81731886865556,0.784192173576133,0.761766414875073,0.805926786751888,0.792301060964664,0.021270106789716,373,0.814888946280992,0.797004132231405,0.775489119907019,0.800994382385226,0.797094145201161,0.014130215991431,0.67552932060077,0.683244068646444,0.649786023260747,0.687717320125804,0.674069183158441,0.014682081105597,10,0.937309491678372,0.935951816834352,0.936702944659199,0.943351777386063,0.938329007639496,0.002939504450667,0.989910839981229,0.990457548323954,0.988190954773869,0.988830798479088,0.989347535389535,0.000887994444346,267,0.998496835443038,0.998786309571972,0.99966705510238,0.999033582991061,0.998995945777113,0.000431527157437,0.050175514610306,0.045068635103385,0.025512806360706,0.037378872295761,0.03953395709254,0.009288601420744,169,0.113178043551457,0.104156208947362,0.098354881362768,0.108543991945045,0.106058281451658,0.005473344995425
