,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif test train spec,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.01050066947937,0.000865962651325,0.013750672340393,0.000432981317457,entropy,100,1,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.722889270059081,0.700971983990852,0.682675814751286,0.710501238803125,0.704259576901086,0.014685799826218,83,0.732418524871355,0.723016326789912,0.708595387840671,0.730957372466806,0.723746902992186,0.009451058790337,0.642857142857143,0.547619047619048,0.611764705882353,0.588235294117647,0.597619047619048,0.034765786839392,36.983,0.988188976377953,0.956692913385827,0.964426877470356,0.960474308300395,0.967445768883633,0.012284334806349,0.724191361611466,0.703466976564013,0.683843471522666,0.712514529252228,0.706004084737593,0.014753750572406,85,0.728223671466391,0.719183831600697,0.70441632231405,0.727208161157025,0.719757996634541,0.009524563483604,0.7112051870913,0.646891111664499,0.657256649269549,0.68303553114388,0.674597119792307,0.024898153454798,1,0.899232477938062,0.893618040835875,0.886574688449351,0.897092712858916,0.894129480020551,0.004799942247683,0.992040328999735,0.989645776566758,0.990738142015156,0.990573660113116,0.990749476923691,0.000853740825888,2,0.999734066128889,0.999013364427303,0.999175748694935,0.999112924687306,0.999259025984608,0.000280309398462,0.040059339340246,0.025772718252102,0.028837007344539,0.032052025518717,0.031680272613901,0.005322835601359,30,0.078350099810399,0.071907005111014,0.067681999876998,0.074797148127629,0.07318406323151,0.003911315488959
1,0.010500609874725,0.001118086244057,0.014250814914703,0.000433015741154,entropy,32,4,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.682485229655041,0.601486563750715,0.689918048408615,0.654088050314465,0.656994473032209,0.034725047784658,148,0.696080299853885,0.61362048154501,0.704910742646592,0.680579378692586,0.673797725684518,0.035818376798242,0.654761904761905,0.619047619047619,0.658823529411765,0.611764705882353,0.63609943977591,0.020902246966247,32.152,0.94488188976378,0.948818897637795,0.960474308300395,0.976284584980237,0.957614920170552,0.012208936893928,0.682936277358125,0.601200852217703,0.690430065865943,0.654784967067028,0.6573380406272,0.035029466043822,149,0.691999741718861,0.608122941822173,0.700736053719008,0.675748966942149,0.669151926050548,0.03635807223253,0.680220064008559,0.645454608339559,0.692187250723614,0.666194133600748,0.67101401416812,0.017389449207007,2,0.879701492082005,0.861911107563417,0.890185159286904,0.883160978383367,0.878739684328923,0.010424404158465,0.991842475386779,0.989795918367347,0.991928750347899,0.990331087020217,0.99097455778056,0.000930995423263,1,0.998695368558382,0.998621567172092,0.999079443984166,0.999427043544691,0.998955855814833,0.000322836808545,0.032422018202394,0.017114419624176,0.034656990397194,0.023972829126514,0.02704156433757,0.006980496683928,52,0.062386429207278,0.043764983003531,0.066180551955564,0.060648012274257,0.058244994110158,0.008596071499913
2,0.01350075006485,0.006103641143582,0.015500843524933,0.002598266446901,entropy,16,4,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.676577091671431,0.653325709929483,0.728606822946446,0.602820659424433,0.665332570992948,0.045227132360207,134,0.680071151769265,0.670796010418652,0.7305126739089,0.613239311352519,0.673654786862334,0.041629891129605,0.607142857142857,0.654761904761905,0.541176470588235,0.576470588235294,0.594887955182073,0.041710896186977,28.475,0.854330708661417,0.956692913385827,0.810276679841897,0.897233201581028,0.879633375867542,0.054079807782144,0.677706759635871,0.653302343598683,0.731693142192948,0.603254552499031,0.666489199481633,0.046232838837796,135,0.677213146509976,0.666107057532124,0.729209710743802,0.60860020661157,0.670282530349368,0.042844456072361,0.689849017274932,0.690785165509163,0.658065729197529,0.640159992706885,0.669714976172128,0.021555361818663,3,0.855235455289145,0.889520115677411,0.853347765859276,0.839502162071669,0.859401374724375,0.018419543193482,0.990656851642129,0.991475602586714,0.989779874213836,0.988571428571428,0.990120939253527,0.001076989269883,16,0.996484560570071,0.998934831025467,0.995767942161876,0.997249259415997,0.997109148293353,0.001177039960687,0.026998984726976,0.027234359506388,0.031052826920698,0.014218301722683,0.024876118219186,0.00636020139294,73,0.050110107968815,0.056665113443932,0.059547074376365,0.039723078184735,0.051511343493462,0.00761677384969
3,0.013250648975372,0.005068495585208,0.025501489639282,0.019346620220057,entropy,64,2,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.719649323422908,0.767295597484277,0.76672384219554,0.731275014293882,0.746235944349152,0.021177469092943,39,0.744107744107744,0.78679880566673,0.782224763356839,0.738136077758719,0.762816847722508,0.021857335497386,0.583333333333333,0.535714285714286,0.588235294117647,0.576470588235294,0.57093837535014,0.020761504355033,42.906,1,1,1,1,1,0,0.721867131512686,0.771063335270192,0.769662921348315,0.733824099186362,0.749104371829389,0.021680659732995,39,0.739910893007038,0.783302124362368,0.778667355371901,0.73385847107438,0.758934710953922,0.022214137096211,0.661166219344604,0.662721470536694,0.685939102491054,0.665808965973061,0.668908939586353,0.009973349173501,4,0.896434220420581,0.915709721488533,0.916735996553752,0.905750952414007,0.908657722719218,0.00825912399774,0.990696438064859,0.990298507462687,0.99126746506986,0.990585774058577,0.990712046163996,0.000352027227583,3,1,1,1,1,1,0,0.033160955888736,0.039878123950478,0.046622839089971,0.035498814559447,0.038790183372158,0.005124827338973,12,0.084089485556855,0.104468834235553,0.101600152960646,0.081420645720307,0.09289477961834,0.010233904649868
4,0.008750438690186,0.001089891894639,0.014750778675079,0.000829150020075,gini,16,2,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.675814751286449,0.701543739279588,0.609491137793025,0.69430150562226,0.670287783495331,0.036333087963978,124,0.692268597928975,0.715138809478432,0.619465091163204,0.710882408995616,0.684438726891557,0.038485853291452,0.678571428571429,0.547619047619048,0.623529411764706,0.552941176470588,0.600665266106443,0.054045419172411,34.802,0.976377952755906,0.952755905511811,0.924901185770751,0.940711462450593,0.948686626622265,0.018793077274535,0.675769901220221,0.704048034088708,0.609259976753196,0.696629213483146,0.671426781386318,0.037359346219028,124,0.687608962355524,0.711241686575838,0.614475723140496,0.707128099173554,0.680113617811353,0.038933444090311,0.691401962683194,0.637603414404693,0.691388426738382,0.653734302709848,0.668532026634029,0.023563746987651,5,0.887850694181404,0.889878557021917,0.846708174427531,0.885489186579231,0.877481653052521,0.017834852268963,0.992320819112628,0.989654233596515,0.989927604658483,0.989543203082003,0.990361465112407,0.001139850007581,7,0.999436884091976,0.998911762038632,0.99800755033557,0.998632260417616,0.998747114220949,0.000515518553386,0.033290018940705,0.025879023991908,0.018646720311518,0.025362250028836,0.025794503318242,0.005183327671686,59,0.064117337552698,0.068911330331026,0.042907478007961,0.066181505020123,0.060529412727952,0.010315140302095
5,0.008250534534454,0.000829185959912,0.013750791549683,0.000433050153911,gini,150,1,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.728035067657709,0.764817991233086,0.746712407089766,0.756241661902039,0.74895178197065,0.013669333225141,35,0.753636998920018,0.768502636427165,0.756559303729115,0.773330792198717,0.763007432818753,0.008157089122245,0.571428571428571,0.511904761904762,0.623529411764706,0.541176470588235,0.562009803921569,0.041285343476251,43.701,0.996062992125984,1,1,1,0.999015748031496,0.001704774416899,0.730582994383111,0.768932791012977,0.748740798140256,0.759783029833398,0.752009903342435,0.014288151550571,37,0.749661006005036,0.764705882352941,0.752582644628099,0.769628099173554,0.759144408039908,0.008273896143108,0.663180321518497,0.647642797192478,0.697963625589717,0.657779702349751,0.66664161166261,0.018924438392271,6,0.903938355206729,0.907875871508184,0.897539316426028,0.909061943659556,0.904603871700124,0.004498089643481,0.990546218487395,0.989778110196958,0.991788555298948,0.990154001514769,0.990566721374518,0.00075590075064,4,0.999913874773921,1,1,1,0.99997846869348,3.72933168454418E-05,0.033803780897922,0.036257783112388,0.044751296071409,0.037864280474155,0.038169285138968,0.004065936639833,13,0.087682884588644,0.094928702851886,0.089069213298586,0.096976934374319,0.092164433778359,0.0038879949349
6,0.011000633239746,0.001224802106671,0.014250695705414,0.00043308455573,entropy,,2,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.685915761387459,0.729559748427673,0.710120068610635,0.717362302267963,0.710739470173432,0.015926902984464,75,0.705863668127819,0.739470173432438,0.713868242170129,0.74048662727908,0.724922177752366,0.015324103141312,0.595238095238095,0.55952380952381,0.564705882352941,0.611764705882353,0.5828081232493,0.021580305098422,38.564,0.97244094488189,0.960629921259842,0.980237154150198,0.960474308300395,0.968445582148081,0.00836106834577,0.68739105171412,0.732326166957195,0.712514529252228,0.719101123595506,0.712833217879762,0.016329934839416,75,0.70149157357784,0.735842965067476,0.709517045454545,0.736893078512397,0.720936165653064,0.015694937112505,0.656750643313688,0.662728387888179,0.662744718189484,0.684046311279258,0.666567515167652,0.010383062668506,7,0.89525225373173,0.901233394124307,0.890508755471532,0.897547610492274,0.896135503454961,0.003886610300251,0.990510745185599,0.990309062336302,0.990040376850605,0.991188251001335,0.99051210884346,0.000424537699848,5,0.99935608499678,0.999123268455199,0.99954520647626,0.999124573229449,0.999287283289422,0.00017651733251,0.027568868190608,0.032881915881496,0.029580886772417,0.035971336216429,0.031500751765237,0.003203097316909,31,0.067816522185842,0.078240357450686,0.070843252884178,0.078335059526466,0.073808798011793,0.004605094728609
7,0.007750332355499,0.00043308455573,0.013250768184662,0.00043308455573,gini,32,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.655231560891938,0.677530017152659,0.688202782542405,0.704211930627025,0.681294072803507,0.017793124511723,107,0.66202909599136,0.688838066196557,0.690870973889842,0.72238104313576,0.69102979480338,0.021382061418118,0.55952380952381,0.583333333333333,0.564705882352941,0.611764705882353,0.579831932773109,0.02045225583861,36.002,0.937007874015748,0.937007874015748,0.940711462450593,0.944664031620553,0.939847810525661,0.003165136610124,0.656788688746853,0.679062560526825,0.690236342502906,0.705734211545912,0.682955450830624,0.017830713363001,108,0.657519209659715,0.684767869826306,0.686789772727273,0.71875,0.686956713053323,0.021692156443444,0.644785931029394,0.656652647500991,0.656825899674089,0.707017343938738,0.666320455535803,0.023997841437342,8,0.875553232607079,0.882605248293082,0.878557006010518,0.889568463561232,0.881570987617978,0.005251827708244,0.989206534422404,0.990115786500988,0.989722222222222,0.991022850924918,0.990016848517633,0.000664312267478,26,0.998431218746936,0.998493550513134,0.998591813743898,0.99874394401579,0.99856513175494,0.000118049058717,0.019383954603201,0.024995601570124,0.02540040014469,0.033082315023506,0.02571556783538,0.004872780837264,62,0.052899869372706,0.059661982642181,0.060329746078031,0.070270548331147,0.060790536606016,0.006197160915601
8,0.01000052690506,0.000707139826828,0.014500856399536,0.000866100291414,entropy,32,1,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.688965122927387,0.707070707070707,0.742138364779874,0.739851343624928,0.719506384600724,0.022436235339044,67,0.701861381106664,0.729242106600597,0.745314783050632,0.755352264786227,0.73294263388603,0.020217565435527,0.595238095238095,0.511904761904762,0.564705882352941,0.611764705882353,0.570903361344538,0.038016681314966,39.951,0.960629921259842,0.976377952755906,0.968379446640316,0.976284584980237,0.970417976409076,0.006517285504805,0.690490025179159,0.710245981018788,0.745060054242542,0.74196048043394,0.721939135218607,0.022700261772483,67,0.697617356492542,0.725188868082908,0.74167097107438,0.751743285123967,0.729055120193449,0.020476775950211,0.656576556634662,0.625679053337391,0.66907605351323,0.707552932060077,0.66472114888634,0.029343425379251,9,0.886272154090121,0.894852756871524,0.896681071971058,0.906920288153726,0.896181567771607,0.007340501307976,0.990552931369825,0.988942826321467,0.990471285088849,0.991457416515661,0.990356114823951,0.000903085094283,8,0.999075272794526,0.999466049657382,0.99930404523706,0.999484934329127,0.999332575504524,0.000164352686052,0.028128213334786,0.023335633108479,0.036878463138699,0.041539696620825,0.032470501550697,0.007141108334636,25,0.06551060164105,0.07601821989932,0.081033800312138,0.086024576317991,0.077146799542625,0.007592734834553
9,0.008750438690186,0.000433050153911,0.013750791549683,0.000433050153911,gini,64,1,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.731275014293882,0.757004002287021,0.741185439298647,0.73642081189251,0.741471316943015,0.009628320583068,43,0.750397052283845,0.769709675370053,0.754844037862906,0.751159392668827,0.756527539546407,0.007794272861645,0.55952380952381,0.5,0.564705882352941,0.623529411764706,0.561939775910364,0.043713005281407,43.806,1,1,1,1,1,0,0.73406933953128,0.761185357350378,0.744091437427354,0.738279736536226,0.744406467711309,0.010320167579816,44,0.746303351197779,0.765932717763285,0.750839359504132,0.747094524793388,0.752542488314646,0.007918428362441,0.657282126486078,0.640544441677504,0.664048362467808,0.689170864006199,0.662761448659397,0.017483790613184,10,0.898596053891275,0.903568092924266,0.907062818492144,0.91091394485186,0.905035227539886,0.004535578341323,0.990331852626078,0.989425981873112,0.99045899948427,0.991673172001041,0.990472501496125,0.000799496308887,6,1,1,1,1,1,0,0.033275891266715,0.032754844846499,0.036636972973908,0.041919419368868,0.036146782113998,0.003650715020346,15,0.086704816232139,0.095517206304606,0.088314281785054,0.086723683432307,0.089314996938526,0.00363994439678
