,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_baggingclassifier__base_estimator__max_depth,param_baggingclassifier__base_estimator__min_samples_leaf,param_baggingclassifier__base_estimator__min_samples_split,param_baggingclassifier__bootstrap,param_baggingclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif test train spec,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.911477982997894,0.049170229619575,0.52919989824295,0.016592473964465,100,1,2,True,300,"{'baggingclassifier__base_estimator__max_depth': 100, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 300}",0.868115113398132,0.820850009529255,0.851724795121021,0.827329902801601,0.842004955212502,0.018967765672647,1198,0.886538339368528,0.833047455688965,0.867416301378566,0.842767295597484,0.857442348008386,0.020955455098845,0.404761904761905,0.452380952380952,0.447058823529412,0.588235294117647,0.473109243697479,0.068981252302269,52.69,1,1,1,1,1,0,0.875653689715282,0.826844857640906,0.858388221619527,0.831266950794266,0.848038429942495,0.020001067345261,1203,0.884677471427649,0.830309291663976,0.865250516528926,0.840198863636364,0.855109035814229,0.021298371768771,0.689583852134695,0.708701105853924,0.674825079198669,0.724137931034483,0.699311992055443,0.018699788178511,1,0.989226676780983,0.984816577174964,0.987180563608598,0.989952440548133,0.987794064528169,0.001997046520946,0.989061474513236,0.989339513325608,0.98950424296561,0.991909385113268,0.98995365397943,0.001140176244028,3,1,1,1,1,1,0,0.062782255316777,0.046806803371073,0.061615904342965,0.071873550346043,0.060769628344214,0.008986439999383,104,0.198443304857731,0.136375995517302,0.171095129731445,0.144577609041613,0.162623009787023,0.024338306234425
1,0.878826320171356,0.018368531819887,0.535925805568695,0.009876813231986,64,1,2,True,300,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 300}",0.851343624928531,0.848294263388603,0.84124261482752,0.844291976367448,0.846293119878026,0.003841365422288,1169,0.866018677339432,0.861952861952862,0.855091798488025,0.854837685026364,0.859475255701671,0.004734888023433,0.392857142857143,0.452380952380952,0.411764705882353,0.529411764705882,0.446603641456583,0.052423754494582,55.24,1,1,0.996047430830039,1,0.99901185770751,0.0017115126557,0.858803021499128,0.854735618826264,0.848314606741573,0.849476946919799,0.852832548496691,0.004211296837009,1181,0.863821269451798,0.859688771227481,0.852789256198347,0.852466425619835,0.857191430624365,0.004793127500277,0.721430185477251,0.674817612499193,0.656216240855118,0.737624495749482,0.697522133645261,0.033171774328494,2,0.987025821504345,0.986446214223868,0.990937137613106,0.989686775226211,0.988523987141882,0.001853173757514,0.988628762541806,0.989683785602153,0.988710769925491,0.990960451977401,0.989495942511713,0.00094188243588,51,1,1,0.999924294041941,1,0.999981073510485,3.27816414484437E-05,0.050635289794862,0.059956785955436,0.0496262106758,0.071978609695128,0.058049224030306,0.00899416689187,171,0.169926968417324,0.165089719091682,0.156312591063576,0.156644544878446,0.161993455862757,0.005775174045449
2,1.15933877229691,0.017278892447667,0.678212642669678,0.002192735950675,32,1,2,True,400,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 400}",0.850771869639794,0.856489422527158,0.854202401372213,0.83323804078521,0.848675433581094,0.00914212689553,1151,0.864493996569468,0.869385680706435,0.864239883107807,0.840353217711708,0.859618194523855,0.011310134491403,0.392857142857143,0.452380952380952,0.423529411764706,0.529411764705882,0.449544817927171,0.050687934237441,54.95,0.996062992125984,1,1,1,0.999015748031496,0.001704774416899,0.858221963974433,0.863064110013558,0.861294072065091,0.838240991863619,0.855205284479175,0.009946381907126,1167,0.862336152902434,0.867243494543811,0.862022210743802,0.837745351239669,0.857336802357429,0.011499065881564,0.690690628372209,0.694717679828081,0.683093648152791,0.719874877498462,0.697094208462886,0.013798806986791,3,0.986538493804049,0.988617199388464,0.989628971964525,0.988121110720936,0.988226443969493,0.001115800769467,0.988621151271754,0.989782318969347,0.989098998887653,0.990840393863064,0.989585715747954,0.000833688780368,36,0.999925127283618,1,1,1,0.999981281820904,3.24208372186573E-05,0.050340450230608,0.064766322421302,0.058618649269131,0.065658544229413,0.059845991537614,0.006120806919499,125,0.167457154009013,0.174115007730735,0.167242299083953,0.142345979074891,0.162790109974648,0.012122490310534
3,0.118562638759613,0.004410474183814,0.078061163425446,0.00025073278139,100,2,5,True,40,"{'baggingclassifier__base_estimator__max_depth': 100, 'baggingclassifier__base_estimator__min_samples_leaf': 2, 'baggingclassifier__base_estimator__min_samples_split': 5, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 40}",0.857823518200877,0.848484848484848,0.865446922050696,0.861635220125786,0.858347627215552,0.006299947397594,1063,0.871418588399721,0.859538784067086,0.883044279270694,0.877707896575821,0.87292738707833,0.008756939287399,0.357142857142857,0.452380952380952,0.388235294117647,0.494117647058824,0.42296918767507,0.053541349275094,49.12,0.913385826771654,0.901574803149606,0.91699604743083,0.924901185770751,0.91421446578071,0.008402245156166,0.865969397637033,0.854929304667829,0.873304920573421,0.867686943045331,0.865472641480903,0.006664391289418,1076,0.870730289920578,0.858849357525667,0.882489669421488,0.876936983471074,0.872251575084702,0.008785006708112,0.66181529749223,0.735128847200317,0.663844383162021,0.724517400916198,0.696326482192691,0.033713721448129,4,0.944072091960288,0.943826648614103,0.959235174803188,0.959473916310064,0.951651957921911,0.007703538879202,0.988066298342541,0.989686098654708,0.98859649122807,0.990490933215391,0.989209955360178,0.000942325092238,127,0.998371214925594,0.9981239681825,0.998465921542845,0.998603043893831,0.998391037136193,0.000174837986221,0.047111509703767,0.060063259350493,0.058342192240055,0.076935267348709,0.060613057160756,0.010655578753326,109,0.162218171016781,0.146681982740657,0.177771785386242,0.171761211782643,0.164608287731581,0.01174209373922
4,0.556719422340393,0.011398571461351,0.339719474315643,0.000913551449926,32,2,5,True,200,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 2, 'baggingclassifier__base_estimator__min_samples_split': 5, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 200}",0.857061177815895,0.844673146559939,0.845816657137412,0.864875166761959,0.853106537068801,0.008342725172003,1114,0.867797471571056,0.857378819642971,0.862461088876183,0.871863286957627,0.864875166761959,0.005463439425704,0.452380952380952,0.404761904761905,0.423529411764706,0.541176470588235,0.45546218487395,0.052313127346471,48.73,0.960629921259842,0.917322834645669,0.936758893280632,0.956521739130435,0.942808347079145,0.017261031712268,0.863645167538253,0.851830331202789,0.852770244091437,0.87020534676482,0.859612772399325,0.007678694987867,1133,0.866274940272487,0.856395686704978,0.861247417355372,0.870480371900826,0.863599604058416,0.005289886517701,0.691475747765695,0.66821154183153,0.682013355516558,0.739423843927342,0.695281122260281,0.0267948529114,5,0.964191201256426,0.951504792691254,0.956310814645739,0.96634995243034,0.95958919025594,0.005978955616428,0.989789123196448,0.988758992805755,0.988991237924062,0.991392628558817,0.98973299562127,0.001031554380302,18,0.999255176523164,0.998419150858175,0.998801946836391,0.999184762469429,0.99891525917179,0.000334342256301,0.06512049558057,0.049471100403235,0.054033539642105,0.088456938487825,0.064270518528433,0.015079156848153,49,0.165694235958695,0.1469414091906,0.155056396119295,0.169527291288246,0.159304833139209,0.008891380486793
5,1.14293038845062,0.025273664841929,0.679267346858978,0.010583914904092,32,1,5,True,400,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 5, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 400}",0.857632933104631,0.845626072041166,0.856108252334667,0.855345911949686,0.853678292357538,0.004721310624618,1108,0.869258623975605,0.859157613874595,0.866272790801093,0.868242170128962,0.865732799695064,0.003945029651348,0.369047619047619,0.428571428571429,0.447058823529412,0.505882352941176,0.437640056022409,0.048818251412984,55.25,0.992125984251968,0.976377952755906,0.996047430830039,0.996047430830039,0.990149699666988,0.008110690160014,0.865582025953903,0.852411388727484,0.862843858969392,0.861100348702053,0.860484405588208,0.004927112257797,1124,0.867243494543811,0.857235100406793,0.864152892561983,0.86615444214876,0.863696482415337,0.003891677940586,0.674769191038802,0.692554854597272,0.683372837705404,0.725799393759829,0.694124069275326,0.019339007909696,6,0.96407553401405,0.967233758158354,0.975868478056708,0.976722001273969,0.97097494287577,0.005444576947073,0.98827952233525,0.989211058664868,0.989557876027549,0.990639625585023,0.989422020653173,0.000844219435304,65,0.999851112930842,0.999548260804096,0.999925289503175,0.999925462134764,0.999812531343219,0.000155559653403,0.049360384358758,0.054234844084837,0.064239056823097,0.074814932692766,0.060662304489864,0.009774145591955,106,0.172668398168984,0.158199983833525,0.169056713698893,0.171481069564577,0.167851541316495,0.005722337537217
6,0.146590828895569,0.001156768648077,0.100652992725372,0.000809667623206,16,1,5,True,50,"{'baggingclassifier__base_estimator__max_depth': 16, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 5, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 50}",0.859157613874595,0.831713360015247,0.854774156660949,0.863731656184486,0.852344196683819,0.012325106640823,1121,0.868940982148529,0.840480274442539,0.867733943205641,0.875738517247951,0.863223429261165,0.013480668246457,0.357142857142857,0.428571428571429,0.352941176470588,0.564705882352941,0.425840336134454,0.085622324617994,50.51,0.905511811023622,0.952755905511811,0.91699604743083,0.948616600790514,0.930970091189194,0.020183030835076,0.867325198527988,0.83827232229324,0.863037582332429,0.868655559860519,0.859322665753544,0.012329446542758,1135,0.868341189384645,0.838638858397366,0.86692923553719,0.874548037190083,0.862114330127321,0.013853266172486,0.679820010514374,0.704292447174492,0.637782893087495,0.752823802903571,0.693679788419983,0.041614899154265,7,0.956550299489183,0.953675269428411,0.957114318263483,0.966379173063731,0.958429765061202,0.004771297188054,0.988084730803177,0.989031078610603,0.98780487804878,0.99181596991816,0.98918416434518,0.001585955596542,138,0.998218527315914,0.999076923076923,0.998438429506246,0.99904115651276,0.998693759102961,0.000373677014832,0.047811606064781,0.047580077692583,0.045258258384467,0.092038112276274,0.058172013604526,0.019578079986815,167,0.157881469038954,0.136086599482377,0.15786602476986,0.173227690579052,0.156265445967561,0.013229483841049
7,0.266211748123169,0.005168646597305,0.172752261161804,0.00091085187734,100,4,2,True,100,"{'baggingclassifier__base_estimator__max_depth': 100, 'baggingclassifier__base_estimator__min_samples_leaf': 4, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 100}",0.871545645130551,0.879359634076615,0.889079473985134,0.870211549456832,0.877549075662283,0.007518455230636,836,0.878660822057048,0.894034686487517,0.897592274950765,0.891747665332571,0.890508862206975,0.007150469591824,0.30952380952381,0.297619047619048,0.329411764705882,0.458823529411765,0.348844537815126,0.06450422812211,38.29,0.696850393700787,0.744094488188976,0.699604743083004,0.786561264822134,0.731777722448726,0.036769410275435,0.880689521595971,0.8888243269417,0.898295234405269,0.876985664471135,0.886198686853519,0.008192239190198,840,0.881642668044166,0.896493833537806,0.900826446280992,0.893465909090909,0.893107214238468,0.007117236385062,0.673300406740267,0.690864715051235,0.666703512090617,0.740681906237892,0.692887635030003,0.028972626614241,8,0.913123859533701,0.920354968785098,0.922608195456179,0.933061143345964,0.922287041780235,0.0071393490455,0.987404994571118,0.987306368330465,0.987856838517256,0.989940957795758,0.988127289803649,0.001067492148915,638,0.994392251110626,0.995340167753961,0.994582264043342,0.996112870716959,0.995106888406222,0.000680506585196,0.044573690532346,0.046429743424549,0.061416115683174,0.07618773321806,0.057151820714532,0.012783998559859,192,0.131475689774231,0.161036626378981,0.156433896936532,0.165754105158288,0.153675079562008,0.013233661730127
8,0.150781154632568,0.003766000425084,0.101822137832642,0.000999399551966,64,1,2,True,50,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 50}",0.825424051839146,0.827329902801601,0.829235753764056,0.821231179721746,0.825805222031637,0.002964808306862,1254,0.835016835016835,0.83901912203799,0.845943713868242,0.831205133091926,0.837796201003748,0.005455377008983,0.452380952380952,0.464285714285714,0.435294117647059,0.541176470588235,0.47328431372549,0.040529388315552,52.57,1,1,0.996047430830039,1,0.99901185770751,0.0017115126557,0.831493317838466,0.833236490412551,0.83572258814413,0.825842696629213,0.83157377325609,0.003634178232248,1258,0.83231097049138,0.836378898430942,0.84349173553719,0.828447830578512,0.835157358759506,0.005569418507029,0.687275762522712,0.678825064792526,0.660058800738428,0.743937598286118,0.692524306584946,0.031275198136385,9,0.981707670492244,0.981680088303678,0.983016431948845,0.981935396114396,0.982084896714791,0.000546872424448,0.989398478912192,0.989648033126294,0.988995873452545,0.990934449093445,0.989744208646119,0.000725509590551,17,1,1,0.999923459624952,1,0.999980864906238,3.31429546032849E-05,0.048734087022611,0.051491186484506,0.048151702523111,0.061420431141013,0.05244935179281,0.005330837809102,310,0.138065898775978,0.141606046576149,0.14702149766131,0.134374588066232,0.140267007769917,0.004663197652499
9,1.28319013118744,0.037847163798233,0.813129961490631,0.009817090632177,64,4,10,True,500,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 4, 'baggingclassifier__base_estimator__min_samples_split': 10, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 500}",0.895178197064989,0.863731656184486,0.878597293691633,0.886411282637698,0.880979607394702,0.011557143722611,799,0.900768693221523,0.875929102344197,0.884950130233149,0.891747665332571,0.88834889778286,0.009105024425975,0.333333333333333,0.321428571428571,0.317647058823529,0.435294117647059,0.351925770308123,0.048479555616852,35.42,0.68503937007874,0.669291338582677,0.699604743083004,0.770750988142293,0.706171609971679,0.038795443695929,0.904319194266899,0.872554716250242,0.88783417280124,0.893839597055405,0.889636920093447,0.011492206647239,812,0.904306837993155,0.879318137792988,0.887977789256198,0.893724173553719,0.891331734649015,0.009078167901909,0.685908432712616,0.689628814919344,0.661582378011259,0.730911411445632,0.692007759272213,0.024910134172759,10,0.923221736899986,0.897346085032456,0.913544950266227,0.927192389671055,0.915326290467431,0.011506556229775,0.988148148148148,0.987505480052608,0.987502693385046,0.989703989703989,0.988215077822448,0.000898938089346,583,0.994320198793042,0.993869508101007,0.994504302552607,0.995827338129496,0.994630336894038,0.000728653330965,0.066667830966893,0.042924459349727,0.051188066280651,0.084550532195173,0.061332722198111,0.015884806195019,88,0.158657615768814,0.123112868475857,0.139069545403355,0.162579657864407,0.145854921878108,0.015865592421381
