,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.005750358104706,0.000433153392182,0.013500809669495,0.000866169111461,entropy,16,4,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.645130550790928,0.618448637316562,0.62187916904898,0.629502572898799,0.628740232513817,0.010273933273828,46,0.640429451750206,0.628994345975478,0.637507146941109,0.630328441649196,0.634314846578998,0.004790050337369,0.5,0.595238095238095,0.564705882352941,0.517647058823529,0.544397759103642,0.037695890449339,56,0.62992125984252,0.618110236220472,0.632411067193676,0.644268774703557,0.631177834490056,0.009290245999902,0.647491768351734,0.618826263800116,0.622820612165827,0.631344440139481,0.630120771114289,0.011001217285478,48,0.640601795053916,0.629172854652289,0.637590392561983,0.630100723140496,0.634366441352171,0.004859094356455,0.619057995074846,0.625556846794499,0.583654306356405,0.594613350958361,0.605720624796028,0.017187605204847,1,0.685965470658907,0.679931453812672,0.680266808627054,0.697452624293601,0.685904089348058,0.007085614585548,0.987592319054653,0.989470424279963,0.988622386223862,0.987575757575758,0.988315221783559,0.000790290843798,7,0.990614078881678,0.990143278122142,0.990670144462279,0.99086201644837,0.990572379478617,0.000264251007861,0.012925236460539,0.01736885381617,0.015561992357165,0.012655801800305,0.014627971108545,0.001947664676716,5,0.023331031120305,0.020724551066988,0.023016284007175,0.022936327209634,0.022502048351026,0.001036791380126
1,0.006250321865082,0.00043308455573,0.014250874519348,0.000432981350278,entropy,8,4,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 8, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.635029540689918,0.658280922431866,0.586049170954831,0.639412997903564,0.629693157995045,0.026669318272009,44,0.639349469538149,0.66202909599136,0.594180801727971,0.641890604154755,0.634362492853059,0.02480701325791,0.5,0.55952380952381,0.6,0.482352941176471,0.53546918767507,0.046963415250678,72,0.606299212598425,0.578740157480315,0.648221343873518,0.636363636363636,0.617406087578974,0.027052659290027,0.63722641874879,0.659887662211892,0.585819449825649,0.641999225106548,0.63123318897322,0.027546836828919,44,0.639891521921612,0.663395105572415,0.593298037190083,0.641980888429752,0.634641388278465,0.025580662145356,0.601235438975125,0.640612462300434,0.605723955603163,0.574390910955626,0.605490691958587,0.023552583299177,2,0.669191305484051,0.664437508929257,0.662280041363146,0.69717904770849,0.673271975871236,0.014027387363828,0.987394957983193,0.989256678281068,0.988881621975147,0.986896962477665,0.988107555179269,0.000986533420696,18,0.99000999000999,0.989692707831615,0.990407415391248,0.990832087693074,0.990235550231482,0.00042747802892,0.011707250286293,0.019828123754647,0.014106433919389,0.010872770924534,0.014128644721216,0.003498157363586,7,0.02121479777929,0.022242132348355,0.018475732227187,0.023993893176321,0.021481638882788,0.001999778171651
2,0.006250500679016,0.000433118979425,0.013000667095184,1.03238273118071E-07,entropy,150,4,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.617495711835334,0.638078902229846,0.630074328187536,0.572898799313894,0.614636935391652,0.025189697852385,83,0.613811066641255,0.65008576329331,0.647099930118798,0.566164792579887,0.619290388158313,0.033815963773072,0.55952380952381,0.571428571428571,0.494117647058824,0.564705882352941,0.547443977591037,0.031075931060531,46,0.645669291338583,0.598425196850394,0.620553359683794,0.715415019762846,0.645015716908904,0.043947617916639,0.618438892116986,0.639163277164439,0.632313056954669,0.573033707865169,0.615737233525316,0.025760568248274,83,0.61328856460257,0.650933040614709,0.647533574380165,0.563726756198347,0.618870483948948,0.035076946941101,0.632851193934866,0.635068205085637,0.585551655764979,0.566742256763224,0.605053327887177,0.029671819948691,3,0.686945210333889,0.671172265893315,0.68138701797439,0.701357343081371,0.685215459320741,0.010902071989899,0.988544891640867,0.989208633093525,0.986997278500151,0.987646076794658,0.9880992200073,0.000843954154145,19,0.990613266583229,0.989983305509182,0.990518518518518,0.991820970123821,0.990734015183688,0.000671947746199,0.014446484358439,0.018002276007107,0.010776489443075,0.010174925516013,0.013350043831159,0.003144439717676,17,0.020847123681848,0.022126422015675,0.023463542616812,0.019944895149247,0.021595495865895,0.001328158959969
3,0.00650030374527,0.000500023372126,0.013250708580017,0.000432981317457,entropy,,2,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.584143319992377,0.655231560891938,0.625309700781399,0.638650657518582,0.625833809796074,0.026300527491706,54,0.573724668064291,0.664252588780891,0.639794168096055,0.642589416174322,0.63009021027889,0.033891515897764,0.619047619047619,0.55952380952381,0.482352941176471,0.482352941176471,0.535819327731092,0.057459028696425,67,0.692913385826772,0.590551181102362,0.636363636363636,0.660079051383399,0.644976813669042,0.037290510984002,0.583575440635289,0.656788688746853,0.627663696241767,0.641224331654398,0.627313039319577,0.027273789902255,54,0.571769871505133,0.665461354684574,0.63985020661157,0.642303719008264,0.629846287952385,0.034987744649893,0.618556487092222,0.628412560065669,0.586905440207854,0.585780705153042,0.604913798129697,0.018899014369447,4,0.683347069347978,0.683922100781504,0.689182164235782,0.710600760910397,0.691763023818915,0.011111137865349,0.989490968801313,0.989206534422404,0.986601705237515,0.986881335718545,0.988045136044944,0.001311221019329,23,0.991268330907869,0.990009606147935,0.990801839632073,0.991429140920869,0.990877229402187,0.000551366584261,0.015118833973091,0.019383954603201,0.009272248007279,0.010783198876457,0.013639558865007,0.003950270046294,12,0.019334089340278,0.023638800935674,0.023679276409599,0.026061674004547,0.023178460172524,0.002426666418079
4,0.006250321865082,0.000433084588543,0.013750851154327,0.000829150020075,gini,,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.516485610825233,0.618639222412807,0.626262626262626,0.656946826758148,0.604583571564704,0.052845775408887,109,0.522393748808843,0.636554221459882,0.639476526268979,0.658280922431866,0.614176354742393,0.053642630530971,0.607142857142857,0.571428571428571,0.529411764705882,0.482352941176471,0.547584033613445,0.046639956640188,43,0.724409448818898,0.614173228346457,0.616600790513834,0.632411067193676,0.646898633718216,0.045295495087697,0.515010652721286,0.619407321324811,0.627857419604804,0.659821774506005,0.605524292039227,0.05438851577726,109,0.519080519145089,0.636921288822884,0.63985020661157,0.658703512396694,0.613638881744059,0.055229541243684,0.58671130664158,0.618953081910665,0.622372769332452,0.589434099870091,0.604367814438697,0.016368235445225,5,0.680595205834306,0.675613506679974,0.674797190940123,0.704717588320321,0.683930872943681,0.012204680861464,0.987741456166419,0.98886827458256,0.987808594940567,0.987246376811594,0.987916175625285,0.00059102101661,36,0.991367616228882,0.990162617948203,0.990306785250325,0.990966488586693,0.990700877003526,0.000489929032697,0.007896647334585,0.015521002552797,0.013235351517453,0.013037857061347,0.012422714616545,0.002789419838285,42,0.015929554559518,0.021465456795202,0.022003380929769,0.026237884978822,0.021409069315828,0.003663977637558
5,0.006000280380249,2.38418579101562E-07,0.013250768184662,0.00043308455573,gini,32,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.573279969506385,0.717934057556699,0.586620926243568,0.554602630074328,0.608109395845245,0.064419084067176,100,0.5754399339305,0.724541007559875,0.598056032018296,0.556635537767613,0.613668127819071,0.065670853758101,0.464285714285714,0.511904761904762,0.6,0.576470588235294,0.538165266106443,0.053475775537248,66,0.677165354330709,0.507874015748032,0.66798418972332,0.723320158102767,0.644085929476207,0.081389685493743,0.57505326360643,0.721286073987992,0.586400619914762,0.554242541650523,0.609245624789927,0.065706569729353,102,0.573771550332537,0.728094530896881,0.596913739669422,0.55391270661157,0.613173131877602,0.068072715566685,0.561540217481531,0.638237504957435,0.624346468537047,0.592313740684185,0.60410948291505,0.029688126287781,6,0.682789197340518,0.676897285963488,0.681195361243589,0.701728151643093,0.685652499047672,0.009528181051346,0.985069674850697,0.989110225763612,0.988892518784711,0.987573351743183,0.987661442785551,0.001607757855922,69,0.99085637823372,0.989036049469345,0.990995819487619,0.991906578795236,0.99069870649648,0.001041215682053,0.002896074614534,0.025385343505242,0.014169222830593,0.009267715094476,0.012929589011211,0.008227442551488,28,0.018421159175202,0.026479432140331,0.020419006946375,0.019393658752553,0.021178314253615,0.003141070590562
6,0.006500482559204,0.000500082983874,0.013000667095184,1.03238273118071E-07,entropy,100,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.64589289117591,0.598818372403278,0.645511720983419,0.637507146941109,0.631932532875929,0.019409468689963,39,0.642525887808907,0.604790038752303,0.663109078203418,0.644749380598437,0.638793596340766,0.021194845792149,0.535714285714286,0.619047619047619,0.482352941176471,0.435294117647059,0.518102240896358,0.068255679615881,108,0.633858267716535,0.661417322834646,0.620553359683794,0.660079051383399,0.643977000404594,0.017424814116783,0.647685454193298,0.598489250435793,0.64819837272375,0.640836884928322,0.633802490570291,0.020594208741264,41,0.642668044166075,0.603861303028346,0.66380423553719,0.644498966942149,0.63870813741844,0.021756209319521,0.62115741125038,0.630593831567103,0.59653577044921,0.560025753811792,0.602078191769621,0.027277666236982,7,0.692359199918245,0.689831171584601,0.697234936954888,0.720813946485153,0.700059813735722,0.012274348541059,0.988471770617795,0.989750160153748,0.987020648967552,0.98569725864124,0.987734959595083,0.001522037173062,55,0.99074258411308,0.990887899978809,0.990748771321191,0.991458085021851,0.990959335108733,0.000293756938796,0.016055504216591,0.016796718209255,0.011602611468684,0.006649810552862,0.012776161111848,0.004056733923635,30,0.023972875240128,0.02086805485668,0.026002469714805,0.026401276628673,0.024311169110071,0.00219080611187
7,0.006000339984894,1.03238273118071E-07,0.013500690460205,0.000499963760376,gini,100,1,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.642843529635982,0.592147894034687,0.627596721936345,0.581284543548694,0.610968172288927,0.025138952633981,91,0.641128263769773,0.601994790674036,0.640874150308113,0.580395146432882,0.616098087796201,0.026047869368582,0.547619047619048,0.607142857142857,0.552941176470588,0.529411764705882,0.559278711484594,0.02897897108676,28,0.625984251968504,0.653543307086614,0.644268774703557,0.711462450592885,0.65881469608789,0.03197262691122,0.644392794886694,0.591903931822584,0.628826036419992,0.582138705927935,0.611815367264301,0.025631138996539,93,0.641376638470976,0.601149351068638,0.640818698347107,0.578254132231405,0.615399705029532,0.02694342433142,0.605391614325374,0.623174972100016,0.603130341636849,0.57238530437359,0.601020558108957,0.018264399352003,8,0.687487448197599,0.680489071606412,0.692925340133277,0.708724132721393,0.69240649816467,0.010401400180567,0.988707280832095,0.989316931045646,0.9884287454324,0.986863711001642,0.988329167077946,0.000905003456791,6,0.990526525727962,0.990636305596936,0.99101347978033,0.991914940746483,0.991022812962928,0.000545817747523,0.016655756040397,0.015143102980994,0.015319416381599,0.008420247508311,0.013884630727825,0.003208620488308,10,0.023108477695906,0.019913987651083,0.024493060219211,0.021371351881305,0.022221719361876,0.00173162352535
8,0.006000339984894,1.97686242482388E-07,0.013250768184662,0.00043308455573,gini,100,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.654850390699447,0.617876882027825,0.609491137793025,0.629502572898799,0.627930245854774,0.01708974283848,49,0.656946826758148,0.626707324820532,0.620989771933168,0.62778730703259,0.63310780763611,0.014003745293164,0.5,0.630952380952381,0.564705882352941,0.517647058823529,0.553326330532213,0.050675452294893,34,0.590551181102362,0.610236220472441,0.632411067193676,0.660079051383399,0.62331938003797,0.025878833718224,0.657369746271548,0.617664148750726,0.610228593568384,0.631344440139481,0.629151732182535,0.01796603765042,49,0.658035771937754,0.626977464970621,0.620803202479339,0.627259814049587,0.633269063359325,0.014529993365788,0.60708982411481,0.619930734253802,0.59969004261914,0.575277480228821,0.600497020304143,0.016262001065044,9,0.66688368044522,0.66762191708667,0.669991608956979,0.700378643264299,0.676218962438292,0.013995774252107,0.987776484284051,0.990372670807453,0.988390335738939,0.987575757575758,0.98852881210155,0.001106040313964,3,0.989898008742108,0.989907228055867,0.990420271940668,0.991225385164779,0.990362723475855,0.000541048259569,0.014161488904707,0.020086474505446,0.014077709300145,0.012655801800305,0.015245368627651,0.002858338067489,2,0.022490760159845,0.019777942795265,0.020693647029026,0.023834597575045,0.021699236889795,0.00157232759857
9,0.006000399589539,1.19209289550781E-07,0.013250708580017,0.000432981350278,entropy,150,2,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.659615018105584,0.551553268534401,0.629311987802554,0.647417571945874,0.621974461597103,0.042062890656962,64,0.661584397433454,0.576774029604218,0.646464646464646,0.647544628676704,0.633091925544756,0.033057664202568,0.476190476190476,0.630952380952381,0.541176470588235,0.447058823529412,0.523844537815126,0.070603543577606,97,0.625984251968504,0.688976377952756,0.644268774703557,0.660079051383399,0.654827114002054,0.023114628991511,0.662599263993802,0.550261475886113,0.630763270050368,0.650716776443239,0.623585196593381,0.043835239354842,64,0.662168270162071,0.574933815458126,0.646500516528926,0.647339876033058,0.632735619545545,0.033948807691107,0.615100117133818,0.610504689964307,0.614204480707432,0.561592633954008,0.600350480439891,0.022443059847673,10,0.694722370654788,0.685945769095645,0.699555744291641,0.71958655228171,0.699952609080946,0.012340950000305,0.987301587301587,0.989206128133705,0.988163884673748,0.986200822078684,0.987718105546931,0.001105505180944,60,0.990821256038647,0.991205610597796,0.99109175492428,0.991495253164557,0.99115346868132,0.00024171741776,0.012683313515656,0.012571167796082,0.014569297390892,0.008761786268048,0.01214639124267,0.002109190939963,55,0.026324059211942,0.019414915790332,0.025353847840931,0.026846581994477,0.024484851209421,0.00297572926679
