,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,mean_train_Kappa,std_train_Kappa
1431,0.022363980611165363,0.0008058312921776568,0.03347531954447428,0.00035313713117260387,False,32,4,10,20,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 20}",0.72081505589359,0.7120011321822813,0.5733088027172375,0.6687083302643696,0.06755355260808127,491,0.7178035663741863,0.7170452133305031,0.5785749663907168,0.6711412486984688,0.06545497811495336,0.4805194805194805,0.5131578947368421,0.6710526315789473,0.5549100022784234,0.08319915575006444,775,0.5789473684210527,0.5947712418300654,0.6797385620915033,0.6178190574475405,0.04425771144807361,0.7234620886981402,0.7141630901287553,0.5722460658082976,0.6699570815450645,0.06919633800922978,497,0.7193133047210301,0.7183834048640916,0.5774678111587983,0.6717215069146399,0.06664850861628267,0.6470180034557718,0.6197039003087117,0.6395866275129883,0.6354361770924907,0.011530676091823252,453,0.7067057732851443,0.7180914378149924,0.6829936791120835,0.7025969634040735,0.014620189361997405,0.9921522464194624,0.9926426724995029,0.9937888198757764,0.9928612462649139,0.0006857716032189907,214,0.9936758893280633,0.9938644235526967,0.9939670032011819,0.993835772027314,0.00012056119942613183,0.015503889105301316,0.01651916710086443,0.011988411356944506,0.014670489187703417,0.0019412802424783123,128,0.021996737583729664,0.023154092109571756,0.0129027187648042,0.01935118281936854,0.00458416723603303
1432,0.03117958704630534,0.0008808341268745932,0.04080510139465332,0.002136299713678586,False,32,4,10,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 30}",0.7232206028017546,0.6304840079252759,0.5876026040192471,0.6471024049154259,0.05659910916457206,757,0.7195726011887914,0.6346847803014222,0.5890469114837614,0.6477680976579917,0.054084001411587986,0.5194805194805194,0.5394736842105263,0.6710526315789473,0.5766689450899977,0.06723660642543638,449,0.5723684210526315,0.6666666666666666,0.673202614379085,0.6374125673661277,0.04607049222198154,0.7254649499284692,0.6314735336194564,0.5866952789699571,0.6478779208392943,0.05782780954135715,758,0.721173104434907,0.6343347639484979,0.5881258941344778,0.6478779208392943,0.05515404407117821,0.6554595618973301,0.6101874858820873,0.6274056923424441,0.6310175800406205,0.01865787619640671,703,0.7060855263157895,0.7168398833066846,0.6649539024002542,0.6959597706742428,0.0223597398485142,0.9927564604541895,0.9921330636097999,0.9939408628211343,0.9929434622950413,0.0007497829745940745,151,0.9935941657632797,0.9942818701648167,0.9939555125725339,0.9939438495002101,0.0002808752468212612,0.018717905068927898,0.009748722475510396,0.0131254644324319,0.01386403065895673,0.003698708707259713,244,0.021789875765388267,0.017340582978201957,0.01343629575282912,0.017522251498806447,0.0034127532721729623
1433,0.03957033157348633,0.0006079002729794851,0.04857055346171061,0.0011932058913643304,False,32,4,10,40,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 40}",0.7007216640724494,0.5629776393999434,0.6452023775827909,0.6363005603517279,0.056584955867299946,888,0.7006085479762242,0.5745418524021793,0.6464303403382156,0.6405269135722063,0.051635522455805265,0.4805194805194805,0.6052631578947368,0.6447368421052632,0.5768398268398268,0.06998928381184116,442,0.5723684210526315,0.6993464052287581,0.6209150326797386,0.6308766196537094,0.052314924751535,0.7031473533619457,0.5625178826895565,0.6452074391988555,0.6369575584167859,0.057707350225587165,889,0.7020028612303291,0.5731759656652361,0.6467095851216023,0.6406294706723892,0.05276879190722164,0.6186435167121862,0.6271383931932836,0.6753303591597017,0.6403707563550571,0.024962252873771358,222,0.6899725171297342,0.7040281634828467,0.6892549580633398,0.6944185462253069,0.006801337154351648,0.9919273461150353,0.9924280666330136,0.9940489310116817,0.9928014479199102,0.0009054799123385376,264,0.9934203866788136,0.9942920957935227,0.9936256731508957,0.993779385207744,0.0003721019058288129,0.013054977693096714,0.008103619262633588,0.017093057231390874,0.012750551395707058,0.0036762304313377454,505,0.019128670846949802,0.013532805524921199,0.015952437056194202,0.016204637809355067,0.0022914523910236135
1434,0.04807138442993164,0.0009346498100265675,0.057046095530192055,0.0017655710543826163,False,32,4,10,50,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}",0.7280316966180841,0.636003396546844,0.5404755165581658,0.6348368699076979,0.07657393271850414,899,0.7265072176620436,0.6389301634472511,0.5434090426661006,0.636282141258465,0.07477296497997778,0.4675324675324675,0.5526315789473685,0.7105263157894737,0.5768967874231032,0.10067473310771803,441,0.5723684210526315,0.6601307189542484,0.7254901960784313,0.6526631120284371,0.06273432532865206,0.730901287553648,0.6369098712446352,0.5386266094420601,0.6354792560801145,0.07850232674063619,899,0.7281831187410587,0.6386981402002861,0.5414163090128755,0.6360991893180734,0.07626937442721012,0.6319909704029876,0.6071342519388601,0.6502258866049243,0.6297837029822574,0.017661186571091433,775,0.7106762009637829,0.706234863998055,0.6854392830093411,0.7007834493237263,0.01100042267137712,0.9920388349514563,0.9924208649130629,0.9941906522313176,0.9928834506986123,0.0009373966105556114,200,0.9936554416788678,0.9942099988865383,0.994481671265274,0.9941157039435601,0.0003438337627077956,0.015482757071057729,0.01095959235349342,0.011406400769527147,0.012616250064692766,0.0020351177285051945,541,0.02285111140927587,0.017416491735935513,0.012364833643544126,0.017544145596251837,0.004281956482424067
1435,0.0894935131072998,0.0019576370616069417,0.0983291467030843,0.005560628123759252,False,32,4,10,100,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}",0.6647799632092826,0.6684121143504104,0.5908576280781206,0.6413499018792711,0.03573420784706411,830,0.6559581092555902,0.6721149083704805,0.5908158211278568,0.6396296129179758,0.03514114626385569,0.5844155844155844,0.5394736842105263,0.6842105263157895,0.6026999316473001,0.06048650748124704,152,0.6118421052631579,0.6209150326797386,0.673202614379085,0.6353199174406605,0.02704198647132548,0.6656652360515022,0.6698140200286123,0.5898426323319027,0.6417739628040057,0.0367600364125161,834,0.6564377682403434,0.6726752503576537,0.5899141630901288,0.6396757272293753,0.03580571561046041,0.6684763019526968,0.6258706046231458,0.6613545666741962,0.6519004910833462,0.018634126760551564,17,0.7019696841352308,0.7183144454729915,0.6814344955912742,0.7005728750664989,0.015088538310041021,0.9931696905016009,0.9925800296798812,0.9942126838678563,0.9933208013497795,0.0006750386609699208,16,0.993611953226505,0.9938702177129571,0.9939737254429312,0.9938186321274644,0.00015213062066844494,0.01582524171965949,0.01325330632336319,0.014053586223492953,0.014377378088838544,0.001074660814622745,177,0.016323103557752017,0.01881612924596432,0.013584679509583641,0.016241304104433325,0.0021365135070938656
1436,0.17239872614542642,0.0016589084248099153,0.18000483512878418,0.0040672423000012725,False,32,4,10,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.5614829489175039,0.6140673648457402,0.5898669685819417,0.5884724274483952,0.021490133524609246,1358,0.5615624115482593,0.6194014009764381,0.5901790136559825,0.5903809420602267,0.023613100259934492,0.6103896103896104,0.618421052631579,0.618421052631579,0.6157439052175894,0.0037860581813360626,79,0.7236842105263158,0.6862745098039216,0.6405228758169934,0.6834938653824102,0.034007360822897834,0.5609442060085837,0.6140200286123033,0.5895565092989986,0.5881735813066286,0.0216901683355914,1363,0.5597997138769671,0.6186695278969957,0.5896280400572246,0.5893657606103958,0.024034216491901142,0.6365197034724932,0.6328636774339282,0.652859347940667,0.6407475762823628,0.008693403289308583,210,0.7078575596717117,0.7114692324235368,0.6754726640298466,0.6982664853750317,0.016184967586286767,0.9924069855732726,0.9932885906040269,0.9930120481927711,0.9929025414566901,0.0003681491106405533,183,0.994661921708185,0.9944808554674025,0.9933718968426126,0.9941715580060668,0.0005702570929796139,0.008351072695409911,0.012654472399134642,0.010675883553384224,0.010560476215976259,0.0017587498197394308,1075,0.013572483793914625,0.016870332524070553,0.011884640341029096,0.014109152219671425,0.0020704735988678826
1437,0.2569398880004883,0.004125182611501925,0.2647406260172526,0.012723210185397656,False,32,4,10,300,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}",0.6633649356162445,0.6279365977922445,0.5735918482875743,0.6216311272320212,0.03691992254749594,1057,0.6637418624398528,0.6333404089719097,0.5765230312035661,0.6245351008717762,0.03614721029908737,0.5064935064935064,0.6052631578947368,0.6842105263157895,0.5986557302346776,0.07270294977436437,178,0.625,0.673202614379085,0.6797385620915033,0.6593137254901961,0.024409744924070345,0.6650929899856939,0.6281831187410587,0.5723891273247497,0.6218884120171674,0.03810703380059604,1059,0.6641630901287554,0.6329041487839772,0.5753934191702432,0.6241535526943253,0.03676450570376998,0.6184837337197853,0.6320467208794518,0.675896958060387,0.6421424708865414,0.02450187351272417,173,0.7087764004969503,0.7173499490401789,0.6896675456067024,0.7052646317146105,0.011570890341683597,0.9918924685299765,0.9932142049310111,0.9940372670807454,0.9930479801805777,0.0008834640934365761,85,0.9938985228002569,0.9943807597212857,0.9939453849005313,0.9940748891406912,0.00021712764781021363,0.010866913230310637,0.013175988414275697,0.012643808762346165,0.0122289034689775,0.0009872746504561,650,0.01797082202516309,0.017566010371969032,0.01273875760207499,0.01609186333306904,0.0023767564243536146
1438,0.33899378776550293,0.003201735559085547,0.33233149846394855,0.010428667438825461,False,32,4,10,400,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 400}",0.6319513230507995,0.649023492782338,0.6594961788848005,0.6468236649059794,0.011352215723319636,762,0.6274412680441551,0.6578221184461898,0.6627750654496568,0.6493461506466672,0.0156205171142991,0.5844155844155844,0.5263157894736842,0.6052631578947368,0.5719981772613352,0.03340474762144004,521,0.6710526315789473,0.6470588235294118,0.6013071895424836,0.6398062148836142,0.028931608093827676,0.6324749642346209,0.6503576537911302,0.6600858369098712,0.6476394849785407,0.0114347833019118,764,0.626967095851216,0.6579399141630902,0.663447782546495,0.649451597520267,0.016057163822032754,0.6414432491685711,0.6008687222347715,0.6214140501468263,0.6212420071833896,0.016564927971698885,1205,0.6992835159250057,0.7132946693221877,0.6841744041441088,0.6989175297971008,0.011891114901325057,0.9928138333707612,0.9921431689218682,0.9935400516795866,0.992832351324072,0.000570425306620056,238,0.9943278502552467,0.9941634241245136,0.9934661525278492,0.9939858089692032,0.00037353366728893564,0.012542425382120581,0.010598376457367054,0.0163127062608881,0.013151169366791912,0.0023722448166251537,387,0.016737600424148846,0.018732401063482174,0.01653646168690237,0.017335487724844462,0.0009911741705853187
1439,0.42502864201863605,0.008001883713768839,0.42981378237406415,0.027943899946541326,False,32,4,10,500,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 500}",0.6872789019385878,0.6132182281347297,0.5822247381828475,0.6275739560853882,0.04407311746291205,978,0.6857486555335409,0.617561734946579,0.5835986697799477,0.628969686753356,0.042475568826358945,0.4935064935064935,0.5394736842105263,0.6710526315789473,0.5680109364319891,0.0752393463527085,569,0.618421052631579,0.6797385620915033,0.6535947712418301,0.6505847953216374,0.025123086432895163,0.6894134477825465,0.6140200286123033,0.5812589413447783,0.6282308059132093,0.04528288093986714,979,0.686480686695279,0.6168812589413448,0.582832618025751,0.6287315212207917,0.043135847982851826,0.6327731638890437,0.6167457269783901,0.6469731194940139,0.6321640034538158,0.012347796615868553,639,0.7111284447707252,0.7115323477984421,0.6620391408828672,0.6948999778173448,0.023236705696515265,0.9919720049403047,0.9919112549110238,0.9938845401174168,0.9925892666562485,0.0009162323744260809,481,0.9939927498705334,0.9943502824858758,0.9935373734910377,0.9939601352824822,0.00033266904673913075,0.012450603782136804,0.008374249311739801,0.012688842115467058,0.011171231736447887,0.001980155278248222,930,0.020229293046930108,0.016339691654031485,0.012014238363478258,0.016194407688146617,0.003355355066763523
1440,0.013730367024739584,0.0006476059646660288,0.026787360509236652,0.0003259296406700779,False,64,1,2,10,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 10}",0.6761001839535871,0.7587036512878573,0.6345881686951599,0.6897973346455348,0.051587286596686384,257,0.678601754882536,0.7597113139460836,0.6375150357319748,0.6919427015201981,0.05077051798853795,0.4935064935064935,0.42105263157894735,0.5921052631578947,0.5022214627477785,0.0701033223614886,1451,0.6447368421052632,0.5751633986928104,0.6601307189542484,0.6266769865841072,0.03696376752250063,0.6781115879828327,0.7623748211731044,0.6350500715307582,0.6918454935622318,0.052879505101815646,256,0.6789699570815451,0.7617310443490701,0.6372675250357653,0.6926561754887935,0.05172540536771415,0.630029912862531,0.6326472027708756,0.6540753708305098,0.638917495487972,0.010771364515572906,276,0.7275751072961373,0.742870300242176,0.7162531440807128,0.728899517206342,0.010906688979356236,0.9918392969240427,0.9918109063837707,0.9930648769574945,0.9922383600884359,0.0005845506005031819,918,0.994343180389692,0.9939331715512414,0.994197076219172,0.9941578093867017,0.00016967267507585483,0.011291414765862484,0.01591907742408416,0.013055887342473205,0.013422126510806617,0.0019069021589812431,333,0.020983211454120188,0.029152214394190246,0.017268052392873212,0.02246782608039455,0.0049639626012422606
