,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif test train,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.006250441074371,0.000433015741154,0.014250814914703,0.001299138958404,entropy,,1,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.805793786925862,0.789022298456261,0.785020011435106,0.777015437392796,0.789212883552506,0.010503815363564,152,0.817737119623912,0.798043326345213,0.790928149418715,0.790674035957055,0.799345657836224,0.011022629087185,0.476190476190476,0.369047619047619,0.435294117647059,0.529411764705882,0.452485994397759,0.058602473714515,30.59,0.744094488188976,0.740157480314961,0.798418972332016,0.75098814229249,0.758414770782111,0.023419490286498,0.811156304474143,0.795855122990509,0.790778767919411,0.781092599767532,0.794720698787899,0.010870602035145,152,0.818944921547104,0.798992703557823,0.790805785123967,0.791322314049587,0.80001643106962,0.011399116624423,0.677549966335556,0.645809699049095,0.65481687444447,0.706244729584976,0.671105317353524,0.023353230345492,1,0.8753046115894,0.873033974646757,0.871127947073139,0.8708215770261,0.872572027583849,0.001790939426171,0.989603024574669,0.987265737626141,0.988377723970944,0.990176817288802,0.988855825865139,0.001124754004432,9,0.994901160966426,0.994694533762058,0.995853321408245,0.994885948534784,0.995083741167878,0.000451717170024,0.04453948966151,0.024033418337642,0.032432216817252,0.042498834120724,0.035875989734282,0.008231408870064,50,0.089324499371181,0.07814157335533,0.081843354916242,0.075735963036848,0.0812613476699,0.005138482628892
1,0.00650018453598,0.000500023372126,0.013500869274139,0.000500023372126,entropy,100,1,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.765008576329331,0.77854011816276,0.798360968172289,0.746712407089766,0.772155517438536,0.018880674021371,171,0.780318912394384,0.781525951337272,0.799949177307668,0.761260402769837,0.78076361095229,0.013686124409915,0.440476190476191,0.464285714285714,0.423529411764706,0.564705882352941,0.473249299719888,0.054751247288367,31.97,0.803149606299213,0.775590551181102,0.774703557312253,0.818181818181818,0.792906383243597,0.018540173554923,0.770288591903932,0.783652914971916,0.80453312669508,0.749709414955444,0.777046012131593,0.019950845254475,171,0.779944469555111,0.78162329695874,0.800361570247934,0.760330578512397,0.780564978818545,0.014167225001773,0.658527249753281,0.664358577054684,0.651517879526859,0.68799712833603,0.665600208667714,0.013706772062817,2,0.877033137775193,0.865451160714422,0.871308374914252,0.863326931164865,0.869279901142183,0.005346131520676,0.988320079522863,0.989000244439012,0.988338886244645,0.990529818274891,0.989047257120353,0.000898717742814,4,0.995877648610768,0.995313270843611,0.995422789689231,0.996108949416342,0.995680664639988,0.000325464370648,0.027481053730516,0.034070904134173,0.034797077611598,0.038061158683574,0.033602548539965,0.003840512979421,77,0.077726986921849,0.074915203022377,0.083342232984528,0.071186547234837,0.076792742540898,0.004436305278265
2,0.005750358104706,0.000433153392182,0.013750791549683,0.000433050153911,gini,100,4,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 5}",0.778921288355251,0.845626072041166,0.835906232132647,0.833809796073947,0.823565847150753,0.026158238393014,103,0.788259958071279,0.848040149926942,0.838002668191347,0.846578997522394,0.830220443427991,0.024527482470723,0.452380952380952,0.321428571428571,0.376470588235294,0.423529411764706,0.393452380952381,0.04963117653075,17.46,0.625984251968504,0.515748031496063,0.592885375494071,0.537549407114625,0.568041766518316,0.043700558439415,0.784233972496611,0.854154561301569,0.843471522665634,0.84056567222007,0.830606432170971,0.027247093503679,105,0.790921417963453,0.853490023891005,0.842006714876033,0.851627066115703,0.834511305711549,0.025541145581112,0.65042011381349,0.669078516550916,0.651296806983158,0.691155958702737,0.665487849012575,0.016584383213942,3,0.814007582686825,0.820012110741597,0.833450045732205,0.829572888764577,0.824260656981301,0.007678547222187,0.988766788766789,0.987239758226998,0.987973678239165,0.988833181403829,0.988203351659195,0.000651039373594,36,0.992303953337654,0.990780301326737,0.992163724893488,0.991207635079281,0.99161390365929,0.000640003702357,0.032619828232373,0.034594563653016,0.040972472097948,0.048210390465179,0.039099313612129,0.006099117704959,29,0.058838976932612,0.07162542463876,0.078263896326443,0.074272199785006,0.070750124420705,0.00727157768435
3,0.006750285625458,0.000829185959912,0.013250827789307,0.000433050153911,entropy,150,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.790928149418715,0.797979797979798,0.782542405183915,0.781780064798933,0.78830760434534,0.006638239225971,153,0.79874213836478,0.81278190712153,0.790292865764564,0.787243504224636,0.797265103868878,0.009899461824972,0.464285714285714,0.380952380952381,0.435294117647059,0.564705882352941,0.461309523809524,0.066771506714599,26.26,0.716535433070866,0.732283464566929,0.735177865612648,0.711462450592885,0.723864803460832,0.01007964851873,0.796242494673639,0.804764671702498,0.788260364199923,0.785354513754359,0.793655511082605,0.007551822632784,154,0.800090398398657,0.814102150190482,0.791193181818182,0.788481404958678,0.7984667838415,0.00999642289677,0.666090220709628,0.625819706150909,0.640448298653053,0.71514688789115,0.661876278351185,0.033965975121204,4,0.865042639267173,0.876790744993642,0.863132467211642,0.857539204137131,0.865626263902397,0.007010809748763,0.989172281039461,0.987639648205372,0.988341025018217,0.990955756538744,0.989027177700448,0.001238599503225,6,0.994222899783359,0.994635531713474,0.994562129697265,0.994057794057794,0.994369588812973,0.00023797650053,0.037776726836141,0.028147927592057,0.031728585048856,0.048644760013726,0.036574499872695,0.007772170553078,45,0.07536343737227,0.084806785849703,0.073549892591174,0.06918070785415,0.075725205916824,0.005704568640883
4,0.007000327110291,0.00070713982934,0.013750791549683,0.000433050153911,entropy,32,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.770916714312941,0.765961501810558,0.78482942633886,0.757766342672003,0.769868496283591,0.009831771419822,172,0.781208309510196,0.778730703259005,0.794612794612795,0.767105012388031,0.780414204942507,0.009774959527539,0.476190476190476,0.440476190476191,0.458823529411765,0.517647058823529,0.47328431372549,0.028556900072556,26.84,0.716535433070866,0.728346456692913,0.766798418972332,0.754940711462451,0.741655255049641,0.020104798022396,0.775711795467751,0.771257021111757,0.790197597830298,0.761720263463774,0.774721669468395,0.010265537668451,173,0.782268999806289,0.779557047846581,0.795067148760331,0.767303719008264,0.781049228855366,0.009863513126093,0.665502245833449,0.637970034033369,0.656911365863664,0.683486792624838,0.66096760958883,0.016378477684658,5,0.856342556037601,0.860193385460704,0.872783825498971,0.856402279056283,0.86143051151339,0.006737926830482,0.989133119288713,0.988334574336064,0.988848484848485,0.989680342310596,0.988999130195965,0.000486397865369,7,0.9940920653155,0.994317245923241,0.995231552574153,0.994809978235393,0.994612710512072,0.000441659030371,0.03348397567042,0.0277131177597,0.035576711276346,0.035457434547091,0.033057809813389,0.003195716427076,84,0.067501582832178,0.067931945141206,0.079634386060263,0.06622716005609,0.070323768522434,0.005411916273824
5,0.006250500679016,0.000432981317457,0.013500690460205,0.000499963760376,entropy,64,1,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.800457404230989,0.785020011435106,0.803887935963408,0.785210596531351,0.793643987040213,0.00861475731041,148,0.811892510005718,0.800584460961819,0.814624229718569,0.805666730195032,0.808191982720285,0.005461661634956,0.464285714285714,0.440476190476191,0.470588235294118,0.529411764705882,0.476190476190476,0.032715150215121,32.36,0.803149606299213,0.811023622047244,0.802371541501976,0.782608695652174,0.799788366375152,0.010480252665492,0.805926786751888,0.790625605268255,0.809376210771019,0.789422704378148,0.798837826792327,0.008907805602743,148,0.812035901078324,0.800413249822432,0.814824380165289,0.806043388429752,0.808329229873949,0.005563591466141,0.660512529629322,0.641014821578447,0.660078173074732,0.679473300362377,0.660269706161219,0.013598016939047,6,0.891083021624944,0.881071958243871,0.887744789795185,0.878463474463463,0.884590811031866,0.005050320751952,0.989300998573466,0.988617098571083,0.989344068197964,0.990279465370595,0.989385407678277,0.000591285018202,2,0.996039917630287,0.996142719382835,0.996053670086819,0.995613685301858,0.99596249810045,0.0002052170764,0.040918039793037,0.03275889963671,0.043522911088936,0.045177267368721,0.040594279471851,0.004771756990825,22,0.094071938295255,0.088718009295774,0.095272803224351,0.087429716355422,0.0913731167927,0.003357498868087
6,0.005750238895416,0.00043308455573,0.014000833034515,1.03238273118071E-07,gini,100,2,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.818372403278064,0.816657137411854,0.820087669144273,0.828473413379074,0.820897655803316,0.00453891721061,109,0.830188679245283,0.834254494631853,0.825551108569976,0.835715647036402,0.831427482370879,0.003951163017209,0.380952380952381,0.297619047619048,0.364705882352941,0.494117647058824,0.384348739495798,0.070655200814778,19.26,0.574803149606299,0.566929133858268,0.600790513833992,0.565217391304348,0.576935047150727,0.014239470119765,0.825489056749951,0.825101685066822,0.827586206896552,0.833979077876792,0.828039006647529,0.003557371795717,110,0.834377219603539,0.838638858397366,0.829222623966942,0.840134297520661,0.835593249872127,0.004241475246692,0.636298340757957,0.638003467898878,0.656329056225357,0.710343688037012,0.660243638229801,0.029972242952097,7,0.835856489237354,0.837208016477116,0.833502362150067,0.835408338573482,0.835493801609505,0.00132695233325,0.98794622160408,0.986339430423709,0.9875173370319,0.990110395584177,0.987978346160966,0.00136429844069,49,0.991711435149655,0.991601771262788,0.992197156983931,0.991617131534827,0.9917818737328,0.000243412542899,0.034571977167482,0.020652844553614,0.032945509411329,0.057466162151028,0.036409123320863,0.013295026628307,46,0.071071701994025,0.072092944281002,0.072325330603642,0.072390595178472,0.071970143014285,0.000530380680266
7,0.006750285625458,0.000829185959912,0.013750791549683,0.000433050153911,entropy,100,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.787688202782542,0.762149799885649,0.801791499904707,0.781970649895178,0.783400038117019,0.014232445314012,160,0.799186836922686,0.773267263833302,0.80268089702052,0.79061050759164,0.791436376342037,0.011372198479725,0.416666666666667,0.440476190476191,0.411764705882353,0.505882352941176,0.443697478991597,0.037509005789332,27.92,0.716535433070866,0.748031496062992,0.719367588932806,0.707509881422925,0.722861099872397,0.015177511583293,0.793724578733295,0.767383304280457,0.808213870592793,0.786516853932584,0.788959651884782,0.014704892924683,160,0.800542390391942,0.77368115193388,0.804041838842975,0.791967975206612,0.792558339093852,0.011750665579134,0.670216420870111,0.641237329717864,0.648302071700435,0.680040795861157,0.659949154537392,0.015770841256235,8,0.862663325959441,0.86274124246447,0.870129086295038,0.85949252053866,0.863756543814402,0.003905673894258,0.98818422956354,0.988276378149164,0.988157271435339,0.989761092150171,0.988594742824553,0.000674838715871,17,0.994226142742582,0.994687033040013,0.994330884701373,0.994003241491086,0.994311825493764,0.000246834750752,0.030275490539594,0.026795371959783,0.0341668554599,0.040994638258169,0.033058089054362,0.005272159332466,83,0.075578802013334,0.06808622279797,0.077404294431155,0.070154174687152,0.072805873482403,0.00381251940793
8,0.006500482559204,0.000500082983874,0.01350075006485,0.000500023372126,entropy,,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.772822565275396,0.798551553268534,0.793596340766152,0.773584905660377,0.784638841242615,0.011571670398219,158,0.781398894606442,0.80674671240709,0.806111428752938,0.787052919128391,0.795327488723715,0.011282356448859,0.476190476190476,0.464285714285714,0.388235294117647,0.541176470588235,0.467471988795518,0.054306925864744,25.44,0.720472440944882,0.740157480314961,0.699604743083004,0.727272727272727,0.721876847903893,0.014674093222162,0.777648653883401,0.803989928336239,0.800271212708253,0.777411855869818,0.789830412699428,0.012370509179855,158,0.782398140375799,0.807838832569252,0.807851239669422,0.78802944214876,0.796529413690808,0.011489441898731,0.650997712662442,0.66098982688175,0.64856074936755,0.675283177974793,0.658957866721634,0.010513191136918,9,0.860255286501404,0.874820334453738,0.86534723810146,0.86105907825107,0.865370484326918,0.005789077624099,0.989159891598916,0.989275500476644,0.987568730576142,0.990375123395854,0.989094811511889,0.001000625487181,3,0.994174597965212,0.994752325673849,0.993962503972037,0.994378360762588,0.994316947093421,0.000291212700468,0.034006116207951,0.040267689858944,0.028287308160521,0.042925467640922,0.036371645467085,0.005680756669488,47,0.068069677252806,0.082599268372673,0.076451675932998,0.071095568838527,0.074554047599251,0.005530251005026
9,0.006000459194183,0.000707139826828,0.013500809669495,0.000500082969666,entropy,32,4,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.825805222031637,0.827711072994092,0.825614636935392,0.864493996569468,0.835906232132647,0.016525497311475,85,0.831078076361095,0.834445079728098,0.834318022997268,0.868496283590623,0.842084365669271,0.01530851544737,0.416666666666667,0.297619047619048,0.4,0.4,0.378571428571429,0.04723055815447,17.47,0.562992125984252,0.547244094488189,0.600790513833992,0.50197628458498,0.553250754722853,0.035426241211466,0.832461747046291,0.83633546387759,0.832623014335529,0.872142580395196,0.843390701413652,0.016672072833303,85,0.835474914444373,0.839155420675405,0.838132747933884,0.87448347107438,0.846811638532011,0.016032720006086,0.662915156378259,0.623790616382133,0.636700321352873,0.708527246621237,0.657983335183625,0.032408018068323,10,0.83147448024734,0.831883255908308,0.833308919004998,0.826870937183549,0.830884398086049,0.002415164798128,0.988727858293076,0.986520447795293,0.988273166245114,0.988798594333407,0.988080016666722,0.000922715348883,44,0.991494252873563,0.991228739226604,0.992279467971258,0.990782735918069,0.991446298997373,0.000544086005922,0.04311583272278,0.023909975515889,0.040785264590948,0.060163756385358,0.041993707303744,0.012844177068321,14,0.069679548333808,0.068994297088646,0.077312412757451,0.083026816056821,0.074753268559181,0.005785957063163
