,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_extratreesclassifier__bootstrap,param_extratreesclassifier__max_depth,param_extratreesclassifier__min_samples_leaf,param_extratreesclassifier__min_samples_split,param_extratreesclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.133822917938232,0.00053210815375,0.131294965744019,0.000396398654481,True,32,1,2,100,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 100}",0.897547169811321,0.9,0.875471698113208,0.876957916588035,0.887494196128141,0.011324873679455,2158,0.904773885150009,0.896534373231021,0.887854582049185,0.891572327044025,0.89518379186856,0.006335494335859,0.385964912280702,0.385964912280702,0.310344827586207,0.508771929824561,0.397761645493043,0.071139491685856,68,1,1,1,1,1,0,0.903108907114248,0.905588403585733,0.881724532621137,0.88096146508966,0.892845827102694,0.01153933834923,2164,0.903732434666497,0.89540281045336,0.886635300101729,0.890386571719227,0.894039279235203,0.006402688084006,0.700509618505543,0.698142218028382,0.704326132431686,0.743364993942315,0.711585740726981,0.018479932586034,1,0.988358230032488,0.989052858289921,0.988359122628545,0.975818012313989,0.985397055816236,0.00553771971763,0.992662473794549,0.992682416893163,0.991419991419991,0.993973310374516,0.992684548120555,0.000902843233094,25,1,1,1,1,1,0,0.056636553161918,0.05841324027189,0.032309466215483,0.063153362069153,0.052628155429611,0.01197041734024,51,0.168826366027657,0.156274538831668,0.144009861730978,0.149473442780186,0.154646052342623,0.009268464069948
1,0.469104528427124,0.001772124730273,0.544289708137512,0.00438721413544,False,100,1,2,400,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 100, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 400}",0.854150943396226,0.860754716981132,0.846792452830189,0.861294583883752,0.855748174272825,0.005886090011492,2231,0.864268192968111,0.862569972954274,0.866595383357444,0.881509433962264,0.868735745810523,0.007512057703171,0.403508771929825,0.368421052631579,0.344827586206897,0.421052631578947,0.384452510586812,0.029706279762437,91,1,1,1,1,1,0,0.859050162120923,0.866107190539767,0.85234643265929,0.866081648225868,0.860896358386462,0.005712916790914,2232,0.862783747695047,0.861066954918293,0.86514496439471,0.880213631739573,0.867302324686906,0.007593639236579,0.72617792813141,0.696964373550699,0.675457840518886,0.727514608727083,0.70652868773202,0.021698935345916,2,0.999936415082342,1,0.999968209562564,0.999872838250254,0.99994436572379,4.70188619244972E-05,0.992507712648744,0.992134585973345,0.991566799822459,0.992783730592609,0.992248207259289,0.000455893128725,96,1,1,1,1,1,0,0.03689191298575,0.034598371301256,0.027104353660544,0.04219702519678,0.035197915786082,0.005424996786281,337,0.119753773547584,0.118241434164676,0.121265114478496,0.137172209776526,0.124108132991821,0.007617930457181
2,0.236470997333527,0.00227983324391,0.271384418010712,0.000797333690252,False,150,1,2,200,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 200}",0.850754716981132,0.878301886792453,0.864150943396226,0.860728439328175,0.863483996624497,0.00986968012752,2214,0.864205295930562,0.88326309830807,0.873702748600541,0.875220125786163,0.874097817156334,0.006769047396368,0.350877192982456,0.403508771929825,0.327586206896552,0.491228070175439,0.393300060496068,0.062873132401442,76,1,1,1,1,1,0,0.856189204653824,0.883463665840168,0.87008775276612,0.864746280045784,0.868621725826474,0.009899735868513,2215,0.862720162777389,0.881986392827621,0.872329603255341,0.873855544252289,0.87272292577816,0.006842963843265,0.711237372469893,0.670216930845137,0.685455011906485,0.756399057544663,0.705827093191544,0.032672236144108,3,0.999936415082342,1,0.999968209562564,0.999841047812818,0.999936418114431,5.94744625571416E-05,0.991825011047282,0.99271324474925,0.991521739130435,0.993643138974134,0.992425783475275,0.000828071869211,64,1,1,1,1,1,0,0.028675200367743,0.047777953573569,0.030537066205986,0.051590100179755,0.039645080081763,0.010150385634012,253,0.119697180028186,0.139194883759029,0.128142246567154,0.130341194197335,0.129343876137926,0.006937932940035
3,0.067397236824036,0.000500362855567,0.079391360282898,0.000571605609771,False,150,1,2,50,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.82811320754717,0.856037735849057,0.870566037735849,0.85016040762408,0.851219347189039,0.015268647177671,2242,0.837788540159758,0.860745958865337,0.882508333857475,0.868616352201258,0.862414796270957,0.016213012189583,0.473684210526316,0.473684210526316,0.362068965517241,0.403508771929825,0.428236539624924,0.047750895120408,33,1,1,1,1,1,0,0.831966431432386,0.860194545107763,0.876192293017932,0.855017169019458,0.855842609644385,0.015841418764724,2242,0.836014497361226,0.859222992306225,0.881230925737538,0.867179552390641,0.860911991948907,0.016392676266661,0.691650688804789,0.710810738461641,0.70088739491376,0.719438810685623,0.705696908216453,0.010433346074225,4,0.99974566032937,1,0.999213604968678,0.999713886063072,0.99966828784028,0.000284971564645,0.993169398907104,0.993392070484581,0.992008639308855,0.992471213463242,0.992760330540946,0.000551148953913,18,1,1,1,1,1,0,0.036457481039667,0.047027661389527,0.038321148576447,0.03541852652217,0.039306204381953,0.004577676732855,262,0.099346944224688,0.116652577597079,0.137636336373761,0.12377203146782,0.119351972415837,0.013796220249448
4,0.360178768634796,0.001619607612404,0.332539200782776,0.001505887658014,True,16,1,2,300,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.930943396226415,0.929811320754717,0.936415094339623,0.930175504812229,0.931836329033246,0.002674949361653,1972,0.936096609849676,0.925404113466256,0.949493678847726,0.942578616352201,0.938393254628965,0.008870302080226,0.263157894736842,0.298245614035088,0.206896551724138,0.280701754385965,0.262250453720508,0.034281846426867,243,0.790697674418605,0.837209302325581,0.754385964912281,0.808139534883721,0.797608119135047,0.029979465011893,0.938203318710662,0.936677474728209,0.944486837085082,0.937237695536055,0.939151331515002,0.003128430837778,1976,0.937686780695619,0.926368665352578,0.95161495422177,0.944048830111902,0.939929807595467,0.0092526313389,0.689796922212072,0.693825685709601,0.697019431909379,0.733087009779313,0.703432262402591,0.017311392598383,5,0.958148555069714,0.964601130332815,0.963382621524989,0.96906254435875,0.963798712821567,0.003887454530349,0.991533964926426,0.991920824075944,0.990794476686012,0.991723859507469,0.991493281298962,0.000426011203201,196,0.997564770344314,0.99808179762965,0.997201678992604,0.997782407096297,0.997657663515717,0.000320936806127,0.058419904531409,0.066483460810393,0.049012007547845,0.062288963243973,0.059051084033405,0.006459596167409,16,0.196109407341731,0.179709454437284,0.229259645606295,0.218959663116465,0.206009542625444,0.019351874758618
5,0.073608696460724,0.000792584589651,0.073046445846558,0.00188154150495,True,32,1,2,50,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.864528301886792,0.895471698113207,0.884716981132075,0.872617474995282,0.879333614031839,0.011765651176453,2180,0.875715453802126,0.892760550978049,0.891628404302157,0.893081761006289,0.888296542522155,0.007283728161757,0.333333333333333,0.403508771929825,0.379310344827586,0.456140350877193,0.393073200241984,0.044284970738155,81,1,1,1,1,1,0,0.870303261491512,0.900820141140568,0.890309042350248,0.877146127432278,0.884644643103652,0.011785956891424,2182,0.874356202708717,0.891587715393909,0.8904501525941,0.891912512716175,0.887076645853225,0.007364196803461,0.673355618686235,0.685147448059401,0.702982541541133,0.749926370676787,0.702852994740889,0.029152620301509,6,0.982681982252414,0.987859347204704,0.983992678160304,0.97843259096501,0.983241649645608,0.003366283097186,0.991740925885677,0.992852638217364,0.992345311503295,0.993303089220134,0.992560491206618,0.00058197751365,45,1,1,1,1,1,0,0.030993243384328,0.05833620367288,0.048188139136242,0.052745860492856,0.047565861671576,0.010220953487217,113,0.130864922695163,0.151060510633386,0.14882415429904,0.151484421969716,0.145558502399326,0.008543336353777
6,0.044999480247498,0.000293470391676,0.053239583969116,0.000447775513259,False,150,1,2,30,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 30}",0.84377358490566,0.855283018867925,0.854339622641509,0.834685789771655,0.847020504046687,0.008433953822664,2249,0.855148122523429,0.858733253663752,0.852883829171646,0.845786163522013,0.85313784222021,0.00472920602296,0.473684210526316,0.403508771929825,0.413793103448276,0.508771929824561,0.449939503932244,0.043264999046116,20,1,1,1,1,1,0,0.847797062750334,0.860194545107763,0.859214040442579,0.838229683326974,0.851358832906913,0.009011587968629,2250,0.853563934634705,0.857188274941184,0.851284333672431,0.844099694811801,0.85153405951503,0.004780760572961,0.699581062134643,0.693409090148603,0.706340696496468,0.711803115189729,0.70278349099236,0.006930769679992,7,0.999300565905767,0.999586698035226,0.998950915564598,0.99920523906409,0.99926085464242,0.00022743472997,0.993296089385475,0.992517605633803,0.992507712648744,0.99366802351877,0.992997357796698,0.000502231913963,8,1,1,1,1,1,0,0.041949110914628,0.037325740116077,0.038990907570636,0.042761741517518,0.040256875029715,0.002198422383284,240,0.111993492242778,0.114940588081013,0.109633443539688,0.104857667345429,0.110356297802227,0.003689633389025
7,0.345757663249969,0.002145188812443,0.404263198375702,0.002477585932402,False,32,1,2,300,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.846792452830189,0.879811320754717,0.874905660377359,0.867144744291376,0.86716354456341,0.01259849526447,2207,0.855965784011573,0.876092836027423,0.884646833134159,0.885786163522013,0.875622904173792,0.011951426101934,0.421052631578947,0.368421052631579,0.379310344827586,0.456140350877193,0.406231094978826,0.034874553267832,62,1,1,1,1,1,0,0.851420942208659,0.885370970818234,0.880389164441053,0.871613887829073,0.872198741324255,0.012967745085144,2208,0.854390538564252,0.874737712214663,0.883392675483215,0.884537131230926,0.874264514373264,0.012083550937202,0.716462384265068,0.668189164500035,0.703268691865437,0.72273037611197,0.702662654185628,0.02110648470465,8,0.99991977949342,0.999782443464875,0.999893288239249,0.999840308500319,0.999858954924466,5.26310204979339E-05,0.992661774516344,0.992304403591278,0.992259729090518,0.993260869565217,0.99262169419084,0.000400575726338,35,1,1,1,1,1,0,0.036462449663693,0.042999133735776,0.043007601688102,0.049883887307271,0.043088268098711,0.004745955182206,193,0.112654425169551,0.131260935503571,0.140126097764251,0.142177950125442,0.131554852140704,0.011657926370221
8,0.378929793834686,0.002290111200055,0.368552565574646,0.003326788320894,True,64,1,2,300,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.846792452830189,0.911320754716981,0.889622641509434,0.910549160218909,0.889571252318878,0.02618750561322,2152,0.866972765582741,0.911818353355557,0.901691930310082,0.926540880503145,0.901755982437881,0.021939796934208,0.43859649122807,0.368421052631579,0.293103448275862,0.350877192982456,0.362749546279492,0.05190485714814,119,1,1,1,0.994186046511628,0.998546511627907,0.002517515708676,0.851230211710853,0.917222963951936,0.896222815719191,0.916634872186188,0.895327715892042,0.02682716848485,2154,0.86551789915432,0.910853945444141,0.900623092573754,0.925801119023398,0.900699014048903,0.022197718999307,0.704074940354893,0.674771039748905,0.672652251707035,0.756467666686747,0.701991474624395,0.033814709843757,9,0.981935229149692,0.992983478272442,0.99020575663472,0.992150164718825,0.98931865719392,0.0043803625279,0.992880978865406,0.992569659442724,0.991348385735387,0.992358529533251,0.992289388394192,0.000574194576617,89,1,1,1,0.99993132811427,0.999982832028567,2.97357987839852E-05,0.038694790733622,0.064142493791632,0.035801449423191,0.059837819304474,0.04961913831323,0.012506190385713,84,0.122230771726674,0.181047988555304,0.163141964656363,0.211371416749134,0.169448035421869,0.032254322710182
9,0.045631170272827,0.000512177687095,0.053306341171265,0.000240083424989,False,64,1,2,30,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 30}",0.847169811320755,0.851132075471698,0.844528301886792,0.834874504623514,0.84442617332569,0.00599461171134,2252,0.854204666960186,0.856531857349519,0.850242153594566,0.848364779874214,0.852335864444621,0.003211382766391,0.368421052631579,0.456140350877193,0.396551724137931,0.526315789473684,0.436857229280097,0.060586130404306,29,1,1,1,1,1,0,0.852374594697692,0.855426282662598,0.849484929416253,0.838229683326974,0.848878872525879,0.006497330000649,2252,0.852610160869842,0.85496280282317,0.848613936927772,0.846706510681587,0.850723352825593,0.003244905126411,0.672703119614791,0.711662333403603,0.67441520083148,0.748887193183263,0.701916961758284,0.031268875641289,10,0.999618490494055,0.999395943282254,0.999237029501526,0.99920523906409,0.999364175585481,0.000163640004108,0.992008879023308,0.993135518157662,0.992201426024955,0.99389278443791,0.992809651910959,0.000756726639494,14,1,1,1,1,1,0,0.029823931009702,0.042634441441747,0.033122505982101,0.044875725954187,0.037614151096934,0.006300718002713,292,0.111238887375756,0.113115823433508,0.107606158227522,0.106744653526004,0.109676380640697,0.002605380909635
