,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.019032796223958332,0.010160102971692567,0.024317105611165363,0.001131747427336984,gini,1,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.723645111079666,0.8763090857628079,0.8947070478347013,0.831553748225725,0.07667171025499817,13,0.7272855929804699,0.8742659024977004,0.8986060992004529,0.8333858648928744,0.07567942066725404,0.4155844155844156,0.2236842105263158,0.17105263157894737,0.2701070858965596,0.10508809277761566,174,0.42105263157894735,0.26143790849673204,0.24183006535947713,0.3081068684783855,0.08026487787278641,0.7270386266094421,0.8834048640915594,0.9025751072961373,0.8376728659990462,0.0786207171599524,12,0.7306151645207439,0.8809728183118741,0.905793991416309,0.8391273247496424,0.07739590577770324,0.5713115210969288,0.5535445373089376,0.5368138694375424,0.553889975947803,0.014085725360401999,172,0.5758338980498456,0.5712053634043031,0.5738120283878931,0.5736170966140139,0.0018946120163237932,0.9912229373902867,0.9905357715752326,0.9901129943502824,0.9906239011052672,0.00045739734626948044,175,0.9914579693263444,0.990908359481857,0.9909226074027702,0.9910963120703239,0.0002557964411230726,0.011001349372166902,0.018090571787993226,0.014662255319818907,0.014584725493326345,0.0028946821092894447,138,0.011696319009944278,0.023683194357607684,0.030239167037403147,0.02187289346831837,0.007677551485757252
1,0.012389421463012695,0.0004080290482496236,0.023925383885701496,0.0009788338056281839,gini,1,1,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.9139663223432857,0.6828474384375884,0.8947070478347013,0.8305069362051918,0.104706654912299,15,0.9076563826776111,0.6696384348687469,0.8986060992004529,0.8253003055822702,0.11013155891411414,0.2077922077922078,0.4473684210526316,0.17105263157894737,0.27540442014126226,0.1225184675118179,172,0.20394736842105263,0.5032679738562091,0.24183006535947713,0.3163484692122463,0.13307379054266713,0.9217453505007153,0.6854077253218884,0.9025751072961373,0.8365760610395804,0.10717827469182137,15,0.915307582260372,0.6714592274678112,0.905793991416309,0.8308536003814974,0.112775741156502,0.5647687791464615,0.5663880731872599,0.5368138694375424,0.5559902405904212,0.013575847088177478,168,0.5596274753407123,0.5873636006620102,0.5738120283878931,0.573601034796872,0.011324208601672034,0.9906211562115621,0.9913097454996896,0.9901129943502824,0.990681298687178,0.0004904189817097066,173,0.9906324998064566,0.9919687202789813,0.9909226074027702,0.9911746091627359,0.0005738756851839052,0.031432913647739036,0.008830257527896013,0.014662255319818907,0.01830847549848465,0.009580925742030403,110,0.026746622686352528,0.011200543695287335,0.030239167037403147,0.02272877780634767,0.00827544974812347
2,0.01199960708618164,0.00028194889646233207,0.02493119239807129,0.0007228503223046681,gini,1,1,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.6913824819583982,0.8763090857628079,0.6753467308236626,0.7476794328482895,0.09119019331520203,75,0.6870931219926408,0.8742659024977004,0.6921389655416401,0.7511659966773271,0.08706914969922404,0.45454545454545453,0.2236842105263158,0.5131578947368421,0.39712918660287083,0.12495659067837601,161,0.48026315789473684,0.26143790849673204,0.45751633986928103,0.39973913542024997,0.09823365498980344,0.6939914163090128,0.8834048640915594,0.6771101573676681,0.7515021459227468,0.09352357820750191,74,0.6893419170243205,0.8809728183118741,0.6947067238912732,0.7550071530758226,0.08909809912656452,0.5742684354272337,0.5535445373089376,0.5951340260522551,0.5743156662628087,0.016978870526755785,161,0.5848025374595287,0.5712053634043031,0.5761115318802772,0.5773731442480363,0.005622249543666512,0.9914163090128756,0.9905357715752326,0.9922431865828092,0.9913984223903057,0.0006971639933686643,161,0.9918690819267189,0.990908359481857,0.9915262889229198,0.9914345767771652,0.0003975384612625893,0.010267372014717058,0.018090571787993226,0.012317902746600495,0.013558615516436926,0.0033121131025448053,148,0.01140293238148804,0.023683194357607684,0.01047878008894676,0.015188302276014162,0.006018632622857819
3,0.012779633204142252,0.0006334785485273455,0.02419590950012207,0.0008804408070036315,gini,1,2,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.2613555964341305,0.6511463345598641,0.8947070478347013,0.6024029929428987,0.26085174622352514,170,0.25672233229549957,0.6392131889903063,0.8986060992004529,0.5981805401620862,0.26364932676621566,0.8311688311688312,0.47368421052631576,0.17105263157894737,0.49196855775803144,0.26980126915381664,133,0.8618421052631579,0.5294117647058824,0.24183006535947713,0.5443613117761724,0.2533394943872563,0.25507868383404864,0.6530758226037195,0.9025751072961373,0.6035765379113018,0.2666465063060642,170,0.25014306151645205,0.640414878397711,0.905793991416309,0.5987839771101574,0.2692822366045798,0.5431237575014399,0.5633800165650177,0.5368138694375424,0.5477725478346667,0.011332798476733881,176,0.555992583389805,0.5849133215517968,0.5738120283878931,0.5715726444431649,0.011912553722790428,0.9927616926503341,0.991313789359392,0.9901129943502824,0.9913961587866695,0.001082894027775157,162,0.9940306992609437,0.99202216066482,0.9909226074027702,0.9923251557761779,0.0012868341716116701,0.0025104250427945285,0.007673037886051781,0.014662255319818907,0.008281906082888405,0.00497961077001278,177,0.0031958966859017,0.009980647930610376,0.030239167037403147,0.014471903884638407,0.011488056199361826
4,0.012287298838297525,0.0004335601636335057,0.024410247802734375,0.0004556988466733879,gini,1,2,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.6920899957549173,0.8763090857628079,0.8947070478347013,0.8210353764508088,0.09148699235121174,20,0.6873761675629776,0.8742659024977004,0.8986060992004529,0.8200827230870437,0.09436236433090857,0.45454545454545453,0.2236842105263158,0.17105263157894737,0.28309409888357256,0.12312377591769492,171,0.48026315789473684,0.26143790849673204,0.24183006535947713,0.3278437105836487,0.10807368726039651,0.6947067238912732,0.8834048640915594,0.9025751072961373,0.82689556509299,0.0937986917457459,20,0.6896280400572246,0.8809728183118741,0.905793991416309,0.8254649499284693,0.09658423688192798,0.5746260892183639,0.5535445373089376,0.5368138694375424,0.5549948319882813,0.015470800608048412,170,0.5849455989759808,0.5712053634043031,0.5738120283878931,0.576654330256059,0.005958608804278258,0.9914250714577378,0.9905357715752326,0.9901129943502824,0.990691279127751,0.0005468232701368957,170,0.9918724279835391,0.990908359481857,0.9909226074027702,0.9912344649560554,0.0004511454821819174,0.01033976606169884,0.018090571787993226,0.014662255319818907,0.014364197723170324,0.0031712643219888818,140,0.01143217242056338,0.023683194357607684,0.030239167037403147,0.021784844605191405,0.007794380901920485
5,0.01240992546081543,0.00035887136439683,0.024274587631225586,0.0004733523745618742,gini,1,2,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.9547191170227819,0.6838380979337674,0.6293518256439287,0.7559696802001593,0.1422865476072676,67,0.9566940277384659,0.6704875114979126,0.6487653010684215,0.7586489467682666,0.14031952626976132,0.07792207792207792,0.4473684210526316,0.5263157894736842,0.35053542948279787,0.19544257695809084,167,0.1118421052631579,0.5032679738562091,0.5098039215686274,0.3749713335626648,0.18607959361922768,0.9643776824034335,0.686409155937053,0.6304721030042918,0.7604196471149262,0.14601689078496283,66,0.9658798283261802,0.6723175965665236,0.6502861230329041,0.762827849308536,0.1438608728222098,0.5211498801627557,0.5668887884948423,0.5783939462389881,0.555477538298862,0.024723581840171153,169,0.538860966794669,0.5877927852113664,0.5800450223007658,0.5688995914356004,0.0214747322104964,0.9895772166764533,0.9913223140495868,0.9918973666441594,0.9909322991233998,0.0009865284926272777,168,0.9901011878574572,0.9919788918205805,0.9918175867335807,0.9912992221372061,0.000849693840691346,0.01973754363941671,0.008923891765101999,0.008921384556210499,0.012527606653576403,0.00509819543736573,161,0.03678677675347286,0.011283622595456566,0.009667359852248425,0.019245919733725952,0.012420797748243978
6,0.012106895446777344,0.00021276049735824792,0.0249630610148112,0.00039811678209893727,gini,1,4,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.9139663223432857,0.6805830738748938,0.7504953297480894,0.7816815753220897,0.09779697200890618,48,0.9076563826776111,0.6678695252246515,0.7602066086464303,0.778577505516231,0.0987507017380708,0.2077922077922078,0.4473684210526316,0.3684210526315789,0.34119389382547277,0.09968342932350294,168,0.20394736842105263,0.5032679738562091,0.39215686274509803,0.36645740167411994,0.12354095929156775,0.9217453505007153,0.6831187410586552,0.7546494992846924,0.7865045302813543,0.09998907251395718,47,0.915307582260372,0.6696709585121602,0.7642346208869814,0.7830710538865046,0.10116140943302536,0.5647687791464615,0.5652435810556433,0.5615352759581357,0.5638492120534134,0.0016476416283105677,164,0.5596274753407123,0.5864694661841847,0.5781957418160397,0.5747642277803123,0.011223623435810433,0.9906211562115621,0.991280880215902,0.990982528649258,0.9909615216922406,0.00026974050450746036,167,0.9906324998064566,0.991947446492901,0.9913705112740094,0.9913168191911224,0.0005381656045440113,0.031432913647739036,0.008618352092007786,0.010387573424399,0.016812946388048606,0.010363079273284302,120,0.026746622686352528,0.011028782688115357,0.013775630942959971,0.017183678772475952,0.006854376512309368
7,0.012655814488728842,0.0006190551860986595,0.02327760060628255,0.0006595753168644522,gini,1,4,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 5}",0.8766095938870808,0.9074440984998585,0.8947070478347013,0.8929202467405469,0.012651381012664348,5,0.8741154825926974,0.9109177103233567,0.8986060992004529,0.8945464307055023,0.015296223340016454,0.2727272727272727,0.2236842105263158,0.17105263157894737,0.22248803827751196,0.04151711521928267,176,0.23684210526315788,0.19607843137254902,0.24183006535947713,0.224916867331728,0.020493274960489995,0.8832618025751073,0.9148783977110158,0.9025751072961373,0.9002384358607535,0.013012744958813549,5,0.8810443490701001,0.9187410586552217,0.905793991416309,0.901859799713877,0.015639029736524878,0.57799453765119,0.5692813041186657,0.5368138694375424,0.5613632370691327,0.017719738485303282,165,0.558943227166629,0.5574097450138853,0.5738120283878931,0.5633883335228025,0.00739720455571264,0.9910112359550561,0.9908583823985125,0.9901129943502824,0.9906608709012836,0.0003924008059707902,174,0.9906699911525778,0.9905143826636847,0.9909226074027702,0.990702327073011,0.00016821824754968502,0.02652558946280925,0.030874191340294788,0.014662255319818907,0.02402067870764098,0.0068514062206975245,57,0.019538694499099063,0.026863216435704773,0.030239167037403147,0.02554702599073566,0.0044664897553015805
8,0.012575467427571615,0.000618308583307979,0.023563067118326824,0.0008206718286354347,gini,1,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 1, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.9139663223432857,0.8763090857628079,0.8947070478347013,0.894994151980265,0.01537484283523616,4,0.9076563826776111,0.8742659024977004,0.8986060992004529,0.8935094614585881,0.01409994867284042,0.2077922077922078,0.2236842105263158,0.17105263157894737,0.2008430166324903,0.022041464242861155,178,0.20394736842105263,0.26143790849673204,0.24183006535947713,0.23573844742575392,0.02386240287336502,0.9217453505007153,0.8834048640915594,0.9025751072961373,0.9025751072961373,0.015652438032090862,4,0.915307582260372,0.8809728183118741,0.905793991416309,0.900691463996185,0.014474019101010037,0.5647687791464615,0.5535445373089376,0.5368138694375424,0.5517090619643138,0.011486106724038289,173,0.5596274753407123,0.5712053634043031,0.5738120283878931,0.5682149557109696,0.0061648081838952574,0.9906211562115621,0.9905357715752326,0.9901129943502824,0.9904233073790257,0.00022217600513429998,178,0.9906324998064566,0.990908359481857,0.9909226074027702,0.9908211555636947,0.00013352651888135113,0.031432913647739036,0.018090571787993226,0.014662255319818907,0.021395246918517057,0.007234381036720245,80,0.026746622686352528,0.023683194357607684,0.030239167037403147,0.026889661360454453,0.0026783750660021154
9,0.012464046478271484,0.00010666258538067663,0.0251772403717041,0.0002657072111046059,gini,2,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 2, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.6690250459883967,0.678601754882536,0.6374186243985281,0.6616818084231536,0.017596494207093322,151,0.659000849136711,0.6732470105427015,0.6565485035024411,0.6629321210606179,0.007362119647138804,0.5454545454545454,0.5263157894736842,0.5921052631578947,0.5546251993620414,0.02763016928081405,51,0.6052631578947368,0.5882352941176471,0.5947712418300654,0.5960898979474831,0.007013851850435383,0.6703862660944206,0.6802575107296137,0.6379113018597997,0.6628516928946113,0.018090102199618104,151,0.659585121602289,0.6741773962804005,0.6572246065808297,0.6636623748211731,0.007497433561232537,0.6132889285249801,0.6053328062645886,0.6036057149311046,0.6074091499068911,0.004216994076894987,141,0.6476961919283186,0.639041067070605,0.6455737421339542,0.6441036670442927,0.0036831722878143667,0.9925863164583775,0.9924859110832811,0.9930957683741648,0.9927226653052745,0.00026698905701495724,120,0.9935351793987717,0.9933600337268128,0.9932972972972973,0.9933975034742938,0.00010066432679186121,0.0138613059244459,0.013492872347763307,0.013319976367326958,0.013558051546512054,0.00022575158665340367,149,0.016259158257074247,0.016909035992897836,0.015470929148693302,0.01621304113288846,0.0005880095893177006
