,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvc__C,param_linearsvc__dual,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
4,0.077129662036896,0.010823078810473,0.034794211387634,0.000226014305425,90,False,"{'linearsvc__C': 90, 'linearsvc__dual': False}",0.643396226415094,0.645660377358491,0.626981132075472,0.627288167578788,0.635831475856961,0.008734263808702,26,0.650669853449903,0.643122208943959,0.639411283728536,0.61811320754717,0.637829138417392,0.012084304613944,0.56140350877193,0.578947368421053,0.5,0.56140350877193,0.550438596491228,0.0299885840596,2,0.61046511627907,0.593023255813954,0.619883040935672,0.622093023255814,0.611366109071127,0.011455095699475,0.644287621590692,0.646385657066565,0.628386112170927,0.628004578405189,0.636765992308343,0.008603743688382,28,0.651109556813124,0.643670121447193,0.639623601220753,0.618069684638861,0.638118241029982,0.012286256392981,0.644481698237583,0.594905153404205,0.613678972226973,0.608179883130183,0.615311426749736,0.018171712582292,5,0.667405225201512,0.679675265910647,0.668467752970082,0.680097633608555,0.673911469422699,0.005988640078746,0.992653540993241,0.99296806328743,0.991272946133012,0.992463069038288,0.992339404862993,0.00064158397228,3,0.993499563403512,0.993132541940548,0.99358024691358,0.993357858164725,0.993392552605591,0.000169918888213,0.012124526945026,0.013350605199284,0.007395486695551,0.010699600225472,0.010892554766333,0.002226347003868,5,0.015773189712659,0.01399619186307,0.015083281730424,0.013280135281214,0.014533199646842,0.000961601961084
5,0.08656370639801,0.029595998662035,0.034815907478333,0.000287192250335,75,False,"{'linearsvc__C': 75, 'linearsvc__dual': False}",0.644339622641509,0.65188679245283,0.622641509433962,0.626533308171353,0.636350308174914,0.012139976743737,25,0.658406189068495,0.638216240015095,0.641109503742374,0.619622641509434,0.639338643583849,0.013753979097697,0.491228070175439,0.578947368421053,0.517241379310345,0.508771929824561,0.524047186932849,0.033055925525135,27,0.593023255813954,0.593023255813954,0.590643274853801,0.627906976744186,0.601149190806474,0.015479139327643,0.646004196070952,0.652679763494183,0.623807706982068,0.62781381152232,0.637576369517381,0.012083298149241,24,0.659121256437973,0.638710497869905,0.641658189216684,0.619532044760936,0.639755497071374,0.014042194628409,0.641553817788798,0.613710511258119,0.621161638753305,0.584240312723817,0.61516657013101,0.020559554903966,6,0.670471349079719,0.678369926699898,0.677951714229623,0.686486772220776,0.678319940557504,0.005666471936848,0.991510538641686,0.993035403366222,0.991510006064281,0.991563724013257,0.991904918021362,0.000653050728326,27,0.993292449214258,0.993079584775086,0.993111592206259,0.99347471451876,0.993239585178591,0.000158163477898,0.008143341232049,0.01396034907528,0.008026376765807,0.007723254250926,0.009463330331015,0.002600877213592,29,0.015552379717924,0.013523579180648,0.013586542926451,0.013730514851641,0.014098254169166,0.000842883897039
6,0.085734784603119,0.013507983125404,0.034840703010559,0.000181733965677,35,False,"{'linearsvc__C': 35, 'linearsvc__dual': False}",0.64,0.66433962264151,0.625094339622642,0.652953387431591,0.645596837423935,0.014638031211277,5,0.646707340084282,0.656267689791811,0.64161268004277,0.650314465408805,0.648725543831917,0.005340285926516,0.543859649122807,0.614035087719298,0.517241379310345,0.456140350877193,0.532819116757411,0.056657361249613,16,0.593023255813954,0.575581395348837,0.567251461988304,0.622093023255814,0.589487284101727,0.020996683361912,0.64104520312798,0.664886515353805,0.626287676459367,0.655093475772606,0.646828217678439,0.014575439077079,5,0.647294461753672,0.65715012399059,0.642421159715158,0.650623092573754,0.649372209508293,0.00535478270091,0.631783062462565,0.609594747884397,0.628601547185202,0.589002791220707,0.614745537188218,0.017113487962063,7,0.667271401130629,0.685460754057975,0.678742199258744,0.688663677872673,0.680034508080005,0.008192583197851,0.992323590197815,0.993728620296465,0.99154334038055,0.991053391053391,0.992162235482055,0.001011454873531,10,0.993170731707317,0.992986164488855,0.992729416388288,0.993688094775684,0.993143601840036,0.000351263681106,0.010810807638289,0.017374136722842,0.008219335988855,0.006775022313482,0.010794825665867,0.004064466615563,7,0.014349567241029,0.014284049374584,0.012296336583016,0.0164165555327,0.014336627182832,0.001457036336481
7,6.3308590054512,0.234005840162283,0.03462028503418,0.000233555611613,95,True,"{'linearsvc__C': 95, 'linearsvc__dual': True}",0.652641509433962,0.647358490566038,0.632452830188679,0.63200603887526,0.641114717265985,0.009080858335971,14,0.665702245424241,0.64161268004277,0.642430341530914,0.621572327044025,0.642829398510487,0.015625858884977,0.491228070175439,0.578947368421053,0.551724137931034,0.508771929824561,0.532667876588022,0.034616492774151,19,0.581395348837209,0.604651162790698,0.64327485380117,0.604651162790698,0.608493132054944,0.022212493548688,0.654396337974442,0.648102231546824,0.633346051125525,0.633346051125525,0.642297667943079,0.009224067194768,15,0.666624276721562,0.642016913588097,0.642421159715158,0.621757375381485,0.643204931351575,0.015894095435359,0.633412637066632,0.609614824778903,0.634969214172006,0.580977194990529,0.614743467752017,0.021932184433455,8,0.67081662996979,0.684875551007673,0.676091137049133,0.685399243535452,0.679295640390512,0.006134978264551,0.991618497109826,0.992986557568673,0.992229527794381,0.991636798088411,0.992117845140323,0.000558544765462,14,0.993179234558545,0.993310378750615,0.993999016232169,0.993094343454859,0.993395743249047,0.000356701289161,0.008841628793804,0.013514837759804,0.010782474856606,0.00815206175325,0.010322750790866,0.002080046796474,13,0.015630591291445,0.014516910472808,0.016717896922961,0.012642185994057,0.014876896170318,0.001506723214557
8,1.39321798086166,0.082055324331243,0.034646213054657,0.000284552418092,20,True,"{'linearsvc__C': 20, 'linearsvc__dual': True}",0.627735849056604,0.655094339622641,0.636981132075472,0.626722023023212,0.636633335944482,0.011383420132995,22,0.63349896219888,0.650606956412353,0.648845839360966,0.622767295597484,0.638929763392421,0.011460850385823,0.526315789473684,0.578947368421053,0.5,0.526315789473684,0.532894736842105,0.02867696673382,15,0.627906976744186,0.587209302325581,0.608187134502924,0.662790697674419,0.621523527811777,0.027834570168905,0.628838451268358,0.655922181956895,0.638496756962991,0.62781381152232,0.637767800427641,0.01127971761477,23,0.633560119539645,0.651300311566097,0.649287894201424,0.622329603255341,0.639119482140627,0.0118804014541,0.628748105243081,0.605268177118363,0.622835782604692,0.601697155900051,0.614637305216547,0.011418819274843,9,0.666218922871495,0.680680055481537,0.674154337182393,0.683358001727034,0.676102829315615,0.00661582863825,0.991877256317689,0.993069592838579,0.991409952606635,0.991862567811935,0.99205484239371,0.000615245404702,20,0.9936178699641,0.993116152802017,0.993481856211694,0.994109282957546,0.993581290483839,0.000355792899099,0.008790445471294,0.014282746326045,0.008191089632012,0.008710999772261,0.009993820300403,0.002486888809484,22,0.015039225836245,0.014399821857782,0.015362909626942,0.015917974239905,0.015179982890219,0.000549216989904
9,0.099669337272644,0.028274708001011,0.035008072853088,0.000323530256331,45,False,"{'linearsvc__C': 45, 'linearsvc__dual': False}",0.629811320754717,0.647169811320755,0.647169811320755,0.621438007171164,0.636397237641848,0.01117194661702,24,0.643248003019058,0.644065664507202,0.661488143908422,0.618301886792453,0.641775924556784,0.015386779753801,0.491228070175439,0.614035087719298,0.551724137931034,0.491228070175439,0.537053841500302,0.050846171197625,13,0.633720930232558,0.593023255813954,0.608187134502924,0.63953488372093,0.618616551067591,0.0189044201364,0.631317947739844,0.647530040053405,0.648225867989317,0.622853872567722,0.637481932087572,0.01082094566927,25,0.643352196858905,0.644623895212056,0.662067650050865,0.618069684638861,0.642028356690171,0.015685029629149,0.631230947863651,0.611796513981884,0.630769053664698,0.584521442866992,0.614579489594306,0.019043398945605,10,0.664789001583708,0.683998670631605,0.672407536304308,0.689442173933616,0.677659345613309,0.009646882156581,0.99131476489967,0.993561603745976,0.992406542056075,0.991196114146934,0.992119756212164,0.000956856325276,13,0.993812002750221,0.99314263322884,0.993606870229008,0.993662475723193,0.993555995482816,0.000250167121824,0.006994564282171,0.015529229275902,0.012118911737993,0.006372612069881,0.010253829341487,0.003774752741905,16,0.016350575608457,0.014088519650079,0.01670488070894,0.014237816624581,0.015345448148014,0.001190068794237
10,3.10249572992325,0.047462462824207,0.035074353218079,0.000406204197917,45,True,"{'linearsvc__C': 45, 'linearsvc__dual': True}",0.621698113207547,0.666792452830189,0.63188679245283,0.646725797320249,0.641775788952704,0.016964973986865,12,0.630291213283854,0.656833763129757,0.643122208943959,0.63811320754717,0.642090098226185,0.009662689230718,0.56140350877193,0.543859649122807,0.517241379310345,0.526315789473684,0.537205081669691,0.016933496675473,10,0.616279069767442,0.593023255813954,0.625730994152047,0.622093023255814,0.614281585747314,0.012728059973282,0.622353614342933,0.668128933816517,0.633155284242655,0.648035101106448,0.642918233377139,0.017175422002296,13,0.630444458574426,0.657531633496535,0.643311291963377,0.638288402848423,0.64239394672069,0.009869610436368,0.633763982720486,0.608493864835654,0.613813824678657,0.602085383240627,0.614539263868856,0.011850760198356,11,0.667088409652486,0.681739557655994,0.66717977548143,0.688277756748444,0.676071374884589,0.009231444340456,0.992396593673966,0.992632473788608,0.991634299372572,0.992114485981308,0.992194463204114,0.000371782824142,8,0.993387436128644,0.993276342330227,0.993714397957179,0.993566904196358,0.993486270153102,0.000167617122583,0.010229937002693,0.013356445460531,0.008766696140783,0.010394139297628,0.010686804475409,0.001666446803836,9,0.014081743011893,0.015386115769555,0.015788806789336,0.01516486321422,0.015105382196251,0.000631912906354
11,0.075755000114441,0.006735651473549,0.034696757793427,0.00011838777417,40,False,"{'linearsvc__C': 40, 'linearsvc__dual': False}",0.633962264150943,0.640188679245283,0.619622641509434,0.639177203245895,0.633237697037889,0.008208054309437,33,0.643373797094157,0.639348386690987,0.632995785898484,0.63251572327044,0.637058423238517,0.004535113689499,0.56140350877193,0.596491228070175,0.517241379310345,0.491228070175439,0.541591046581972,0.04042245438562,6,0.616279069767442,0.593023255813954,0.631578947368421,0.633720930232558,0.618650550795594,0.016253014679293,0.634751096700362,0.640663742132367,0.620755436856162,0.640785959557421,0.634239058811578,0.008157951780081,33,0.643670121447193,0.639855026387741,0.633011190233978,0.632502543234995,0.637259720325977,0.004703976985135,0.64894211496699,0.597659034100605,0.61842512070939,0.589464647884496,0.61362272941537,0.022961785804026,12,0.671397766542799,0.680235700417442,0.669415517005467,0.687197621188105,0.677061651288453,0.007130137333274,0.992543990456308,0.993199290360733,0.991468616697136,0.991440377804014,0.992163068829548,0.000745553893093,9,0.993522426145844,0.993091878022303,0.99371194730013,0.993706922385376,0.993508293463413,0.000252254775057,0.011274090938551,0.013830627598341,0.007792203933024,0.007726301096765,0.01015580589167,0.002561444113644,18,0.015360912097928,0.013631542318997,0.015109515225558,0.015267348400987,0.014842329510867,0.000704798337593
12,0.081130385398865,0.016773774125161,0.034611642360687,0.000405085562874,70,False,"{'linearsvc__C': 70, 'linearsvc__dual': False}",0.636981132075472,0.675660377358491,0.618301886792453,0.697490092470277,0.657108372174173,0.031168531133598,1,0.649915088999308,0.667840744700925,0.635071388137619,0.689433962264151,0.660565296025501,0.020308239048006,0.508771929824561,0.56140350877193,0.517241379310345,0.421052631578947,0.502117362371446,0.050890462981378,35,0.63953488372093,0.581395348837209,0.625730994152047,0.546511627906977,0.598293213654291,0.036812286014357,0.638374976158688,0.676902536715621,0.619420068676078,0.70049599389546,0.658798393861462,0.031757748354327,1,0.650028613212946,0.668786163921918,0.635172939979654,0.690996948118006,0.661246166308131,0.020902196122262,0.63314829128897,0.615858738970256,0.613356641976608,0.591720382604738,0.613521013710143,0.014713849931348,13,0.66620783247888,0.684299220271463,0.670596782733368,0.687610896874778,0.677178683089622,0.008989078229163,0.991703703703704,0.993005036373811,0.991450381679389,0.991093117408907,0.991813059791453,0.000721564164502,33,0.993971803597472,0.993201133144476,0.993634374378357,0.992874109263658,0.993420355095991,0.000417235687705,0.008551163570779,0.015393267752684,0.007690883850069,0.008478646908993,0.010028490520632,0.003115676083658,21,0.017394593348344,0.015864574624424,0.014985638881977,0.01610321423677,0.016087005272879,0.000862051713354
13,0.074373602867127,0.006985610390681,0.035567343235016,0.001280157443752,80,False,"{'linearsvc__C': 80, 'linearsvc__dual': False}",0.624528301886792,0.655471698113208,0.639433962264151,0.618418569541423,0.634463132951393,0.014336996176967,30,0.63356185923643,0.64966350084911,0.656707969054658,0.610314465408805,0.637561948637251,0.017828654753368,0.543859649122807,0.614035087719298,0.5,0.56140350877193,0.554824561403509,0.040850736864468,1,0.63953488372093,0.587209302325581,0.614035087719298,0.645348837209302,0.621532027743778,0.023052097661139,0.625405302307839,0.655922181956895,0.64097672644029,0.61903853491034,0.635335686403841,0.014316378792706,30,0.633496534621988,0.650346537801233,0.657171922685656,0.609931332655137,0.637736581941004,0.018219861043477,0.638127361126448,0.600426299393343,0.61597146390559,0.599464848691741,0.61349749327928,0.015656645111204,14,0.67039889184797,0.682050828008713,0.673433382115853,0.684945675317609,0.677707194322536,0.005977865767844,0.99213313161876,0.993643455648656,0.99144290351136,0.992354740061162,0.992393557709985,0.00079613391168,1,0.993815461346633,0.993106126808428,0.993655066333397,0.993681375595608,0.993564507521017,0.000271546379843,0.009501163110657,0.01639917415664,0.008392774483397,0.009963586662044,0.011064174603184,0.003132606645325,4,0.015696602097379,0.014304991167445,0.016533198554714,0.013825921061388,0.015090178220231,0.00107992158003
