,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif_train_test_Spec,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
2218,0.250715374946594,0.001300066020532,0.135666847229004,0.001760395873263,False,1,4,5,300,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}",0.713741185439299,0.717171717171717,0.625500285877644,0.55326853440061,0.652420430722318,0.068023445955349,2004,0.703259005145797,0.717108188806302,0.63394955847786,0.568197700273172,0.655628613175783,0.059503231850265,0.404761904761905,0.404761904761905,0.458823529411765,0.470588235294118,0.434733893557423,0.030259232482351,4.96,0.440944881889764,0.429133858267717,0.517786561264822,0.549407114624506,0.484318104011702,0.050703190996793,0.718768158047647,0.722254503195816,0.62824486633088,0.554629988376598,0.655974378987735,0.069598356543443,1999,0.707561180344805,0.721831213275651,0.635847107438017,0.568504648760331,0.658436037454701,0.061298740633758,0.580056814513526,0.586089897899892,0.558355174692891,0.531428766779862,0.563982663471543,0.021439058780395,2219,0.584299811525948,0.577475062905185,0.590693445186685,0.592457401675759,0.586231430323394,0.005896554448617,0.986705663387397,0.986768986504366,0.986013986013986,0.984525447042641,0.986003520737098,0.000903293074048,2277,0.987207207207207,0.98719533733663,0.987763289869609,0.987218298015473,0.987346033107229,0.000241040092729,0.013413381985448,0.013951615354223,0.007356094936622,0.001796106158721,0.009129299608753,0.004963065382004,2185,0.015641780211404,0.016661930806879,0.01310084958751,0.008562854969969,0.013491853893941,0.003127278591868
2219,0.168262004852295,0.000988969735562,0.097071170806885,0.000963526705918,False,1,2,2,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.652563369544502,0.662854964741757,0.696207356584715,0.693157995044787,0.67619592147894,0.018872255510691,1821,0.655168032526523,0.660186773394321,0.696397941680961,0.709929483514389,0.680420557779048,0.023308526103982,0.440476190476191,0.428571428571429,0.458823529411765,0.4,0.431967787114846,0.021372286298226,2.95,0.488188976377953,0.492125984251968,0.450592885375494,0.41501976284585,0.461481902212816,0.031343375124272,0.656013945380593,0.666666666666667,0.700116234017823,0.697985277024409,0.680195530772373,0.019242457779321,1818,0.657906631368244,0.662943113579131,0.700413223140496,0.714746900826446,0.684002467228579,0.024181718984784,0.564993128764192,0.573469190116488,0.58648950475192,0.53055359299861,0.563876354157802,0.020706464439376,2220,0.58956076445116,0.583351721459044,0.579668844730997,0.590870938204358,0.58586306721139,0.00456691872009,0.986313337216074,0.986246418338109,0.987431693989071,0.986042692939245,0.986508535620625,0.000542226581781,2099,0.987401880027134,0.9875913813005,0.98734868480932,0.986806917454092,0.987287215897762,0.000291603102207,0.008673874686171,0.008821351926003,0.016402777591573,0.010076103372341,0.010993526894022,0.003170204626052,2048,0.013273721659183,0.014282486651414,0.01548788403896,0.013952074716913,0.014249041766617,0.000802385112748
2220,0.007519245147705,0.000942954899491,0.014466643333435,0.001087555835097,True,2,4,10,2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 2, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 2}",0.639222412807318,0.557080236325519,0.360587002096436,0.773203735467886,0.58252334667429,0.149563437777782,2262,0.637380090210279,0.542849882472524,0.344895495838892,0.778413061431929,0.575884632488406,0.157517246523559,0.488095238095238,0.547619047619048,0.741176470588235,0.282352941176471,0.514810924369748,0.163606368541493,2.76,0.507874015748032,0.586614173228346,0.727272727272727,0.347826086956522,0.542396750801407,0.137098385828309,0.641681193104784,0.557234166182452,0.354320030995738,0.78128632313057,0.583630428353386,0.154691438855961,2262,0.639504100213082,0.542132110802609,0.338649276859504,0.785446797520661,0.576433071348964,0.162313262879504,0.592735166892633,0.546915783551461,0.559877612416528,0.555964400483169,0.563873240835948,0.017313874028136,2221,0.585284762582181,0.582184372059065,0.571653586711528,0.59458042743279,0.583425787196391,0.008185468894441,0.987187127532777,0.98696397941681,0.988114532685035,0.985100146555936,0.986841446547639,0.001094004527167,1864,0.987536145178981,0.987648511939772,0.987015430937147,0.98661800486618,0.98720452323052,0.000414384717915,0.011206019390278,0.007403189066059,0.004737925743776,0.008864759635898,0.008052973459003,0.002345871722477,2246,0.012740285011028,0.008862902501388,0.00317264138236,0.018667874622661,0.010860925879359,0.005647615765791
2221,0.167202591896057,0.000549616326658,0.097887456417084,0.001595755198722,False,1,2,5,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}",0.657327996950639,0.721364589289118,0.746331236897275,0.713169430150562,0.709548313321898,0.03252953186524,1445,0.661266755606378,0.721872816212439,0.743027761895686,0.729051521504352,0.713804713804714,0.031272124219777,0.440476190476191,0.404761904761905,0.423529411764706,0.352941176470588,0.405427170868347,0.032830424486499,1.76,0.484251968503937,0.425196850393701,0.387351778656126,0.395256916996047,0.423014378637453,0.038069355490423,0.660856091419717,0.726515591710246,0.751646648585819,0.719101123595506,0.714529863827822,0.033253133852404,1424,0.664169948989475,0.726738554917027,0.748837809917355,0.734504132231405,0.718562611513816,0.03238876158555,0.556475563302989,0.59450716176457,0.58574082093124,0.518754700640427,0.563869561659806,0.029610118282423,2222,0.593123315516341,0.576233483099109,0.584862844216509,0.583052313355437,0.584317989046849,0.006016473484632,0.986412257877999,0.986845566956064,0.98752863324001,0.98539952216618,0.986546495060063,0.000772593981959,2070,0.987424402419122,0.987194105780195,0.986811877818429,0.986729117876659,0.987039875973601,0.000282931605748,0.009230623818526,0.014626623414158,0.021537570467788,0.007942255954965,0.013334268413859,0.005359058764291,1820,0.013721642253879,0.017049574241321,0.016486155710473,0.014921405505755,0.015544694427857,0.001309868400747
2222,0.167806386947632,0.000738759655757,0.097806692123413,0.001647184485842,False,1,1,2,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.751095864303411,0.559367257480465,0.699066133028397,0.576329331046312,0.646464646464646,0.080962222319781,2041,0.74849120132139,0.553077949304364,0.703322533511213,0.590813798360968,0.648926370624484,0.079743477747626,0.333333333333333,0.535714285714286,0.435294117647059,0.470588235294118,0.443732492997199,0.07321383359517,4.05,0.401574803149606,0.566929133858268,0.450592885375494,0.517786561264822,0.484220845912048,0.063104132701982,0.757892698043773,0.559752082122797,0.703409531189462,0.578070515304146,0.649781206665044,0.083384288509183,2037,0.754180925937883,0.552850778071931,0.707450929752066,0.592006714876033,0.651622337159478,0.082074568515336,0.575219280042058,0.578819761489721,0.572397839414727,0.528734872484445,0.563792938357738,0.020368351692659,2223,0.578529287199983,0.57944000785012,0.587657178935419,0.580874929564237,0.58162535088744,0.003581459769084,0.985890652557319,0.98668487538409,0.986952976352269,0.985143611753054,0.986168029011683,0.000708809021771,2238,0.987153482082488,0.987315498154982,0.987472963229993,0.986869013023356,0.987202739122705,0.000223346722003,0.011415365039796,0.006779669343132,0.014478636226138,0.00364745868228,0.009080282322836,0.004165430018381,2190,0.019284146227408,0.008437979446167,0.016569816380805,0.008415226932599,0.013176792246745,0.004846164370387
2223,0.007438063621521,0.0004665380854,0.014124035835266,0.000556617993585,True,2,1,2,2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 2}",0.891938250428816,0.638269487326091,0.663426720030494,0.303411473222794,0.624261482752049,0.209955781399339,2160,0.881519598500731,0.632424877707897,0.656120958007751,0.304237341973191,0.618575694047392,0.205881970560687,0.190476190476191,0.5,0.470588235294118,0.717647058823529,0.469677871148459,0.187324956150683,3.16,0.21259842519685,0.515748031496063,0.478260869565217,0.798418972332016,0.501256574647537,0.207586019890375,0.903350765059074,0.640519078055394,0.666602092212321,0.296590468810539,0.626765601034332,0.216385694453871,2159,0.892490475882999,0.634338477432685,0.659026342975207,0.296164772727273,0.620505017254541,0.212631101371083,0.588078636451675,0.575143189175728,0.59384871344896,0.49794083460583,0.563752843420548,0.03859555052079,2224,0.570716409851493,0.588963616424037,0.595532841439911,0.569171874489596,0.581096185551259,0.011404411861841,0.985629754860524,0.98745894296805,0.987091222030981,0.984565916398714,0.986186459064567,0.001159082548038,2232,0.985736699472258,0.987634462652056,0.987232807815069,0.989003880983182,0.987401962730641,0.001164250124164,0.026627117296535,0.012090839019948,0.012825741227487,0.000651058799093,0.013048689085766,0.00920654837461,1843,0.027391435673928,0.012798751712259,0.012469700641767,0.004281276553083,0.014235291145259,0.008326876676298
2224,0.032362401485443,0.0017699662875,0.027055084705353,0.000784522201235,False,2,2,2,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 2, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 30}",0.714694110920526,0.707261292166952,0.714503525824281,0.581284543548694,0.679435868115113,0.056746852425355,1791,0.717171717171717,0.70637189505114,0.710882408995616,0.598183088749127,0.6831522774919,0.049206697065909,0.369047619047619,0.392857142857143,0.458823529411765,0.505882352941176,0.431652661064426,0.05402033589715,3.98,0.448818897637795,0.440944881889764,0.450592885375494,0.545454545454545,0.4714528025894,0.042878960376925,0.720317644780167,0.712376525276002,0.71871367686943,0.58252615265401,0.683483499894902,0.05836332854772,1785,0.721572932136631,0.710725124297798,0.715134297520661,0.599044421487603,0.686619193860673,0.050708262627107,0.564997740331848,0.567114449886094,0.592206623059918,0.530386079267042,0.563676223136226,0.021998779565686,2225,0.613958290646613,0.605843407399348,0.605943808594388,0.611987503266586,0.609433252476734,0.003607747698495,0.985949098621421,0.986323411102172,0.987752928647497,0.98622499180059,0.98656260754292,0.000700795415135,2054,0.987627043747238,0.98726343169791,0.987605884975479,0.987756840200149,0.987563300155194,0.000182520925595,0.00977197834719,0.011198833960889,0.019436108826041,0.006685083058594,0.011773001048179,0.004715503418986,1963,0.018769951141616,0.016136279271355,0.01780726283313,0.011246202898988,0.015989924036272,0.002896358968264
2225,0.335460662841797,0.002147625443058,0.17808735370636,0.001892825269159,False,1,2,5,400,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 400}",0.669716028206594,0.684962835906232,0.630455498380027,0.576901086335049,0.640508862206975,0.041761925239965,2079,0.668508989263706,0.686805158503272,0.627469665205514,0.590178514706817,0.643240581919827,0.037418810555384,0.416666666666667,0.416666666666667,0.482352941176471,0.470588235294118,0.44656862745098,0.030189870765025,2.98,0.456692913385827,0.464566929133858,0.470355731225297,0.513833992094862,0.476362391459961,0.022171051624312,0.673833042804571,0.689327910129769,0.632894227043782,0.578651685393258,0.643676716342845,0.042830924124156,2078,0.671982953444825,0.690450054884742,0.630036157024793,0.591425619834711,0.645973696297268,0.038354027605963,0.5606040692473,0.574633610949706,0.57889099072407,0.540300157257789,0.563607207044716,0.015061648590326,2226,0.588803715994466,0.582637508014088,0.582585804029334,0.591075482638095,0.586275627668996,0.003751018242458,0.986111111111111,0.986419068736142,0.98671096345515,0.985158311345646,0.986099863662012,0.000583519945265,2257,0.986913229018492,0.987441130298273,0.986453699959563,0.986749973069051,0.986889508086345,0.000358555606474,0.008558859577592,0.010488944441725,0.009842660879973,0.003695831604877,0.008146574126042,0.002661883602636,2242,0.012175076509147,0.015472444426232,0.008451468455051,0.008058133926074,0.011039280829126,0.003021877770793
2226,0.016176044940949,0.000441929123506,0.018815159797669,0.000540340679328,True,4,1,2,10,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 4, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 10}",0.716599961882981,0.702877834953307,0.712788259958071,0.7263198017915,0.714646464646465,0.008396971493839,1373,0.727336255638142,0.699193189759227,0.733117336890922,0.725748046502763,0.721348707197764,0.013082168402738,0.369047619047619,0.404761904761905,0.388235294117647,0.364705882352941,0.381687675070028,0.01599565324707,13.11,0.531496062992126,0.511811023622047,0.509881422924901,0.49802371541502,0.512803056238524,0.01201434025029,0.722254503195816,0.707728065078443,0.718132506780318,0.732274312282061,0.720097346834159,0.008800447981176,1351,0.73054820171757,0.702266416994899,0.736763946280992,0.729467975206612,0.724761635050018,0.013282735991693,0.557280281859015,0.578749435082962,0.562408551177154,0.555668117692641,0.563526596452943,0.009134508410784,2227,0.690606777642819,0.66056278341652,0.681394291232483,0.674575675570836,0.676784881965664,0.010958199306139,0.985986250661026,0.986501079913607,0.986166533652567,0.985915492957746,0.986142339296237,0.000226441560208,2244,0.989591533280854,0.988727272727273,0.989250108365843,0.988884026258206,0.989113235158044,0.000335039955464,0.010048108966295,0.01178741054974,0.01166691727378,0.011168802944331,0.011167809933536,0.000686794056249,2026,0.029611425288721,0.02209760081583,0.028400189871178,0.025565235469233,0.02641861286124,0.002894827141349
2227,0.41177362203598,0.000628647029341,0.180406928062439,0.002289667521475,True,1,2,10,400,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 400}",0.675814751286449,0.780255384028969,0.541642843529636,0.603964170001906,0.65041928721174,0.08873096168673,2017,0.678991169557207,0.777968362874023,0.53922876564386,0.617495711835334,0.653421002477606,0.087316052199781,0.380952380952381,0.321428571428571,0.6,0.435294117647059,0.434418767507003,0.103734456296857,4.4,0.440944881889764,0.366141732283465,0.608695652173913,0.49802371541502,0.47845149544054,0.088553431777603,0.680612047259345,0.78772031764478,0.540681906237892,0.606741573033708,0.653938961043931,0.091738294621908,2015,0.682895331568412,0.784722670626977,0.538094008264463,0.619447314049587,0.65628983112736,0.090181026999193,0.570440543058207,0.569736126098706,0.584351710463341,0.529533696469677,0.563515519022483,0.020466821004144,2228,0.58755196763961,0.597583368118244,0.589427005071375,0.600999779505439,0.593890530083667,0.005574022548464,0.985417835109366,0.986178467507274,0.987964601769912,0.984905660377358,0.986116641190977,0.001159049747135,2251,0.986751259563351,0.986925450706513,0.988260405549626,0.986935500462915,0.987218154070601,0.000606186222979,0.005947510215183,0.015408013553662,0.009688374068834,0.00337179897102,0.008603924202175,0.004525023014336,2218,0.012101065245235,0.021118754315372,0.009975559021915,0.009620054293558,0.01320385821902,0.004667100246439
