,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif test train,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
2046,0.470026910305023,0.003535817133297,0.24426394701004,0.001479245227974,True,1,1,10,400,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 400}",0.601486563750715,0.660567943586811,0.614255765199161,0.629502572898799,0.626453211358872,0.022052351044697,1989,0.616542786354107,0.650403405120386,0.610825233466743,0.642335302712661,0.630026681913474,0.016712450871564,0.547619047619048,0.440476190476191,0.482352941176471,0.458823529411765,0.482317927170868,0.04051837611954,2.854,0.519685039370079,0.496062992125984,0.517786561264822,0.509881422924901,0.510854003921447,0.009297412034305,0.602362967267093,0.664148750726322,0.616427741185587,0.632313056954669,0.628813129033418,0.022988391339348,1987,0.618131335959192,0.652934719442113,0.612345041322314,0.644498966942149,0.631977515916442,0.017125579358836,0.550655764920727,0.575539783994171,0.574149326526426,0.577334366524603,0.569419810491482,0.0108921072454,2047,0.601875004130973,0.596264888662017,0.60211143958449,0.598102853567112,0.599588546486148,0.00249233138491,0.987928843710292,0.986478711162256,0.986360818350899,0.986102719033233,0.98671777306417,0.000712311524395,1952,0.987416193914389,0.9875,0.987299604413908,0.987730061349693,0.987486464919498,0.000157620812329,0.011718343596297,0.009617772244159,0.008096305348508,0.007779657561217,0.009303019687545,0.00155801559845,2026,0.011282940853929,0.013351839030098,0.010465268272398,0.013468163542896,0.01214205292483,0.00130113720576
2047,0.007500410079956,0.001118219520916,0.01700109243393,1.03238273118071E-07,True,100,1,10,1,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 100, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 1}",0.577854011816276,0.628549647417572,0.604535925290642,0.59958071278826,0.602630074328187,0.01801810489773,2132,0.580776316625373,0.632043707515406,0.618956864239883,0.62187916904898,0.613414014357411,0.019459360274561,0.476190476190476,0.440476190476191,0.588235294117647,0.482352941176471,0.496813725490196,0.055150371160139,23.099,0.763779527559055,0.696850393700787,0.727272727272727,0.723320158102767,0.727805701658834,0.023836691272944,0.579508037962425,0.631609529343405,0.604804339403332,0.601511042231693,0.604358237235214,0.018496424330095,2133,0.577774907987344,0.630980822625428,0.6171875,0.620222107438017,0.611541334512697,0.020157506428549,0.51491842136816,0.559792433339789,0.615099026824988,0.587839870547212,0.569412438020037,0.037043815297156,2048,0.721670295991202,0.709321991672975,0.723368646490053,0.721560284846307,0.718980304750134,0.005622119371207,0.985507246376812,0.985792019347037,0.988913525498891,0.986027310257225,0.986560025369991,0.001371215255519,2073,0.993339253996448,0.992181947405828,0.99283340257582,0.992765605622158,0.992780052400064,0.000410332475004,0.00413969783599,0.006077017345537,0.015320715298331,0.006631559189554,0.008042247417353,0.00430285249691,2174,0.025216718195509,0.027510923877653,0.027797322957297,0.027933588280757,0.027114638327804,0.001106331821198
2048,0.006750464439392,0.000432981350278,0.016500890254974,0.000500023372126,False,64,2,2,1,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 1}",0.576329331046312,0.569087097388984,0.558795502191729,0.51705736611397,0.555317324185249,0.022951215655562,2248,0.590940855091799,0.588336192109777,0.566291849310717,0.541134616606315,0.571675878279652,0.020065279844974,0.55952380952381,0.5,0.541176470588235,0.529411764705882,0.532528011204482,0.021629560107462,42.412,0.921259842519685,0.952755905511811,0.984189723320158,0.968379446640316,0.956646229497992,0.023257490409203,0.57660275033895,0.570211117567306,0.559085625726463,0.51685393258427,0.555688356554247,0.023280766620391,2247,0.585523342157939,0.582359398204946,0.559465392561983,0.534155475206612,0.56537590203287,0.020639813826918,0.601874141095524,0.572295546147958,0.555341067073865,0.548031998541377,0.569385688214681,0.020719545660049,2049,0.825257556629919,0.831454016042919,0.826500001020808,0.825241472168687,0.827113261465583,0.002557609933262,0.98772395487724,0.985934360348292,0.986666666666667,0.985228951255539,0.986388483286934,0.000923527549197,2156,0.997799295774648,0.99867124349463,0.999538585765371,0.999033933099867,0.998760764533629,0.000634835239462,0.010021426470794,0.005107189337598,0.007191296883011,0.00304427744075,0.006341047533038,0.002581627983002,2255,0.037848269567775,0.039637499632338,0.038134787628696,0.033479073545211,0.037274907593505,0.002294468069761
2049,0.361770689487457,0.002384993817823,0.198511362075806,0.002598117323938,True,2,1,10,300,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}",0.624547360396417,0.657709167143129,0.629121402706308,0.66609491137793,0.644368210405946,0.01785610471183,1809,0.640175338288546,0.641509433962264,0.625182644050569,0.678927641191792,0.646448764373293,0.019817152751606,0.428571428571429,0.488095238095238,0.517647058823529,0.411764705882353,0.461519607843137,0.043062999382593,7.59,0.598425196850394,0.535433070866142,0.533596837944664,0.482213438735178,0.537417136099094,0.041194547188064,0.627735812512105,0.660468719736587,0.630956993413406,0.670282836110035,0.647361090443033,0.018381120091983,1806,0.640860076192936,0.643249176728869,0.626678719008264,0.682141012396694,0.648232246081691,0.020576314243288,0.526283629857134,0.586516467908101,0.58704104656198,0.577604439683661,0.569361396002719,0.025152078647679,2050,0.644303146809948,0.623728613635312,0.641390606115049,0.637169564400745,0.636647982740264,0.007878390681278,0.985405898449377,0.987547060527078,0.987568223165555,0.985754985754986,0.986569041974249,0.000996302380092,2067,0.989827465842226,0.988293650793651,0.987988599348534,0.987752430815258,0.988465536699917,0.000809380163045,0.004702742207111,0.01348990847816,0.012610496323978,0.007771396597683,0.009643635901733,0.003588655180232,1960,0.020678391560172,0.01557940047296,0.01334425916854,0.01593252644309,0.01638364441119,0.002670815954921
2050,0.119756877422333,0.000433153392182,0.072254061698914,0.000432981317457,True,1,2,5,100,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}",0.612731084429198,0.666476081570421,0.589289117591004,0.648370497427101,0.629216695254431,0.030087858135235,1958,0.621815640683565,0.648052855600025,0.585922114224001,0.652881011371577,0.627167905469792,0.026585743317105,0.523809523809524,0.476190476190476,0.494117647058824,0.517647058823529,0.502941176470588,0.019007929484781,1.974,0.551181102362205,0.496062992125984,0.529644268774704,0.513833992094862,0.522680588839439,0.020294893680822,0.614177803602557,0.669571954290141,0.590856257264626,0.650523053080201,0.631282267059381,0.03067218989981,1959,0.622974107315813,0.650545618906179,0.586841425619835,0.655152376033058,0.628878381968721,0.027211018351267,0.558646458777197,0.579301670309805,0.558751737812521,0.580647036032546,0.569336725733017,0.010648321655944,2051,0.617775563858741,0.612662563318282,0.596024232964754,0.601676447710123,0.607034701962975,0.008616557518776,0.987542821550919,0.98743216223936,0.986097639831878,0.987937628714328,0.987252563084121,0.00069276050522,1562,0.988322065150584,0.987454670195041,0.987076455256299,0.988023369036027,0.987719139909487,0.000484526057372,0.011101143504596,0.01358215910695,0.006551481555771,0.015015428419855,0.011562553146793,0.00321422203783,1700,0.014411033005789,0.013053946279437,0.008819108699367,0.01516416021507,0.012862062049916,0.002453632935893
2051,0.026251554489136,0.000433050153911,0.030501663684845,0.001118139548446,False,1,4,5,20,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 20}",0.641890604154755,0.597293691633314,0.612540499332952,0.685534591194968,0.634314846578998,0.033636076067504,1906,0.650975160409123,0.583762149799886,0.607902928657646,0.691125087351502,0.633441331554539,0.041094652813601,0.535714285714286,0.547619047619048,0.494117647058824,0.4,0.494362745098039,0.057988299261646,1.252,0.464566929133858,0.570866141732283,0.525691699604743,0.466403162055336,0.506881983131555,0.044375885163548,0.643618051520434,0.598101878752663,0.614490507555211,0.690236342502906,0.636611695082804,0.034989443882668,1909,0.654032414282947,0.58397365532382,0.609245867768595,0.69479597107438,0.635511977112436,0.042437323330755,0.57233013290538,0.577824815767872,0.568364974815963,0.558581944982565,0.569275467117945,0.007028562393953,2052,0.593030527508721,0.596132061993574,0.590106863301538,0.614043538488551,0.598328247823096,0.009320013370137,0.988399762046401,0.987843889955214,0.986625194401244,0.985888212506918,0.987189264727444,0.000988022034353,1615,0.986751095957136,0.988091336173932,0.987442444537463,0.98761013215859,0.98747375220678,0.000480422125075,0.015532225098338,0.011271964639869,0.008855597034098,0.009063567904535,0.01118083866921,0.00268479291337,1751,0.010674110528731,0.011673679291807,0.010767597926048,0.016238691199327,0.012338519736478,0.002285355749211
2052,0.218012571334839,0.001870979838149,0.146758198738098,0.002384950077222,False,1,4,2,200,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}",0.522012578616352,0.593481989708405,0.591004383457214,0.629502572898799,0.584000381170192,0.038896960247779,2178,0.531668890159456,0.578362238739597,0.588018550282701,0.640048281557716,0.584524490184868,0.038492816411974,0.571428571428571,0.547619047619048,0.494117647058824,0.458823529411765,0.517997198879552,0.044170469911072,3.617,0.610236220472441,0.570866141732283,0.529644268774704,0.505928853754941,0.554168871183592,0.039846273053087,0.521208599651365,0.594228161921363,0.592599767531964,0.632313056954669,0.585087396514841,0.040158289938751,2178,0.530380318977207,0.578485181119649,0.588972107438017,0.642239152892562,0.585019190106858,0.039742449623771,0.5530203462365,0.597358263468083,0.555210018916517,0.571414408460013,0.569250759270278,0.017714978598454,2053,0.598966417859226,0.600629484012245,0.592934884689511,0.602621971262209,0.598788189455798,0.003618742552103,0.986798679867987,0.987765614938828,0.986137975499678,0.986102719033233,0.986701247334931,0.000674144417586,1968,0.988090941898231,0.987979708866343,0.987122605778595,0.987589356632248,0.987695653293855,0.000379678510067,0.006068961016714,0.010873816061972,0.006712855146716,0.007779657561217,0.007858822446655,0.001844810191484,2189,0.009443414672696,0.011121892929317,0.00902425243816,0.012852086439966,0.010610411620035,0.00151364642118
2053,0.584533512592316,0.002872415546331,0.302267253398895,0.007595618024841,True,1,1,5,500,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 500}",0.719077568134172,0.646083476272156,0.594816085382123,0.551743853630646,0.627930245854774,0.062326334958082,1975,0.734832602757131,0.634140143574106,0.592529064227177,0.559939012769201,0.630360205831904,0.065801043601391,0.333333333333333,0.440476190476191,0.494117647058824,0.529411764705882,0.449334733893557,0.074082114742185,6.159,0.437007874015748,0.507874015748032,0.529644268774704,0.569169960474308,0.510924029753198,0.047999834528427,0.725353476660856,0.649428626767383,0.596474234792716,0.55211158465711,0.630841980719516,0.064531975602431,1970,0.739717182152773,0.636211015690579,0.593556301652893,0.559788223140496,0.632318180659185,0.067662356018991,0.539027697075344,0.581983296901949,0.576324725938419,0.579644232741527,0.56924498816431,0.01756143619538,2054,0.621688167215684,0.604942473977413,0.59643153541796,0.602164138805409,0.606306578854116,0.00939588121283,0.985267034990792,0.986176470588235,0.986226777706598,0.986159169550173,0.98595736320895,0.000399334153105,2257,0.987671350978533,0.987472439366607,0.987220790378007,0.987584007290124,0.987487147003318,0.000169170909194,0.006538743442181,0.007939797555627,0.007076162789663,0.005763552243048,0.00682956400763,0.000792840963547,2241,0.020722873968042,0.01235018506582,0.009472483242336,0.009183547300576,0.012932272394193,0.004665173612609
2054,0.007500410079956,0.000866100291414,0.015500843524933,0.000500023372126,False,2,4,2,2,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 2, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 2}",0.547550981513246,0.687821612349914,0.700971983990852,0.724985706117782,0.665332570992948,0.06929452375653,1616,0.565593037291151,0.670923067149482,0.692903881583127,0.737056095546662,0.666619020392605,0.063002082434162,0.619047619047619,0.440476190476191,0.352941176470588,0.341176470588235,0.438410364145658,0.111123239688101,4.473,0.598425196850394,0.468503937007874,0.450592885375494,0.41501976284585,0.483135445519903,0.069290281154879,0.546387759054813,0.691845826070114,0.7067028283611,0.731305695466873,0.669060527238225,0.072213540451701,1610,0.565054561890618,0.674242913411248,0.696862086776859,0.742316632231405,0.669619048577533,0.065157950016748,0.584120758510648,0.574149396345794,0.547119219636712,0.571571666248832,0.569240260185496,0.013604270813226,2055,0.599412562936962,0.595822683896934,0.601678999730507,0.607037221727697,0.600987867073025,0.004069184698804,0.988783736417806,0.987012987012987,0.985147177963813,0.985382406682328,0.986581577019233,0.001460404973503,2061,0.988478481870552,0.987236456462135,0.987285034760336,0.987290682696436,0.987572663947365,0.000523398881876,0.011388685315425,0.013178235829039,0.006317530374297,0.00833081533307,0.009803816712958,0.002656239746255,1938,0.011807961648692,0.013586095163662,0.014959612719558,0.018573975853865,0.014731911346444,0.002483731273417
2055,0.038752198219299,0.002046481150672,0.035002171993256,0.000707224125548,False,1,2,5,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 1, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 30}",0.558604917095483,0.66190203926053,0.633886030112445,0.626643796455117,0.620259195730894,0.037953360302339,2041,0.573089384410139,0.642017660885585,0.626770853185947,0.637189505114033,0.619766850898926,0.027506768943344,0.547619047619048,0.452380952380952,0.505882352941176,0.470588235294118,0.494117647058824,0.036388161079638,3.936,0.574803149606299,0.543307086614173,0.49802371541502,0.517786561264822,0.533480128225079,0.028755897049767,0.558783652914972,0.665310865775712,0.635993800852383,0.629213483146067,0.622325450672284,0.039113855479391,2041,0.573061277200232,0.643636598437399,0.628873966942149,0.639139979338843,0.621177955479656,0.028290759382251,0.547393080803889,0.574554061407635,0.593319962622786,0.561676960594389,0.569236016357175,0.016900970597081,2056,0.608598321477653,0.597856266546135,0.589229989097769,0.606042188980172,0.600431691525432,0.007587530520005,0.986999657885734,0.986785406492387,0.987368421052632,0.986334649255998,0.986872033671688,0.000373823036473,1827,0.987977290437493,0.988496628322094,0.98712881321577,0.987825566310748,0.987857074571526,0.000488579120277,0.00753752099745,0.010848157043874,0.012201306763463,0.008448405640772,0.00975884761139,0.001857670034842,1943,0.010877849611383,0.016310733920368,0.010639323201216,0.013495741252399,0.012830911996342,0.002300471293513
