,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_extratreesclassifier__bootstrap,param_extratreesclassifier__max_depth,param_extratreesclassifier__min_samples_leaf,param_extratreesclassifier__min_samples_split,param_extratreesclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,dif test train,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
0,0.206203401088715,0.00069183333546,0.271286845207214,0.002279805119925,False,100,1,2,200,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 100, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 200}",0.826567562416619,0.836096817228893,0.829426338860301,0.837240327806366,0.832332761578045,0.004470378496648,2191,0.838066196556763,0.850390699447303,0.837812083095102,0.846769582618639,0.843259640429452,0.005473103257233,0.523809523809524,0.416666666666667,0.423529411764706,0.376470588235294,0.435119047619048,0.05426889619531,56.39,1,0.996062992125984,1,1,0.999015748031496,0.001704774416899,0.831493317838466,0.8429207824908,0.836110034870205,0.844827586206896,0.838837930351592,0.005336909348606,2192,0.835410344159618,0.848001549686834,0.83516270661157,0.84426652892562,0.84071028234591,0.005582884793708,0.770655211532608,0.68110548499857,0.718412835882125,0.678672197278757,0.712211432423015,0.037237726101052,1,0.99741286697657,0.994406281315952,0.996960416122236,0.996066570982916,0.996211533849419,0.001149345126929,0.990768520655435,0.988866166780277,0.988774341351661,0.987992750339828,0.9891004447818,0.001021113819087,99,1,0.999923861732907,1,1,0.999980965433227,3.29688367513631E-05,0.060630885111296,0.047526776317539,0.046272991641397,0.041538470752509,0.048992280955685,0.007080936227915,327,0.140749955997597,0.151921574252679,0.140056629004228,0.148405109413412,0.145283317166979,0.005041866633709
1,0.604888737201691,0.003644230194075,0.609330713748932,0.003031860636389,True,150,1,2,500,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.862588145607014,0.862206975414523,0.85896702877835,0.841623785020011,0.856346483704974,0.008615811328988,2134,0.873006797535099,0.874340893208818,0.871418588399721,0.855218855218855,0.868496283590623,0.00773521439905,0.488095238095238,0.416666666666667,0.423529411764706,0.435294117647059,0.440896358543417,0.028052665394152,55.71,0.996062992125984,0.996062992125984,1,1,0.998031496062992,0.001968503937008,0.868680999418942,0.869455742785202,0.866137156141031,0.848314606741573,0.863147126271687,0.008651102654507,2137,0.870988571059598,0.872344547039452,0.869318181818182,0.85285382231405,0.866376280557821,0.007880436035665,0.768736799387584,0.674361067301218,0.738538414203341,0.661911707728423,0.710886997155142,0.044282962325342,2,0.988687108161328,0.990274291519074,0.98994210486558,0.989526635947147,0.989607535123282,0.000593765836164,0.990503533568904,0.989202291758484,0.989159292035398,0.989157442963632,0.989505640081605,0.000576413440859,45,0.999925871015567,0.999925986233439,1,1,0.999962964312252,3.70357101510155E-05,0.075615954750939,0.061403463195109,0.061444427738729,0.053996682674732,0.063115132089877,0.007828437749228,73,0.178162661494109,0.179944723692737,0.176165803108808,0.157052343285353,0.172831382895252,0.009207586518344
2,0.055782079696655,0.001252814124125,0.077656328678131,0.000925554011437,False,64,1,2,50,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.817800647989327,0.822755860491709,0.815132456641891,0.831903945111492,0.821898227558605,0.006391708152367,2217,0.819960612413443,0.838828536941744,0.822374690299219,0.844673146559939,0.831459246553586,0.010531635006381,0.547619047619048,0.464285714285714,0.435294117647059,0.458823529411765,0.476505602240896,0.042477905836892,52.35,1,1,1,1,1,0,0.822196397443347,0.828588030214991,0.821387059279349,0.838047268500581,0.827554688859567,0.006669200915773,2221,0.817007813004455,0.836185187576677,0.819473140495868,0.842135847107438,0.82870049704611,0.010705047788451,0.754641542846075,0.699548296948065,0.683673678692709,0.691985550516216,0.707462267250766,0.027811601347802,3,0.99646770036744,0.995767341570197,0.996585013923823,0.997675619834711,0.996623918924043,0.000682956331893,0.991127714219005,0.989590562109646,0.988805970149254,0.989478499542543,0.989750686505112,0.000849767598004,19,1,1,1,1,1,0,0.060104510030535,0.049483184202407,0.042380971912973,0.05329301996371,0.051315421527406,0.006409767074923,281,0.125940662158916,0.141434155581054,0.12733777864245,0.146379904425056,0.135273125201869,0.008823029971501
3,0.605582118034363,0.001136286358376,0.609034061431885,0.00187280494475,True,,1,2,500,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': None, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.864875166761959,0.857632933104631,0.849056603773585,0.873832666285496,0.861349342481418,0.009126718107426,2118,0.874086779747157,0.87338796772759,0.862524617241598,0.886093640810622,0.874023251381742,0.008341470332443,0.476190476190476,0.416666666666667,0.447058823529412,0.352941176470588,0.423214285714286,0.045706181034287,57.19,0.992125984251968,0.996062992125984,1,0.992094861660079,0.995070959509508,0.003271452527011,0.871198915359287,0.864807282587643,0.855676094537001,0.882409918636188,0.86852305278003,0.009732119091836,2121,0.872150836185188,0.871375992768128,0.860278925619835,0.884362086776859,0.872041960337502,0.008523641651379,0.76623041236638,0.684126061813453,0.702767964993049,0.676128723476992,0.707313290662468,0.035362451935481,4,0.987741814445339,0.988014331552651,0.99070298974292,0.991772541485643,0.989557919306638,0.001724575144875,0.990312637604579,0.989144882587505,0.989471326164874,0.988069414316703,0.989249565168416,0.000803588112721,78,0.999851950551484,0.999925903971547,1,0.999854003941894,0.999907964616231,6.09131803451966E-05,0.074928327965857,0.058637423129438,0.060087042548254,0.056121611589427,0.062443601308244,0.007346365006557,83,0.178945199347233,0.178668776260234,0.165221582558494,0.195733012184453,0.179642142587604,0.010820141032162
4,0.310140132904053,0.001720093562817,0.403237998485565,0.003179185886698,False,64,1,2,300,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.825042881646655,0.831522774919001,0.826376977320373,0.853440060987231,0.834095673718315,0.011427559291222,2183,0.834000381170192,0.851851851851852,0.839972047519217,0.862905787434089,0.847182516993838,0.011121864684834,0.607142857142857,0.428571428571429,0.411764705882353,0.423529411764706,0.467752100840336,0.080708027242173,53.22,1,1,1,1,1,0,0.828588030214991,0.838078636451675,0.833204184424642,0.860519178612941,0.840097507426062,0.0122587362904,2187,0.831277845935301,0.849422095951443,0.837357954545455,0.86066632231405,0.844681054686562,0.011305751345049,0.77352014793909,0.673688931315311,0.706615083073136,0.663832987670078,0.704414287499404,0.042928291535839,5,0.995644556343674,0.997707754891199,0.995689127168196,0.998095299586777,0.996784184497462,0.001125822802765,0.992345163535143,0.989028571428572,0.98850838887612,0.989089289690492,0.989742853382582,0.001519314397786,20,1,1,1,1,1,0,0.072756190357388,0.047495952469548,0.043037149045633,0.058182062631428,0.055367838625999,0.011448658544505,201,0.137189510024129,0.154013002586358,0.141998727525508,0.165667102011792,0.149717085536947,0.011060867138988
5,0.518745601177216,0.003035990677076,0.667725205421448,0.008187965918739,False,150,1,2,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.834381551362683,0.811130169620736,0.838383838383838,0.820659424433009,0.826138745950066,0.010876194848182,2209,0.8449272600216,0.835842703767232,0.856298837430913,0.829616923956547,0.841671431294073,0.010047967987704,0.571428571428571,0.428571428571429,0.435294117647059,0.435294117647059,0.467647058823529,0.059981107116587,53.24,1,1,1,1,1,0,0.83865969397637,0.817354251404222,0.845021309569934,0.827005036807439,0.832010072939491,0.010646046568378,2209,0.842383934913153,0.833150384193194,0.853951446280992,0.82683367768595,0.839079860768322,0.010212843068377,0.761063150807485,0.687764588694281,0.707478861362445,0.660978416938259,0.704321254450618,0.036682209680487,6,0.997933750887841,0.997064339967125,0.996797597221768,0.995723707044393,0.996879848780282,0.000788697610413,0.991754466330738,0.98875351452671,0.989115646258504,0.988881167477415,0.989626198648342,0.001235600673003,31,1,1,1,1,1,0,0.072365999796149,0.039406704748435,0.052388655897078,0.044542491154026,0.052175962898922,0.012540002719465,260,0.147107635367968,0.138784624887157,0.158217343793153,0.133063836650314,0.144293360174648,0.009463691506534
6,0.055324494838715,0.000223927558673,0.077568411827087,0.000702653358777,False,,1,2,50,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': None, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.818753573470555,0.806556127310844,0.827711072994092,0.838193253287593,0.822803506765771,0.011633011251814,2215,0.823327615780446,0.822565275395464,0.835398005209326,0.846134298964488,0.831856298837431,0.009688479278744,0.535714285714286,0.476190476190476,0.458823529411765,0.4,0.467682072829132,0.048373835106738,53.13,1,0.996062992125984,1,1,0.999015748031496,0.001704774416899,0.823358512492737,0.811931047840403,0.833785354513754,0.845408756296009,0.828620917785726,0.012397052036922,2218,0.820430038096468,0.819719764964163,0.832709194214876,0.843620867768595,0.829119966261026,0.009836632271306,0.74319678481503,0.685115243075731,0.712707113066071,0.667893201449507,0.702228085601585,0.028548108435125,7,0.995977067888791,0.994613211283632,0.996298166832718,0.997837035123967,0.996181370282277,0.001146268905539,0.990909090909091,0.98961284230406,0.989425287356322,0.988448471121178,0.989598922922663,0.000876131063152,34,1,0.999921235034657,1,1,0.999980308758664,3.41062304578036E-05,0.058749929970681,0.044822303971023,0.051354542661854,0.046114192561593,0.050260242291288,0.005477983016831,304,0.128500907488854,0.127386704709885,0.137936374080065,0.147786604008244,0.135402647571762,0.008241230235475
7,0.312753260135651,0.002571340310084,0.402759373188019,0.002919044622159,False,150,1,2,300,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 150, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.84924718886983,0.838193253287593,0.844291976367448,0.819515913855537,0.837812083095102,0.011265497774829,2176,0.855218855218855,0.852042436948097,0.860999936471634,0.838447366749254,0.85167714884696,0.008285810504548,0.535714285714286,0.404761904761905,0.435294117647059,0.4,0.443942577030812,0.054687561474135,55.41,1,0.996062992125984,1,0.996047430830039,0.998027605739006,0.001972401934202,0.854348247143134,0.84524501258958,0.851026733824099,0.826423866718326,0.844260965068785,0.010801149401626,2177,0.852844321043456,0.849680377090463,0.858729338842975,0.835872933884298,0.849281742715298,0.008395000008448,0.757994152532212,0.680379163092702,0.703024363561775,0.666871025822185,0.702067176252218,0.034777441694543,8,0.997933750887841,0.996639167521248,0.996107148107013,0.996324707844706,0.996751193590202,0.000708462468634,0.99123595505618,0.98867240598097,0.989191623508219,0.988186240444753,0.98932155624753,0.001161049455871,68,1,0.999924012158055,1,0.999922762029814,0.999961693546967,3.83090028131142E-05,0.075374422634917,0.046419661119263,0.055366867361957,0.038450307250651,0.053902814591697,0.013765454691844,227,0.15756523732967,0.153615639922874,0.163459288003616,0.140060821417608,0.153675246668442,0.008605457862129
8,0.105989217758179,0.000684566961208,0.144034445285797,0.000314123258346,False,64,1,2,100,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 100}",0.82694873260911,0.817800647989327,0.83285687059272,0.821993520106728,0.824899942824471,0.005620443026606,2210,0.838129724922178,0.834762721555174,0.841687313385427,0.832094530207738,0.836668572517629,0.003601279536192,0.523809523809524,0.440476190476191,0.458823529411765,0.423529411764706,0.461659663865546,0.037991131925119,53.83,1,1,1,1,1,0,0.831880689521596,0.823939570017432,0.839015885315769,0.82855482371174,0.830847742141634,0.005494676064763,2210,0.835474914444373,0.83205268935236,0.839101239669422,0.829351756198347,0.833995149916125,0.003660468340522,0.757244772788062,0.684465012036192,0.710838252387356,0.645577409576771,0.699531361697095,0.040610058601113,9,0.997427102944863,0.996975492272157,0.995588705166106,0.99581851460164,0.996452453746191,0.000769975780254,0.990772779700115,0.989072308765403,0.989490518620059,0.988673139158576,0.989502186561039,0.000788456971024,47,1,1,1,1,1,0,0.060818530845711,0.043723341344037,0.053746001684151,0.043189730709938,0.050369401145959,0.007353630415267,299,0.140806767966808,0.137845958222791,0.14357227462542,0.135117675428075,0.139335669060774,0.003167162269604
9,0.035080969333649,0.000151058291557,0.05109179019928,0.000401404903589,False,32,1,2,30,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 30}",0.792262245092434,0.801791499904707,0.817419477796836,0.823518200876691,0.808747855917667,0.012384732228474,2243,0.806556127310844,0.830188679245283,0.828663998475319,0.829807509052792,0.82380407852106,0.009973902790143,0.619047619047619,0.440476190476191,0.388235294117647,0.411764705882353,0.464880952380952,0.090910458814504,53.51,1,1,1,1,1,0,0.795080379624249,0.807669959325973,0.82448663308795,0.830298333979078,0.814383826504313,0.013901774373894,2245,0.80338348292116,0.827403628850003,0.825865185950413,0.827027376033058,0.820919918438658,0.010140534753993,0.763433496582828,0.691592189849017,0.685300954942225,0.655758142078994,0.699021195863266,0.039572943560024,10,0.99447974908089,0.996146882653422,0.995057374522262,0.997175934243622,0.995714985125049,0.00103430744846,0.992264926275078,0.988854635997154,0.987929433611885,0.988468634686347,0.989379407642616,0.001698052938356,65,1,1,1,1,1,0,0.059095445244321,0.037946671772343,0.035806892297352,0.041888000769846,0.043684252520966,0.009161113721177,416,0.116503536531756,0.133981363256572,0.132287181530256,0.133220043216351,0.128998031133734,0.007238609858979
