,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,split3_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Kappa,split1_test_Kappa,split2_test_Kappa,split3_test_Kappa,mean_test_Kappa,std_test_Kappa,rank_test_Kappa,split0_train_Kappa,split1_train_Kappa,split2_train_Kappa,split3_train_Kappa,mean_train_Kappa,std_train_Kappa
489,0.062503457069397,0.006576893831816,0.052753150463104,0.002947591738055,False,32,2,10,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 30}",0.797979797979798,0.810748999428245,0.778730703259005,0.711454164284353,0.77472841623785,0.038267997164603,1085,0.816466552315609,0.825169938377485,0.804396162886729,0.729305634966012,0.793834572136459,0.037979081860323,0.511904761904762,0.511904761904762,0.482352941176471,0.482352941176471,0.497128851540616,0.014775910364146,49.89,0.996062992125984,0.992125984251968,0.996047430830039,1,0.996059101801998,0.002783893120056,0.802634127445284,0.815611078830137,0.783611003487021,0.715226656334754,0.779270716524299,0.038687693905373,1089,0.813521017627688,0.822431716923872,0.801265495867769,0.724883780991736,0.790525502852766,0.038636068947805,0.679398052073822,0.65911522462946,0.667283542630535,0.648989219864622,0.66369650979961,0.011143358844633,490,0.954869565482658,0.969373093714871,0.959433339185967,0.956878511580048,0.960138627490886,0.005571448829381,0.990203106332138,0.99035747883349,0.989239422841771,0.988222698072805,0.989505676520051,0.000855701501878,395,0.999920634920635,0.999843001805479,0.999919426315365,1,0.99992076576037,5.55137564977179E-05,0.046759649171518,0.05170435900278,0.036899297899294,0.021359701242106,0.039180751828925,0.011587442530878,917,0.122852922535523,0.128870842154711,0.114200518566903,0.078083947932342,0.11100205779737,0.019707667022199
490,0.913052082061768,0.042833638339331,0.63853657245636,0.002500152591187,True,32,1,10,500,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 500}",0.851534210024776,0.88336192109777,0.881074899942825,0.879359634076615,0.873832666285496,0.012952076765908,244,0.870910361476399,0.896639349469538,0.89333587446795,0.889460644177625,0.887586557397878,0.009957602657449,0.392857142857143,0.416666666666667,0.423529411764706,0.423529411764706,0.414145658263305,0.012606209096298,47.44,0.881889763779527,0.877952755905512,0.897233201581028,0.897233201581028,0.888577230711774,0.008767173750097,0.858996707340693,0.890954871198915,0.88860906625339,0.886865555986052,0.881356550194763,0.012990751253743,244,0.870730289920578,0.896945825531091,0.893272210743802,0.88933367768595,0.887570500970355,0.010088455100896,0.656844027558728,0.653097128837977,0.667067028283611,0.677503019805365,0.66362780112142,0.009503481197587,491,0.947061263981119,0.956735112863265,0.958216408266096,0.956533861227256,0.954636661584434,0.004421654085507,0.988631297369594,0.98946009894601,0.989430543572045,0.989409984871407,0.989232981189764,0.000347838717247,691,0.997780244173141,0.997773308432696,0.998124233460789,0.998115942028985,0.997948432023903,0.000171698261752,0.050734033354955,0.076718449449251,0.077201453646828,0.075794125053739,0.070112015376193,0.011199304261403,226,0.156202811986175,0.192273823344159,0.189893396245182,0.183714013706067,0.180521011320396,0.014383499858676
491,0.595284044742584,0.035267902451071,0.407523393630982,0.026548594100129,False,32,2,2,300,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}",0.819897084048027,0.839527348961311,0.845435486944921,0.841623785020011,0.836620926243568,0.00988508051422,498,0.843148465789975,0.849818944158567,0.866590432628168,0.858014103297122,0.854392986468458,0.008792771011566,0.535714285714286,0.476190476190476,0.376470588235294,0.447058823529412,0.458858543417367,0.057302289583793,54.11,1,1,1,1,1,0,0.824520627542127,0.845438698431145,0.853157690817513,0.848120883378535,0.84280947504233,0.01091663165493,500,0.840575966940014,0.847355846839285,0.864411157024793,0.855694731404959,0.852009425552263,0.008940975805534,0.672952233382216,0.689122695369064,0.628370216742257,0.664050641566196,0.663623946764933,0.02224977899079,492,0.981316308471062,0.980750301624578,0.985817912324829,0.978996361839741,0.981720221065053,0.002515669485662,0.990921787709497,0.990020412792016,0.988108593224142,0.989378531073446,0.989607331199775,0.001024328723508,302,1,1,1,1,1,0,0.05928083694611,0.059395139398972,0.04521335255479,0.056076162370443,0.054991372817579,0.005800411865697,440,0.145415179883984,0.15193154652077,0.170079216823881,0.160097249865609,0.156880798273561,0.009226311709472
492,0.529280304908752,0.004323280201642,0.365020871162415,0.007583308397412,True,16,2,2,300,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 16, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}",0.888126548503907,0.882408995616543,0.894987611968744,0.878216123499142,0.885934819897084,0.00630012756854,142,0.895877009084556,0.891112381678419,0.905787434089321,0.897719331681596,0.897624039133473,0.005293956334318,0.440476190476191,0.476190476190476,0.388235294117647,0.388235294117647,0.42328431372549,0.037254161525676,49.69,0.893700787401575,0.929133858267717,0.92094861660079,0.936758893280632,0.920135538887678,0.016253944478484,0.89540964555491,0.889018012783266,0.903332041844246,0.886284385896939,0.89351102151984,0.006566365116487,143,0.895912700975011,0.890488797055595,0.905539772727273,0.897081611570248,0.897255720582032,0.005390982970909,0.651266336478423,0.676156120011437,0.657699933906147,0.669179752489915,0.66357553572148,0.009691715913113,493,0.956661009564029,0.960393375393841,0.969037102293143,0.963894653619377,0.962496535217597,0.004560986560845,0.989935760171306,0.990504963314631,0.988971367974549,0.988761616598228,0.989543427014679,0.000710097957077,364,0.998057833405265,0.998696502281121,0.998576005695977,0.998849748382459,0.998545022441206,0.000297538720165,0.086417500981067,0.0891278566756,0.081304522874305,0.067033879793585,0.080970940081139,0.008522811169215,112,0.194060353119005,0.192898905929305,0.217200054739888,0.204993964757496,0.202288319636423,0.009817597492415
493,0.041502237319946,0.000866100291414,0.038002252578735,0.001871011700613,True,150,2,2,20,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 150, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 20}",0.858204688393368,0.876310272536688,0.868115113398132,0.864875166761959,0.866876310272537,0.006514136139018,289,0.879486690807446,0.885648942252716,0.881074899942825,0.878787878787879,0.881249602947716,0.002671734105121,0.392857142857143,0.428571428571429,0.411764705882353,0.411764705882353,0.411239495798319,0.012637825016298,48.42,0.893700787401575,0.881889763779527,0.91304347826087,0.893280632411067,0.89547866546326,0.011193447829936,0.865775711795468,0.883594809219446,0.875629600929872,0.872336303758233,0.874334106425755,0.006416312344123,287,0.879253567508233,0.885710595983728,0.880552685950413,0.878551136363636,0.881016996451502,0.002803373343903,0.630342501129834,0.672598295564594,0.674031952959409,0.676707614467716,0.663420091030389,0.019154218104631,494,0.948148917380033,0.952159265912126,0.956883743221834,0.952321113579198,0.952378260023298,0.00309184177244,0.988719309887193,0.989587852494577,0.989059080962801,0.989018229738634,0.989096118270801,0.000312740103927,822,0.99802110817942,0.99781770568124,0.998389458272328,0.998019656740502,0.998061982218372,0.000206381761334,0.05434313396326,0.073656901621324,0.064947707052363,0.062807458899042,0.063938800383997,0.006870519120453,299,0.169193959737426,0.175691627942267,0.174277516869961,0.167637226323212,0.171700082718216,0.003367605030415
494,0.066253781318665,0.002586155360369,0.053252995014191,0.002046430179887,False,64,2,5,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 30}",0.814179531160663,0.815323041738136,0.838193253287593,0.83704974271012,0.826186392224128,0.01144939073442,639,0.837875611460517,0.825487580204561,0.854011816275967,0.855790610507592,0.843291404612159,0.012424415008924,0.488095238095238,0.488095238095238,0.4,0.482352941176471,0.464635854341737,0.037391089194432,53.44,1,0.996062992125984,1,1,0.999015748031496,0.001704774416899,0.819484795661437,0.820646910710827,0.845408756296009,0.842890352576521,0.832107703811199,0.012081712422571,644,0.835216633305353,0.822689998062891,0.851627066115703,0.853434917355372,0.84074215370983,0.01260951293951,0.670472362875036,0.667946376691292,0.639613009093603,0.675389156049867,0.663355226177449,0.013966393933687,495,0.978013818040938,0.976769314777088,0.980021380826773,0.978545675040015,0.978337547171204,0.001166486860314,0.989939167056621,0.989953271028037,0.988448471121178,0.989988623435722,0.98958238316039,0.000654912252319,328,1,0.999921519384712,1,1,0.999980379846178,3.39831032720357E-05,0.049565127730666,0.050035677311192,0.046114192561593,0.059815168877351,0.051382541620201,0.005098571882746,527,0.140579742266978,0.129653726971958,0.155766950829975,0.157667336203369,0.14591693906807,0.011489911900485
495,0.08900511264801,0.003391341038296,0.070003986358643,0.000707055530619,False,32,1,5,40,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 40}",0.848866018677339,0.852868305698494,0.83076043453402,0.837240327806366,0.842433771679055,0.008852852097068,444,0.864557524934883,0.861381106664125,0.859348198970841,0.856552950892574,0.860459945365606,0.002921441524446,0.535714285714286,0.476190476190476,0.4,0.470588235294118,0.47062324929972,0.048102706795997,52.84,1,1,0.996047430830039,1,0.99901185770751,0.0017115126557,0.853960875460004,0.858996707340693,0.837853545137544,0.843277799302596,0.848522231810209,0.008375834735037,451,0.862336152902434,0.859107638664687,0.857115185950413,0.854209710743802,0.858192172065334,0.0029593307327,0.671482296191767,0.665076828717154,0.609522073067894,0.707053809512957,0.663283751872443,0.034916211518664,496,0.984080374243269,0.987179112377208,0.981361319129128,0.985257743850652,0.984469637400064,0.0021080521049,0.991232014388489,0.99017637865595,0.988345521023766,0.989768076398363,0.989880497616642,0.001034762635222,79,1,1,0.999924676107261,1,0.999981169026815,3.26162023118622E-05,0.075129549226706,0.066967950578382,0.042876610856641,0.057907630359972,0.060720435255425,0.011968374510585,337,0.168161670618334,0.164427882954333,0.16097008846239,0.15849353790766,0.163013294985679,0.003643821061643
496,0.361770749092102,0.004380621497808,0.262265086174011,0.003631754612281,True,150,1,10,200,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 150, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}",0.878787878787879,0.864875166761959,0.874404421574233,0.867924528301887,0.871497998856489,0.005436479540687,261,0.894606441776253,0.876119687440442,0.892192363890477,0.881773711962391,0.886173051267391,0.0075461664189,0.392857142857143,0.380952380952381,0.435294117647059,0.435294117647059,0.41109943977591,0.024558050753058,47.55,0.874015748031496,0.901574803149606,0.893280632411067,0.877470355731225,0.886585384830849,0.011298103009463,0.886693782684486,0.872748402091807,0.881635025184037,0.87504843084076,0.879031410200272,0.005496159535072,261,0.894944146703687,0.87570220184671,0.892174586776859,0.881844008264463,0.88616623589793,0.007767394330449,0.659414976527121,0.626732796546858,0.669239009048021,0.697718622512934,0.663276351158733,0.025358257742094,497,0.953348096371404,0.949176322127423,0.96116182259171,0.950198470625224,0.95347117792894,0.004698871243459,0.98898250162022,0.988591487494515,0.989562948467058,0.989485213581599,0.989155537790848,0.000394576937756,763,0.99769651598042,0.998160005887981,0.998049837486457,0.997735407991818,0.997910441836669,0.0001988180586,0.067739421215398,0.055849239336589,0.074444891459628,0.069678232799259,0.066927946202718,0.006845888910147,266,0.188089359819358,0.16612686910678,0.187280936464923,0.168839376753828,0.177584135536222,0.01015046114331
497,0.868299663066864,0.013442852143933,0.602534532546997,0.016919808296355,True,,2,10,500,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 500}",0.846197827329903,0.857442348008386,0.843339050886221,0.868686868686869,0.853916523727844,0.010025663729459,378,0.860237596086653,0.87103741820723,0.864557524934883,0.879486690807446,0.868829807509053,0.007254674392263,0.380952380952381,0.428571428571429,0.435294117647059,0.388235294117647,0.408263305322129,0.02392745550404,45.07,0.846456692913386,0.84251968503937,0.885375494071146,0.861660079051383,0.859002987768821,0.016820211103166,0.853767189618439,0.864419910904513,0.850058117008911,0.87659821774506,0.861210858819231,0.010330303614328,375,0.86046361464454,0.871505133337638,0.864217458677686,0.879777892561983,0.868991024805462,0.007385474178025,0.652641736531917,0.660894136852882,0.662215967363311,0.677258016728582,0.663252464369173,0.008879457709311,498,0.935351163205716,0.940940941577112,0.944948326691275,0.945422874881586,0.941665826588922,0.004040131517627,0.988340807174888,0.989359343826203,0.989179440937782,0.988638846405943,0.988879609586204,0.000408753815831,993,0.997081930415264,0.997045135554406,0.997838079618309,0.997437962081839,0.997350776917454,0.000320452905938,0.045875534963331,0.060814206253715,0.054872615889498,0.060402044399279,0.055491100376456,0.006026907346445,430,0.138376956386799,0.149514371783521,0.14896938245515,0.162892869004142,0.149938394907403,0.008697758914384
498,0.108006060123444,0.006928630223773,0.083504796028137,0.004500309627139,False,16,1,5,50,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 16, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}",0.852296550409758,0.821993520106728,0.856870592719649,0.83285687059272,0.841004383457214,0.014204264518548,456,0.868178641763547,0.836859157613875,0.870211549456832,0.852423607140588,0.856918238993711,0.013472910180301,0.476190476190476,0.476190476190476,0.388235294117647,0.494117647058824,0.458683473389356,0.041326495497724,54.13,1,1,1,1,1,0,0.858415649815998,0.827619601007166,0.86458736923673,0.838434715226656,0.847264333821638,0.014902324451939,459,0.866016659133467,0.834183508749274,0.868091425619835,0.85001291322314,0.854576126681429,0.013695171333114,0.675934764763934,0.647064045451611,0.662564669416779,0.66725847254826,0.663205488045146,0.010481149587245,499,0.982219911137052,0.978427550869436,0.982680841268415,0.981770918400679,0.981274805418896,0.001675048371596,0.990169794459339,0.989807736854297,0.988482834994463,0.990162434225578,0.989655700133419,0.000692784276448,250,1,1,1,1,1,0,0.066618051409602,0.051028054973667,0.053301985724922,0.059636489370376,0.057646145369642,0.006064804422635,394,0.172593937192671,0.139677527692445,0.174610241719163,0.154101872282148,0.160245894721607,0.014314462542446
