N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
89,0.931,0.395,0.94,0.667,0.99,0.133,,,
90,0.932,0.355,0.942,0.648,0.989,0.122,,,
91,0.934,0.447,0.942,0.695,0.99,0.157,,,
92,0.936,0.434,0.944,0.689,0.99,0.158,,,
93,0.939,0.355,0.949,0.652,0.989,0.137,,,
94,0.938,0.316,0.948,0.632,0.988,0.119,,,
95,0.948,0.368,0.958,0.663,0.989,0.167,,,
96,0.935,0.395,0.944,0.669,0.99,0.141,,,
97,0.952,0.329,0.962,0.646,0.989,0.162,,,
98,0.937,0.355,0.946,0.651,0.989,0.131,,,
99,0.955,0.316,0.966,0.641,0.989,0.166,,,
