N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.753,0.553,0.756,0.654,0.99,0.038,,Accuracy,81.511
1,0.759,0.447,0.765,0.606,0.988,0.027,,StdAccuracy,0.067788574318102
2,0.818,0.618,0.821,0.72,0.992,0.071,,n,100
3,0.867,0.316,0.876,0.596,0.987,0.043,,Error estándar,0.00677885743181
4,0.75,0.513,0.753,0.633,0.99,0.033,,Valor crítico (95%),1.96
5,0.905,0.474,0.912,0.693,0.991,0.114,,Margen de error,1.33
6,0.844,0.342,0.852,0.597,0.988,0.038,,,
7,0.743,0.447,0.748,0.598,0.988,0.023,,,
8,0.859,0.434,0.866,0.65,0.989,0.063,,Specificity,46.91
9,0.771,0.526,0.775,0.651,0.99,0.04,,StdSpecificity,0.067580778451877
10,0.888,0.474,0.895,0.684,0.99,0.094,,n,100
11,0.853,0.474,0.859,0.666,0.99,0.067,,Error estándar,0.006758077845188
12,0.759,0.566,0.762,0.664,0.991,0.041,,Valor crítico (95%),1.96
13,0.854,0.513,0.859,0.686,0.991,0.075,,Margen de error,1.32
14,0.908,0.461,0.915,0.688,0.99,0.114,,,
15,0.849,0.408,0.856,0.632,0.989,0.052,,,
16,0.762,0.5,0.766,0.633,0.989,0.034,,ROC AUC,64.499
17,0.755,0.487,0.759,0.623,0.989,0.031,,StdRecall,0.039672521849499
18,0.77,0.553,0.773,0.663,0.991,0.043,,n,100
19,0.739,0.579,0.741,0.66,0.991,0.037,,Error estándar,0.00396725218495
20,0.877,0.526,0.883,0.705,0.991,0.096,,Valor crítico (95%),1.96
21,0.729,0.539,0.732,0.636,0.99,0.031,,Margen de error,0.78
22,0.854,0.487,0.86,0.674,0.99,0.07,,,
23,0.86,0.474,0.866,0.67,0.99,0.071,,,
24,0.9,0.447,0.908,0.678,0.99,0.102,,,
25,0.86,0.421,0.867,0.644,0.989,0.061,,,
26,0.76,0.474,0.765,0.619,0.989,0.03,,,
27,0.746,0.539,0.749,0.644,0.99,0.035,,,
28,0.878,0.408,0.886,0.647,0.989,0.071,,,
29,0.77,0.539,0.773,0.656,0.99,0.041,,,
30,0.848,0.395,0.855,0.625,0.989,0.049,,,
31,0.838,0.513,0.843,0.678,0.991,0.065,,,
32,0.858,0.421,0.865,0.643,0.989,0.06,,,
33,0.848,0.434,0.855,0.645,0.989,0.057,,,
34,0.896,0.395,0.904,0.649,0.989,0.083,,,
35,0.88,0.342,0.889,0.615,0.988,0.057,,,
36,0.859,0.526,0.865,0.695,0.991,0.081,,,
37,0.903,0.487,0.91,0.698,0.991,0.115,,,
38,0.752,0.632,0.754,0.693,0.992,0.047,,,
39,0.834,0.461,0.84,0.65,0.99,0.054,,,
40,0.763,0.566,0.766,0.666,0.991,0.042,,,
41,0.851,0.474,0.857,0.666,0.99,0.066,,,
42,0.894,0.447,0.902,0.675,0.99,0.095,,,
43,0.741,0.526,0.745,0.636,0.99,0.032,,,
44,0.871,0.474,0.877,0.675,0.99,0.079,,,
45,0.833,0.434,0.839,0.637,0.989,0.049,,,
46,0.836,0.461,0.842,0.651,0.99,0.055,,,
47,0.843,0.447,0.85,0.649,0.989,0.057,,,
48,0.833,0.355,0.841,0.598,0.988,0.036,,,
49,0.737,0.579,0.74,0.659,0.991,0.037,,,
50,0.622,0.526,0.623,0.575,0.988,0.012,,,
51,0.865,0.342,0.874,0.608,0.988,0.048,,,
52,0.752,0.513,0.756,0.635,0.99,0.033,,,
53,0.811,0.513,0.816,0.664,0.99,0.052,,,
54,0.766,0.566,0.77,0.668,0.991,0.044,,,
55,0.858,0.5,0.864,0.682,0.991,0.075,,,
56,0.873,0.395,0.881,0.638,0.989,0.064,,,
57,0.6,0.461,0.602,0.531,0.986,0.005,,,
58,0.603,0.434,0.606,0.52,0.985,0.003,,,
59,0.668,0.355,0.673,0.514,0.985,0.003,,,
60,0.682,0.421,0.686,0.554,0.986,0.011,,,
61,0.841,0.474,0.847,0.661,0.99,0.06,,,
62,0.826,0.5,0.831,0.666,0.99,0.057,,,
63,0.795,0.461,0.801,0.631,0.989,0.039,,,
64,0.853,0.447,0.86,0.654,0.99,0.062,,,
65,0.871,0.5,0.878,0.689,0.991,0.085,,,
66,0.74,0.5,0.744,0.622,0.989,0.029,,,
67,0.839,0.303,0.848,0.575,0.987,0.029,,,
68,0.866,0.447,0.872,0.66,0.99,0.07,,,
69,0.856,0.526,0.861,0.694,0.991,0.079,,,
70,0.881,0.421,0.889,0.655,0.989,0.076,,,
71,0.765,0.526,0.769,0.648,0.99,0.038,,,
72,0.78,0.579,0.784,0.681,0.991,0.05,,,
73,0.844,0.342,0.852,0.597,0.988,0.038,,,
74,0.873,0.474,0.879,0.677,0.99,0.081,,,
75,0.817,0.368,0.824,0.596,0.988,0.032,,,
76,0.83,0.447,0.836,0.642,0.989,0.05,,,
77,0.627,0.5,0.629,0.565,0.987,0.011,,,
78,0.816,0.395,0.823,0.609,0.988,0.036,,,
79,0.84,0.5,0.846,0.673,0.99,0.064,,,
80,0.802,0.474,0.808,0.641,0.989,0.043,,,
81,0.82,0.487,0.826,0.656,0.99,0.052,,,
82,0.881,0.395,0.889,0.642,0.989,0.07,,,
83,0.87,0.461,0.877,0.669,0.99,0.076,,,
84,0.862,0.5,0.867,0.684,0.991,0.078,,,
85,0.859,0.434,0.866,0.65,0.989,0.063,,,
86,0.872,0.434,0.879,0.657,0.99,0.072,,,
87,0.859,0.526,0.864,0.695,0.991,0.08,,,
88,0.749,0.579,0.752,0.665,0.991,0.04,,,
89,0.836,0.382,0.844,0.613,0.988,0.042,,,
90,0.842,0.421,0.849,0.635,0.989,0.052,,,
91,0.863,0.487,0.87,0.678,0.99,0.076,,,
92,0.735,0.566,0.738,0.652,0.99,0.035,,,
93,0.868,0.461,0.875,0.668,0.99,0.074,,,
94,0.851,0.5,0.857,0.679,0.991,0.071,,,
95,0.746,0.434,0.751,0.593,0.988,0.023,,,
96,0.846,0.487,0.852,0.669,0.99,0.065,,,
97,0.888,0.461,0.895,0.678,0.99,0.092,,,
98,0.804,0.316,0.812,0.564,0.986,0.02,,,
99,0.84,0.461,0.847,0.654,0.99,0.057,,,
