Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
GradientBoosting,2,0.4,0.953,0.967,0.976,0.065,0.051,0.02,0.104,0.536,0.057,0.046
GaussianNB,2,0.4,0.954,0.969,0.977,0.034,0.02,0.018,0.066,0.517,0.024,0.017
SGD,2,0.4,0.983,0.999,0.991,0.001,0.0,0.016,0.001,0.5,0.005,0.0
DecisionTree,2,0.4,0.897,0.908,0.943,0.061,0.056,0.021,0.215,0.562,0.051,0.04
ExtraTrees,2,0.4,0.9,0.911,0.945,0.062,0.058,0.022,0.217,0.564,0.051,0.04
BaggingClassifierDT,2,0.4,0.898,0.909,0.944,0.059,0.052,0.021,0.208,0.559,0.046,0.037
BaggingClassifierLSVC,2,0.4,0.98,0.996,0.99,0.008,0.003,0.016,0.006,0.501,0.017,0.003
SVC,2,0.5,0.979,0.994,0.989,0.008,0.005,0.017,0.009,0.502,0.03,0.003
SVC_Linear,2,0.5,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
LinearSVC,2,0.5,0.975,0.991,0.987,0.016,0.009,0.017,0.014,0.502,0.043,0.006
KNeighbors,2,0.5,0.691,0.696,0.789,0.039,0.02,0.018,0.367,0.532,0.021,0.01
RandomForest,2,0.5,0.872,0.883,0.928,0.049,0.044,0.02,0.23,0.556,0.052,0.026
AdaBoost,2,0.5,0.947,0.961,0.973,0.043,0.028,0.018,0.08,0.521,0.051,0.023
GradientBoosting,2,0.5,0.938,0.951,0.968,0.052,0.04,0.019,0.117,0.534,0.056,0.032
GaussianNB,2,0.5,0.882,0.894,0.926,0.041,0.022,0.018,0.15,0.522,0.027,0.017
SGD,2,0.5,0.946,0.961,0.969,0.014,0.008,0.017,0.053,0.507,0.034,0.004
DecisionTree,2,0.5,0.875,0.886,0.929,0.048,0.044,0.02,0.224,0.555,0.052,0.027
ExtraTrees,2,0.5,0.879,0.89,0.932,0.049,0.045,0.02,0.223,0.557,0.053,0.027
BaggingClassifierDT,2,0.5,0.881,0.892,0.934,0.048,0.044,0.02,0.22,0.556,0.05,0.026
BaggingClassifierLSVC,2,0.5,0.976,0.992,0.988,0.014,0.008,0.017,0.012,0.502,0.043,0.005
SVC,3,0.05,0.984,1.0,0.992,0.0,0.001,0.016,0.0,0.5,0.005,0.0
SVC_Linear,3,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,3,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
KNeighbors,3,0.05,0.9,0.913,0.94,0.086,0.071,0.026,0.12,0.517,0.123,0.071
RandomForest,3,0.05,0.971,0.983,0.985,0.142,0.139,0.046,0.183,0.583,0.146,0.131
AdaBoost,3,0.05,0.984,1.0,0.992,0.006,0.011,0.017,0.003,0.501,0.059,0.005
GradientBoosting,3,0.05,0.983,0.999,0.991,0.037,0.055,0.022,0.021,0.51,0.175,0.034
GaussianNB,3,0.05,0.979,0.995,0.989,0.009,0.003,0.016,0.007,0.501,0.013,0.003
SGD,3,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
DecisionTree,3,0.05,0.968,0.981,0.984,0.13,0.128,0.04,0.187,0.584,0.125,0.118
ExtraTrees,3,0.05,0.971,0.984,0.985,0.141,0.138,0.045,0.183,0.583,0.145,0.13
BaggingClassifierDT,3,0.05,0.973,0.986,0.986,0.142,0.139,0.044,0.169,0.578,0.161,0.131
BaggingClassifierLSVC,3,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
SVC,3,0.1,0.984,1.0,0.992,0.001,0.003,0.016,0.001,0.5,0.025,0.001
SVC_Linear,3,0.1,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
LinearSVC,3,0.1,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
KNeighbors,3,0.1,0.873,0.885,0.921,0.074,0.05,0.021,0.159,0.522,0.063,0.053
RandomForest,3,0.1,0.95,0.961,0.974,0.116,0.121,0.038,0.242,0.602,0.101,0.1
AdaBoost,3,0.1,0.983,0.999,0.991,0.011,0.014,0.017,0.006,0.502,0.058,0.009
GradientBoosting,3,0.1,0.981,0.997,0.991,0.061,0.068,0.024,0.039,0.518,0.151,0.055
GaussianNB,3,0.1,0.978,0.994,0.989,0.009,0.003,0.016,0.009,0.501,0.01,0.003
SGD,3,0.1,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
DecisionTree,3,0.1,0.943,0.954,0.97,0.098,0.105,0.032,0.245,0.599,0.085,0.08
ExtraTrees,3,0.1,0.95,0.961,0.974,0.114,0.12,0.038,0.244,0.602,0.101,0.098
BaggingClassifierDT,3,0.1,0.954,0.966,0.976,0.113,0.115,0.036,0.219,0.592,0.101,0.097
BaggingClassifierLSVC,3,0.1,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
SVC,3,0.2,0.984,1.0,0.992,0.003,0.007,0.017,0.001,0.501,0.052,0.002
SVC_Linear,3,0.2,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
LinearSVC,3,0.2,0.983,1.0,0.992,0.001,0.002,0.016,0.001,0.5,0.024,0.0
KNeighbors,3,0.2,0.848,0.858,0.905,0.062,0.042,0.02,0.212,0.535,0.039,0.036
RandomForest,3,0.2,0.909,0.919,0.951,0.094,0.099,0.03,0.297,0.608,0.064,0.071
AdaBoost,3,0.2,0.98,0.996,0.99,0.024,0.023,0.018,0.016,0.506,0.068,0.018
GradientBoosting,3,0.2,0.975,0.99,0.987,0.073,0.063,0.022,0.063,0.526,0.092,0.061
GaussianNB,3,0.2,0.963,0.979,0.98,0.013,0.004,0.016,0.029,0.504,0.011,0.004
SGD,3,0.2,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
DecisionTree,3,0.2,0.9,0.91,0.947,0.082,0.088,0.027,0.294,0.602,0.057,0.059
ExtraTrees,3,0.2,0.911,0.921,0.952,0.091,0.096,0.03,0.291,0.606,0.062,0.069
BaggingClassifierDT,3,0.2,0.918,0.928,0.957,0.089,0.091,0.028,0.264,0.596,0.06,0.067
BaggingClassifierLSVC,3,0.2,0.983,1.0,0.992,0.001,0.001,0.016,0.0,0.5,0.02,-0.0
SVC,3,0.3,0.984,1.0,0.992,0.002,0.005,0.017,0.001,0.5,0.039,0.002
SVC_Linear,3,0.3,0.984,1.0,0.992,0.002,0.005,0.017,0.001,0.5,0.047,0.001
LinearSVC,3,0.3,0.983,0.999,0.991,0.002,0.002,0.016,0.001,0.5,0.024,0.0
KNeighbors,3,0.3,0.804,0.813,0.878,0.053,0.038,0.02,0.279,0.546,0.03,0.025
RandomForest,3,0.3,0.873,0.882,0.931,0.082,0.09,0.028,0.347,0.615,0.051,0.057
AdaBoost,3,0.3,0.972,0.987,0.986,0.04,0.029,0.018,0.039,0.513,0.051,0.028
GradientBoosting,3,0.3,0.961,0.975,0.98,0.082,0.066,0.023,0.108,0.542,0.068,0.064
GaussianNB,3,0.3,0.902,0.915,0.943,0.028,0.012,0.017,0.11,0.513,0.02,0.01
SGD,3,0.3,0.984,1.0,0.992,0.002,0.004,0.016,0.001,0.5,0.032,0.001
DecisionTree,3,0.3,0.855,0.863,0.92,0.071,0.079,0.025,0.354,0.609,0.046,0.046
ExtraTrees,3,0.3,0.876,0.885,0.932,0.082,0.091,0.028,0.345,0.615,0.053,0.058
BaggingClassifierDT,3,0.3,0.883,0.892,0.936,0.078,0.083,0.026,0.316,0.604,0.049,0.053
BaggingClassifierLSVC,3,0.3,0.983,0.999,0.991,0.002,0.001,0.016,0.001,0.5,0.028,-0.0
SVC,3,0.4,0.984,1.0,0.992,0.001,0.001,0.016,0.0,0.5,0.01,-0.0
SVC_Linear,3,0.4,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,3,0.4,0.981,0.997,0.99,0.005,0.001,0.016,0.003,0.5,0.015,0.001
KNeighbors,3,0.4,0.804,0.812,0.885,0.05,0.039,0.02,0.299,0.556,0.028,0.021
RandomForest,3,0.4,0.832,0.839,0.906,0.071,0.08,0.026,0.397,0.618,0.041,0.044
AdaBoost,3,0.4,0.959,0.973,0.979,0.05,0.035,0.018,0.071,0.522,0.046,0.032
GradientBoosting,3,0.4,0.944,0.957,0.971,0.075,0.061,0.022,0.144,0.551,0.053,0.053
GaussianNB,3,0.4,0.844,0.855,0.907,0.032,0.017,0.017,0.19,0.522,0.02,0.011
SGD,3,0.4,0.938,0.953,0.956,0.006,0.003,0.016,0.057,0.505,0.01,0.001
DecisionTree,3,0.4,0.816,0.823,0.896,0.065,0.074,0.024,0.403,0.613,0.037,0.037
ExtraTrees,3,0.4,0.836,0.843,0.908,0.07,0.079,0.026,0.389,0.616,0.04,0.043
BaggingClassifierDT,3,0.4,0.844,0.851,0.914,0.069,0.077,0.025,0.369,0.61,0.04,0.043
BaggingClassifierLSVC,3,0.4,0.981,0.997,0.99,0.004,0.001,0.016,0.003,0.5,0.017,0.0
SVC,3,0.5,0.984,1.0,0.992,0.003,0.008,0.017,0.002,0.501,0.058,0.003
SVC_Linear,3,0.5,0.984,1.0,0.992,0.002,0.004,0.017,0.001,0.5,0.035,0.001
LinearSVC,3,0.5,0.979,0.995,0.989,0.014,0.011,0.017,0.011,0.503,0.045,0.008
KNeighbors,3,0.5,0.681,0.686,0.785,0.045,0.031,0.019,0.419,0.552,0.024,0.015
RandomForest,3,0.5,0.785,0.791,0.877,0.06,0.068,0.024,0.425,0.608,0.034,0.032
AdaBoost,3,0.5,0.94,0.954,0.969,0.054,0.037,0.019,0.106,0.53,0.039,0.032
GradientBoosting,3,0.5,0.914,0.926,0.955,0.064,0.053,0.021,0.187,0.557,0.041,0.039
GaussianNB,3,0.5,0.757,0.765,0.852,0.039,0.021,0.018,0.297,0.531,0.023,0.011
SGD,3,0.5,0.878,0.89,0.923,0.016,0.009,0.017,0.127,0.509,0.038,0.004
DecisionTree,3,0.5,0.773,0.778,0.868,0.056,0.061,0.023,0.426,0.602,0.032,0.028
ExtraTrees,3,0.5,0.791,0.797,0.88,0.059,0.065,0.023,0.412,0.604,0.034,0.031
BaggingClassifierDT,3,0.5,0.802,0.808,0.887,0.059,0.064,0.023,0.393,0.601,0.034,0.032
BaggingClassifierLSVC,3,0.5,0.979,0.995,0.989,0.013,0.009,0.017,0.011,0.503,0.033,0.007
SVC,4,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC_Linear,4,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
LinearSVC,4,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
KNeighbors,4,0.05,0.958,0.972,0.977,0.105,0.1,0.029,0.102,0.537,0.154,0.093
RandomForest,4,0.05,0.975,0.987,0.987,0.233,0.228,0.078,0.231,0.609,0.266,0.222
AdaBoost,4,0.05,0.984,1.0,0.992,0.005,0.01,0.017,0.003,0.501,0.059,0.004
GradientBoosting,4,0.05,0.983,0.999,0.991,0.051,0.076,0.026,0.029,0.514,0.231,0.048
GaussianNB,4,0.05,0.975,0.99,0.987,0.016,0.006,0.016,0.014,0.502,0.022,0.005
SGD,4,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
DecisionTree,4,0.05,0.964,0.976,0.982,0.173,0.169,0.048,0.247,0.611,0.153,0.157
ExtraTrees,4,0.05,0.974,0.986,0.987,0.224,0.218,0.071,0.238,0.612,0.236,0.212
BaggingClassifierDT,4,0.05,0.976,0.989,0.988,0.217,0.211,0.066,0.208,0.598,0.25,0.206
BaggingClassifierLSVC,4,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
SVC,4,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC_Linear,4,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,4,0.1,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.0
KNeighbors,4,0.1,0.927,0.94,0.958,0.085,0.066,0.023,0.133,0.537,0.073,0.066
RandomForest,4,0.1,0.958,0.97,0.978,0.169,0.163,0.052,0.251,0.61,0.14,0.152
AdaBoost,4,0.1,0.983,0.999,0.991,0.008,0.011,0.017,0.004,0.502,0.052,0.006
GradientBoosting,4,0.1,0.981,0.997,0.991,0.058,0.065,0.023,0.037,0.517,0.147,0.052
GaussianNB,4,0.1,0.968,0.984,0.984,0.023,0.009,0.017,0.023,0.504,0.026,0.008
SGD,4,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
DecisionTree,4,0.1,0.94,0.951,0.969,0.12,0.122,0.035,0.271,0.611,0.085,0.099
ExtraTrees,4,0.1,0.956,0.968,0.977,0.157,0.152,0.047,0.252,0.61,0.124,0.139
BaggingClassifierDT,4,0.1,0.961,0.973,0.98,0.158,0.15,0.046,0.233,0.603,0.125,0.14
BaggingClassifierLSVC,4,0.1,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.0
SVC,4,0.2,0.984,1.0,0.992,0.001,0.002,0.016,0.001,0.5,0.017,0.001
SVC_Linear,4,0.2,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
LinearSVC,4,0.2,0.983,0.999,0.992,0.001,-0.0,0.016,0.0,0.5,0.02,-0.001
KNeighbors,4,0.2,0.886,0.898,0.932,0.064,0.049,0.02,0.195,0.547,0.041,0.04
RandomForest,4,0.2,0.912,0.921,0.953,0.111,0.116,0.035,0.319,0.62,0.071,0.087
AdaBoost,4,0.2,0.979,0.995,0.99,0.025,0.022,0.017,0.017,0.506,0.059,0.018
GradientBoosting,4,0.2,0.974,0.989,0.987,0.088,0.076,0.024,0.078,0.533,0.104,0.075
GaussianNB,4,0.2,0.95,0.965,0.974,0.03,0.013,0.017,0.052,0.508,0.024,0.012
SGD,4,0.2,0.984,1.0,0.992,0.001,0.002,0.016,0.0,0.5,0.02,0.0
DecisionTree,4,0.2,0.883,0.891,0.937,0.084,0.093,0.028,0.346,0.619,0.05,0.058
ExtraTrees,4,0.2,0.909,0.919,0.952,0.104,0.11,0.033,0.317,0.618,0.066,0.081
BaggingClassifierDT,4,0.2,0.922,0.932,0.959,0.104,0.107,0.032,0.286,0.609,0.066,0.081
BaggingClassifierLSVC,4,0.2,0.983,0.999,0.992,0.001,0.0,0.016,0.0,0.5,0.02,-0.0
SVC,4,0.3,0.984,1.0,0.992,0.002,0.004,0.017,0.001,0.5,0.035,0.001
SVC_Linear,4,0.3,0.984,1.0,0.992,0.001,0.001,0.016,0.0,0.5,0.01,0.0
LinearSVC,4,0.3,0.983,0.999,0.991,0.002,-0.0,0.016,0.001,0.5,0.011,-0.0
KNeighbors,4,0.3,0.85,0.86,0.912,0.054,0.041,0.02,0.241,0.55,0.031,0.027
RandomForest,4,0.3,0.87,0.878,0.929,0.091,0.102,0.031,0.379,0.628,0.054,0.066
AdaBoost,4,0.3,0.97,0.985,0.985,0.044,0.031,0.018,0.046,0.515,0.049,0.03
GradientBoosting,4,0.3,0.961,0.975,0.98,0.087,0.071,0.023,0.117,0.546,0.07,0.068
GaussianNB,4,0.3,0.892,0.904,0.939,0.039,0.02,0.017,0.135,0.52,0.029,0.016
SGD,4,0.3,0.984,1.0,0.992,0.002,0.003,0.016,0.001,0.5,0.03,0.001
DecisionTree,4,0.3,0.825,0.832,0.903,0.069,0.081,0.026,0.414,0.623,0.039,0.042
ExtraTrees,4,0.3,0.867,0.875,0.927,0.087,0.098,0.03,0.377,0.626,0.051,0.061
BaggingClassifierDT,4,0.3,0.885,0.893,0.938,0.087,0.097,0.029,0.346,0.62,0.052,0.062
BaggingClassifierLSVC,4,0.3,0.983,0.999,0.991,0.001,-0.001,0.016,0.001,0.5,0.01,-0.001
SVC,4,0.4,0.984,1.0,0.992,0.002,0.004,0.016,0.001,0.5,0.027,0.002
SVC_Linear,4,0.4,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,4,0.4,0.98,0.996,0.99,0.011,0.007,0.017,0.007,0.501,0.038,0.005
KNeighbors,4,0.4,0.812,0.821,0.893,0.051,0.041,0.02,0.297,0.559,0.028,0.022
RandomForest,4,0.4,0.831,0.838,0.906,0.081,0.095,0.029,0.433,0.635,0.045,0.053
AdaBoost,4,0.4,0.947,0.96,0.973,0.063,0.047,0.02,0.11,0.535,0.047,0.042
GradientBoosting,4,0.4,0.936,0.948,0.967,0.083,0.071,0.024,0.18,0.564,0.054,0.059
GaussianNB,4,0.4,0.83,0.84,0.9,0.041,0.021,0.018,0.211,0.525,0.025,0.014
SGD,4,0.4,0.94,0.954,0.957,0.01,0.008,0.017,0.052,0.503,0.043,0.004
DecisionTree,4,0.4,0.785,0.79,0.877,0.064,0.076,0.025,0.457,0.623,0.035,0.036
ExtraTrees,4,0.4,0.831,0.837,0.906,0.079,0.094,0.029,0.433,0.635,0.044,0.052
BaggingClassifierDT,4,0.4,0.842,0.85,0.913,0.078,0.09,0.028,0.407,0.628,0.043,0.05
BaggingClassifierLSVC,4,0.4,0.98,0.996,0.99,0.009,0.004,0.016,0.006,0.501,0.026,0.003
SVC,4,0.5,0.979,0.995,0.989,0.005,0.006,0.017,0.006,0.5,0.05,0.002
SVC_Linear,4,0.5,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,4,0.5,0.972,0.988,0.986,0.02,0.009,0.017,0.02,0.504,0.029,0.008
KNeighbors,4,0.5,0.743,0.749,0.846,0.046,0.036,0.019,0.371,0.56,0.025,0.016
RandomForest,4,0.5,0.787,0.792,0.879,0.067,0.079,0.026,0.461,0.627,0.036,0.038
AdaBoost,4,0.5,0.923,0.936,0.96,0.057,0.04,0.019,0.141,0.538,0.037,0.032
GradientBoosting,4,0.5,0.903,0.914,0.949,0.069,0.06,0.022,0.221,0.568,0.041,0.043
GaussianNB,4,0.5,0.724,0.73,0.828,0.041,0.023,0.018,0.343,0.537,0.022,0.011
SGD,4,0.5,0.843,0.854,0.895,0.022,0.008,0.017,0.161,0.508,0.019,0.005
DecisionTree,4,0.5,0.74,0.744,0.848,0.058,0.068,0.023,0.494,0.619,0.031,0.028
ExtraTrees,4,0.5,0.787,0.792,0.878,0.066,0.078,0.025,0.457,0.625,0.036,0.037
BaggingClassifierDT,4,0.5,0.805,0.811,0.891,0.066,0.076,0.025,0.427,0.619,0.036,0.038
BaggingClassifierLSVC,4,0.5,0.974,0.99,0.987,0.019,0.01,0.017,0.018,0.504,0.031,0.008
SVC,5,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
SVC_Linear,5,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
LinearSVC,5,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
KNeighbors,5,0.05,0.962,0.976,0.979,0.097,0.094,0.028,0.088,0.532,0.155,0.087
RandomForest,5,0.05,0.975,0.988,0.988,0.241,0.238,0.087,0.228,0.608,0.289,0.23
AdaBoost,5,0.05,0.984,1.0,0.992,0.006,0.015,0.017,0.003,0.501,0.096,0.005
GradientBoosting,5,0.05,0.983,0.998,0.991,0.056,0.085,0.027,0.032,0.515,0.257,0.053
GaussianNB,5,0.05,0.971,0.986,0.985,0.017,0.004,0.016,0.017,0.502,0.021,0.004
SGD,5,0.05,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
DecisionTree,5,0.05,0.958,0.969,0.978,0.162,0.158,0.046,0.261,0.615,0.126,0.144
ExtraTrees,5,0.05,0.973,0.985,0.986,0.224,0.215,0.074,0.237,0.611,0.23,0.211
BaggingClassifierDT,5,0.05,0.977,0.99,0.988,0.231,0.225,0.075,0.214,0.602,0.269,0.22
BaggingClassifierLSVC,5,0.05,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC,5,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC_Linear,5,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,5,0.1,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.0
KNeighbors,5,0.1,0.961,0.975,0.979,0.088,0.072,0.023,0.105,0.54,0.081,0.071
RandomForest,5,0.1,0.962,0.974,0.981,0.219,0.21,0.071,0.276,0.625,0.197,0.203
AdaBoost,5,0.1,0.983,0.999,0.991,0.014,0.023,0.018,0.008,0.503,0.113,0.011
GradientBoosting,5,0.1,0.981,0.997,0.991,0.082,0.096,0.028,0.052,0.524,0.211,0.076
GaussianNB,5,0.1,0.96,0.975,0.979,0.022,0.006,0.017,0.03,0.502,0.022,0.006
SGD,5,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
