Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
SVC_Linear,5,0.5,0.591,0.593,0.74,0.037,0.021,0.018,0.49,0.541,0.019,0.006
SVC_Linear,4,0.2,0.595,0.597,0.743,0.037,0.022,0.018,0.489,0.543,0.019,0.007
SVC_Linear,5,0.2,0.592,0.593,0.741,0.037,0.021,0.018,0.489,0.541,0.019,0.006
SVC_Linear,4,0.4,0.592,0.594,0.741,0.037,0.02,0.018,0.486,0.54,0.019,0.006
BaggingClassifierLSVC,5,0.2,0.602,0.604,0.749,0.037,0.022,0.018,0.48,0.542,0.019,0.007
GaussianNB,4,0.2,0.881,0.893,0.935,0.036,0.013,0.017,0.138,0.515,0.022,0.009
SVC,5,0.2,0.513,0.512,0.672,0.036,0.021,0.018,0.572,0.542,0.019,0.005
SVC_Linear,5,0.4,0.584,0.586,0.734,0.036,0.019,0.018,0.488,0.537,0.019,0.006
GaussianNB,5,0.4,0.737,0.744,0.841,0.036,0.014,0.017,0.301,0.523,0.019,0.006
SGD,5,0.4,0.586,0.588,0.687,0.035,0.016,0.017,0.464,0.526,0.019,0.006
AdaBoost,3,0.2,0.976,0.992,0.988,0.034,0.026,0.018,0.027,0.509,0.053,0.024
SGD,2,0.1,0.567,0.568,0.663,0.034,0.013,0.017,0.464,0.516,0.028,0.007
GaussianNB,2,0.2,0.931,0.945,0.964,0.034,0.014,0.017,0.079,0.512,0.023,0.011
GaussianNB,3,0.2,0.905,0.918,0.949,0.034,0.012,0.017,0.108,0.513,0.021,0.009
SGD,3,0.3,0.445,0.443,0.544,0.034,0.01,0.017,0.587,0.515,0.019,0.005
SGD,4,0.3,0.474,0.473,0.592,0.034,0.01,0.017,0.563,0.518,0.019,0.004
SGD,5,0.5,0.486,0.485,0.588,0.034,0.011,0.017,0.547,0.516,0.019,0.004
SGD,3,0.5,0.531,0.532,0.637,0.034,0.013,0.017,0.509,0.521,0.019,0.005
SGD,4,0.2,0.526,0.527,0.637,0.034,0.007,0.017,0.494,0.51,0.019,0.004
GaussianNB,5,0.2,0.834,0.845,0.908,0.034,0.008,0.017,0.178,0.511,0.019,0.005
AdaBoost,4,0.2,0.977,0.992,0.988,0.033,0.024,0.017,0.026,0.509,0.05,0.023
SGD,4,0.5,0.518,0.518,0.611,0.033,0.012,0.017,0.515,0.517,0.029,0.004
SGD,2,0.2,0.55,0.552,0.638,0.033,0.01,0.017,0.467,0.509,0.025,0.007
SGD,5,0.3,0.465,0.464,0.561,0.033,0.008,0.017,0.564,0.514,0.018,0.003
SGD,5,0.1,0.524,0.524,0.634,0.033,0.01,0.017,0.509,0.516,0.018,0.003
SGD,2,0.4,0.715,0.722,0.782,0.032,0.016,0.017,0.318,0.52,0.029,0.009
SGD,4,0.4,0.658,0.662,0.752,0.032,0.013,0.017,0.378,0.52,0.024,0.005
SGD,3,0.4,0.661,0.666,0.746,0.032,0.015,0.017,0.378,0.522,0.022,0.006
GaussianNB,5,0.1,0.904,0.917,0.949,0.032,0.009,0.017,0.101,0.509,0.021,0.007
SGD,3,0.1,0.509,0.508,0.605,0.032,0.01,0.017,0.526,0.517,0.018,0.003
SGD,2,0.3,0.455,0.453,0.551,0.032,0.011,0.017,0.585,0.519,0.017,0.003
SGD,4,0.1,0.487,0.486,0.591,0.032,0.007,0.017,0.542,0.514,0.017,0.002
SGD,3,0.05,0.619,0.622,0.711,0.031,0.017,0.018,0.417,0.52,0.058,0.006
AdaBoost,2,0.2,0.978,0.993,0.989,0.031,0.025,0.018,0.023,0.508,0.057,0.022
SGD,3,0.2,0.515,0.515,0.593,0.031,0.007,0.017,0.506,0.51,0.02,0.004
SGD,4,0.05,0.595,0.598,0.684,0.031,0.009,0.017,0.429,0.514,0.02,0.004
SGD,5,0.2,0.564,0.565,0.66,0.031,0.004,0.017,0.45,0.508,0.017,0.002
SGD,2,0.5,0.544,0.546,0.616,0.03,0.007,0.017,0.477,0.511,0.018,0.003
SGD,5,0.05,0.582,0.584,0.69,0.03,0.006,0.017,0.438,0.511,0.016,0.002
SGD,2,0.05,0.596,0.598,0.646,0.029,0.012,0.017,0.429,0.514,0.029,0.006
GaussianNB,2,0.1,0.955,0.97,0.977,0.029,0.01,0.017,0.041,0.506,0.025,0.01
AdaBoost,5,0.2,0.976,0.992,0.988,0.027,0.018,0.017,0.021,0.507,0.04,0.017
GaussianNB,4,0.1,0.936,0.95,0.967,0.027,0.006,0.017,0.059,0.505,0.02,0.005
GaussianNB,3,0.1,0.952,0.966,0.975,0.025,0.004,0.016,0.039,0.503,0.019,0.004
GaussianNB,5,0.05,0.941,0.956,0.97,0.025,0.002,0.016,0.048,0.502,0.018,0.002
GaussianNB,3,0.05,0.962,0.977,0.981,0.022,0.004,0.016,0.027,0.502,0.021,0.004
GaussianNB,4,0.05,0.953,0.968,0.976,0.019,0,0.016,0.03,0.499,0.017,0
GaussianNB,2,0.05,0.968,0.984,0.984,0.018,0.003,0.016,0.019,0.501,0.02,0.003
AdaBoost,2,0.1,0.982,0.998,0.991,0.015,0.02,0.018,0.008,0.503,0.085,0.012
AdaBoost,5,0.1,0.982,0.998,0.991,0.011,0.015,0.017,0.006,0.502,0.067,0.008
AdaBoost,3,0.1,0.982,0.998,0.991,0.01,0.012,0.017,0.006,0.502,0.051,0.007
AdaBoost,4,0.1,0.982,0.998,0.991,0.008,0.009,0.017,0.005,0.502,0.039,0.006
AdaBoost,2,0.05,0.984,1,0.992,0.007,0.018,0.018,0.004,0.502,0.116,0.006
AdaBoost,5,0.05,0.983,1,0.992,0.006,0.01,0.017,0.003,0.501,0.052,0.005
AdaBoost,3,0.05,0.984,1,0.992,0.004,0.01,0.017,0.002,0.501,0.077,0.003
AdaBoost,4,0.05,0.984,1,0.992,0.004,0.007,0.017,0.002,0.501,0.053,0.003
