Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
ExtraTrees,3,0.3,0.912,0.921,0.954,0.128,0.144,0.041,0.395,0.658,0.077,0.104
ExtraTrees,2,0.3,0.907,0.915,0.951,0.128,0.147,0.041,0.42,0.667,0.075,0.103
BaggingClassifierDT,5,0.3,0.929,0.939,0.963,0.127,0.131,0.037,0.317,0.628,0.079,0.104
RandomForest,3,0.4,0.903,0.911,0.949,0.123,0.143,0.04,0.424,0.667,0.072,0.098
BaggingClassifierDT,2,0.3,0.912,0.921,0.954,0.121,0.135,0.038,0.374,0.648,0.073,0.097
GradientBoosting,5,0.2,0.975,0.989,0.987,0.117,0.106,0.03,0.105,0.547,0.138,0.105
GradientBoosting,3,0.2,0.974,0.988,0.987,0.116,0.105,0.03,0.107,0.548,0.133,0.103
RandomForest,4,0.4,0.905,0.914,0.95,0.116,0.131,0.037,0.384,0.649,0.068,0.091
GradientBoosting,4,0.3,0.96,0.973,0.979,0.111,0.097,0.028,0.156,0.564,0.087,0.092
GradientBoosting,4,0.2,0.974,0.988,0.987,0.11,0.099,0.028,0.101,0.545,0.127,0.098
ExtraTrees,4,0.3,0.906,0.915,0.95,0.11,0.121,0.034,0.358,0.636,0.065,0.085
KNeighbors,2,0.05,0.978,0.993,0.989,0.109,0.106,0.029,0.082,0.538,0.165,0.099
GradientBoosting,2,0.2,0.974,0.988,0.987,0.108,0.096,0.027,0.098,0.543,0.123,0.095
GradientBoosting,3,0.3,0.96,0.973,0.979,0.108,0.094,0.028,0.151,0.562,0.087,0.09
GradientBoosting,5,0.3,0.959,0.972,0.979,0.107,0.092,0.027,0.151,0.562,0.083,0.088
RandomForest,2,0.4,0.881,0.889,0.936,0.106,0.127,0.036,0.434,0.661,0.061,0.08
ExtraTrees,3,0.4,0.879,0.886,0.935,0.106,0.128,0.036,0.442,0.664,0.06,0.08
RandomForest,5,0.4,0.903,0.912,0.949,0.104,0.114,0.032,0.348,0.63,0.061,0.079
BaggingClassifierDT,3,0.4,0.887,0.895,0.94,0.104,0.121,0.034,0.407,0.651,0.06,0.078
BaggingClassifierDT,4,0.4,0.894,0.902,0.943,0.103,0.116,0.033,0.376,0.639,0.06,0.077
BaggingClassifierDT,5,0.4,0.893,0.902,0.943,0.098,0.108,0.031,0.357,0.63,0.057,0.072
ExtraTrees,2,0.4,0.865,0.872,0.927,0.098,0.12,0.034,0.45,0.661,0.055,0.071
KNeighbors,3,0.05,0.98,0.994,0.99,0.096,0.098,0.028,0.069,0.532,0.168,0.088
GradientBoosting,5,0.4,0.935,0.947,0.967,0.096,0.088,0.026,0.211,0.579,0.062,0.073
GradientBoosting,3,0.4,0.936,0.948,0.967,0.096,0.088,0.026,0.21,0.579,0.062,0.073
DecisionTree,3,0.2,0.862,0.869,0.925,0.096,0.118,0.034,0.453,0.661,0.054,0.069
KNeighbors,2,0.1,0.968,0.982,0.984,0.095,0.079,0.024,0.106,0.544,0.087,0.079
GradientBoosting,4,0.4,0.934,0.946,0.966,0.095,0.087,0.026,0.211,0.579,0.061,0.071
RandomForest,3,0.5,0.86,0.867,0.924,0.095,0.117,0.033,0.453,0.66,0.053,0.068
BaggingClassifierDT,2,0.4,0.873,0.88,0.931,0.095,0.111,0.032,0.411,0.645,0.053,0.068
GradientBoosting,5,0.1,0.981,0.997,0.991,0.094,0.11,0.031,0.06,0.528,0.236,0.088
GradientBoosting,2,0.3,0.958,0.971,0.979,0.094,0.079,0.024,0.136,0.554,0.073,0.075
ExtraTrees,5,0.3,0.897,0.907,0.946,0.094,0.1,0.03,0.327,0.617,0.055,0.068
DecisionTree,2,0.2,0.863,0.87,0.926,0.094,0.115,0.033,0.444,0.657,0.053,0.068
GradientBoosting,3,0.1,0.981,0.996,0.991,0.093,0.107,0.03,0.06,0.528,0.221,0.087
DecisionTree,4,0.2,0.861,0.869,0.925,0.091,0.109,0.031,0.429,0.649,0.051,0.064
DecisionTree,5,0.2,0.861,0.868,0.925,0.091,0.109,0.031,0.428,0.648,0.051,0.064
RandomForest,4,0.5,0.861,0.868,0.925,0.09,0.107,0.031,0.423,0.646,0.05,0.063
ExtraTrees,4,0.4,0.865,0.872,0.927,0.089,0.105,0.031,0.407,0.64,0.05,0.062
GradientBoosting,4,0.1,0.982,0.997,0.991,0.088,0.106,0.03,0.056,0.526,0.237,0.083
GradientBoosting,2,0.4,0.933,0.945,0.965,0.087,0.078,0.024,0.198,0.572,0.056,0.064
BaggingClassifierDT,3,0.5,0.85,0.857,0.918,0.087,0.106,0.031,0.442,0.649,0.048,0.06
KNeighbors,3,0.1,0.968,0.982,0.984,0.086,0.071,0.023,0.096,0.539,0.08,0.07
BaggingClassifierDT,4,0.5,0.856,0.863,0.922,0.086,0.101,0.03,0.417,0.64,0.048,0.058
BaggingClassifierDT,5,0.5,0.86,0.867,0.924,0.086,0.101,0.03,0.407,0.637,0.048,0.059
RandomForest,5,0.5,0.856,0.863,0.922,0.084,0.099,0.029,0.411,0.637,0.047,0.057
GradientBoosting,3,0.05,0.983,0.999,0.992,0.083,0.124,0.036,0.048,0.523,0.358,0.08
ExtraTrees,3,0.5,0.83,0.836,0.906,0.083,0.105,0.031,0.474,0.655,0.046,0.056
RandomForest,2,0.5,0.836,0.842,0.91,0.083,0.103,0.03,0.458,0.65,0.046,0.056
BaggingClassifierDT,2,0.5,0.84,0.846,0.912,0.082,0.101,0.03,0.445,0.646,0.045,0.055
GradientBoosting,2,0.1,0.981,0.997,0.991,0.08,0.094,0.027,0.051,0.524,0.206,0.074
GradientBoosting,4,0.5,0.902,0.912,0.948,0.08,0.077,0.025,0.263,0.588,0.047,0.054
GradientBoosting,5,0.5,0.899,0.91,0.947,0.079,0.076,0.024,0.264,0.587,0.047,0.053
ExtraTrees,2,0.5,0.816,0.822,0.898,0.079,0.099,0.029,0.479,0.651,0.043,0.051
GradientBoosting,3,0.5,0.901,0.911,0.947,0.078,0.075,0.024,0.26,0.585,0.046,0.052
DecisionTree,3,0.3,0.811,0.817,0.895,0.078,0.099,0.029,0.491,0.654,0.042,0.049
GradientBoosting,4,0.05,0.983,0.999,0.992,0.077,0.12,0.033,0.043,0.521,0.374,0.073
KNeighbors,4,0.05,0.98,0.995,0.99,0.077,0.081,0.025,0.053,0.524,0.158,0.07
DecisionTree,2,0.3,0.812,0.817,0.895,0.077,0.099,0.029,0.49,0.654,0.042,0.049
KNeighbors,4,0.1,0.969,0.984,0.984,0.076,0.061,0.021,0.079,0.532,0.074,0.06
GradientBoosting,2,0.5,0.899,0.909,0.946,0.076,0.072,0.024,0.257,0.583,0.045,0.05
ExtraTrees,5,0.4,0.854,0.861,0.92,0.076,0.085,0.026,0.375,0.618,0.042,0.048
GradientBoosting,2,0.05,0.983,0.998,0.991,0.075,0.112,0.032,0.043,0.521,0.335,0.071
DecisionTree,4,0.3,0.809,0.814,0.893,0.075,0.094,0.028,0.478,0.646,0.04,0.046
ExtraTrees,4,0.5,0.817,0.823,0.898,0.072,0.086,0.027,0.438,0.631,0.039,0.044
DecisionTree,5,0.3,0.804,0.81,0.891,0.071,0.088,0.027,0.468,0.639,0.039,0.043
GradientBoosting,5,0.05,0.983,0.999,0.992,0.07,0.106,0.031,0.04,0.519,0.321,0.067
DecisionTree,3,0.4,0.768,0.772,0.867,0.069,0.09,0.027,0.529,0.65,0.037,0.04
KNeighbors,5,0.1,0.969,0.984,0.984,0.067,0.052,0.02,0.069,0.527,0.067,0.052
KNeighbors,2,0.2,0.932,0.944,0.965,0.067,0.053,0.021,0.154,0.549,0.043,0.043
ExtraTrees,5,0.5,0.806,0.812,0.892,0.066,0.076,0.025,0.424,0.618,0.036,0.037
DecisionTree,2,0.4,0.763,0.766,0.864,0.066,0.086,0.027,0.524,0.645,0.035,0.037
KNeighbors,3,0.2,0.933,0.946,0.965,0.065,0.05,0.02,0.145,0.545,0.042,0.041
DecisionTree,4,0.4,0.764,0.768,0.865,0.064,0.08,0.025,0.5,0.634,0.034,0.035
KNeighbors,5,0.05,0.98,0.995,0.99,0.063,0.066,0.022,0.043,0.519,0.133,0.056
KNeighbors,4,0.2,0.934,0.947,0.966,0.063,0.047,0.02,0.139,0.543,0.041,0.039
AdaBoost,3,0.4,0.937,0.95,0.967,0.062,0.046,0.02,0.131,0.54,0.041,0.039
DecisionTree,5,0.4,0.76,0.764,0.862,0.062,0.077,0.025,0.497,0.63,0.033,0.033
AdaBoost,5,0.4,0.935,0.948,0.966,0.061,0.045,0.02,0.13,0.539,0.041,0.038
DecisionTree,2,0.5,0.721,0.724,0.836,0.061,0.08,0.025,0.562,0.643,0.032,0.032
DecisionTree,3,0.5,0.729,0.732,0.842,0.061,0.079,0.025,0.545,0.639,0.032,0.032
DecisionTree,5,0.5,0.72,0.723,0.836,0.059,0.074,0.024,0.54,0.632,0.031,0.029
DecisionTree,4,0.5,0.726,0.729,0.839,0.059,0.075,0.025,0.537,0.633,0.031,0.03
AdaBoost,4,0.4,0.934,0.947,0.966,0.058,0.041,0.019,0.127,0.537,0.038,0.035
KNeighbors,5,0.2,0.936,0.949,0.967,0.057,0.04,0.019,0.122,0.536,0.037,0.033
AdaBoost,4,0.5,0.896,0.908,0.945,0.057,0.044,0.02,0.194,0.551,0.034,0.031
AdaBoost,3,0.5,0.9,0.912,0.947,0.057,0.044,0.02,0.187,0.549,0.034,0.031
KNeighbors,2,0.3,0.884,0.895,0.938,0.057,0.046,0.02,0.218,0.556,0.033,0.03
AdaBoost,2,0.4,0.941,0.955,0.97,0.056,0.039,0.019,0.109,0.532,0.039,0.033
AdaBoost,2,0.5,0.905,0.917,0.95,0.056,0.041,0.019,0.171,0.544,0.033,0.029
KNeighbors,3,0.3,0.886,0.897,0.939,0.055,0.043,0.02,0.208,0.553,0.032,0.028
AdaBoost,3,0.3,0.963,0.977,0.981,0.054,0.037,0.019,0.067,0.522,0.047,0.036
AdaBoost,5,0.5,0.894,0.906,0.944,0.054,0.04,0.019,0.187,0.546,0.032,0.028
KNeighbors,4,0.3,0.886,0.897,0.939,0.053,0.039,0.019,0.199,0.548,0.031,0.026
AdaBoost,2,0.3,0.964,0.979,0.982,0.052,0.036,0.018,0.063,0.521,0.048,0.035
AdaBoost,4,0.3,0.961,0.976,0.98,0.052,0.034,0.018,0.066,0.521,0.044,0.033
AdaBoost,5,0.3,0.961,0.975,0.98,0.051,0.033,0.018,0.066,0.521,0.043,0.032
KNeighbors,3,0.4,0.831,0.84,0.907,0.051,0.042,0.02,0.282,0.561,0.028,0.022
KNeighbors,2,0.4,0.831,0.84,0.907,0.051,0.041,0.02,0.279,0.56,0.028,0.022
KNeighbors,5,0.3,0.886,0.898,0.94,0.05,0.035,0.019,0.186,0.542,0.029,0.023
KNeighbors,4,0.4,0.835,0.844,0.909,0.048,0.036,0.019,0.261,0.552,0.027,0.02
KNeighbors,2,0.5,0.779,0.786,0.875,0.048,0.039,0.02,0.342,0.564,0.026,0.018
KNeighbors,5,0.4,0.834,0.844,0.909,0.047,0.033,0.019,0.253,0.548,0.026,0.018
KNeighbors,3,0.5,0.779,0.786,0.875,0.047,0.039,0.019,0.342,0.564,0.025,0.018
KNeighbors,4,0.5,0.775,0.782,0.872,0.045,0.034,0.019,0.329,0.555,0.024,0.015
KNeighbors,5,0.5,0.779,0.786,0.875,0.043,0.03,0.018,0.31,0.548,0.023,0.014
GaussianNB,2,0.4,0.756,0.763,0.855,0.04,0.023,0.018,0.31,0.537,0.022,0.011
GaussianNB,3,0.5,0.73,0.736,0.839,0.039,0.021,0.018,0.333,0.535,0.021,0.009
GaussianNB,4,0.4,0.748,0.755,0.85,0.039,0.019,0.018,0.307,0.531,0.021,0.009
LinearSVC,2,0.1,0.567,0.567,0.72,0.039,0.029,0.018,0.547,0.557,0.02,0.008
LinearSVC,2,0.05,0.568,0.568,0.721,0.039,0.028,0.018,0.544,0.556,0.02,0.008
LinearSVC,3,0.05,0.563,0.564,0.717,0.039,0.027,0.018,0.543,0.554,0.02,0.008
LinearSVC,2,0.2,0.568,0.568,0.721,0.039,0.028,0.018,0.542,0.555,0.02,0.008
