Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
LinearSVC,2,0.1,0.984,1,0.992,0,0.001,0.016,0,0.5,0.005,0
SGD,2,0.1,0.984,1,0.992,0,0.001,0.016,0,0.5,0.005,0
BaggingClassifierLSVC,2,0.1,0.984,1,0.992,0,0.001,0.016,0,0.5,0.005,0
SVC,2,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
LinearSVC,2,0.2,0.983,0.999,0.992,0,-0.002,0.016,0,0.5,0.003,-0.001
SGD,2,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0.005,0
BaggingClassifierLSVC,2,0.2,0.983,0.999,0.992,0,-0.001,0.016,0,0.5,0.005,0
SVC,3,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,3,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,3,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,3,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,3,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,3,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,3,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,3,0.1,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SGD,3,0.1,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
BaggingClassifierLSVC,3,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,3,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC,3,0.3,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC_Linear,3,0.3,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC,3,0.4,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC_Linear,3,0.5,0.983,0.999,0.991,0,-0.001,0.016,0,0.5,0,-0.001
SVC,4,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,4,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,4,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,4,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,4,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,4,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,4,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,4,0.1,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC,4,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,4,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
BaggingClassifierLSVC,4,0.2,0.983,0.999,0.992,0,-0.002,0.016,0,0.5,0.002,-0.001
SVC,4,0.3,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,4,0.3,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC,5,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,5,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,5,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,5,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,5,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,5,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,5,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,5,0.1,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SGD,5,0.1,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
BaggingClassifierLSVC,5,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,5,0.2,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,5,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
LinearSVC,5,0.2,0.983,0.999,0.992,0,-0.003,0.016,0,0.5,0,-0.001
SGD,5,0.2,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
BaggingClassifierLSVC,5,0.2,0.983,0.999,0.992,0,-0.002,0.016,0,0.5,0,-0.001
SVC,5,0.3,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,5,0.3,0.984,1,0.992,0,-0.001,0.016,0,0.5,0,0
SVC_Linear,5,0.5,0.983,0.999,0.991,0,0,0.016,0,0.5,0.005,0
