Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,3,0.4,0.893,0.901,0.943,0.113,0.132,0.037,0.418,0.66,0.065,0.087
GradientBoosting,4,0.2,0.974,0.988,0.987,0.112,0.101,0.029,0.103,0.546,0.128,0.1
GradientBoosting,3,0.3,0.959,0.972,0.979,0.111,0.096,0.028,0.155,0.564,0.088,0.092
ExtraTrees,4,0.3,0.905,0.914,0.95,0.111,0.123,0.035,0.365,0.639,0.065,0.086
KNeighbors,2,0.05,0.979,0.993,0.989,0.11,0.107,0.03,0.083,0.538,0.169,0.1
RandomForest,4,0.4,0.895,0.903,0.944,0.109,0.125,0.035,0.397,0.65,0.063,0.084
GradientBoosting,4,0.3,0.959,0.972,0.979,0.108,0.094,0.027,0.154,0.563,0.084,0.089
GradientBoosting,2,0.2,0.973,0.987,0.986,0.107,0.094,0.027,0.101,0.544,0.117,0.094
RandomForest,2,0.4,0.877,0.884,0.934,0.103,0.124,0.035,0.435,0.66,0.058,0.077
GradientBoosting,2,0.3,0.959,0.972,0.979,0.102,0.088,0.026,0.145,0.558,0.081,0.083
BaggingClassifierDT,3,0.4,0.882,0.89,0.937,0.101,0.118,0.033,0.411,0.65,0.058,0.075
BaggingClassifierDT,4,0.4,0.886,0.894,0.939,0.101,0.116,0.033,0.393,0.644,0.058,0.075
ExtraTrees,3,0.4,0.873,0.88,0.932,0.1,0.12,0.034,0.432,0.656,0.057,0.074
RandomForest,5,0.4,0.897,0.905,0.945,0.1,0.111,0.032,0.357,0.631,0.058,0.075
ExtraTrees,2,0.4,0.865,0.871,0.927,0.098,0.121,0.034,0.452,0.662,0.055,0.072
BaggingClassifierDT,5,0.4,0.888,0.897,0.941,0.097,0.108,0.031,0.369,0.633,0.056,0.071
ExtraTrees,5,0.3,0.898,0.907,0.946,0.096,0.104,0.03,0.336,0.622,0.056,0.07
GradientBoosting,5,0.4,0.936,0.948,0.967,0.096,0.088,0.026,0.21,0.579,0.063,0.073
GradientBoosting,3,0.1,0.982,0.997,0.991,0.095,0.112,0.032,0.06,0.528,0.241,0.089
GradientBoosting,3,0.4,0.935,0.947,0.966,0.095,0.087,0.026,0.211,0.579,0.062,0.072
GradientBoosting,4,0.4,0.933,0.945,0.965,0.095,0.087,0.026,0.216,0.58,0.061,0.071
GradientBoosting,5,0.1,0.981,0.997,0.991,0.095,0.111,0.032,0.061,0.529,0.235,0.088
GradientBoosting,4,0.1,0.982,0.997,0.991,0.094,0.113,0.033,0.059,0.528,0.252,0.088
DecisionTree,2,0.2,0.858,0.865,0.923,0.093,0.115,0.033,0.451,0.658,0.052,0.066
BaggingClassifierDT,2,0.4,0.869,0.877,0.929,0.093,0.111,0.032,0.417,0.647,0.053,0.067
KNeighbors,3,0.05,0.979,0.994,0.99,0.093,0.094,0.027,0.067,0.53,0.164,0.084
GradientBoosting,2,0.05,0.983,0.998,0.992,0.091,0.13,0.037,0.053,0.526,0.358,0.087
KNeighbors,2,0.1,0.967,0.981,0.983,0.091,0.076,0.023,0.104,0.542,0.083,0.075
DecisionTree,3,0.2,0.857,0.864,0.922,0.091,0.112,0.032,0.445,0.654,0.051,0.064
GradientBoosting,2,0.1,0.982,0.997,0.991,0.089,0.106,0.03,0.056,0.526,0.234,0.083
RandomForest,3,0.5,0.849,0.856,0.918,0.089,0.11,0.031,0.455,0.655,0.049,0.061
ExtraTrees,4,0.4,0.864,0.872,0.927,0.089,0.104,0.03,0.407,0.639,0.05,0.062
GradientBoosting,2,0.4,0.935,0.947,0.966,0.087,0.077,0.024,0.191,0.569,0.056,0.064
DecisionTree,4,0.2,0.853,0.86,0.92,0.087,0.106,0.031,0.436,0.648,0.049,0.06
RandomForest,4,0.5,0.852,0.859,0.919,0.087,0.105,0.03,0.436,0.647,0.048,0.059
BaggingClassifierDT,3,0.5,0.843,0.85,0.914,0.085,0.104,0.03,0.449,0.65,0.047,0.057
BaggingClassifierDT,4,0.5,0.848,0.855,0.917,0.084,0.101,0.03,0.431,0.643,0.047,0.056
DecisionTree,5,0.2,0.85,0.857,0.918,0.084,0.1,0.029,0.425,0.641,0.046,0.056
RandomForest,2,0.5,0.83,0.836,0.906,0.083,0.104,0.03,0.471,0.653,0.045,0.055
GradientBoosting,3,0.05,0.983,0.998,0.992,0.082,0.122,0.036,0.047,0.523,0.356,0.079
KNeighbors,3,0.1,0.968,0.982,0.984,0.082,0.066,0.022,0.09,0.536,0.076,0.066
BaggingClassifierDT,5,0.5,0.851,0.859,0.919,0.082,0.096,0.028,0.411,0.635,0.045,0.054
ExtraTrees,3,0.5,0.827,0.832,0.904,0.081,0.102,0.03,0.471,0.652,0.045,0.053
GradientBoosting,5,0.5,0.901,0.911,0.948,0.081,0.079,0.025,0.27,0.591,0.048,0.055
ExtraTrees,2,0.5,0.82,0.826,0.9,0.08,0.101,0.029,0.479,0.652,0.044,0.052
BaggingClassifierDT,2,0.5,0.829,0.835,0.906,0.08,0.099,0.029,0.46,0.647,0.044,0.052
GradientBoosting,3,0.5,0.9,0.911,0.947,0.08,0.079,0.025,0.271,0.591,0.047,0.055
RandomForest,5,0.5,0.851,0.858,0.919,0.08,0.093,0.028,0.401,0.629,0.044,0.052
ExtraTrees,5,0.4,0.855,0.863,0.921,0.079,0.09,0.027,0.384,0.624,0.044,0.052
GradientBoosting,4,0.5,0.9,0.91,0.947,0.078,0.076,0.024,0.265,0.587,0.046,0.053
GradientBoosting,2,0.5,0.9,0.911,0.947,0.076,0.071,0.024,0.251,0.581,0.045,0.05
DecisionTree,3,0.3,0.807,0.812,0.892,0.076,0.097,0.029,0.491,0.651,0.041,0.047
DecisionTree,2,0.3,0.805,0.81,0.891,0.075,0.095,0.028,0.488,0.649,0.041,0.047
GradientBoosting,4,0.05,0.983,0.999,0.992,0.074,0.115,0.033,0.042,0.52,0.351,0.071
KNeighbors,4,0.1,0.969,0.983,0.984,0.074,0.058,0.021,0.079,0.531,0.071,0.058
ExtraTrees,4,0.5,0.815,0.821,0.897,0.074,0.089,0.027,0.452,0.636,0.04,0.045
KNeighbors,4,0.05,0.98,0.995,0.99,0.073,0.076,0.024,0.051,0.523,0.145,0.066
DecisionTree,4,0.3,0.802,0.807,0.889,0.072,0.09,0.027,0.479,0.643,0.039,0.044
DecisionTree,5,0.3,0.796,0.802,0.886,0.07,0.087,0.027,0.474,0.638,0.038,0.041
KNeighbors,2,0.2,0.933,0.945,0.965,0.069,0.055,0.021,0.155,0.55,0.044,0.045
GradientBoosting,5,0.05,0.983,0.999,0.992,0.068,0.106,0.031,0.039,0.519,0.341,0.065
DecisionTree,3,0.4,0.76,0.764,0.862,0.066,0.085,0.026,0.526,0.645,0.035,0.037
DecisionTree,2,0.4,0.757,0.761,0.86,0.065,0.084,0.026,0.525,0.643,0.035,0.036
KNeighbors,3,0.2,0.933,0.946,0.965,0.065,0.05,0.02,0.144,0.545,0.042,0.041
DecisionTree,4,0.4,0.759,0.763,0.862,0.065,0.084,0.026,0.521,0.642,0.035,0.036
KNeighbors,5,0.1,0.97,0.985,0.985,0.065,0.051,0.02,0.066,0.526,0.066,0.05
DecisionTree,5,0.4,0.759,0.763,0.862,0.065,0.082,0.026,0.517,0.64,0.034,0.035
