Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
GradientBoosting,5,0.1,0.981,0.996,0.99,0.075,0.085,0.026,0.048,0.522,0.184,0.068
GaussianNB,5,0.1,0.963,0.979,0.981,0.025,0.009,0.017,0.031,0.505,0.025,0.009
SGD,5,0.1,0.53,0.531,0.631,0.034,0.01,0.017,0.499,0.515,0.019,0.005
DecisionTree,5,0.1,0.899,0.907,0.945,0.119,0.132,0.038,0.386,0.646,0.071,0.095
ExtraTrees,5,0.1,0.928,0.938,0.961,0.182,0.183,0.059,0.351,0.644,0.134,0.162
BaggingClassifierDT,5,0.1,0.946,0.957,0.971,0.197,0.191,0.061,0.302,0.629,0.161,0.179
BaggingClassifierLSVC,5,0.1,0.585,0.586,0.735,0.039,0.028,0.018,0.523,0.554,0.02,0.008
SVC,5,0.2,0.562,0.562,0.714,0.038,0.024,0.018,0.533,0.548,0.02,0.007
SVC_Linear,5,0.2,0.588,0.589,0.738,0.038,0.025,0.018,0.51,0.55,0.02,0.008
LinearSVC,5,0.2,0.569,0.57,0.722,0.039,0.028,0.018,0.539,0.554,0.02,0.008
KNeighbors,5,0.2,0.923,0.935,0.959,0.069,0.055,0.021,0.167,0.551,0.044,0.045
RandomForest,5,0.2,0.912,0.921,0.952,0.15,0.154,0.047,0.359,0.64,0.1,0.128
AdaBoost,5,0.2,0.979,0.995,0.989,0.028,0.026,0.018,0.019,0.507,0.07,0.02
GradientBoosting,5,0.2,0.974,0.989,0.987,0.105,0.095,0.027,0.093,0.541,0.125,0.093
GaussianNB,5,0.2,0.929,0.942,0.961,0.035,0.016,0.017,0.083,0.513,0.027,0.014
SGD,5,0.2,0.581,0.584,0.651,0.03,0.008,0.017,0.432,0.508,0.019,0.005
DecisionTree,5,0.2,0.847,0.854,0.915,0.086,0.102,0.03,0.428,0.641,0.048,0.059
ExtraTrees,5,0.2,0.895,0.903,0.943,0.127,0.136,0.04,0.382,0.643,0.078,0.102
BaggingClassifierDT,5,0.2,0.922,0.932,0.958,0.136,0.137,0.04,0.317,0.624,0.09,0.114
BaggingClassifierLSVC,5,0.2,0.588,0.59,0.738,0.039,0.027,0.018,0.517,0.553,0.02,0.008
SVC,5,0.3,0.553,0.553,0.706,0.037,0.023,0.018,0.537,0.545,0.019,0.006
SVC_Linear,5,0.3,0.586,0.587,0.736,0.037,0.023,0.018,0.501,0.544,0.019,0.007
LinearSVC,5,0.3,0.569,0.57,0.722,0.038,0.026,0.018,0.532,0.551,0.02,0.007
KNeighbors,5,0.3,0.868,0.879,0.927,0.057,0.046,0.02,0.232,0.556,0.033,0.03
RandomForest,5,0.3,0.856,0.863,0.92,0.097,0.108,0.033,0.404,0.634,0.057,0.071
AdaBoost,5,0.3,0.967,0.982,0.983,0.05,0.034,0.018,0.054,0.518,0.049,0.034
GradientBoosting,5,0.3,0.96,0.974,0.98,0.095,0.079,0.025,0.128,0.551,0.077,0.076
GaussianNB,5,0.3,0.854,0.866,0.917,0.039,0.018,0.017,0.178,0.522,0.024,0.012
SGD,5,0.3,0.491,0.49,0.583,0.034,0.011,0.017,0.545,0.517,0.02,0.005
DecisionTree,5,0.3,0.79,0.795,0.881,0.069,0.083,0.026,0.47,0.632,0.037,0.04
ExtraTrees,5,0.3,0.837,0.844,0.909,0.088,0.101,0.031,0.424,0.634,0.05,0.061
BaggingClassifierDT,5,0.3,0.873,0.881,0.93,0.096,0.105,0.031,0.373,0.627,0.056,0.07
BaggingClassifierLSVC,5,0.3,0.587,0.588,0.737,0.038,0.026,0.018,0.511,0.55,0.02,0.008
SVC,5,0.4,0.542,0.542,0.697,0.037,0.023,0.018,0.549,0.546,0.019,0.006
SVC_Linear,5,0.4,0.587,0.588,0.737,0.038,0.024,0.018,0.505,0.547,0.02,0.007
LinearSVC,5,0.4,0.567,0.568,0.72,0.038,0.025,0.018,0.531,0.549,0.02,0.007
KNeighbors,5,0.4,0.799,0.808,0.882,0.047,0.033,0.019,0.288,0.548,0.026,0.018
RandomForest,5,0.4,0.821,0.827,0.899,0.08,0.091,0.029,0.427,0.627,0.044,0.052
AdaBoost,5,0.4,0.952,0.966,0.975,0.058,0.04,0.019,0.093,0.529,0.043,0.037
GradientBoosting,5,0.4,0.94,0.952,0.969,0.086,0.074,0.024,0.176,0.564,0.058,0.064
GaussianNB,5,0.4,0.779,0.787,0.871,0.038,0.017,0.017,0.267,0.527,0.021,0.009
SGD,5,0.4,0.611,0.614,0.704,0.034,0.014,0.017,0.428,0.521,0.022,0.007
DecisionTree,5,0.4,0.741,0.745,0.849,0.059,0.07,0.024,0.495,0.62,0.032,0.03
ExtraTrees,5,0.4,0.797,0.803,0.884,0.073,0.085,0.027,0.449,0.626,0.04,0.045
BaggingClassifierDT,5,0.4,0.835,0.842,0.907,0.081,0.092,0.028,0.409,0.626,0.045,0.053
BaggingClassifierLSVC,5,0.4,0.586,0.587,0.735,0.039,0.026,0.018,0.514,0.55,0.02,0.008
SVC,5,0.5,0.546,0.546,0.699,0.038,0.024,0.018,0.549,0.548,0.02,0.007
SVC_Linear,5,0.5,0.581,0.582,0.73,0.037,0.022,0.018,0.504,0.543,0.019,0.007
LinearSVC,5,0.5,0.568,0.569,0.721,0.038,0.026,0.018,0.534,0.551,0.02,0.008
KNeighbors,5,0.5,0.773,0.78,0.871,0.048,0.041,0.02,0.352,0.566,0.026,0.019
RandomForest,5,0.5,0.782,0.787,0.875,0.071,0.087,0.027,0.488,0.638,0.038,0.042
AdaBoost,5,0.5,0.922,0.935,0.959,0.06,0.045,0.02,0.153,0.544,0.038,0.035
GradientBoosting,5,0.5,0.906,0.917,0.95,0.073,0.066,0.023,0.231,0.574,0.043,0.047
GaussianNB,5,0.5,0.71,0.715,0.825,0.039,0.022,0.018,0.36,0.538,0.021,0.009
SGD,5,0.5,0.52,0.52,0.609,0.033,0.011,0.017,0.516,0.518,0.02,0.005
DecisionTree,5,0.5,0.715,0.718,0.831,0.058,0.073,0.024,0.543,0.631,0.031,0.029
ExtraTrees,5,0.5,0.767,0.772,0.866,0.067,0.083,0.026,0.497,0.634,0.036,0.038
BaggingClassifierDT,5,0.5,0.807,0.813,0.891,0.072,0.086,0.027,0.45,0.632,0.039,0.044
BaggingClassifierLSVC,5,0.5,0.594,0.595,0.742,0.039,0.026,0.018,0.506,0.551,0.02,0.008
