Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
GradientBoosting,2,0.4,0.95,0.964,0.974,0.06,0.045,0.02,0.106,0.535,0.044,0.04
GaussianNB,2,0.4,0.937,0.951,0.966,0.033,0.017,0.017,0.081,0.516,0.022,0.015
SGD,2,0.4,0.675,0.681,0.728,0.028,0.009,0.017,0.345,0.513,0.019,0.005
DecisionTree,2,0.4,0.661,0.664,0.789,0.047,0.045,0.021,0.497,0.58,0.025,0.017
ExtraTrees,2,0.4,0.666,0.669,0.792,0.048,0.047,0.021,0.497,0.583,0.025,0.018
BaggingClassifierDT,2,0.4,0.672,0.675,0.793,0.048,0.043,0.021,0.472,0.574,0.026,0.018
BaggingClassifierLSVC,2,0.4,0.588,0.589,0.737,0.038,0.023,0.018,0.503,0.546,0.02,0.007
SVC,2,0.5,0.619,0.621,0.758,0.039,0.027,0.018,0.482,0.552,0.021,0.009
SVC_Linear,2,0.5,0.616,0.619,0.751,0.038,0.024,0.018,0.472,0.545,0.02,0.008
LinearSVC,2,0.5,0.585,0.586,0.734,0.038,0.025,0.018,0.51,0.548,0.02,0.007
KNeighbors,2,0.5,0.745,0.752,0.849,0.042,0.026,0.018,0.331,0.542,0.023,0.012
RandomForest,2,0.5,0.652,0.655,0.783,0.044,0.037,0.02,0.482,0.568,0.023,0.013
AdaBoost,2,0.5,0.948,0.962,0.973,0.051,0.032,0.018,0.086,0.524,0.039,0.03
GradientBoosting,2,0.5,0.935,0.948,0.966,0.058,0.042,0.02,0.126,0.537,0.041,0.035
GaussianNB,2,0.5,0.879,0.89,0.923,0.037,0.022,0.018,0.158,0.524,0.024,0.016
SGD,2,0.5,0.552,0.554,0.653,0.032,0.01,0.017,0.482,0.518,0.017,0.004
DecisionTree,2,0.5,0.644,0.646,0.777,0.044,0.038,0.02,0.495,0.57,0.023,0.014
ExtraTrees,2,0.5,0.647,0.649,0.779,0.044,0.038,0.02,0.491,0.57,0.023,0.014
BaggingClassifierDT,2,0.5,0.664,0.667,0.791,0.044,0.036,0.02,0.464,0.565,0.023,0.014
BaggingClassifierLSVC,2,0.5,0.595,0.597,0.742,0.038,0.025,0.018,0.501,0.549,0.02,0.007
SVC,3,0.05,0.584,0.585,0.734,0.039,0.027,0.018,0.521,0.553,0.02,0.008
SVC_Linear,3,0.05,0.589,0.59,0.739,0.039,0.027,0.018,0.513,0.552,0.02,0.008
LinearSVC,3,0.05,0.577,0.578,0.729,0.039,0.027,0.018,0.527,0.553,0.02,0.008
KNeighbors,3,0.05,0.888,0.901,0.931,0.084,0.066,0.025,0.129,0.515,0.112,0.067
RandomForest,3,0.05,0.837,0.844,0.901,0.153,0.154,0.053,0.421,0.632,0.114,0.131
AdaBoost,3,0.05,0.984,1.0,0.992,0.006,0.015,0.018,0.003,0.501,0.096,0.005
GradientBoosting,3,0.05,0.983,0.998,0.991,0.045,0.064,0.024,0.026,0.512,0.196,0.042
GaussianNB,3,0.05,0.979,0.995,0.989,0.009,0.003,0.016,0.008,0.501,0.012,0.003
SGD,3,0.05,0.523,0.523,0.602,0.03,0.017,0.017,0.523,0.523,0.041,0.005
DecisionTree,3,0.05,0.815,0.821,0.887,0.133,0.138,0.044,0.453,0.637,0.086,0.108
ExtraTrees,3,0.05,0.818,0.824,0.888,0.144,0.147,0.049,0.451,0.637,0.1,0.12
BaggingClassifierDT,3,0.05,0.846,0.853,0.907,0.145,0.14,0.047,0.372,0.613,0.112,0.123
BaggingClassifierLSVC,3,0.05,0.581,0.582,0.732,0.038,0.026,0.018,0.521,0.551,0.02,0.008
SVC,3,0.1,0.584,0.585,0.734,0.039,0.027,0.018,0.52,0.552,0.02,0.008
SVC_Linear,3,0.1,0.589,0.59,0.739,0.039,0.027,0.018,0.513,0.552,0.02,0.008
LinearSVC,3,0.1,0.573,0.573,0.725,0.039,0.028,0.018,0.537,0.555,0.02,0.008
KNeighbors,3,0.1,0.865,0.876,0.912,0.076,0.052,0.021,0.164,0.52,0.066,0.056
RandomForest,3,0.1,0.835,0.842,0.902,0.117,0.123,0.039,0.417,0.629,0.077,0.092
AdaBoost,3,0.1,0.983,0.999,0.991,0.008,0.011,0.017,0.005,0.502,0.048,0.007
GradientBoosting,3,0.1,0.981,0.996,0.99,0.056,0.062,0.023,0.037,0.517,0.139,0.05
GaussianNB,3,0.1,0.974,0.989,0.987,0.017,0.007,0.016,0.018,0.503,0.018,0.007
SGD,3,0.1,0.448,0.446,0.531,0.032,0.01,0.017,0.579,0.512,0.033,0.004
DecisionTree,3,0.1,0.803,0.809,0.883,0.095,0.105,0.032,0.451,0.63,0.055,0.068
ExtraTrees,3,0.1,0.811,0.817,0.887,0.105,0.113,0.035,0.443,0.63,0.065,0.079
BaggingClassifierDT,3,0.1,0.841,0.848,0.905,0.112,0.114,0.035,0.383,0.616,0.073,0.087
BaggingClassifierLSVC,3,0.1,0.578,0.579,0.73,0.039,0.027,0.018,0.528,0.554,0.02,0.008
SVC,3,0.2,0.585,0.586,0.735,0.039,0.027,0.018,0.518,0.552,0.02,0.008
SVC_Linear,3,0.2,0.59,0.591,0.739,0.039,0.026,0.018,0.512,0.551,0.02,0.008
LinearSVC,3,0.2,0.577,0.578,0.729,0.038,0.027,0.018,0.527,0.553,0.02,0.008
KNeighbors,3,0.2,0.828,0.838,0.889,0.066,0.045,0.021,0.235,0.536,0.042,0.04
RandomForest,3,0.2,0.812,0.818,0.89,0.099,0.111,0.035,0.458,0.638,0.058,0.072
AdaBoost,3,0.2,0.981,0.996,0.99,0.032,0.034,0.019,0.021,0.508,0.091,0.026
GradientBoosting,3,0.2,0.975,0.99,0.987,0.077,0.067,0.022,0.067,0.528,0.098,0.065
GaussianNB,3,0.2,0.974,0.99,0.987,0.011,0.002,0.016,0.014,0.502,0.009,0.003
SGD,3,0.2,0.599,0.602,0.681,0.026,0.005,0.017,0.409,0.505,0.027,0.003
DecisionTree,3,0.2,0.788,0.793,0.875,0.079,0.094,0.029,0.481,0.637,0.043,0.051
ExtraTrees,3,0.2,0.804,0.809,0.885,0.094,0.108,0.033,0.473,0.641,0.054,0.067
BaggingClassifierDT,3,0.2,0.835,0.842,0.905,0.093,0.1,0.031,0.401,0.622,0.055,0.067
BaggingClassifierLSVC,3,0.2,0.588,0.589,0.737,0.039,0.026,0.018,0.514,0.552,0.02,0.008
SVC,3,0.3,0.587,0.589,0.737,0.039,0.026,0.018,0.514,0.551,0.02,0.008
SVC_Linear,3,0.3,0.592,0.593,0.741,0.039,0.026,0.018,0.509,0.551,0.02,0.008
LinearSVC,3,0.3,0.58,0.581,0.731,0.039,0.027,0.018,0.524,0.552,0.02,0.008
KNeighbors,3,0.3,0.811,0.819,0.881,0.057,0.043,0.02,0.284,0.551,0.032,0.029
