Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
LinearSVC,RFECV,0.4,0.602,0.604,0.749,0.038,0.025,0.018,0.493,0.549,0.02,0.008
BaggingClassifierLSVC,RFECV,0.4,0.612,0.614,0.757,0.038,0.023,0.018,0.473,0.544,0.02,0.007
LinearSVC,RFECV,0.5,0.594,0.595,0.742,0.038,0.024,0.018,0.498,0.546,0.02,0.007
BaggingClassifierLSVC,RFECV,0.5,0.62,0.622,0.762,0.038,0.024,0.018,0.469,0.546,0.02,0.008
LinearSVC,RFECV,0.05,0.605,0.607,0.751,0.037,0.021,0.018,0.476,0.541,0.019,0.007
BaggingClassifierLSVC,RFECV,0.05,0.612,0.614,0.757,0.037,0.021,0.018,0.468,0.541,0.019,0.007
LinearSVC,RFECV,0.1,0.607,0.609,0.753,0.037,0.022,0.018,0.475,0.542,0.019,0.007
BaggingClassifierLSVC,RFECV,0.1,0.615,0.618,0.759,0.037,0.021,0.018,0.465,0.541,0.02,0.007
SGD,RFECV,0.5,0.647,0.651,0.755,0.034,0.017,0.017,0.409,0.53,0.019,0.007
SGD,RFECV,0.1,0.366,0.361,0.424,0.031,0.006,0.017,0.668,0.514,0.016,0.002
GaussianNB,RFECV,0.5,0.904,0.917,0.948,0.031,0.01,0.017,0.106,0.512,0.02,0.007
SGD,RFECV,0.3,0.479,0.478,0.552,0.03,0.012,0.017,0.567,0.522,0.016,0.004
SGD,RFECV,0.05,0.329,0.323,0.352,0.029,0.005,0.016,0.694,0.508,0.016,0.002
AdaBoost,RFECV,0.2,0.979,0.995,0.989,0.028,0.025,0.018,0.02,0.507,0.063,0.021
SGD,RFECV,0.2,0.47,0.468,0.532,0.027,0.008,0.017,0.565,0.517,0.014,0.003
GaussianNB,RFECV,0.4,0.934,0.948,0.965,0.027,0.008,0.017,0.068,0.508,0.02,0.006
SGD,RFECV,0.4,0.629,0.633,0.682,0.024,0.007,0.017,0.387,0.51,0.016,0.004
GaussianNB,RFECV,0.2,0.965,0.98,0.982,0.018,0.004,0.016,0.026,0.503,0.015,0.004
GaussianNB,RFECV,0.3,0.954,0.969,0.976,0.016,0,0.016,0.035,0.502,0.011,-0.001
GaussianNB,RFECV,0.1,0.974,0.99,0.987,0.011,0.001,0.016,0.012,0.501,0.013,0.001
AdaBoost,RFECV,0.1,0.983,0.999,0.991,0.009,0.014,0.017,0.005,0.502,0.071,0.007
GaussianNB,RFECV,0.05,0.978,0.994,0.989,0.005,-0.003,0.016,0.005,0.499,0.008,-0.002
AdaBoost,RFECV,0.05,0.983,1,0.992,0.003,0.006,0.017,0.002,0.501,0.046,0.002
