Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,0.4,0.519,0.57,0.519,0.545,0.991,0.005
KMeans,0.4,0.554,0.502,0.555,0.528,0.99,0.003
MiniBatchKMeans,0.5,0.535,0.512,0.535,0.524,0.99,0.003
KMeans,0.15,0.515,0.521,0.515,0.518,0.989,0.003
MiniBatchKMeans,0.4,0.498,0.537,0.498,0.517,0.99,0.002
KMeans,0.5,0.518,0.511,0.519,0.515,0.989,0.002
KMeans,0.25,0.503,0.519,0.503,0.511,0.989,0.002
MiniBatchKMeans,0.3,0.504,0.505,0.504,0.505,0.989,0.002
Birch,0.15,0.445,0.558,0.444,0.501,0.989,0.001
Birch,0.1,0.4,0.596,0.398,0.497,0.989,0
Birch,0.05,0.431,0.561,0.43,0.496,0.989,0
Birch,0.3,0.454,0.539,0.453,0.496,0.988,0.001
KMeans,0.1,0.502,0.484,0.502,0.493,0.988,0
KMeans,0.05,0.468,0.512,0.467,0.49,0.988,0
Birch,0.5,0.48,0.489,0.48,0.485,0.988,-0.001
Birch,0.25,0.391,0.561,0.389,0.475,0.988,-0.002
KMeans,0.3,0.463,0.484,0.463,0.474,0.988,-0.001
MiniBatchKMeans,0.25,0.449,0.491,0.449,0.47,0.987,-0.002
MiniBatchKMeans,0.15,0.443,0.482,0.443,0.463,0.987,-0.002
MiniBatchKMeans,0.1,0.446,0.474,0.446,0.46,0.987,-0.003
MiniBatchKMeans,0.05,0.446,0.468,0.446,0.457,0.987,-0.003
