Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
MiniBatchKMeans,0.5,0.559,0.486,0.56,0.523,0.99,0.003
KMeans,0.1,0.52,0.514,0.52,0.517,0.99,0.002
Birch,0.4,0.3,0.728,0.295,0.512,0.991,0
KMeans,0.4,0.519,0.496,0.52,0.508,0.989,0.001
KMeans,0.25,0.498,0.516,0.498,0.507,0.989,0.001
Birch,0.5,0.352,0.658,0.349,0.503,0.989,0.001
MiniBatchKMeans,0.25,0.5,0.502,0.5,0.501,0.989,0.001
MiniBatchKMeans,0.4,0.495,0.504,0.494,0.499,0.989,0
Birch,0.3,0.336,0.66,0.333,0.496,0.989,0
Birch,0.15,0.337,0.646,0.334,0.49,0.989,-0.001
KMeans,0.5,0.499,0.481,0.499,0.49,0.988,0
Birch,0.05,0.372,0.609,0.369,0.489,0.989,-0.001
MiniBatchKMeans,0.1,0.48,0.498,0.479,0.489,0.988,0
KMeans,0.3,0.481,0.484,0.481,0.482,0.988,-0.001
Birch,0.25,0.286,0.681,0.282,0.481,0.988,-0.001
KMeans,0.05,0.482,0.477,0.482,0.48,0.988,-0.001
Birch,0.1,0.377,0.586,0.375,0.48,0.988,-0.001
KMeans,0.15,0.465,0.495,0.464,0.479,0.988,-0.001
MiniBatchKMeans,0.05,0.449,0.498,0.449,0.474,0.988,-0.002
MiniBatchKMeans,0.3,0.454,0.486,0.453,0.47,0.988,-0.002
MiniBatchKMeans,0.15,0.483,0.451,0.483,0.467,0.988,-0.002
