Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
MiniBatchKMeans,0.1,0.537,0.516,0.538,0.527,0.99,0.003
Birch,0.5,0.262,0.767,0.257,0.512,0.99,0.001
KMeans,0.05,0.515,0.502,0.515,0.508,0.989,0.002
MiniBatchKMeans,0.15,0.517,0.495,0.517,0.506,0.989,0.001
Birch,0.15,0.449,0.565,0.447,0.506,0.989,0.001
KMeans,0.3,0.517,0.493,0.517,0.505,0.989,0.001
KMeans,0.1,0.502,0.502,0.502,0.502,0.989,0.001
MiniBatchKMeans,0.5,0.466,0.539,0.465,0.502,0.989,0.001
KMeans,0.5,0.485,0.514,0.485,0.499,0.989,0.001
MiniBatchKMeans,0.3,0.481,0.514,0.481,0.498,0.989,0.001
KMeans,0.4,0.499,0.496,0.499,0.498,0.989,0.001
KMeans,0.25,0.497,0.496,0.497,0.497,0.989,0.001
MiniBatchKMeans,0.05,0.5,0.491,0.5,0.496,0.989,0.001
Birch,0.4,0.361,0.633,0.358,0.496,0.988,0
Birch,0.25,0.347,0.644,0.344,0.494,0.989,0
Birch,0.3,0.403,0.584,0.401,0.493,0.988,0
Birch,0.1,0.366,0.619,0.363,0.491,0.989,-0.001
Birch,0.05,0.435,0.526,0.434,0.48,0.989,-0.002
MiniBatchKMeans,0.25,0.458,0.493,0.457,0.475,0.988,-0.001
MiniBatchKMeans,0.4,0.448,0.484,0.447,0.466,0.987,-0.002
KMeans,0.15,0.448,0.477,0.448,0.462,0.987,-0.002
