Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,0.25,0.549,0.525,0.55,0.537,0.99,0.004
Birch,0.05,0.533,0.519,0.533,0.526,0.99,0.003
MiniBatchKMeans,0.1,0.518,0.526,0.518,0.522,0.99,0.003
KMeans,0.05,0.518,0.516,0.518,0.517,0.989,0.003
MiniBatchKMeans,0.15,0.516,0.505,0.516,0.511,0.989,0.002
Birch,0.5,0.498,0.521,0.498,0.51,0.989,0.002
KMeans,0.5,0.517,0.496,0.518,0.507,0.989,0.001
MiniBatchKMeans,0.4,0.514,0.498,0.514,0.506,0.989,0.001
Birch,0.4,0.501,0.507,0.501,0.504,0.989,0.001
Birch,0.3,0.5,0.505,0.5,0.503,0.989,0.001
Birch,0.15,0.513,0.491,0.513,0.502,0.989,0.001
Birch,0.1,0.481,0.505,0.481,0.493,0.988,0.001
MiniBatchKMeans,0.5,0.48,0.498,0.48,0.489,0.988,0
KMeans,0.15,0.484,0.489,0.484,0.487,0.988,0
KMeans,0.4,0.484,0.481,0.484,0.482,0.988,-0.001
MiniBatchKMeans,0.05,0.484,0.479,0.484,0.481,0.988,-0.001
KMeans,0.3,0.465,0.482,0.464,0.473,0.988,-0.001
KMeans,0.25,0.465,0.472,0.465,0.469,0.987,-0.002
MiniBatchKMeans,0.3,0.462,0.47,0.462,0.466,0.987,-0.002
MiniBatchKMeans,0.25,0.447,0.463,0.447,0.455,0.987,-0.003
KMeans,0.1,0.431,0.447,0.431,0.439,0.986,-0.004
