N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.792,0.345,0.799,0.572,0.987,0.021,,,,
1,0.756,0.393,0.762,0.577,0.987,0.02,,MeanAccuracy,0.68889,
2,0.649,0.512,0.651,0.582,0.988,0.014,,StdAccuracy,0.064284703711794,
3,0.666,0.607,0.667,0.637,0.991,0.025,,n,100,
4,0.662,0.417,0.666,0.542,0.986,0.008,,Error estándar,0.006428470371179,
5,0.649,0.512,0.651,0.581,0.988,0.014,,Valor crítico,1.96,(95%)
6,0.669,0.571,0.671,0.621,0.99,0.023,,Margen de error,0.012599801927512,
7,0.677,0.44,0.681,0.561,0.987,0.012,,,,
8,0.717,0.512,0.721,0.616,0.989,0.025,,,,
9,0.712,0.476,0.715,0.596,0.988,0.02,,MeanSpecificity,0.49669,
10,0.687,0.488,0.69,0.589,0.988,0.018,,StdSpecificity,0.073987945373595,
11,0.724,0.369,0.73,0.55,0.986,0.011,,n,100,
12,0.687,0.536,0.689,0.613,0.989,0.022,,Error estándar,0.007398794537359,
13,0.721,0.369,0.727,0.548,0.986,0.011,,Valor crítico,1.96,(95%)
14,0.696,0.333,0.702,0.518,0.985,0.004,,Margen de error,0.014501637293225,
15,0.662,0.488,0.664,0.576,0.988,0.014,,,,
16,0.632,0.476,0.635,0.555,0.987,0.009,,,,
17,0.777,0.393,0.783,0.588,0.988,0.024,,MeanROC_AUC,0.59438,
18,0.785,0.536,0.789,0.662,0.991,0.045,,StdROC_AUC,0.030830845108446,
19,0.728,0.524,0.732,0.628,0.99,0.029,,n,100,
20,0.765,0.405,0.771,0.588,0.988,0.023,,Error estándar,0.003083084510845,
21,0.494,0.607,0.492,0.55,0.987,0.006,,Valor crítico,1.96,(95%)
22,0.673,0.488,0.676,0.582,0.988,0.016,,Margen de error,0.006042845641255,
23,0.564,0.571,0.564,0.568,0.988,0.01,,,,
24,0.654,0.536,0.656,0.596,0.989,0.017,,,,
25,0.664,0.452,0.668,0.56,0.987,0.011,,,,
26,0.79,0.405,0.796,0.601,0.988,0.029,,,,
27,0.571,0.607,0.571,0.589,0.989,0.013,,,,
28,0.713,0.548,0.715,0.631,0.99,0.028,,,,
29,0.716,0.548,0.718,0.633,0.99,0.029,,,,
30,0.76,0.405,0.765,0.585,0.988,0.022,,,,
31,0.801,0.405,0.808,0.606,0.988,0.033,,,,
32,0.753,0.548,0.756,0.652,0.99,0.037,,,,
33,0.791,0.44,0.797,0.619,0.989,0.035,,,,
34,0.825,0.393,0.832,0.612,0.988,0.039,,,,
35,0.678,0.5,0.681,0.59,0.988,0.017,,,,
36,0.688,0.417,0.692,0.554,0.986,0.011,,,,
37,0.762,0.464,0.767,0.616,0.989,0.03,,,,
38,0.624,0.548,0.626,0.587,0.988,0.014,,,,
39,0.719,0.524,0.722,0.623,0.989,0.027,,,,
40,0.653,0.5,0.655,0.578,0.988,0.014,,,,
41,0.612,0.643,0.612,0.627,0.991,0.02,,,,
42,0.731,0.488,0.735,0.612,0.989,0.025,,,,
43,0.627,0.464,0.629,0.547,0.986,0.008,,,,
44,0.593,0.56,0.594,0.577,0.988,0.012,,,,
45,0.694,0.595,0.696,0.645,0.991,0.029,,,,
46,0.746,0.429,0.751,0.59,0.988,0.022,,,,
47,0.697,0.429,0.702,0.565,0.987,0.013,,,,
48,0.684,0.393,0.689,0.541,0.986,0.008,,,,
49,0.694,0.476,0.698,0.587,0.988,0.018,,,,
50,0.75,0.417,0.755,0.586,0.988,0.021,,,,
51,0.665,0.643,0.665,0.654,0.991,0.028,,,,
52,0.789,0.429,0.795,0.612,0.988,0.032,,,,
53,0.773,0.345,0.78,0.563,0.987,0.017,,,,
54,0.67,0.452,0.673,0.563,0.987,0.012,,,,
55,0.644,0.607,0.645,0.626,0.99,0.022,,,,
56,0.615,0.56,0.616,0.588,0.989,0.014,,,,
57,0.653,0.583,0.654,0.619,0.99,0.021,,,,
58,0.69,0.548,0.693,0.62,0.989,0.024,,,,
59,0.684,0.524,0.687,0.605,0.989,0.021,,,,
60,0.711,0.476,0.715,0.596,0.988,0.02,,,,
61,0.7,0.512,0.703,0.607,0.989,0.022,,,,
62,0.698,0.488,0.702,0.595,0.988,0.019,,,,
63,0.614,0.56,0.615,0.587,0.988,0.014,,,,
64,0.737,0.488,0.741,0.614,0.989,0.027,,,,
65,0.71,0.56,0.713,0.636,0.99,0.029,,,,
66,0.705,0.488,0.709,0.598,0.988,0.021,,,,
67,0.675,0.488,0.678,0.583,0.988,0.016,,,,
68,0.588,0.643,0.588,0.615,0.99,0.017,,,,
69,0.555,0.548,0.555,0.551,0.987,0.007,,,,
70,0.764,0.464,0.769,0.617,0.989,0.03,,,,
71,0.664,0.44,0.668,0.554,0.987,0.01,,,,
72,0.798,0.452,0.803,0.628,0.989,0.038,,,,
73,0.802,0.476,0.808,0.642,0.99,0.043,,,,
74,0.631,0.429,0.634,0.531,0.986,0.005,,,,
75,0.577,0.595,0.576,0.586,0.989,0.013,,,,
76,0.68,0.571,0.682,0.627,0.99,0.024,,,,
77,0.693,0.417,0.698,0.557,0.987,0.012,,,,
78,0.66,0.512,0.662,0.587,0.988,0.016,,,,
79,0.567,0.524,0.568,0.546,0.987,0.007,,,,
