Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BCDT14_ET1_BCDT15,5,0.4,0.743,0.523,0.746,0.634,0.99,0.032
DT7_RF8_ET1,3,0.25,0.753,0.508,0.757,0.633,0.989,0.037
DT7_BCDT14_RF8_ET1_BCDT15,4,0.25,0.753,0.508,0.757,0.633,0.989,0.035
RF8_ET1_BCDT15,4,0.25,0.759,0.504,0.763,0.633,0.989,0.036
DT7_ET1_BCDT15,5,0.4,0.715,0.549,0.718,0.633,0.99,0.029
DT7_BCDT14_ET1,5,0.5,0.708,0.556,0.71,0.633,0.99,0.028
BCDT14_ET1_BCDT15,5,0.5,0.718,0.544,0.721,0.633,0.99,0.03
DT7_ET1_BCDT15,6,0.15,0.801,0.461,0.806,0.633,0.989,0.04
BCDT14_RF8_ET1,3,0.05,0.783,0.475,0.788,0.632,0.989,0.058
BCDT14_RF8_ET1,3,0.25,0.763,0.496,0.767,0.632,0.989,0.038
DT7_BCDT14_RF8,4,0.1,0.803,0.455,0.809,0.632,0.989,0.043
DT7_BCDT14_ET1,4,0.25,0.761,0.5,0.765,0.632,0.989,0.036
DT7_ET1_BCDT15,4,0.25,0.726,0.536,0.729,0.632,0.99,0.031
BCDT14_ET1_BCDT15,4,0.25,0.754,0.506,0.758,0.632,0.989,0.035
DT7_BCDT14_BCDT15,6,0.05,0.848,0.41,0.855,0.632,0.989,0.054
DT7_RF8_ET1,6,0.15,0.848,0.41,0.855,0.632,0.989,0.053
DT7_BCDT14_BCDT15,7,0.05,0.853,0.404,0.861,0.632,0.989,0.057
DT7_ET1_BCDT15,5,0.5,0.685,0.576,0.686,0.631,0.99,0.026
DT7_BCDT14_RF8_ET1_BCDT15,7,0.3,0.782,0.474,0.787,0.631,0.989,0.037
DT7_ET1_BCDT15,7,0.3,0.751,0.507,0.755,0.631,0.989,0.033
DT7_RF8_ET1,4,0.25,0.765,0.49,0.769,0.63,0.989,0.036
DT7_BCDT14_RF8_ET1_BCDT15,5,0.3,0.753,0.504,0.757,0.63,0.989,0.034
DT7_BCDT14_RF8,6,0.15,0.83,0.424,0.836,0.63,0.989,0.048
DT7_RF8_BCDT15,6,0.15,0.808,0.446,0.814,0.63,0.989,0.042
DT7_RF8_BCDT15,7,0.05,0.887,0.364,0.895,0.63,0.989,0.071
BCDT14_RF8_BCDT15,7,0.3,0.756,0.501,0.76,0.63,0.989,0.033
RF8_ET1_BCDT15,5,0.3,0.759,0.494,0.764,0.629,0.989,0.035
DT7_RF8_BCDT15,6,0.05,0.887,0.363,0.895,0.629,0.989,0.07
DT7_BCDT14_ET1,3,0.25,0.754,0.498,0.759,0.628,0.989,0.036
DT7_RF8_BCDT15,5,0.3,0.706,0.546,0.709,0.628,0.99,0.028
DT7_RF8_ET1,5,0.4,0.739,0.513,0.743,0.628,0.989,0.03
DT7_BCDT14_RF8_ET1_BCDT15,5,0.5,0.71,0.543,0.712,0.628,0.99,0.028
RF8_ET1_BCDT15,5,0.5,0.716,0.538,0.719,0.628,0.99,0.029
DT7_BCDT14_RF8_ET1_BCDT15,6,0.05,0.9,0.348,0.909,0.628,0.988,0.078
