Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,4,0.5,0.765,0.524,0.769,0.647,0.99,0.038
DecisionTree,5,0.3,0.807,0.48,0.813,0.646,0.99,0.046
DecisionTree,6,0.05,0.955,0.326,0.965,0.646,0.989,0.171
ExtraTrees,4,0.15,0.957,0.324,0.967,0.645,0.989,0.175
DecisionTree,6,0.25,0.833,0.45,0.839,0.645,0.989,0.052
DecisionTree,2,0.3,0.816,0.467,0.822,0.644,0.99,0.047
RandomForest,4,0.25,0.954,0.325,0.964,0.644,0.989,0.164
ExtraTrees,4,0.25,0.923,0.356,0.932,0.644,0.989,0.106
DecisionTree,5,0.1,0.922,0.357,0.931,0.644,0.989,0.105
BaggingClassifierDT,6,0.3,0.88,0.401,0.888,0.644,0.989,0.071
DecisionTree,4,0.25,0.837,0.442,0.844,0.643,0.989,0.053
DecisionTree,4,0.3,0.817,0.462,0.823,0.642,0.989,0.047
DecisionTree,5,0.15,0.89,0.386,0.898,0.642,0.989,0.076
DecisionTree,2,0.4,0.762,0.515,0.766,0.641,0.99,0.036
DecisionTree,4,0.05,0.956,0.315,0.967,0.641,0.989,0.169
DecisionTree,5,0.05,0.957,0.314,0.968,0.641,0.989,0.173
DecisionTree,6,0.1,0.918,0.355,0.928,0.641,0.989,0.098
BaggingClassifierDT,2,0.3,0.87,0.404,0.877,0.64,0.989,0.064
RandomForest,4,0.15,0.974,0.293,0.985,0.639,0.988,0.249
BaggingClassifierDT,6,0.15,0.952,0.314,0.963,0.639,0.989,0.155
BaggingClassifierDT,4,0.1,0.969,0.296,0.98,0.638,0.988,0.219
DecisionTree,5,0.5,0.721,0.55,0.724,0.637,0.99,0.03
DecisionTree,6,0.15,0.89,0.375,0.899,0.637,0.989,0.073
BaggingClassifierDT,5,0.15,0.952,0.307,0.963,0.635,0.988,0.152
DecisionTree,6,0.3,0.805,0.458,0.811,0.635,0.989,0.042
BaggingClassifierDT,6,0.4,0.82,0.443,0.827,0.635,0.989,0.045
ExtraTrees,5,0.5,0.806,0.456,0.811,0.634,0.989,0.042
ExtraTrees,4,0.4,0.851,0.408,0.858,0.633,0.989,0.055
RandomForest,5,0.4,0.897,0.357,0.906,0.632,0.989,0.075
DecisionTree,5,0.4,0.765,0.493,0.769,0.631,0.989,0.034
DecisionTree,6,0.4,0.758,0.498,0.763,0.63,0.989,0.033
DecisionTree,6,0.5,0.724,0.533,0.727,0.63,0.99,0.029
RandomForest,5,0.25,0.948,0.299,0.958,0.629,0.988,0.135
ExtraTrees,4,0.05,0.979,0.264,0.991,0.628,0.988,0.279
RandomForest,5,0.3,0.936,0.31,0.947,0.628,0.988,0.112
BaggingClassifierDT,5,0.1,0.969,0.274,0.98,0.627,0.988,0.206
ExtraTrees,5,0.4,0.854,0.393,0.861,0.627,0.989,0.052
BaggingClassifierDT,6,0.1,0.969,0.271,0.981,0.626,0.988,0.204
BaggingClassifierDT,4,0.05,0.98,0.256,0.991,0.624,0.988,0.278
DecisionTree,4,0.5,0.723,0.521,0.726,0.624,0.989,0.027
RandomForest,6,0.3,0.933,0.304,0.943,0.623,0.988,0.103
ExtraTrees,5,0.25,0.914,0.321,0.923,0.622,0.988,0.083
RandomForest,6,0.25,0.952,0.281,0.963,0.622,0.988,0.142
RandomForest,6,0.5,0.852,0.383,0.86,0.622,0.988,0.049
RandomForest,4,0.5,0.854,0.375,0.862,0.619,0.988,0.049
RandomForest,4,0.05,0.984,0.238,0.996,0.617,0.988,0.313
BaggingClassifierDT,5,0.05,0.982,0.238,0.994,0.616,0.988,0.293
ExtraTrees,5,0.1,0.969,0.251,0.98,0.616,0.988,0.188
ExtraTrees,5,0.3,0.9,0.323,0.91,0.616,0.988,0.068
ExtraTrees,5,0.15,0.953,0.265,0.964,0.615,0.988,0.137
ExtraTrees,6,0.25,0.915,0.305,0.925,0.615,0.988,0.079
ExtraTrees,6,0.3,0.891,0.33,0.9,0.615,0.988,0.062
ExtraTrees,4,0.1,0.97,0.244,0.982,0.613,0.988,0.191
RandomForest,6,0.4,0.898,0.315,0.908,0.612,0.988,0.065
RandomForest,4,0.1,0.982,0.224,0.994,0.609,0.987,0.273
RandomForest,5,0.15,0.975,0.23,0.987,0.608,0.987,0.214
BaggingClassifierDT,6,0.05,0.982,0.223,0.994,0.608,0.987,0.269
RandomForest,6,0.15,0.975,0.227,0.987,0.607,0.987,0.208
ExtraTrees,6,0.4,0.848,0.358,0.856,0.607,0.988,0.043
RandomForest,5,0.1,0.982,0.217,0.995,0.606,0.987,0.271
ExtraTrees,6,0.15,0.953,0.248,0.964,0.606,0.987,0.124
ExtraTrees,4,0.5,0.802,0.4,0.808,0.604,0.988,0.032
ExtraTrees,5,0.05,0.98,0.211,0.992,0.602,0.987,0.24
ExtraTrees,6,0.5,0.794,0.401,0.801,0.601,0.988,0.03
ExtraTrees,6,0.1,0.966,0.212,0.978,0.595,0.987,0.149
GradientBoosting,5,0.5,0.904,0.269,0.914,0.592,0.987,0.057
RandomForest,6,0.1,0.981,0.186,0.994,0.59,0.987,0.227
ExtraTrees,6,0.05,0.979,0.186,0.992,0.589,0.987,0.207
RandomForest,5,0.05,0.985,0.179,0.998,0.588,0.987,0.27
GradientBoosting,4,0.5,0.911,0.252,0.922,0.587,0.987,0.059
GradientBoosting,2,0.5,0.912,0.249,0.923,0.586,0.987,0.059
GradientBoosting,3,0.5,0.902,0.258,0.913,0.586,0.987,0.053
GradientBoosting,5,0.4,0.939,0.217,0.951,0.584,0.987,0.08
RandomForest,6,0.05,0.985,0.15,0.998,0.574,0.986,0.231
GradientBoosting,6,0.4,0.942,0.195,0.954,0.574,0.986,0.075
GradientBoosting,6,0.5,0.907,0.231,0.918,0.574,0.987,0.048
GradientBoosting,4,0.4,0.939,0.195,0.951,0.573,0.986,0.071
KNeighbors,2,0.4,0.834,0.3,0.842,0.571,0.987,0.026
KNeighbors,3,0.5,0.778,0.356,0.785,0.57,0.987,0.019
AdaBoost,5,0.5,0.893,0.236,0.904,0.57,0.986,0.04
LinearSVC,5,0.4,0.56,0.577,0.56,0.569,0.988,0.01
GradientBoosting,2,0.4,0.937,0.187,0.95,0.568,0.986,0.067
GradientBoosting,3,0.4,0.939,0.183,0.951,0.567,0.986,0.065
SVC,5,0.05,0.512,0.62,0.511,0.565,0.988,0.008
LinearSVC,5,0.05,0.583,0.546,0.583,0.565,0.988,0.01
BaggingClassifierLSVC,6,0.05,0.562,0.568,0.562,0.565,0.988,0.009
KNeighbors,2,0.5,0.792,0.326,0.8,0.563,0.986,0.019
GradientBoosting,4,0.3,0.96,0.152,0.973,0.563,0.986,0.092
GradientBoosting,5,0.3,0.962,0.15,0.975,0.563,0.986,0.094
AdaBoost,3,0.5,0.904,0.208,0.916,0.562,0.986,0.04
LinearSVC,5,0.1,0.581,0.542,0.582,0.562,0.987,0.009
BaggingClassifierLSVC,2,0.15,0.561,0.561,0.561,0.561,0.987,0.009
BaggingClassifierLSVC,5,0.05,0.564,0.558,0.564,0.561,0.987,0.009
SVC,5,0.25,0.503,0.62,0.501,0.561,0.988,0.008
LinearSVC,5,0.25,0.569,0.552,0.57,0.561,0.987,0.009
KNeighbors,3,0.3,0.89,0.219,0.901,0.56,0.986,0.033
GradientBoosting,5,0.25,0.967,0.14,0.981,0.56,0.986,0.103
BaggingClassifierLSVC,5,0.4,0.546,0.574,0.546,0.56,0.987,0.008
KNeighbors,5,0.5,0.784,0.329,0.791,0.56,0.986,0.017
BaggingClassifierLSVC,6,0.1,0.539,0.582,0.538,0.56,0.988,0.008
