Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
MiniBatchKMeans,5,0.1,0.481,0.495,0.481,0.488,0.983,0
KMeans,2,0.3,0.483,0.49,0.483,0.487,0.983,-0.001
MiniBatchKMeans,6,0.05,0.472,0.502,0.472,0.487,0.982,0
MiniBatchKMeans,2,0.4,0.483,0.487,0.483,0.485,0.983,-0.001
KMeans,2,0.05,0.498,0.469,0.499,0.484,0.982,-0.001
KMeans,4,0.25,0.481,0.487,0.481,0.484,0.982,-0.001
Birch,4,0.3,0.44,0.529,0.439,0.484,0.982,-0.001
MiniBatchKMeans,6,0.3,0.465,0.504,0.464,0.484,0.982,-0.001
MiniBatchKMeans,3,0.3,0.448,0.518,0.446,0.482,0.982,-0.001
MiniBatchKMeans,4,0.3,0.48,0.482,0.48,0.481,0.982,-0.002
MiniBatchKMeans,5,0.5,0.462,0.501,0.462,0.481,0.982,-0.001
KMeans,6,0.3,0.448,0.515,0.446,0.481,0.982,-0.001
MiniBatchKMeans,6,0.5,0.483,0.48,0.483,0.481,0.982,-0.002
Birch,2,0.3,0.464,0.495,0.463,0.479,0.982,-0.002
MiniBatchKMeans,4,0.15,0.498,0.458,0.499,0.478,0.982,-0.002
KMeans,6,0.4,0.485,0.471,0.485,0.478,0.982,-0.002
KMeans,3,0.05,0.482,0.471,0.483,0.477,0.982,-0.002
MiniBatchKMeans,4,0.5,0.467,0.488,0.467,0.477,0.982,-0.002
KMeans,5,0.1,0.484,0.47,0.484,0.477,0.982,-0.002
KMeans,4,0.5,0.45,0.502,0.449,0.476,0.982,-0.002
KMeans,4,0.15,0.464,0.487,0.463,0.475,0.982,-0.002
KMeans,4,0.4,0.464,0.487,0.464,0.475,0.982,-0.002
KMeans,6,0.5,0.461,0.486,0.46,0.473,0.982,-0.003
MiniBatchKMeans,2,0.5,0.463,0.477,0.463,0.47,0.981,-0.003
KMeans,3,0.1,0.451,0.483,0.45,0.467,0.981,-0.003
MiniBatchKMeans,2,0.3,0.428,0.5,0.427,0.464,0.981,-0.004
KMeans,4,0.1,0.446,0.481,0.445,0.463,0.981,-0.004
KMeans,4,0.05,0.433,0.49,0.432,0.461,0.981,-0.004
MiniBatchKMeans,3,0.05,0.449,0.468,0.448,0.458,0.981,-0.004
