Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
MiniBatchKMeans,5,0.4,0.498,0.495,0.498,0.497,0.983,0.001
Birch,4,0.25,0.502,0.489,0.502,0.496,0.983,0.001
Birch,5,0.15,0.483,0.511,0.482,0.496,0.983,0
KMeans,5,0.25,0.481,0.512,0.48,0.496,0.983,0
MiniBatchKMeans,2,0.5,0.507,0.483,0.507,0.495,0.982,0
MiniBatchKMeans,3,0.25,0.483,0.505,0.483,0.494,0.983,0.001
KMeans,3,0.5,0.521,0.465,0.522,0.494,0.983,0
KMeans,5,0.5,0.482,0.506,0.482,0.494,0.983,0
KMeans,6,0.05,0.464,0.525,0.463,0.494,0.983,0
Birch,5,0.1,0.457,0.531,0.456,0.493,0.983,0
MiniBatchKMeans,3,0.15,0.499,0.485,0.499,0.492,0.983,0
Birch,3,0.4,0.483,0.502,0.483,0.492,0.983,0
Birch,5,0.25,0.498,0.486,0.498,0.492,0.983,0
MiniBatchKMeans,7,0.1,0.501,0.482,0.502,0.492,0.983,0
KMeans,7,0.3,0.483,0.5,0.483,0.492,0.983,0
MiniBatchKMeans,8,0.5,0.515,0.468,0.516,0.492,0.983,0
KMeans,2,0.1,0.466,0.517,0.465,0.491,0.983,0
MiniBatchKMeans,4,0.1,0.484,0.498,0.484,0.491,0.983,0
MiniBatchKMeans,6,0.4,0.482,0.501,0.481,0.491,0.983,-0.001
KMeans,7,0.4,0.466,0.518,0.465,0.491,0.983,0
KMeans,8,0.1,0.498,0.485,0.498,0.491,0.983,0
KMeans,4,0.05,0.485,0.496,0.484,0.49,0.983,0
MiniBatchKMeans,4,0.15,0.481,0.499,0.481,0.49,0.983,0
MiniBatchKMeans,5,0.5,0.479,0.501,0.478,0.49,0.983,0
KMeans,2,0.4,0.442,0.538,0.441,0.489,0.982,0
Birch,3,0.5,0.445,0.535,0.444,0.489,0.884,-0.001
Birch,5,0.05,0.48,0.498,0.48,0.489,0.983,0
MiniBatchKMeans,6,0.25,0.468,0.511,0.467,0.489,0.983,-0.001
Birch,7,0.1,0.355,0.627,0.35,0.489,0.983,-0.001
Birch,2,0.5,0.387,0.593,0.383,0.488,0.786,0
KMeans,6,0.4,0.485,0.492,0.485,0.488,0.983,-0.001
KMeans,8,0.05,0.479,0.496,0.479,0.488,0.982,0
KMeans,8,0.25,0.517,0.457,0.518,0.488,0.983,-0.001
KMeans,6,0.15,0.482,0.492,0.482,0.487,0.983,-0.001
KMeans,4,0.25,0.469,0.504,0.468,0.486,0.983,-0.001
MiniBatchKMeans,8,0.3,0.467,0.506,0.467,0.486,0.983,-0.001
Birch,3,0.05,0.466,0.505,0.466,0.485,0.982,-0.001
