Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_ET1_BCDT15,4,0.05,0.89,0.414,0.898,0.656,0.989,0.085
DT7_BCDT14_BCDT15,4,0.1,0.846,0.46,0.852,0.656,0.99,0.06
DT7_ET1_BCDT15,4,0.1,0.857,0.448,0.864,0.656,0.99,0.064
BCDT14_RF8_BCDT15,2,0.05,0.911,0.39,0.92,0.655,0.989,0.1
BCDT14_ET1_BCDT15,2,0.05,0.891,0.412,0.898,0.655,0.989,0.082
BCDT14_RF8_BCDT15,3,0.05,0.925,0.376,0.934,0.655,0.989,0.116
DT7_BCDT14_ET1,3,0.1,0.865,0.438,0.872,0.655,0.99,0.068
DT7_BCDT14_RF8_ET1_BCDT15,4,0.05,0.927,0.374,0.936,0.655,0.989,0.121
BCDT14_RF8_BCDT15,4,0.05,0.93,0.371,0.939,0.655,0.989,0.123
DT7_BCDT14_RF8,4,0.1,0.888,0.414,0.896,0.655,0.989,0.081
DT7_RF8_BCDT15,2,0.05,0.907,0.392,0.916,0.654,0.989,0.095
DT7_BCDT14_ET1,3,0.15,0.837,0.465,0.843,0.654,0.99,0.056
DT7_BCDT14_BCDT15,5,0.15,0.82,0.482,0.826,0.654,0.99,0.052
BCDT14_RF8_BCDT15,5,0.25,0.797,0.505,0.802,0.654,0.99,0.046
DT7_BCDT14_ET1,2,0.1,0.867,0.432,0.874,0.653,0.99,0.068
DT7_ET1_BCDT15,2,0.15,0.818,0.483,0.823,0.653,0.99,0.051
BCDT14_RF8_BCDT15,2,0.15,0.834,0.467,0.84,0.653,0.99,0.055
BCDT14_ET1_BCDT15,3,0.15,0.839,0.461,0.845,0.653,0.99,0.057
DT7_BCDT14_ET1,4,0.1,0.873,0.425,0.88,0.653,0.989,0.071
DT7_BCDT14_RF8_ET1_BCDT15,4,0.15,0.876,0.423,0.883,0.653,0.989,0.073
DT7_ET1_BCDT15,6,0.05,0.893,0.406,0.901,0.653,0.989,0.085
DT7_BCDT14_RF8_ET1_BCDT15,2,0.05,0.919,0.377,0.927,0.652,0.989,0.106
DT7_ET1_BCDT15,2,0.05,0.878,0.418,0.885,0.652,0.989,0.074
DT7_BCDT14_ET1,2,0.15,0.835,0.462,0.841,0.652,0.99,0.055
BCDT14_ET1_BCDT15,2,0.15,0.841,0.457,0.848,0.652,0.99,0.057
BCDT14_RF8_BCDT15,3,0.25,0.79,0.508,0.795,0.652,0.99,0.044
DT7_BCDT14_RF8_ET1_BCDT15,5,0.15,0.869,0.427,0.876,0.652,0.989,0.068
BCDT14_RF8_BCDT15,6,0.25,0.806,0.493,0.811,0.652,0.99,0.047
DT7_RF8_BCDT15,2,0.15,0.827,0.469,0.833,0.651,0.99,0.052
BCDT14_ET1_BCDT15,3,0.05,0.901,0.394,0.909,0.651,0.989,0.088
BCDT14_ET1_BCDT15,3,0.25,0.802,0.494,0.807,0.651,0.99,0.046
DT7_BCDT14_BCDT15,4,0.05,0.892,0.402,0.899,0.651,0.989,0.084
