Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_RF8_BCDT15,3,0.25,0.766,0.515,0.77,0.643,0.99,0.038
DT7_BCDT14_RF8,4,0.25,0.83,0.45,0.837,0.643,0.989,0.051
BCDT14_RF8_BCDT15,4,0.25,0.831,0.448,0.837,0.643,0.989,0.051
DT7_BCDT14_RF8_ET1_BCDT15,4,0.5,0.731,0.552,0.734,0.643,0.99,0.032
DT7_BCDT14_BCDT15,5,0.05,0.878,0.4,0.886,0.643,0.989,0.07
DT7_BCDT14_ET1,5,0.15,0.829,0.45,0.835,0.643,0.989,0.05
BCDT14_ET1_BCDT15,5,0.15,0.832,0.448,0.839,0.643,0.989,0.052
DT7_BCDT14_RF8_ET1_BCDT15,6,0.1,0.889,0.389,0.897,0.643,0.989,0.076
DT7_RF8_BCDT15,3,0.15,0.824,0.454,0.83,0.642,0.989,0.05
BCDT14_RF8_BCDT15,3,0.15,0.886,0.389,0.894,0.642,0.989,0.073
RF8_ET1_BCDT15,3,0.5,0.717,0.564,0.72,0.642,0.99,0.031
DT7_BCDT14_RF8_ET1_BCDT15,4,0.15,0.868,0.408,0.876,0.642,0.989,0.064
DT7_BCDT14_BCDT15,4,0.25,0.739,0.543,0.742,0.642,0.99,0.034
DT7_RF8_ET1,4,0.25,0.805,0.474,0.811,0.642,0.99,0.046
DT7_RF8_BCDT15,5,0.1,0.857,0.42,0.864,0.642,0.989,0.061
DT7_RF8_BCDT15,5,0.15,0.817,0.461,0.823,0.642,0.989,0.048
DT7_BCDT14_BCDT15,2,0.1,0.827,0.45,0.833,0.641,0.989,0.049
DT7_BCDT14_RF8_ET1_BCDT15,2,0.25,0.806,0.471,0.811,0.641,0.99,0.045
BCDT14_ET1_BCDT15,2,0.25,0.782,0.496,0.786,0.641,0.99,0.041
RF8_ET1_BCDT15,3,0.3,0.774,0.505,0.778,0.641,0.99,0.038
DT7_RF8_BCDT15,5,0.3,0.731,0.548,0.734,0.641,0.99,0.033
DT7_RF8_BCDT15,6,0.1,0.844,0.431,0.851,0.641,0.989,0.055
RF8_ET1_BCDT15,2,0.25,0.788,0.487,0.793,0.64,0.99,0.041
DT7_BCDT14_RF8_ET1_BCDT15,2,0.3,0.785,0.49,0.79,0.64,0.99,0.04
DT7_BCDT14_RF8_ET1_BCDT15,3,0.4,0.775,0.501,0.78,0.64,0.99,0.038
RF8_ET1_BCDT15,3,0.4,0.759,0.517,0.763,0.64,0.99,0.035
DT7_BCDT14_RF8_ET1_BCDT15,4,0.05,0.919,0.352,0.928,0.64,0.989,0.098
DT7_BCDT14_BCDT15,4,0.15,0.819,0.455,0.825,0.64,0.989,0.047
BCDT14_ET1_BCDT15,4,0.3,0.779,0.495,0.784,0.64,0.99,0.038
DT7_RF8_BCDT15,5,0.05,0.901,0.369,0.91,0.64,0.989,0.084
DT7_ET1_BCDT15,5,0.1,0.816,0.458,0.822,0.64,0.989,0.047
DT7_BCDT14_ET1,2,0.3,0.772,0.501,0.776,0.639,0.99,0.039
DT7_BCDT14_ET1,3,0.1,0.843,0.427,0.85,0.639,0.989,0.054
DT7_BCDT14_BCDT15,3,0.5,0.693,0.585,0.694,0.639,0.99,0.028
BCDT14_RF8_BCDT15,4,0.1,0.908,0.361,0.917,0.639,0.989,0.087
DT7_ET1_BCDT15,4,0.15,0.793,0.479,0.799,0.639,0.99,0.041
BCDT14_RF8_BCDT15,4,0.15,0.881,0.389,0.889,0.639,0.989,0.069
DT7_BCDT14_BCDT15,5,0.1,0.844,0.427,0.851,0.639,0.989,0.055
DT7_ET1_BCDT15,6,0.05,0.854,0.418,0.861,0.639,0.989,0.059
DT7_RF8_BCDT15,6,0.3,0.732,0.543,0.735,0.639,0.99,0.032
BCDT14_ET1_BCDT15,3,0.1,0.85,0.418,0.857,0.638,0.989,0.056
DT7_RF8_ET1,3,0.25,0.808,0.463,0.814,0.638,0.989,0.044
DT7_RF8_BCDT15,3,0.5,0.687,0.588,0.688,0.638,0.99,0.027
DT7_BCDT14_RF8_ET1_BCDT15,4,0.1,0.89,0.377,0.898,0.638,0.989,0.074
DT7_RF8_BCDT15,4,0.1,0.844,0.426,0.851,0.638,0.989,0.056
RF8_ET1_BCDT15,4,0.1,0.89,0.379,0.898,0.638,0.989,0.075
BCDT14_RF8_ET1,4,0.25,0.84,0.429,0.847,0.638,0.989,0.053
DT7_BCDT14_RF8_ET1_BCDT15,4,0.3,0.79,0.48,0.795,0.638,0.99,0.04
RF8_ET1_BCDT15,4,0.3,0.782,0.489,0.787,0.638,0.99,0.039
DT7_BCDT14_RF8,5,0.15,0.875,0.393,0.882,0.638,0.989,0.065
DT7_ET1_BCDT15,5,0.15,0.775,0.496,0.78,0.638,0.99,0.038
BCDT14_RF8_BCDT15,5,0.3,0.795,0.476,0.8,0.638,0.989,0.041
DT7_ET1_BCDT15,6,0.1,0.809,0.461,0.815,0.638,0.989,0.044
DT7_BCDT14_BCDT15,6,0.15,0.787,0.483,0.792,0.638,0.99,0.041
DT7_BCDT14_BCDT15,6,0.25,0.75,0.521,0.754,0.638,0.99,0.034
DT7_BCDT14_ET1,6,0.3,0.763,0.51,0.767,0.638,0.99,0.035
BCDT14_RF8_BCDT15,2,0.25,0.819,0.449,0.825,0.637,0.989,0.046
BCDT14_ET1_BCDT15,2,0.3,0.777,0.492,0.782,0.637,0.99,0.038
BCDT14_RF8_BCDT15,3,0.25,0.84,0.427,0.846,0.637,0.989,0.052
DT7_ET1_BCDT15,3,0.5,0.667,0.606,0.668,0.637,0.99,0.025
BCDT14_RF8_BCDT15,4,0.05,0.94,0.323,0.951,0.637,0.989,0.127
BCDT14_ET1_BCDT15,4,0.4,0.764,0.505,0.768,0.637,0.99,0.035
DT7_BCDT14_ET1,4,0.5,0.724,0.546,0.727,0.637,0.99,0.03
BCDT14_RF8_BCDT15,4,0.5,0.751,0.519,0.755,0.637,0.99,0.033
DT7_RF8_ET1,5,0.15,0.852,0.414,0.859,0.637,0.989,0.056
DT7_RF8_BCDT15,5,0.25,0.753,0.517,0.757,0.637,0.99,0.034
DT7_BCDT14_BCDT15,6,0.05,0.868,0.399,0.876,0.637,0.989,0.064
DT7_RF8_BCDT15,6,0.15,0.801,0.468,0.806,0.637,0.989,0.044
DT7_ET1_BCDT15,6,0.3,0.707,0.564,0.709,0.637,0.99,0.029
BCDT14_RF8_ET1,6,0.3,0.804,0.464,0.81,0.637,0.989,0.042
BCDT14_ET1_BCDT15,6,0.3,0.772,0.498,0.776,0.637,0.99,0.037
BCDT14_RF8_ET1,2,0.05,0.906,0.357,0.915,0.636,0.989,0.085
DT7_BCDT14_RF8,2,0.1,0.884,0.38,0.893,0.636,0.989,0.07
RF8_ET1_BCDT15,2,0.15,0.845,0.42,0.852,0.636,0.989,0.053
DT7_RF8_ET1,2,0.25,0.79,0.477,0.796,0.636,0.989,0.04
BCDT14_RF8_ET1,3,0.1,0.898,0.364,0.907,0.636,0.989,0.079
RF8_ET1_BCDT15,3,0.15,0.86,0.405,0.867,0.636,0.989,0.058
DT7_RF8_ET1,3,0.4,0.76,0.508,0.765,0.636,0.99,0.035
DT7_RF8_BCDT15,3,0.4,0.734,0.536,0.737,0.636,0.99,0.031
DT7_RF8_BCDT15,4,0.3,0.727,0.542,0.73,0.636,0.99,0.031
DT7_ET1_BCDT15,5,0.05,0.85,0.414,0.857,0.636,0.989,0.054
DT7_BCDT14_ET1,5,0.3,0.775,0.493,0.78,0.636,0.99,0.037
DT7_BCDT14_BCDT15,5,0.3,0.726,0.543,0.729,0.636,0.99,0.031
DT7_BCDT14_RF8_ET1_BCDT15,6,0.25,0.813,0.452,0.819,0.636,0.989,0.044
BCDT14_RF8_BCDT15,6,0.25,0.831,0.435,0.838,0.636,0.989,0.049
DT7_BCDT14_ET1,2,0.1,0.844,0.419,0.851,0.635,0.989,0.055
BCDT14_RF8_ET1,2,0.1,0.889,0.373,0.897,0.635,0.989,0.074
BCDT14_RF8_ET1,2,0.25,0.815,0.449,0.821,0.635,0.989,0.044
BCDT14_ET1_BCDT15,3,0.05,0.888,0.375,0.896,0.635,0.989,0.07
DT7_BCDT14_BCDT15,3,0.15,0.821,0.443,0.828,0.635,0.989,0.046
DT7_BCDT14_BCDT15,3,0.25,0.767,0.499,0.771,0.635,0.99,0.036
BCDT14_RF8_ET1,3,0.5,0.748,0.518,0.752,0.635,0.99,0.033
DT7_BCDT14_ET1,4,0.25,0.793,0.471,0.798,0.635,0.989,0.041
DT7_BCDT14_BCDT15,6,0.1,0.83,0.435,0.836,0.635,0.989,0.048
DT7_BCDT14_RF8_ET1_BCDT15,6,0.15,0.861,0.402,0.868,0.635,0.989,0.058
BCDT14_RF8_BCDT15,6,0.15,0.882,0.381,0.89,0.635,0.989,0.068
BCDT14_ET1_BCDT15,6,0.25,0.792,0.474,0.797,0.635,0.989,0.04
DT7_BCDT14_RF8,2,0.3,0.789,0.474,0.794,0.634,0.989,0.039
DT7_ET1_BCDT15,3,0.15,0.793,0.469,0.798,0.634,0.989,0.04
DT7_BCDT14_ET1,3,0.25,0.807,0.455,0.813,0.634,0.989,0.042
DT7_BCDT14_RF8_ET1_BCDT15,3,0.3,0.787,0.476,0.792,0.634,0.989,0.038
BCDT14_RF8_BCDT15,3,0.3,0.805,0.457,0.81,0.634,0.989,0.041
BCDT14_ET1_BCDT15,4,0.15,0.837,0.425,0.844,0.634,0.989,0.051
DT7_BCDT14_RF8_ET1_BCDT15,4,0.4,0.763,0.501,0.768,0.634,0.99,0.035
DT7_BCDT14_RF8,4,0.4,0.769,0.494,0.773,0.634,0.989,0.035
DT7_BCDT14_RF8_ET1_BCDT15,5,0.1,0.894,0.367,0.902,0.634,0.989,0.076
RF8_ET1_BCDT15,5,0.3,0.792,0.471,0.797,0.634,0.989,0.039
DT7_RF8_BCDT15,6,0.25,0.755,0.508,0.759,0.634,0.99,0.034
DT7_BCDT14_BCDT15,2,0.25,0.766,0.496,0.77,0.633,0.989,0.036
DT7_BCDT14_RF8,3,0.15,0.885,0.374,0.893,0.633,0.989,0.069
DT7_RF8_ET1,3,0.15,0.862,0.396,0.87,0.633,0.989,0.057
DT7_ET1_BCDT15,3,0.25,0.733,0.529,0.737,0.633,0.99,0.031
BCDT14_ET1_BCDT15,3,0.3,0.768,0.493,0.772,0.633,0.989,0.035
DT7_BCDT14_RF8,3,0.5,0.746,0.517,0.75,0.633,0.99,0.033
BCDT14_RF8_BCDT15,3,0.5,0.746,0.515,0.75,0.633,0.99,0.032
BCDT14_ET1_BCDT15,4,0.05,0.879,0.38,0.887,0.633,0.989,0.064
DT7_RF8_ET1,4,0.1,0.885,0.373,0.893,0.633,0.989,0.069
BCDT14_RF8_BCDT15,4,0.4,0.773,0.488,0.778,0.633,0.989,0.036
DT7_BCDT14_RF8,4,0.5,0.748,0.515,0.751,0.633,0.99,0.032
RF8_ET1_BCDT15,5,0.15,0.854,0.405,0.861,0.633,0.989,0.057
DT7_RF8_ET1,5,0.3,0.791,0.47,0.797,0.633,0.989,0.039
BCDT14_RF8_BCDT15,6,0.1,0.904,0.352,0.913,0.633,0.989,0.081
DT7_BCDT14_RF8,6,0.15,0.874,0.385,0.882,0.633,0.989,0.063
DT7_BCDT14_BCDT15,6,0.3,0.728,0.536,0.731,0.633,0.99,0.03
DT7_BCDT14_ET1,2,0.25,0.784,0.475,0.789,0.632,0.989,0.039
RF8_ET1_BCDT15,2,0.3,0.78,0.479,0.785,0.632,0.989,0.037
BCDT14_ET1_BCDT15,3,0.15,0.842,0.415,0.849,0.632,0.989,0.05
DT7_BCDT14_BCDT15,3,0.4,0.737,0.524,0.74,0.632,0.99,0.031
DT7_BCDT14_RF8,4,0.15,0.879,0.376,0.887,0.632,0.989,0.065
RF8_ET1_BCDT15,4,0.15,0.864,0.392,0.871,0.632,0.989,0.058
DT7_ET1_BCDT15,4,0.25,0.72,0.542,0.723,0.632,0.99,0.03
BCDT14_RF8_ET1,4,0.5,0.755,0.505,0.759,0.632,0.99,0.033
BCDT14_RF8_BCDT15,5,0.1,0.916,0.339,0.925,0.632,0.989,0.091
DT7_BCDT14_RF8,5,0.3,0.795,0.464,0.8,0.632,0.989,0.04
DT7_BCDT14_RF8_ET1_BCDT15,6,0.05,0.91,0.344,0.92,0.632,0.989,0.09
DT7_RF8_BCDT15,6,0.05,0.896,0.358,0.905,0.632,0.989,0.08
DT7_BCDT14_RF8_ET1_BCDT15,2,0.15,0.849,0.406,0.856,0.631,0.989,0.053
DT7_BCDT14_RF8,2,0.25,0.819,0.437,0.826,0.631,0.989,0.044
DT7_RF8_BCDT15,2,0.25,0.763,0.494,0.767,0.631,0.989,0.035
DT7_BCDT14_RF8,3,0.25,0.842,0.413,0.849,0.631,0.989,0.05
DT7_ET1_BCDT15,3,0.3,0.713,0.546,0.716,0.631,0.99,0.029
DT7_BCDT14_ET1,3,0.4,0.756,0.502,0.76,0.631,0.989,0.033
BCDT14_RF8_BCDT15,3,0.4,0.782,0.474,0.787,0.631,0.989,0.036
DT7_BCDT14_ET1,4,0.05,0.871,0.383,0.879,0.631,0.989,0.06
BCDT14_RF8_BCDT15,4,0.3,0.815,0.44,0.821,0.631,0.989,0.043
DT7_BCDT14_ET1,4,0.4,0.755,0.502,0.759,0.631,0.989,0.033
DT7_BCDT14_BCDT15,4,0.4,0.717,0.542,0.719,0.631,0.99,0.029
RF8_ET1_BCDT15,4,0.4,0.752,0.505,0.756,0.631,0.989,0.032
DT7_RF8_ET1,4,0.5,0.706,0.552,0.709,0.631,0.99,0.027
DT7_RF8_BCDT15,4,0.5,0.674,0.587,0.675,0.631,0.99,0.025
DT7_BCDT14_ET1,5,0.1,0.851,0.404,0.858,0.631,0.989,0.054
DT7_BCDT14_RF8_ET1_BCDT15,5,0.25,0.809,0.448,0.815,0.631,0.989,0.042
DT7_ET1_BCDT15,5,0.25,0.72,0.54,0.722,0.631,0.99,0.029
DT7_ET1_BCDT15,5,0.3,0.72,0.539,0.723,0.631,0.99,0.029
BCDT14_ET1_BCDT15,5,0.3,0.776,0.482,0.78,0.631,0.989,0.036
BCDT14_ET1_BCDT15,6,0.1,0.86,0.395,0.867,0.631,0.989,0.057
BCDT14_ET1_BCDT15,6,0.15,0.836,0.419,0.843,0.631,0.989,0.049
DT7_BCDT14_RF8,6,0.25,0.828,0.426,0.835,0.631,0.989,0.046
BCDT14_RF8_BCDT15,6,0.5,0.743,0.515,0.746,0.631,0.99,0.031
DT7_RF8_ET1,2,0.15,0.841,0.412,0.848,0.63,0.989,0.05
DT7_BCDT14_BCDT15,2,0.3,0.731,0.525,0.735,0.63,0.99,0.031
DT7_RF8_ET1,2,0.3,0.775,0.48,0.78,0.63,0.989,0.037
BCDT14_RF8_BCDT15,2,0.3,0.789,0.465,0.794,0.63,0.989,0.038
