Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.976,0.314,0.984,0.649,0.992,0.212
DT5.1_DT5.2_RFC1.1,0.05,0.98,0.282,0.988,0.635,0.992,0.233
DT5.1_DT5.2_RFC1.2,0.05,0.977,0.312,0.984,0.648,0.992,0.218
DT5.1_DT5.2_ET8,0.05,0.977,0.267,0.985,0.626,0.992,0.191
DT5.1_RFC1.1_RFC1.2,0.05,0.975,0.356,0.982,0.669,0.993,0.224
DT5.1_RFC1.1_ET8,0.05,0.976,0.3,0.983,0.642,0.992,0.201
DT5.1_RFC1.2_ET8,0.05,0.963,0.328,0.97,0.649,0.993,0.148
DT5.2_RFC1.1_RFC1.2,0.05,0.974,0.358,0.98,0.669,0.993,0.214
DT5.2_RFC1.1_ET8,0.05,0.975,0.302,0.982,0.642,0.992,0.195
DT5.2_RFC1.2_ET8,0.05,0.962,0.325,0.969,0.647,0.992,0.142
RFC1.1_RFC1.2_ET8,0.05,0.961,0.353,0.968,0.66,0.993,0.154
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.963,0.447,0.968,0.708,0.994,0.194
DT5.1_DT5.2_RFC1.1,0.1,0.96,0.421,0.966,0.693,0.994,0.174
DT5.1_DT5.2_RFC1.2,0.1,0.951,0.446,0.957,0.701,0.994,0.151
DT5.1_DT5.2_ET8,0.1,0.957,0.398,0.963,0.681,0.993,0.154
DT5.1_RFC1.1_RFC1.2,0.1,0.958,0.477,0.963,0.72,0.994,0.185
DT5.1_RFC1.1_ET8,0.1,0.965,0.426,0.971,0.699,0.994,0.2
DT5.1_RFC1.2_ET8,0.1,0.95,0.458,0.955,0.707,0.994,0.153
DT5.2_RFC1.1_RFC1.2,0.1,0.956,0.481,0.961,0.721,0.994,0.177
DT5.2_RFC1.1_ET8,0.1,0.963,0.432,0.969,0.7,0.994,0.192
DT5.2_RFC1.2_ET8,0.1,0.948,0.46,0.953,0.706,0.994,0.148
RFC1.1_RFC1.2_ET8,0.1,0.948,0.47,0.954,0.712,0.994,0.155
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.946,0.489,0.951,0.72,0.994,0.151
DT5.1_DT5.2_RFC1.1,0.15,0.936,0.461,0.942,0.701,0.994,0.12
DT5.1_DT5.2_RFC1.2,0.15,0.926,0.477,0.931,0.704,0.994,0.106
DT5.1_DT5.2_ET8,0.15,0.935,0.44,0.941,0.691,0.994,0.113
DT5.1_RFC1.1_RFC1.2,0.15,0.936,0.507,0.941,0.724,0.994,0.133
DT5.1_RFC1.1_ET8,0.15,0.95,0.468,0.955,0.712,0.994,0.157
DT5.1_RFC1.2_ET8,0.15,0.933,0.481,0.938,0.709,0.994,0.123
DT5.2_RFC1.1_RFC1.2,0.15,0.935,0.519,0.939,0.729,0.994,0.132
DT5.2_RFC1.1_ET8,0.15,0.948,0.468,0.953,0.711,0.994,0.152
DT5.2_RFC1.2_ET8,0.15,0.931,0.489,0.935,0.712,0.994,0.12
RFC1.1_RFC1.2_ET8,0.15,0.933,0.498,0.937,0.718,0.994,0.126
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.904,0.537,0.908,0.722,0.994,0.091
DT5.1_DT5.2_RFC1.1,0.25,0.894,0.516,0.898,0.707,0.994,0.078
DT5.1_DT5.2_RFC1.2,0.25,0.88,0.519,0.884,0.702,0.994,0.067
DT5.1_DT5.2_ET8,0.25,0.898,0.493,0.902,0.698,0.994,0.077
DT5.1_RFC1.1_RFC1.2,0.25,0.886,0.551,0.889,0.72,0.995,0.078
DT5.1_RFC1.1_ET8,0.25,0.912,0.518,0.916,0.717,0.994,0.098
DT5.1_RFC1.2_ET8,0.25,0.892,0.526,0.896,0.711,0.994,0.079
DT5.2_RFC1.1_RFC1.2,0.25,0.886,0.547,0.89,0.719,0.994,0.077
DT5.2_RFC1.1_ET8,0.25,0.91,0.512,0.914,0.713,0.994,0.094
DT5.2_RFC1.2_ET8,0.25,0.892,0.518,0.896,0.707,0.994,0.077
RFC1.1_RFC1.2_ET8,0.25,0.889,0.532,0.893,0.712,0.994,0.078
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.885,0.57,0.888,0.729,0.995,0.08
DT5.1_DT5.2_RFC1.1,0.3,0.87,0.549,0.874,0.711,0.994,0.065
DT5.1_DT5.2_RFC1.2,0.3,0.856,0.551,0.86,0.705,0.994,0.057
DT5.1_DT5.2_ET8,0.3,0.874,0.532,0.878,0.705,0.994,0.065
DT5.1_RFC1.1_RFC1.2,0.3,0.872,0.591,0.875,0.733,0.995,0.073
DT5.1_RFC1.1_ET8,0.3,0.895,0.558,0.898,0.728,0.995,0.087
