Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.976,0.311,0.983,0.647,0.992,0.207
DT5.1_DT5.2_RFC1.1,0.05,0.979,0.302,0.986,0.644,0.992,0.231
DT5.1_DT5.2_RFC1.2,0.05,0.975,0.314,0.982,0.648,0.992,0.206
DT5.1_DT5.2_ET8,0.05,0.975,0.286,0.982,0.634,0.992,0.187
DT5.1_RFC1.1_RFC1.2,0.05,0.973,0.33,0.98,0.655,0.993,0.199
DT5.1_RFC1.1_ET8,0.05,0.975,0.291,0.983,0.637,0.992,0.192
DT5.1_RFC1.2_ET8,0.05,0.959,0.311,0.966,0.638,0.992,0.126
DT5.2_RFC1.1_RFC1.2,0.05,0.973,0.332,0.98,0.656,0.993,0.201
DT5.2_RFC1.1_ET8,0.05,0.975,0.289,0.982,0.636,0.992,0.188
DT5.2_RFC1.2_ET8,0.05,0.958,0.304,0.966,0.635,0.992,0.121
RFC1.1_RFC1.2_ET8,0.05,0.958,0.321,0.965,0.643,0.992,0.128
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.96,0.398,0.966,0.682,0.993,0.164
DT5.1_DT5.2_RFC1.1,0.1,0.961,0.382,0.967,0.675,0.993,0.167
DT5.1_DT5.2_RFC1.2,0.1,0.953,0.402,0.959,0.68,0.993,0.143
DT5.1_DT5.2_ET8,0.1,0.959,0.351,0.966,0.658,0.993,0.15
DT5.1_RFC1.1_RFC1.2,0.1,0.954,0.428,0.96,0.694,0.994,0.155
DT5.1_RFC1.1_ET8,0.1,0.961,0.353,0.968,0.66,0.993,0.153
DT5.1_RFC1.2_ET8,0.1,0.947,0.409,0.953,0.681,0.993,0.131
DT5.2_RFC1.1_RFC1.2,0.1,0.951,0.426,0.957,0.692,0.994,0.146
DT5.2_RFC1.1_ET8,0.1,0.959,0.363,0.966,0.664,0.993,0.15
DT5.2_RFC1.2_ET8,0.1,0.945,0.411,0.95,0.68,0.993,0.124
RFC1.1_RFC1.2_ET8,0.1,0.943,0.411,0.949,0.68,0.993,0.122
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.937,0.423,0.942,0.682,0.993,0.11
DT5.1_DT5.2_RFC1.1,0.15,0.937,0.402,0.943,0.673,0.993,0.106
DT5.1_DT5.2_RFC1.2,0.15,0.929,0.428,0.935,0.681,0.993,0.098
DT5.1_DT5.2_ET8,0.15,0.937,0.365,0.944,0.654,0.993,0.095
DT5.1_RFC1.1_RFC1.2,0.15,0.928,0.467,0.933,0.7,0.994,0.106
DT5.1_RFC1.1_ET8,0.15,0.94,0.4,0.946,0.673,0.993,0.11
DT5.1_RFC1.2_ET8,0.15,0.924,0.426,0.929,0.678,0.993,0.09
DT5.2_RFC1.1_RFC1.2,0.15,0.925,0.479,0.93,0.704,0.994,0.104
DT5.2_RFC1.1_ET8,0.15,0.937,0.402,0.943,0.672,0.993,0.104
DT5.2_RFC1.2_ET8,0.15,0.92,0.433,0.925,0.679,0.993,0.087
RFC1.1_RFC1.2_ET8,0.15,0.918,0.468,0.923,0.696,0.994,0.093
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.911,0.479,0.916,0.697,0.994,0.087
DT5.1_DT5.2_RFC1.1,0.25,0.898,0.474,0.903,0.688,0.994,0.075
DT5.1_DT5.2_RFC1.2,0.25,0.887,0.504,0.891,0.697,0.994,0.07
DT5.1_DT5.2_ET8,0.25,0.903,0.433,0.909,0.671,0.993,0.072
DT5.1_RFC1.1_RFC1.2,0.25,0.897,0.505,0.901,0.703,0.994,0.078
DT5.1_RFC1.1_ET8,0.25,0.921,0.437,0.926,0.681,0.993,0.089
DT5.1_RFC1.2_ET8,0.25,0.905,0.447,0.91,0.679,0.993,0.075
DT5.2_RFC1.1_RFC1.2,0.25,0.892,0.518,0.896,0.707,0.994,0.076
DT5.2_RFC1.1_ET8,0.25,0.914,0.463,0.919,0.691,0.994,0.087
DT5.2_RFC1.2_ET8,0.25,0.897,0.486,0.901,0.694,0.994,0.074
RFC1.1_RFC1.2_ET8,0.25,0.897,0.491,0.901,0.696,0.994,0.075
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.885,0.468,0.89,0.679,0.994,0.062
DT5.1_DT5.2_RFC1.1,0.3,0.876,0.463,0.88,0.672,0.993,0.056
DT5.1_DT5.2_RFC1.2,0.3,0.864,0.479,0.868,0.673,0.994,0.051
DT5.1_DT5.2_ET8,0.3,0.885,0.425,0.89,0.657,0.993,0.056
DT5.1_RFC1.1_RFC1.2,0.3,0.866,0.5,0.87,0.685,0.994,0.056
DT5.1_RFC1.1_ET8,0.3,0.896,0.447,0.901,0.674,0.993,0.067
DT5.1_RFC1.2_ET8,0.3,0.878,0.454,0.883,0.669,0.993,0.056
DT5.2_RFC1.1_RFC1.2,0.3,0.858,0.512,0.862,0.687,0.994,0.054
DT5.2_RFC1.1_ET8,0.3,0.888,0.454,0.893,0.674,0.993,0.062
DT5.2_RFC1.2_ET8,0.3,0.868,0.47,0.872,0.671,0.993,0.053
RFC1.1_RFC1.2_ET8,0.3,0.862,0.489,0.866,0.678,0.994,0.052
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.854,0.547,0.858,0.703,0.994,0.057
DT5.1_DT5.2_RFC1.1,0.4,0.826,0.556,0.829,0.692,0.994,0.045
DT5.1_DT5.2_RFC1.2,0.4,0.814,0.554,0.817,0.686,0.994,0.041
DT5.1_DT5.2_ET8,0.4,0.832,0.533,0.835,0.684,0.994,0.045
DT5.1_RFC1.1_RFC1.2,0.4,0.839,0.561,0.842,0.702,0.994,0.052
DT5.1_RFC1.1_ET8,0.4,0.863,0.528,0.866,0.697,0.994,0.058
DT5.1_RFC1.2_ET8,0.4,0.848,0.542,0.852,0.697,0.994,0.053
DT5.2_RFC1.1_RFC1.2,0.4,0.835,0.549,0.838,0.694,0.994,0.048
DT5.2_RFC1.1_ET8,0.4,0.86,0.53,0.863,0.697,0.994,0.057
DT5.2_RFC1.2_ET8,0.4,0.844,0.532,0.848,0.69,0.994,0.05
RFC1.1_RFC1.2_ET8,0.4,0.842,0.53,0.846,0.688,0.994,0.049
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.807,0.565,0.81,0.687,0.994,0.04
DT5.1_DT5.2_RFC1.1,0.5,0.774,0.561,0.777,0.669,0.994,0.031
DT5.1_DT5.2_RFC1.2,0.5,0.765,0.556,0.767,0.662,0.994,0.029
DT5.1_DT5.2_ET8,0.5,0.785,0.537,0.787,0.662,0.994,0.031
DT5.1_RFC1.1_RFC1.2,0.5,0.79,0.581,0.792,0.686,0.994,0.037
DT5.1_RFC1.1_ET8,0.5,0.818,0.553,0.821,0.687,0.994,0.042
DT5.1_RFC1.2_ET8,0.5,0.803,0.553,0.806,0.679,0.994,0.038
DT5.2_RFC1.1_RFC1.2,0.5,0.791,0.589,0.793,0.691,0.994,0.038
DT5.2_RFC1.1_ET8,0.5,0.816,0.546,0.819,0.683,0.994,0.041
DT5.2_RFC1.2_ET8,0.5,0.803,0.547,0.806,0.677,0.994,0.037
RFC1.1_RFC1.2_ET8,0.5,0.799,0.563,0.802,0.683,0.994,0.037
