Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.977,0.312,0.984,0.648,0.992,0.214
DT5.1_DT5.2_RFC1.1,0.05,0.981,0.309,0.988,0.648,0.992,0.249
DT5.1_DT5.2_RFC1.2,0.05,0.976,0.339,0.983,0.661,0.993,0.226
DT5.1_DT5.2_ET8,0.05,0.977,0.309,0.984,0.646,0.992,0.212
DT5.1_RFC1.1_RFC1.2,0.05,0.974,0.34,0.981,0.661,0.993,0.211
DT5.1_RFC1.1_ET8,0.05,0.976,0.295,0.984,0.639,0.992,0.202
DT5.1_RFC1.2_ET8,0.05,0.959,0.316,0.966,0.641,0.992,0.132
DT5.2_RFC1.1_RFC1.2,0.05,0.973,0.332,0.98,0.656,0.993,0.202
DT5.2_RFC1.1_ET8,0.05,0.976,0.288,0.983,0.635,0.992,0.194
DT5.2_RFC1.2_ET8,0.05,0.959,0.314,0.966,0.64,0.992,0.129
RFC1.1_RFC1.2_ET8,0.05,0.958,0.319,0.965,0.642,0.992,0.13
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.958,0.356,0.964,0.66,0.993,0.142
DT5.1_DT5.2_RFC1.1,0.1,0.962,0.367,0.968,0.667,0.993,0.158
DT5.1_DT5.2_RFC1.2,0.1,0.954,0.396,0.96,0.678,0.993,0.143
DT5.1_DT5.2_ET8,0.1,0.958,0.349,0.965,0.657,0.993,0.14
DT5.1_RFC1.1_RFC1.2,0.1,0.952,0.391,0.958,0.675,0.993,0.135
DT5.1_RFC1.1_ET8,0.1,0.959,0.33,0.966,0.648,0.993,0.137
DT5.1_RFC1.2_ET8,0.1,0.944,0.367,0.95,0.659,0.993,0.109
DT5.2_RFC1.1_RFC1.2,0.1,0.951,0.396,0.957,0.677,0.993,0.134
DT5.2_RFC1.1_ET8,0.1,0.957,0.337,0.964,0.65,0.993,0.133
DT5.2_RFC1.2_ET8,0.1,0.942,0.358,0.949,0.653,0.993,0.103
RFC1.1_RFC1.2_ET8,0.1,0.942,0.386,0.948,0.667,0.993,0.111
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.941,0.4,0.947,0.674,0.993,0.111
DT5.1_DT5.2_RFC1.1,0.15,0.941,0.379,0.947,0.663,0.993,0.106
DT5.1_DT5.2_RFC1.2,0.15,0.932,0.4,0.938,0.669,0.993,0.096
DT5.1_DT5.2_ET8,0.15,0.941,0.365,0.947,0.656,0.993,0.103
DT5.1_RFC1.1_RFC1.2,0.15,0.931,0.435,0.936,0.686,0.993,0.101
DT5.1_RFC1.1_ET8,0.15,0.945,0.367,0.951,0.659,0.993,0.11
DT5.1_RFC1.2_ET8,0.15,0.928,0.4,0.934,0.667,0.993,0.09
DT5.2_RFC1.1_RFC1.2,0.15,0.928,0.442,0.933,0.688,0.994,0.1
DT5.2_RFC1.1_ET8,0.15,0.943,0.384,0.949,0.667,0.993,0.111
DT5.2_RFC1.2_ET8,0.15,0.925,0.411,0.931,0.671,0.993,0.088
RFC1.1_RFC1.2_ET8,0.15,0.923,0.433,0.928,0.681,0.993,0.09
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.908,0.442,0.913,0.678,0.993,0.077
DT5.1_DT5.2_RFC1.1,0.25,0.898,0.451,0.903,0.677,0.993,0.069
DT5.1_DT5.2_RFC1.2,0.25,0.884,0.463,0.888,0.676,0.993,0.061
DT5.1_DT5.2_ET8,0.25,0.901,0.416,0.906,0.661,0.993,0.066
DT5.1_RFC1.1_RFC1.2,0.25,0.894,0.468,0.898,0.683,0.994,0.069
DT5.1_RFC1.1_ET8,0.25,0.915,0.421,0.921,0.671,0.993,0.08
DT5.1_RFC1.2_ET8,0.25,0.899,0.437,0.904,0.671,0.993,0.068
DT5.2_RFC1.1_RFC1.2,0.25,0.891,0.474,0.895,0.684,0.994,0.068
DT5.2_RFC1.1_ET8,0.25,0.911,0.411,0.917,0.664,0.993,0.074
DT5.2_RFC1.2_ET8,0.25,0.895,0.432,0.9,0.666,0.993,0.064
RFC1.1_RFC1.2_ET8,0.25,0.893,0.439,0.898,0.669,0.993,0.064
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.886,0.512,0.89,0.701,0.994,0.07
DT5.1_DT5.2_RFC1.1,0.3,0.875,0.512,0.879,0.696,0.994,0.064
DT5.1_DT5.2_RFC1.2,0.3,0.863,0.525,0.867,0.696,0.994,0.058
DT5.1_DT5.2_ET8,0.3,0.881,0.482,0.886,0.684,0.994,0.063
DT5.1_RFC1.1_RFC1.2,0.3,0.868,0.544,0.871,0.707,0.994,0.063
DT5.1_RFC1.1_ET8,0.3,0.895,0.493,0.9,0.696,0.994,0.075
DT5.1_RFC1.2_ET8,0.3,0.879,0.498,0.883,0.691,0.994,0.064
DT5.2_RFC1.1_RFC1.2,0.3,0.864,0.549,0.867,0.708,0.994,0.061
DT5.2_RFC1.1_ET8,0.3,0.891,0.498,0.895,0.697,0.994,0.072
DT5.2_RFC1.2_ET8,0.3,0.873,0.509,0.877,0.693,0.994,0.061
RFC1.1_RFC1.2_ET8,0.3,0.869,0.528,0.873,0.701,0.994,0.062
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.849,0.53,0.853,0.691,0.994,0.051
DT5.1_DT5.2_RFC1.1,0.4,0.817,0.514,0.82,0.667,0.994,0.038
DT5.1_DT5.2_RFC1.2,0.4,0.806,0.528,0.809,0.669,0.994,0.036
DT5.1_DT5.2_ET8,0.4,0.828,0.489,0.832,0.66,0.993,0.038
DT5.1_RFC1.1_RFC1.2,0.4,0.829,0.56,0.832,0.696,0.994,0.047
DT5.1_RFC1.1_ET8,0.4,0.862,0.5,0.865,0.683,0.994,0.054
DT5.1_RFC1.2_ET8,0.4,0.846,0.507,0.85,0.678,0.994,0.047
DT5.2_RFC1.1_RFC1.2,0.4,0.823,0.56,0.826,0.693,0.994,0.045
DT5.2_RFC1.1_ET8,0.4,0.857,0.518,0.86,0.689,0.994,0.053
DT5.2_RFC1.2_ET8,0.4,0.838,0.521,0.841,0.681,0.994,0.046
RFC1.1_RFC1.2_ET8,0.4,0.835,0.539,0.838,0.688,0.994,0.046
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.813,0.542,0.816,0.679,0.994,0.04
DT5.1_DT5.2_RFC1.1,0.5,0.797,0.565,0.799,0.682,0.994,0.037
DT5.1_DT5.2_RFC1.2,0.5,0.786,0.561,0.789,0.675,0.994,0.034
DT5.1_DT5.2_ET8,0.5,0.804,0.544,0.807,0.675,0.994,0.037
DT5.1_RFC1.1_RFC1.2,0.5,0.792,0.558,0.795,0.676,0.994,0.035
DT5.1_RFC1.1_ET8,0.5,0.822,0.533,0.825,0.679,0.994,0.042
DT5.1_RFC1.2_ET8,0.5,0.807,0.535,0.81,0.673,0.994,0.038
DT5.2_RFC1.1_RFC1.2,0.5,0.79,0.568,0.793,0.681,0.994,0.036
DT5.2_RFC1.1_ET8,0.5,0.821,0.537,0.824,0.68,0.994,0.042
DT5.2_RFC1.2_ET8,0.5,0.804,0.539,0.807,0.673,0.994,0.037
RFC1.1_RFC1.2_ET8,0.5,0.797,0.56,0.8,0.68,0.994,0.037
