Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RandomForest,3,0.3,0.802,0.43,0.808,0.619,0.989,0.051
AdaBoost,3,0.3,0.967,0.051,0.982,0.517,0.984,0.031
GradientBoosting,3,0.3,0.96,0.116,0.974,0.545,0.985,0.066
SGD,3,0.3,0.407,0.643,0.403,0.523,0.79,0.005
DecisionTree,3,0.3,0.719,0.512,0.723,0.617,0.989,0.029
ExtraTrees,3,0.3,0.752,0.495,0.757,0.626,0.989,0.045
SVC_Linear,3,0.4,0.58,0.506,0.581,0.544,0.986,0.007
LinearSVC,3,0.4,0.579,0.507,0.58,0.543,0.986,0.006
RandomForest,3,0.4,0.762,0.463,0.767,0.615,0.989,0.044
AdaBoost,3,0.4,0.952,0.088,0.966,0.527,0.985,0.033
GradientBoosting,3,0.4,0.943,0.151,0.956,0.553,0.986,0.053
SGD,3,0.4,0.779,0.251,0.788,0.519,0.986,0.006
DecisionTree,3,0.4,0.702,0.537,0.705,0.621,0.989,0.029
ExtraTrees,3,0.4,0.742,0.51,0.746,0.628,0.989,0.044
SVC_Linear,3,0.5,0.592,0.484,0.594,0.539,0.986,0.006
LinearSVC,3,0.5,0.577,0.514,0.578,0.546,0.986,0.007
RandomForest,3,0.5,0.772,0.473,0.777,0.625,0.989,0.042
AdaBoost,3,0.5,0.919,0.156,0.932,0.544,0.985,0.034
GradientBoosting,3,0.5,0.912,0.224,0.923,0.574,0.986,0.049
SGD,3,0.5,0.702,0.341,0.708,0.524,0.986,0.008
DecisionTree,3,0.5,0.686,0.546,0.688,0.617,0.989,0.025
ExtraTrees,3,0.5,0.748,0.506,0.752,0.629,0.989,0.039
SVC_Linear,4,0.05,0.587,0.494,0.589,0.541,0.986,0.006
LinearSVC,4,0.05,0.571,0.548,0.571,0.56,0.987,0.009
RandomForest,4,0.05,0.829,0.4,0.836,0.618,0.988,0.167
AdaBoost,4,0.05,0.984,0.001,1.0,0.5,0.984,0.001
GradientBoosting,4,0.05,0.984,0.029,0.999,0.514,0.984,0.049
SGD,4,0.05,0.502,0.53,0.502,0.516,0.74,0.005
DecisionTree,4,0.05,0.801,0.443,0.807,0.625,0.989,0.1
ExtraTrees,4,0.05,0.81,0.435,0.816,0.625,0.989,0.143
SVC_Linear,4,0.1,0.583,0.528,0.584,0.556,0.987,0.008
LinearSVC,4,0.1,0.586,0.538,0.587,0.563,0.987,0.01
RandomForest,4,0.1,0.908,0.349,0.917,0.633,0.988,0.178
AdaBoost,4,0.1,0.983,0.003,0.999,0.501,0.984,0.003
GradientBoosting,4,0.1,0.981,0.04,0.997,0.518,0.984,0.058
SGD,4,0.1,0.348,0.689,0.342,0.516,0.938,0.004
DecisionTree,4,0.1,0.831,0.45,0.837,0.643,0.989,0.089
ExtraTrees,4,0.1,0.851,0.42,0.858,0.639,0.989,0.138
SVC_Linear,4,0.2,0.587,0.499,0.588,0.544,0.986,0.007
LinearSVC,4,0.2,0.565,0.546,0.565,0.556,0.987,0.008
RandomForest,4,0.2,0.905,0.374,0.913,0.643,0.989,0.136
AdaBoost,4,0.2,0.979,0.014,0.994,0.504,0.984,0.012
GradientBoosting,4,0.2,0.974,0.08,0.989,0.534,0.985,0.079
SGD,4,0.2,0.632,0.407,0.635,0.521,0.987,0.005
DecisionTree,4,0.2,0.837,0.43,0.843,0.637,0.989,0.057
ExtraTrees,4,0.2,0.885,0.394,0.893,0.643,0.989,0.105
SVC_Linear,4,0.3,0.584,0.514,0.585,0.55,0.987,0.008
LinearSVC,4,0.3,0.562,0.57,0.561,0.566,0.988,0.01
RandomForest,4,0.3,0.772,0.455,0.777,0.616,0.989,0.054
AdaBoost,4,0.3,0.966,0.046,0.981,0.514,0.984,0.023
GradientBoosting,4,0.3,0.962,0.112,0.976,0.544,0.985,0.064
SGD,4,0.3,0.424,0.634,0.421,0.528,0.691,0.006
DecisionTree,4,0.3,0.696,0.526,0.699,0.613,0.989,0.028
ExtraTrees,4,0.3,0.724,0.508,0.727,0.618,0.989,0.04
SVC_Linear,4,0.4,0.586,0.484,0.588,0.536,0.986,0.005
LinearSVC,4,0.4,0.57,0.536,0.57,0.553,0.987,0.008
RandomForest,4,0.4,0.744,0.468,0.748,0.608,0.988,0.039
AdaBoost,4,0.4,0.952,0.078,0.967,0.522,0.985,0.027
GradientBoosting,4,0.4,0.944,0.133,0.958,0.545,0.985,0.046
SGD,4,0.4,0.799,0.226,0.808,0.517,0.985,0.008
DecisionTree,4,0.4,0.678,0.517,0.68,0.599,0.988,0.023
ExtraTrees,4,0.4,0.719,0.493,0.723,0.608,0.989,0.036
SVC_Linear,4,0.5,0.575,0.47,0.576,0.523,0.985,0.004
LinearSVC,4,0.5,0.557,0.526,0.558,0.542,0.986,0.006
RandomForest,4,0.5,0.731,0.472,0.735,0.603,0.988,0.035
AdaBoost,4,0.5,0.924,0.132,0.936,0.534,0.985,0.024
GradientBoosting,4,0.5,0.916,0.189,0.928,0.559,0.986,0.035
SGD,4,0.5,0.682,0.362,0.688,0.525,0.985,0.008
DecisionTree,4,0.5,0.658,0.544,0.66,0.602,0.988,0.022
ExtraTrees,4,0.5,0.705,0.508,0.708,0.608,0.988,0.033
SVC_Linear,5,0.05,0.577,0.518,0.578,0.548,0.987,0.007
LinearSVC,5,0.05,0.57,0.548,0.571,0.559,0.987,0.009
RandomForest,5,0.05,0.858,0.385,0.865,0.625,0.988,0.173
AdaBoost,5,0.05,0.983,0.002,0.999,0.501,0.984,0.003
GradientBoosting,5,0.05,0.983,0.023,0.999,0.511,0.984,0.038
SGD,5,0.05,0.33,0.685,0.324,0.504,0.69,0.001
DecisionTree,5,0.05,0.82,0.428,0.827,0.628,0.989,0.102
ExtraTrees,5,0.05,0.83,0.418,0.837,0.627,0.989,0.149
SVC_Linear,5,0.1,0.583,0.501,0.584,0.542,0.986,0.006
LinearSVC,5,0.1,0.569,0.547,0.569,0.558,0.987,0.009
RandomForest,5,0.1,0.854,0.368,0.862,0.615,0.988,0.096
AdaBoost,5,0.1,0.983,0.002,0.999,0.501,0.984,0.002
GradientBoosting,5,0.1,0.982,0.043,0.997,0.52,0.985,0.063
SGD,5,0.1,0.346,0.684,0.341,0.512,0.979,0.004
DecisionTree,5,0.1,0.792,0.447,0.798,0.622,0.989,0.05
ExtraTrees,5,0.1,0.807,0.428,0.813,0.62,0.989,0.076
SVC_Linear,5,0.2,0.592,0.489,0.594,0.541,0.986,0.006
LinearSVC,5,0.2,0.568,0.554,0.568,0.561,0.987,0.009
RandomForest,5,0.2,0.876,0.403,0.884,0.644,0.989,0.118
AdaBoost,5,0.2,0.978,0.012,0.994,0.503,0.984,0.01
GradientBoosting,5,0.2,0.974,0.091,0.988,0.54,0.985,0.087
SGD,5,0.2,0.49,0.534,0.49,0.512,0.789,0.007
DecisionTree,5,0.2,0.788,0.488,0.793,0.64,0.989,0.052
ExtraTrees,5,0.2,0.831,0.459,0.837,0.648,0.989,0.098
SVC_Linear,5,0.3,0.592,0.495,0.594,0.544,0.986,0.007
LinearSVC,5,0.3,0.571,0.551,0.571,0.561,0.987,0.009
RandomForest,5,0.3,0.818,0.43,0.825,0.627,0.989,0.07
AdaBoost,5,0.3,0.967,0.055,0.982,0.518,0.985,0.035
GradientBoosting,5,0.3,0.961,0.118,0.975,0.546,0.985,0.068
SGD,5,0.3,0.288,0.739,0.281,0.51,0.84,0.002
DecisionTree,5,0.3,0.762,0.485,0.766,0.626,0.989,0.037
ExtraTrees,5,0.3,0.808,0.447,0.814,0.63,0.989,0.064
SVC_Linear,5,0.4,0.584,0.496,0.586,0.541,0.986,0.006
LinearSVC,5,0.4,0.574,0.523,0.574,0.549,0.987,0.007
RandomForest,5,0.4,0.748,0.481,0.753,0.617,0.988,0.047
AdaBoost,5,0.4,0.951,0.087,0.965,0.526,0.985,0.028
GradientBoosting,5,0.4,0.944,0.143,0.958,0.55,0.986,0.048
SGD,5,0.4,0.828,0.188,0.839,0.514,0.985,0.005
DecisionTree,5,0.4,0.69,0.534,0.693,0.614,0.989,0.028
ExtraTrees,5,0.4,0.743,0.491,0.747,0.619,0.989,0.045
SVC_Linear,5,0.5,0.584,0.476,0.586,0.531,0.986,0.005
LinearSVC,5,0.5,0.582,0.501,0.583,0.542,0.986,0.006
RandomForest,5,0.5,0.727,0.497,0.731,0.614,0.989,0.033
AdaBoost,5,0.5,0.928,0.116,0.942,0.529,0.985,0.023
GradientBoosting,5,0.5,0.916,0.196,0.928,0.562,0.986,0.044
SGD,5,0.5,0.635,0.421,0.638,0.53,0.985,0.007
DecisionTree,5,0.5,0.656,0.545,0.657,0.601,0.989,0.021
ExtraTrees,5,0.5,0.69,0.531,0.693,0.612,0.989,0.029
