Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SGD,2,0.5,0.604,0.428,0.606,0.517,0.788,0.009
DecisionTree,2,0.5,0.583,0.568,0.583,0.576,0.988,0.013
ExtraTrees,2,0.5,0.586,0.566,0.586,0.576,0.988,0.013
BaggingClassifierDT,2,0.5,0.613,0.524,0.615,0.57,0.987,0.013
BaggingClassifierLSVC,2,0.5,0.562,0.53,0.562,0.546,0.987,0.007
SVC,3,0.05,0.585,0.506,0.587,0.546,0.986,0.007
SVC_Linear,3,0.05,0.589,0.502,0.59,0.546,0.986,0.007
LinearSVC,3,0.05,0.583,0.508,0.584,0.546,0.986,0.007
KNeighbors,3,0.05,0.924,0.12,0.938,0.529,0.985,0.091
RandomForest,3,0.05,0.87,0.39,0.878,0.634,0.989,0.152
AdaBoost,3,0.05,0.984,0.004,1.0,0.502,0.984,0.007
GradientBoosting,3,0.05,0.983,0.03,0.999,0.514,0.984,0.05
GaussianNB,3,0.05,0.98,0.005,0.996,0.5,0.984,0.001
SGD,3,0.05,0.505,0.52,0.505,0.512,0.887,0.003
DecisionTree,3,0.05,0.832,0.435,0.838,0.637,0.989,0.112
ExtraTrees,3,0.05,0.837,0.431,0.843,0.637,0.989,0.133
BaggingClassifierDT,3,0.05,0.871,0.367,0.879,0.623,0.988,0.131
BaggingClassifierLSVC,3,0.05,0.577,0.511,0.578,0.545,0.986,0.007
SVC,3,0.1,0.584,0.512,0.585,0.549,0.987,0.007
SVC_Linear,3,0.1,0.591,0.505,0.592,0.548,0.987,0.007
LinearSVC,3,0.1,0.583,0.507,0.585,0.546,0.986,0.007
KNeighbors,3,0.1,0.926,0.139,0.939,0.539,0.985,0.072
RandomForest,3,0.1,0.876,0.405,0.884,0.644,0.989,0.117
AdaBoost,3,0.1,0.983,0.005,0.999,0.502,0.984,0.007
GradientBoosting,3,0.1,0.981,0.041,0.997,0.519,0.985,0.06
GaussianNB,3,0.1,0.979,0.012,0.995,0.504,0.984,0.008
SGD,3,0.1,0.534,0.502,0.535,0.518,0.935,0.003
DecisionTree,3,0.1,0.842,0.445,0.849,0.647,0.989,0.087
ExtraTrees,3,0.1,0.851,0.436,0.858,0.647,0.989,0.105
BaggingClassifierDT,3,0.1,0.871,0.403,0.879,0.641,0.989,0.102
BaggingClassifierLSVC,3,0.1,0.579,0.512,0.581,0.546,0.986,0.007
SVC,3,0.2,0.587,0.509,0.588,0.548,0.987,0.007
SVC_Linear,3,0.2,0.59,0.505,0.592,0.548,0.987,0.007
LinearSVC,3,0.2,0.583,0.521,0.584,0.553,0.987,0.008
KNeighbors,3,0.2,0.86,0.212,0.87,0.541,0.985,0.04
RandomForest,3,0.2,0.82,0.435,0.827,0.631,0.989,0.065
AdaBoost,3,0.2,0.98,0.019,0.996,0.507,0.984,0.022
GradientBoosting,3,0.2,0.975,0.051,0.99,0.52,0.985,0.048
GaussianNB,3,0.2,0.974,0.013,0.99,0.502,0.984,0.002
SGD,3,0.2,0.692,0.327,0.698,0.513,0.937,0.005
DecisionTree,3,0.2,0.788,0.474,0.793,0.634,0.989,0.05
ExtraTrees,3,0.2,0.8,0.461,0.805,0.633,0.989,0.059
BaggingClassifierDT,3,0.2,0.813,0.428,0.82,0.624,0.989,0.053
BaggingClassifierLSVC,3,0.2,0.582,0.525,0.583,0.554,0.987,0.008
SVC,3,0.3,0.581,0.531,0.582,0.557,0.987,0.008
SVC_Linear,3,0.3,0.59,0.522,0.591,0.557,0.987,0.009
LinearSVC,3,0.3,0.573,0.543,0.573,0.558,0.987,0.008
KNeighbors,3,0.3,0.795,0.296,0.803,0.549,0.986,0.027
RandomForest,3,0.3,0.802,0.457,0.807,0.632,0.989,0.056
AdaBoost,3,0.3,0.97,0.042,0.985,0.514,0.984,0.027
GradientBoosting,3,0.3,0.959,0.111,0.973,0.542,0.985,0.062
GaussianNB,3,0.3,0.938,0.076,0.953,0.514,0.984,0.01
SGD,3,0.3,0.395,0.657,0.391,0.524,0.839,0.004
DecisionTree,3,0.3,0.764,0.493,0.769,0.631,0.989,0.04
ExtraTrees,3,0.3,0.788,0.48,0.793,0.637,0.989,0.053
BaggingClassifierDT,3,0.3,0.789,0.468,0.794,0.631,0.989,0.045
BaggingClassifierLSVC,3,0.3,0.568,0.547,0.569,0.558,0.987,0.008
SVC,3,0.4,0.588,0.509,0.589,0.549,0.987,0.008
SVC_Linear,3,0.4,0.593,0.507,0.594,0.551,0.987,0.008
LinearSVC,3,0.4,0.581,0.525,0.582,0.553,0.987,0.008
KNeighbors,3,0.4,0.785,0.308,0.793,0.55,0.986,0.019
RandomForest,3,0.4,0.784,0.462,0.79,0.626,0.989,0.04
AdaBoost,3,0.4,0.957,0.075,0.972,0.523,0.985,0.033
GradientBoosting,3,0.4,0.939,0.157,0.952,0.554,0.986,0.054
GaussianNB,3,0.4,0.857,0.181,0.868,0.524,0.985,0.015
SGD,3,0.4,0.847,0.166,0.858,0.512,0.984,0.005
DecisionTree,3,0.4,0.741,0.479,0.745,0.612,0.989,0.027
ExtraTrees,3,0.4,0.771,0.475,0.776,0.625,0.989,0.038
BaggingClassifierDT,3,0.4,0.76,0.469,0.764,0.617,0.989,0.032
BaggingClassifierLSVC,3,0.4,0.572,0.533,0.573,0.553,0.987,0.008
SVC,3,0.5,0.59,0.503,0.591,0.547,0.987,0.007
