Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.15,0.656,0.53,0.657,0.593,0.992,0.022
BaggingClassifierLSVC,0.05,0.548,0.628,0.547,0.588,0.993,0.008
BaggingClassifierLSVC,0.1,0.558,0.605,0.558,0.582,0.992,0.008
BaggingClassifierLSVC,0.4,0.562,0.593,0.561,0.577,0.992,0.007
BaggingClassifierLSVC,0.15,0.564,0.584,0.564,0.574,0.992,0.007
BaggingClassifierDT,0.4,0.674,0.468,0.677,0.573,0.992,0.011
BaggingClassifierDT,0.5,0.68,0.463,0.682,0.573,0.992,0.011
BaggingClassifierDT,0.25,0.558,0.586,0.558,0.572,0.992,0.007
BaggingClassifierLSVC,0.5,0.567,0.568,0.567,0.568,0.992,0.007
BaggingClassifierLSVC,0.3,0.566,0.567,0.566,0.566,0.992,0.006
BaggingClassifierLSVC,0.25,0.56,0.565,0.56,0.563,0.992,0.006
BaggingClassifierDT,0.05,0.607,0.516,0.608,0.562,0.992,0.007
BaggingClassifierDT,0.1,0.615,0.507,0.616,0.562,0.991,0.007
BaggingClassifierDT,0.3,0.602,0.498,0.603,0.551,0.991,0.006
