Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.5,0.771,0.53,0.774,0.652,0.993,0.028
BaggingClassifierDT,0.15,0.932,0.36,0.938,0.649,0.993,0.085
BaggingClassifierDT,0.25,0.872,0.418,0.877,0.647,0.993,0.051
BaggingClassifierDT,0.3,0.846,0.412,0.851,0.631,0.993,0.037
BaggingClassifierDT,0.1,0.906,0.326,0.913,0.62,0.992,0.085
BaggingClassifierDT,0.4,0.78,0.449,0.784,0.616,0.992,0.023
BaggingClassifierDT,0.05,0.951,0.27,0.958,0.614,0.992,0.153
BaggingClassifierLSVC,0.1,0.61,0.588,0.61,0.599,0.993,0.011
BaggingClassifierLSVC,0.3,0.619,0.567,0.62,0.593,0.992,0.01
BaggingClassifierLSVC,0.05,0.614,0.556,0.615,0.586,0.992,0.009
BaggingClassifierLSVC,0.25,0.621,0.542,0.622,0.582,0.992,0.009
BaggingClassifierLSVC,0.4,0.623,0.53,0.624,0.577,0.992,0.008
BaggingClassifierLSVC,0.15,0.628,0.521,0.629,0.575,0.992,0.009
BaggingClassifierLSVC,0.5,0.617,0.521,0.618,0.569,0.992,0.008
