Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.3,0.867,0.484,0.872,0.678,0.994,0.055
BaggingClassifierDT,0.15,0.939,0.36,0.946,0.653,0.993,0.1
BaggingClassifierDT,0.25,0.862,0.432,0.866,0.649,0.993,0.05
BaggingClassifierDT,0.4,0.809,0.486,0.813,0.649,0.993,0.034
BaggingClassifierDT,0.5,0.76,0.53,0.763,0.646,0.993,0.026
BaggingClassifierDT,0.1,0.923,0.314,0.929,0.622,0.992,0.09
BaggingClassifierDT,0.05,0.964,0.247,0.972,0.61,0.992,0.153
BaggingClassifierLSVC,0.25,0.607,0.575,0.607,0.591,0.992,0.01
BaggingClassifierLSVC,0.3,0.626,0.544,0.626,0.585,0.992,0.01
BaggingClassifierLSVC,0.15,0.624,0.542,0.625,0.583,0.992,0.009
BaggingClassifierLSVC,0.4,0.622,0.539,0.623,0.581,0.992,0.009
BaggingClassifierLSVC,0.1,0.612,0.544,0.613,0.579,0.992,0.008
BaggingClassifierLSVC,0.05,0.623,0.528,0.624,0.576,0.992,0.009
BaggingClassifierLSVC,0.5,0.632,0.514,0.633,0.574,0.992,0.009
