Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.911,0.34,0.917,0.629,0.992,0.129
DT5.1_DT5.2_RFC1.1,0.05,0.977,0.225,0.985,0.605,0.992,0.154
DT5.1_DT5.2_RFC1.2,0.05,0.975,0.232,0.983,0.607,0.992,0.148
DT5.1_DT5.2_ET8,0.05,0.977,0.211,0.985,0.598,0.991,0.144
DT5.1_RFC1.1_RFC1.2,0.05,0.903,0.358,0.909,0.633,0.992,0.117
DT5.1_RFC1.1_ET8,0.05,0.906,0.325,0.913,0.619,0.992,0.127
DT5.1_RFC1.2_ET8,0.05,0.9,0.335,0.907,0.621,0.992,0.097
DT5.2_RFC1.1_RFC1.2,0.05,0.902,0.358,0.908,0.633,0.992,0.112
DT5.2_RFC1.1_ET8,0.05,0.905,0.335,0.911,0.623,0.992,0.125
DT5.2_RFC1.2_ET8,0.05,0.9,0.353,0.906,0.629,0.992,0.101
RFC1.1_RFC1.2_ET8,0.05,0.886,0.368,0.892,0.63,0.992,0.093
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.901,0.412,0.907,0.66,0.993,0.098
DT5.1_DT5.2_RFC1.1,0.1,0.958,0.314,0.965,0.64,0.992,0.125
DT5.1_DT5.2_RFC1.2,0.1,0.954,0.312,0.961,0.637,0.992,0.112
DT5.1_DT5.2_ET8,0.1,0.961,0.288,0.968,0.628,0.992,0.12
DT5.1_RFC1.1_RFC1.2,0.1,0.879,0.442,0.884,0.663,0.993,0.081
DT5.1_RFC1.1_ET8,0.1,0.901,0.395,0.906,0.65,0.993,0.1
DT5.1_RFC1.2_ET8,0.1,0.886,0.404,0.892,0.648,0.993,0.08
DT5.2_RFC1.1_RFC1.2,0.1,0.877,0.444,0.882,0.663,0.993,0.079
DT5.2_RFC1.1_ET8,0.1,0.897,0.411,0.903,0.657,0.993,0.096
DT5.2_RFC1.2_ET8,0.1,0.883,0.414,0.888,0.651,0.993,0.078
RFC1.1_RFC1.2_ET8,0.1,0.86,0.458,0.865,0.661,0.993,0.074
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.9,0.368,0.906,0.637,0.992,0.059
DT5.1_DT5.2_RFC1.1,0.15,0.92,0.332,0.926,0.629,0.992,0.069
DT5.1_DT5.2_RFC1.2,0.15,0.914,0.34,0.921,0.63,0.992,0.065
DT5.1_DT5.2_ET8,0.15,0.928,0.309,0.934,0.622,0.992,0.07
DT5.1_RFC1.1_RFC1.2,0.15,0.871,0.4,0.876,0.638,0.993,0.048
DT5.1_RFC1.1_ET8,0.15,0.905,0.354,0.911,0.633,0.992,0.059
DT5.1_RFC1.2_ET8,0.15,0.894,0.372,0.9,0.636,0.992,0.054
DT5.2_RFC1.1_RFC1.2,0.15,0.867,0.405,0.872,0.639,0.993,0.047
DT5.2_RFC1.1_ET8,0.15,0.898,0.367,0.904,0.635,0.992,0.057
DT5.2_RFC1.2_ET8,0.15,0.887,0.379,0.892,0.636,0.992,0.051
RFC1.1_RFC1.2_ET8,0.15,0.861,0.4,0.866,0.633,0.993,0.043
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.838,0.475,0.842,0.659,0.993,0.045
DT5.1_DT5.2_RFC1.1,0.25,0.884,0.391,0.89,0.641,0.993,0.05
DT5.1_DT5.2_RFC1.2,0.25,0.881,0.393,0.886,0.639,0.993,0.048
DT5.1_DT5.2_ET8,0.25,0.895,0.36,0.901,0.63,0.992,0.051
DT5.1_RFC1.1_RFC1.2,0.25,0.799,0.502,0.802,0.652,0.993,0.036
DT5.1_RFC1.1_ET8,0.25,0.845,0.449,0.849,0.649,0.993,0.045
DT5.1_RFC1.2_ET8,0.25,0.838,0.453,0.842,0.647,0.993,0.041
DT5.2_RFC1.1_RFC1.2,0.25,0.795,0.511,0.798,0.654,0.993,0.035
DT5.2_RFC1.1_ET8,0.25,0.837,0.47,0.841,0.656,0.993,0.045
DT5.2_RFC1.2_ET8,0.25,0.829,0.479,0.833,0.656,0.993,0.042
RFC1.1_RFC1.2_ET8,0.25,0.793,0.516,0.796,0.656,0.993,0.036
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.855,0.502,0.859,0.68,0.994,0.055
DT5.1_DT5.2_RFC1.1,0.3,0.855,0.493,0.859,0.676,0.994,0.051
DT5.1_DT5.2_RFC1.2,0.3,0.844,0.486,0.847,0.667,0.993,0.045
DT5.1_DT5.2_ET8,0.3,0.867,0.472,0.872,0.672,0.993,0.055
DT5.1_RFC1.1_RFC1.2,0.3,0.826,0.544,0.829,0.687,0.994,0.047
DT5.1_RFC1.1_ET8,0.3,0.866,0.488,0.87,0.679,0.994,0.06
DT5.1_RFC1.2_ET8,0.3,0.851,0.509,0.855,0.682,0.994,0.054
DT5.2_RFC1.1_RFC1.2,0.3,0.821,0.54,0.824,0.682,0.994,0.045
DT5.2_RFC1.1_ET8,0.3,0.859,0.484,0.863,0.674,0.994,0.055
DT5.2_RFC1.2_ET8,0.3,0.844,0.505,0.848,0.677,0.994,0.05
RFC1.1_RFC1.2_ET8,0.3,0.827,0.533,0.83,0.682,0.994,0.047
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.82,0.582,0.822,0.702,0.994,0.049
DT5.1_DT5.2_RFC1.1,0.4,0.811,0.553,0.814,0.683,0.994,0.04
DT5.1_DT5.2_RFC1.2,0.4,0.802,0.56,0.805,0.682,0.994,0.038
DT5.1_DT5.2_ET8,0.4,0.821,0.533,0.825,0.679,0.994,0.041
DT5.1_RFC1.1_RFC1.2,0.4,0.791,0.595,0.793,0.694,0.994,0.042
DT5.1_RFC1.1_ET8,0.4,0.829,0.577,0.831,0.704,0.994,0.052
DT5.1_RFC1.2_ET8,0.4,0.816,0.579,0.818,0.699,0.994,0.047
DT5.2_RFC1.1_RFC1.2,0.4,0.791,0.588,0.793,0.69,0.994,0.041
DT5.2_RFC1.1_ET8,0.4,0.828,0.575,0.831,0.703,0.994,0.051
DT5.2_RFC1.2_ET8,0.4,0.814,0.574,0.817,0.695,0.994,0.045
RFC1.1_RFC1.2_ET8,0.4,0.797,0.596,0.799,0.698,0.995,0.044
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.749,0.54,0.751,0.646,0.993,0.025
DT5.1_DT5.2_RFC1.1,0.5,0.745,0.532,0.748,0.64,0.993,0.023
DT5.1_DT5.2_RFC1.2,0.5,0.745,0.528,0.747,0.638,0.993,0.023
DT5.1_DT5.2_ET8,0.5,0.764,0.521,0.766,0.644,0.993,0.025
DT5.1_RFC1.1_RFC1.2,0.5,0.72,0.535,0.722,0.628,0.993,0.02
DT5.1_RFC1.1_ET8,0.5,0.757,0.525,0.76,0.642,0.993,0.025
DT5.1_RFC1.2_ET8,0.5,0.757,0.521,0.76,0.64,0.993,0.025
DT5.2_RFC1.1_RFC1.2,0.5,0.715,0.567,0.717,0.642,0.993,0.021
DT5.2_RFC1.1_ET8,0.5,0.756,0.542,0.759,0.65,0.993,0.026
DT5.2_RFC1.2_ET8,0.5,0.753,0.546,0.755,0.651,0.993,0.026
RFC1.1_RFC1.2_ET8,0.5,0.728,0.546,0.73,0.638,0.993,0.022
