Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.05,0.809,0.518,0.812,0.665,0.993,0.094
DT5.1_DT5.2_RFC1.1,0.05,0.973,0.246,0.981,0.613,0.992,0.113
DT5.1_DT5.2_RFC1.2,0.05,0.973,0.246,0.981,0.613,0.992,0.113
DT5.1_DT5.2_ET8,0.05,0.974,0.244,0.982,0.613,0.992,0.116
DT5.1_RFC1.1_RFC1.2,0.05,0.801,0.526,0.803,0.665,0.993,0.078
DT5.1_RFC1.1_ET8,0.05,0.809,0.523,0.812,0.667,0.993,0.097
DT5.1_RFC1.2_ET8,0.05,0.806,0.518,0.809,0.663,0.993,0.086
DT5.2_RFC1.1_RFC1.2,0.05,0.8,0.526,0.803,0.665,0.993,0.077
DT5.2_RFC1.1_ET8,0.05,0.809,0.525,0.812,0.668,0.993,0.096
DT5.2_RFC1.2_ET8,0.05,0.805,0.519,0.808,0.664,0.993,0.085
RFC1.1_RFC1.2_ET8,0.05,0.796,0.535,0.799,0.667,0.994,0.073
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.1,0.753,0.563,0.755,0.659,0.993,0.059
DT5.1_DT5.2_RFC1.1,0.1,0.959,0.24,0.966,0.603,0.992,0.07
DT5.1_DT5.2_RFC1.2,0.1,0.957,0.24,0.965,0.603,0.992,0.068
DT5.1_DT5.2_ET8,0.1,0.96,0.24,0.968,0.604,0.992,0.074
DT5.1_RFC1.1_RFC1.2,0.1,0.736,0.567,0.738,0.652,0.993,0.042
DT5.1_RFC1.1_ET8,0.1,0.756,0.563,0.758,0.661,0.993,0.063
DT5.1_RFC1.2_ET8,0.1,0.753,0.563,0.755,0.659,0.993,0.058
DT5.2_RFC1.1_RFC1.2,0.1,0.736,0.567,0.737,0.652,0.993,0.042
DT5.2_RFC1.1_ET8,0.1,0.755,0.563,0.757,0.66,0.993,0.061
DT5.2_RFC1.2_ET8,0.1,0.751,0.563,0.753,0.658,0.993,0.056
RFC1.1_RFC1.2_ET8,0.1,0.735,0.567,0.737,0.652,0.993,0.042
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.15,0.742,0.533,0.744,0.639,0.993,0.04
DT5.1_DT5.2_RFC1.1,0.15,0.946,0.212,0.953,0.583,0.991,0.047
DT5.1_DT5.2_RFC1.2,0.15,0.944,0.212,0.952,0.582,0.991,0.046
DT5.1_DT5.2_ET8,0.15,0.948,0.211,0.956,0.583,0.991,0.049
DT5.1_RFC1.1_RFC1.2,0.15,0.72,0.54,0.722,0.631,0.993,0.029
DT5.1_RFC1.1_ET8,0.15,0.742,0.533,0.744,0.639,0.993,0.04
DT5.1_RFC1.2_ET8,0.15,0.742,0.532,0.744,0.638,0.993,0.039
DT5.2_RFC1.1_RFC1.2,0.15,0.72,0.54,0.722,0.631,0.993,0.029
DT5.2_RFC1.1_ET8,0.15,0.742,0.535,0.744,0.639,0.993,0.04
DT5.2_RFC1.2_ET8,0.15,0.741,0.533,0.743,0.638,0.993,0.039
RFC1.1_RFC1.2_ET8,0.15,0.719,0.542,0.721,0.632,0.993,0.029
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.25,0.72,0.523,0.722,0.622,0.993,0.026
DT5.1_DT5.2_RFC1.1,0.25,0.907,0.272,0.914,0.593,0.992,0.038
DT5.1_DT5.2_RFC1.2,0.25,0.907,0.272,0.914,0.593,0.992,0.038
DT5.1_DT5.2_ET8,0.25,0.913,0.261,0.92,0.591,0.991,0.038
DT5.1_RFC1.1_RFC1.2,0.25,0.692,0.533,0.694,0.613,0.993,0.02
DT5.1_RFC1.1_ET8,0.25,0.72,0.53,0.722,0.626,0.993,0.027
DT5.1_RFC1.2_ET8,0.25,0.722,0.518,0.724,0.621,0.993,0.026
DT5.2_RFC1.1_RFC1.2,0.25,0.69,0.54,0.692,0.616,0.993,0.02
DT5.2_RFC1.1_ET8,0.25,0.72,0.53,0.722,0.626,0.993,0.026
DT5.2_RFC1.2_ET8,0.25,0.72,0.521,0.722,0.622,0.993,0.026
RFC1.1_RFC1.2_ET8,0.25,0.689,0.546,0.691,0.618,0.993,0.02
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.3,0.72,0.582,0.722,0.652,0.994,0.03
DT5.1_DT5.2_RFC1.1,0.3,0.899,0.291,0.905,0.598,0.992,0.041
DT5.1_DT5.2_RFC1.2,0.3,0.898,0.296,0.904,0.6,0.992,0.042
DT5.1_DT5.2_ET8,0.3,0.906,0.288,0.913,0.6,0.992,0.045
DT5.1_RFC1.1_RFC1.2,0.3,0.699,0.595,0.7,0.648,0.994,0.025
DT5.1_RFC1.1_ET8,0.3,0.723,0.581,0.725,0.653,0.994,0.032
DT5.1_RFC1.2_ET8,0.3,0.724,0.581,0.726,0.653,0.994,0.031
DT5.2_RFC1.1_RFC1.2,0.3,0.698,0.596,0.7,0.648,0.994,0.025
DT5.2_RFC1.1_ET8,0.3,0.722,0.588,0.724,0.656,0.994,0.033
DT5.2_RFC1.2_ET8,0.3,0.722,0.589,0.723,0.656,0.994,0.031
RFC1.1_RFC1.2_ET8,0.3,0.699,0.598,0.7,0.649,0.994,0.026
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.763,0.532,0.766,0.649,0.993,0.027
DT5.1_DT5.2_RFC1.1,0.4,0.839,0.411,0.844,0.627,0.993,0.032
DT5.1_DT5.2_RFC1.2,0.4,0.841,0.411,0.846,0.628,0.993,0.033
DT5.1_DT5.2_ET8,0.4,0.847,0.411,0.852,0.631,0.993,0.035
DT5.1_RFC1.1_RFC1.2,0.4,0.734,0.546,0.736,0.641,0.993,0.022
DT5.1_RFC1.1_ET8,0.4,0.765,0.539,0.768,0.653,0.993,0.028
DT5.1_RFC1.2_ET8,0.4,0.768,0.53,0.771,0.65,0.993,0.028
DT5.2_RFC1.1_RFC1.2,0.4,0.73,0.553,0.732,0.642,0.993,0.022
DT5.2_RFC1.1_ET8,0.4,0.76,0.539,0.762,0.651,0.993,0.027
DT5.2_RFC1.2_ET8,0.4,0.762,0.537,0.764,0.651,0.993,0.027
RFC1.1_RFC1.2_ET8,0.4,0.729,0.558,0.73,0.644,0.993,0.022
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.683,0.575,0.684,0.63,0.993,0.018
DT5.1_DT5.2_RFC1.1,0.5,0.8,0.432,0.804,0.618,0.992,0.025
DT5.1_DT5.2_RFC1.2,0.5,0.798,0.439,0.802,0.62,0.993,0.025
DT5.1_DT5.2_ET8,0.5,0.81,0.433,0.814,0.624,0.993,0.027
DT5.1_RFC1.1_RFC1.2,0.5,0.661,0.584,0.662,0.623,0.993,0.016
DT5.1_RFC1.1_ET8,0.5,0.683,0.593,0.684,0.638,0.994,0.019
DT5.1_RFC1.2_ET8,0.5,0.684,0.584,0.685,0.635,0.993,0.019
DT5.2_RFC1.1_RFC1.2,0.5,0.663,0.584,0.664,0.624,0.993,0.016
DT5.2_RFC1.1_ET8,0.5,0.681,0.595,0.682,0.638,0.994,0.019
DT5.2_RFC1.2_ET8,0.5,0.687,0.586,0.688,0.637,0.993,0.02
RFC1.1_RFC1.2_ET8,0.5,0.659,0.614,0.659,0.637,0.994,0.017
