,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_baggingclassifier__base_estimator__max_depth,param_baggingclassifier__base_estimator__min_samples_leaf,param_baggingclassifier__base_estimator__min_samples_split,param_baggingclassifier__bootstrap,param_baggingclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.105943977832794,0.001940720353529,0.059506595134735,0.000640639692072,64,1,2,True,50,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 50}",0.833156891806055,0.851969504447268,0.844345616264295,0.841168996188056,0.842660252176419,0.858330130379073,0.015669878202654,0.43421052631579,0.996710526315789,0.562499999999999,0.684266816790526,0.972997397976293,0.288730581185767,0.43421052631579,0.526315789473684,0.368421052631579,0.407894736842105,0.43421052631579,0.058103689910052,351,1,1,0.991228070175439,0.995614035087719,0.996710526315789,0.003636649989425,0.839681514955885,0.85729659922514,0.852130865260439,0.848256564786913,0.849341386057094,0.006433439159096,1293,0.849404505667958,0.863117870722433,0.858669918932491,0.853074108616113,0.856066600984749,0.005240138209937,0.677582028020341,0.699134229784534,0.649646271835421,0.710704737521807,0.684266816790526,0.023255494811003,1,0.971430338113903,0.972806482631717,0.976864735193317,0.970888035966234,0.972997397976293,0.002339755891155
1,0.104588985443115,0.000634506536392,0.058377981185913,0.000656998831383,16,1,2,True,50,"{'baggingclassifier__base_estimator__max_depth': 16, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 50}",0.870421342367139,0.870817450232952,0.854934349851758,0.859381617958492,0.863888690102585,0.874300949502536,0.010412259399951,0.414473684210526,0.966008771929824,0.551535087719298,0.682845238449239,0.963227053637001,0.280381815187762,0.473684210526316,0.473684210526316,0.355263157894737,0.355263157894737,0.414473684210526,0.05921052631579,451,0.942982456140351,0.964912280701754,0.964912280701754,0.991228070175439,0.966008771929824,0.01709260665364,0.8769098343017,0.877313818338356,0.863108049935428,0.867628067154541,0.871239942432506,0.006087137277399,1235,0.885277658200603,0.873592079776168,0.866633187459646,0.865700552406916,0.872800869460833,0.007822261095007,0.694878133034329,0.703759034370256,0.6883298026599,0.644413983732469,0.682845238449239,0.022853988686923,2,0.959532409190576,0.965613644916509,0.960807301991258,0.966954858449661,0.963227053637001,0.003126417369342
2,0.206044673919678,0.002959131433343,0.112558901309967,0.00096800890087,32,1,2,True,100,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 100}",0.82786364598772,0.8714527742482,0.847310461668784,0.839263024142313,0.846472476511754,0.861859396815548,0.015386920303794,0.450657894736842,0.994517543859649,0.543859649122807,0.682126972607138,0.976282800979801,0.294155828372663,0.486842105263158,0.539473684210526,0.407894736842105,0.368421052631579,0.450657894736842,0.06668794385761,276,0.991228070175439,1,0.995614035087719,0.991228070175439,0.994517543859649,0.003636649989425,0.833440929632021,0.876883340507964,0.854498493327593,0.846965131295738,0.852946973690829,0.01574503940017,1285,0.845960683024824,0.876748690723868,0.862759164932922,0.85328933208982,0.859689467692859,0.011509576401479,0.668130542625123,0.739031311597979,0.680981942587851,0.6403640936176,0.682126972607138,0.035984208354033,3,0.974728622747858,0.980497575274725,0.975258110841348,0.974646895055272,0.976282800979801,0.002444686606068
3,0.067198395729065,0.000546070535169,0.038643062114716,0.00025434705746,128,1,2,True,30,"{'baggingclassifier__base_estimator__max_depth': 128, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 30}",0.802879525725175,0.844769165607793,0.832909783989835,0.832062685302838,0.82815529015641,0.846524096037165,0.018368805880755,0.444078947368421,0.985745614035088,0.541666666666667,0.679410916063556,0.969422367957004,0.290011451893448,0.513157894736842,0.513157894736842,0.368421052631579,0.381578947368421,0.444078947368421,0.06923541177582,303,0.991228070175439,0.986842105263158,0.986842105263158,0.978070175438596,0.985745614035088,0.004779494455637,0.807617817947063,0.850193715023676,0.840507963839862,0.839431769263883,0.834437816518621,0.016041718374316,1309,0.824795523030564,0.850491426931631,0.847478298299735,0.85422196714255,0.84424680385112,0.011481442440302,0.676220085397483,0.743593810181933,0.645398135351293,0.652431633323515,0.679410916063556,0.038776204838464,4,0.966617986169326,0.973660296807015,0.963008622783733,0.974402566067943,0.969422367957004,0.004789652871573
4,0.088354766368866,0.001631469360603,0.05033016204834,0.001351047553239,32,1,2,True,40,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 40}",0.846072411602795,0.854934349851758,0.838627700127065,0.840957221516307,0.845147920774481,0.857906731765765,0.012758810991284,0.43421052631579,0.990131578947368,0.555921052631578,0.678570309771857,0.970322207871963,0.291751898100106,0.526315789473684,0.5,0.302631578947368,0.407894736842105,0.43421052631579,0.087774105685042,368,0.995614035087719,0.986842105263158,0.986842105263158,0.991228070175439,0.990131578947368,0.003636649989425,0.851301915214117,0.860740421868274,0.84739560912613,0.848041325871718,0.851869818020059,0.005331182410718,1290,0.856435643564356,0.864480952722577,0.853935002510941,0.848123968720855,0.855743891879682,0.005876862731519,0.705942147169085,0.69635170038743,0.651708034075719,0.660279357455196,0.678570309771857,0.023030067992461,5,0.971425617962254,0.97020602298486,0.970200988517639,0.969456202023101,0.970322207871963,0.000706341457348
5,0.801130592823029,0.008955878567343,0.426263570785522,0.002051053490503,64,1,2,True,400,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 400}",0.820876561507516,0.820626853028378,0.819779754341381,0.857899195256247,0.829795591033381,0.847706702688043,0.017911111654662,0.457236842105263,0.995614035087719,0.538377192982456,0.678412768311398,0.97163194481022,0.293219176498822,0.421052631578947,0.56578947368421,0.447368421052632,0.394736842105263,0.457236842105263,0.065376996428789,243,1,1,0.991228070175439,0.991228070175439,0.995614035087719,0.004385964912281,0.82741553690553,0.824795523030564,0.825871717606543,0.865475678002583,0.835889613886305,0.0171068865399,1308,0.840866695365189,0.832843102087668,0.838654135877753,0.868785422196714,0.845287338881831,0.013879485041393,0.653429490446581,0.718752124068242,0.684667909010581,0.656801549720189,0.678412768311398,0.026256424689547,6,0.968609575488441,0.967584953487816,0.973657779573404,0.97667547069122,0.97163194481022,0.003709919637973
6,0.809496521949768,0.0028692185741,0.418683469295502,0.001120251580342,16,1,2,True,400,"{'baggingclassifier__base_estimator__max_depth': 16, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 400}",0.860470040228668,0.883735705209657,0.865946632782719,0.866793731469716,0.86923652742269,0.880053607080088,0.010817079657398,0.404605263157895,0.981359649122807,0.576754385964912,0.677714482590884,0.970594290469425,0.292879807878541,0.394736842105263,0.513157894736842,0.394736842105263,0.31578947368421,0.404605263157895,0.070474622650094,492,0.973684210526316,0.978070175438596,0.982456140350877,0.991228070175439,0.981359649122807,0.006486929586732,0.868086937809339,0.889797675419716,0.873654756780026,0.875807145931984,0.876836628985267,0.007995779612357,1205,0.876237623762376,0.887940311356625,0.877681325776598,0.871726809670708,0.878396517641577,0.005931722453838,0.663266057331838,0.724341255635861,0.691334651199674,0.631915966196162,0.677714482590884,0.034153426087084,7,0.968417307977938,0.971838134327137,0.968267595777592,0.973854123795032,0.970594290469425,0.002362542158902
7,0.613818943500519,0.007097217074081,0.324822664260864,0.002017222211561,64,1,2,True,300,"{'baggingclassifier__base_estimator__max_depth': 64, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 300}",0.835062460300656,0.858322744599746,0.858322744599746,0.850910631088522,0.850654645147167,0.865388871284599,0.014734226137432,0.427631578947368,0.992324561403509,0.564692982456141,0.676710857756367,0.97961034013549,0.302899482379123,0.460526315789474,0.56578947368421,0.355263157894737,0.328947368421053,0.427631578947368,0.09373557137352,404,0.995614035087719,0.991228070175439,0.986842105263158,0.995614035087719,0.992324561403509,0.003636649989425,0.841187863137508,0.863108049935428,0.866551872578562,0.859448988377098,0.857574193507149,0.009788372786954,1274,0.854283254412398,0.858095989669273,0.872444221249731,0.868426716407203,0.863312545434651,0.007387198358411,0.683051034623356,0.705135430591114,0.681283560278225,0.637373405532773,0.676710857756367,0.024578949018111,8,0.974300032978126,0.980258438081717,0.981710095239534,0.982172794242583,0.97961034013549,0.003146209449535
8,0.19758677482605,0.004354684916671,0.108383536338806,0.000468151818589,16,2,2,True,100,"{'baggingclassifier__base_estimator__max_depth': 16, 'baggingclassifier__base_estimator__min_samples_leaf': 2, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 100}",0.895828922295151,0.898136382888607,0.865946632782719,0.875688267683185,0.883900051412416,0.894753755750382,0.010853704337966,0.328947368421053,0.794956140350877,0.466008771929824,0.675045733226322,0.943312604860002,0.26826687163368,0.302631578947368,0.381578947368421,0.289473684210526,0.342105263157895,0.328947368421053,0.036034378783235,673,0.771929824561403,0.793859649122807,0.793859649122807,0.820175438596491,0.794956140350877,0.01709260665364,0.905530449752528,0.906586310804994,0.875376668101593,0.884416702539819,0.892977532799733,0.013470827885486,1093,0.908021236906299,0.912188822727599,0.882344501040247,0.882990171461367,0.896386183033878,0.013799636400688,0.654041090460172,0.712573917574824,0.642129902349503,0.691438022520788,0.675045733226322,0.028291865919613,9,0.947245697109757,0.947366533127424,0.935355395627314,0.943282793575516,0.943312604860002,0.004879078205152
9,0.414937913417816,0.003632332652492,0.219727337360382,0.001450361215107,32,1,2,True,200,"{'baggingclassifier__base_estimator__max_depth': 32, 'baggingclassifier__base_estimator__min_samples_leaf': 1, 'baggingclassifier__base_estimator__min_samples_split': 2, 'baggingclassifier__bootstrap': True, 'baggingclassifier__n_estimators': 200}",0.840567435951725,0.854722575180008,0.843710292249047,0.865523083439221,0.851130846705,0.864947776199521,0.013816929494521,0.4375,0.989035087719298,0.551535087719298,0.675037194444563,0.977128660172352,0.302091465727789,0.473684210526316,0.513157894736842,0.43421052631579,0.328947368421053,0.4375,0.068607413205968,337,0.991228070175439,0.995614035087719,0.991228070175439,0.978070175438596,0.989035087719298,0.006578947368421,0.846567678071874,0.860309944037882,0.850408953938872,0.874300473525613,0.85789676239356,0.010715883206417,1273,0.858444540106184,0.860750412511658,0.856876389984934,0.875600832197432,0.862918043700052,0.007450932207716,0.661410021179482,0.716381663910098,0.674799487957949,0.647557604730725,0.675037194444563,0.025740286331924,10,0.978559025811048,0.974070448558443,0.97338151318464,0.982503653135277,0.977128660172352,0.003685453297588
