,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,mean_train_Specificity,mean_test_ROC_AUC,mean_train_ROC_AUC,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,mean_test_ROC_AUC,mean_train_ROC_AUC,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.009608149528503,0.000717065617397,0.008171856403351,0.00034124093282,entropy,32,4,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 5}",0.675206436586915,0.645489199491741,0.702244811520542,0.684667513765354,0.676901990341138,0.68897240039029,0.012070410049152,0.595394736842105,0.971491228070175,0.37609649122807,0.65603265011963,0.886964657732135,0.230932007612505,0.971491228070175,0.65603265011963,0.886964657732135,0.671052631578947,0.595394736842105,0.057636235091892,2,0.982456140350877,0.969298245614035,0.964912280701754,0.969298245614035,0.971491228070175,0.65603265011963,0.886964657732135,0.645931984502798,0.704261730520878,0.68489022815325,0.678235156226769,0.021007800326345,105,0.683168316831683,0.664968792596312,0.706435181863835,0.682832340913982,0.684351158051453,0.014723163019803,0.605019650481918,0.650160296350001,0.658323798627002,0.710626855019598,0.65603265011963,0.037491956607303,1,0.890930197138707,0.87897282394594,0.887387463924896,0.890568145918998,0.886964657732135,0.004815568560428
1,0.009912133216858,0.000532305386262,0.007585525512695,0.000450862802878,entropy,64,1,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.694050391700191,0.692503176620076,0.716857263871241,0.696526895383312,0.699984431893705,0.713237018684993,0.013252586791288,0.55921052631579,0.969298245614035,0.410087719298245,0.653515107796392,0.890280615912169,0.236765508115777,0.969298245614035,0.653515107796392,0.890280615912169,0.552631578947368,0.55921052631579,0.038921577520392,10,0.978070175438596,0.973684210526316,0.960526315789473,0.964912280701754,0.969298245614035,0.653515107796392,0.890280615912169,0.694360740421868,0.720404649160568,0.698880757640981,0.702287155484572,0.010591353457675,79,0.71107762950208,0.703637276705646,0.719205107970443,0.702274194705503,0.709048552220918,0.006753639791901,0.660763027646586,0.662957099485692,0.622315177742031,0.668025126311258,0.653515107796392,0.018204805834686,2,0.887336588349911,0.881933090672013,0.891506916728654,0.900345867898098,0.890280615912169,0.006729814023343
2,0.010376274585724,0.000892306184062,0.008016467094421,0.000350511822291,entropy,64,2,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.781283082786365,0.761118170266836,0.766624311732317,0.736764083015671,0.761447411950297,0.774472329479833,0.013024917529536,0.516447368421053,1,0.483552631578947,0.650266633916188,0.909925932914539,0.259659298998351,1,0.650266633916188,0.909925932914539,0.56578947368421,0.516447368421053,0.037649747178486,35,1,1,1,1,1,0.650266633916188,0.909925932914539,0.764743865690917,0.771201033146793,0.739560912613,0.765454890564421,0.016875380408413,26,0.794662074903142,0.780185092187388,0.774374058397303,0.733912045340412,0.770783317707061,0.022533156421419,0.635664775236995,0.662200931191517,0.639656070870245,0.663544758365997,0.650266633916188,0.012693840685541,3,0.922420846203613,0.917818773024821,0.910843204035629,0.888620908394093,0.909925932914539,0.012972714049442
3,0.00709480047226,0.000891615158749,0.00859797000885,0.00127901491162,gini,64,4,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.659114969299174,0.656713257094452,0.643371452774248,0.652901313002965,0.65302524804271,0.664813949714874,0.011788701672164,0.615131578947368,0.964912280701754,0.349780701754386,0.649976945121656,0.875908616894557,0.225931671772901,0.964912280701754,0.649976945121656,0.875908616894557,0.657894736842105,0.615131578947368,0.045935000143977,1,0.956140350877193,0.960526315789473,0.969298245614035,0.973684210526316,0.964912280701754,0.649976945121656,0.875908616894557,0.656909169177787,0.643779595350839,0.652819629789066,0.653645013363155,0.006399560750623,127,0.672334624766824,0.671568979123323,0.641007245856948,0.654709807016285,0.659905164190845,0.012987100547416,0.624504490729729,0.680179044792351,0.640129030065478,0.655095214899064,0.649976945121656,0.020519447322817,4,0.8867207658981,0.877606123422481,0.871362754759774,0.867944823497872,0.875908616894557,0.00713916945976
4,0.007670104503632,0.000659862547195,0.008033037185669,0.000666343780963,gini,32,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.811560448867245,0.811732316814909,0.807920372723422,0.824438797119865,0.81391298388136,0.829742186548048,0.015829202666688,0.473684210526316,1,0.526315789473684,0.646952934944953,0.91370570588912,0.266752770944167,1,0.646952934944953,0.91370570588912,0.513157894736842,0.473684210526316,0.069000582116457,66,1,1,1,1,1,0.646952934944953,0.91370570588912,0.815755488592338,0.814679294016358,0.829530779164873,0.819478156098654,0.005922136616039,3,0.827450136317979,0.832627878613961,0.817060047349164,0.830690867350599,0.826957232407926,0.006006111150967,0.61876224615768,0.691850091759748,0.605855064911526,0.671344336950858,0.646952934944953,0.035687690586011,5,0.913056852023875,0.917948567882868,0.908735650195148,0.915081753454588,0.91370570588912,0.003354767120831
5,0.006757259368896,0.000251409141507,0.009014129638672,0.001468926218009,gini,64,1,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.723057378784671,0.675561202880135,0.713468869123253,0.707750952986023,0.704959600943521,0.714843185890705,0.009883584947185,0.542763157894737,0.963815789473684,0.421052631578947,0.646464683174475,0.892579788291685,0.24611510511721,0.963815789473684,0.646464683174475,0.892579788291685,0.578947368421053,0.542763157894737,0.02157052146152,13,0.951754385964912,0.973684210526316,0.973684210526316,0.956140350877193,0.963815789473684,0.646464683174475,0.892579788291685,0.677787343951787,0.716530348687043,0.709857942315971,0.707612662773561,0.018182405494383,73,0.730090400344382,0.682043188177057,0.724585694813114,0.706363440705933,0.710770681010122,0.018766984128411,0.646380517141789,0.614137515010082,0.645476017853501,0.679864682692526,0.646464683174475,0.023246453021766,6,0.900167219239086,0.883121067609119,0.904394838160758,0.882636028157775,0.892579788291685,0.009817207779478
6,0.009337246417999,0.000891837725657,0.008140683174133,0.00016596797478,entropy,128,4,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.701249206013127,0.664337145277425,0.648242270224481,0.652689538331216,0.666629539961562,0.672437920114315,0.005808380152752,0.572368421052632,0.959429824561404,0.387061403508772,0.644934958510373,0.874580841650195,0.229645883139822,0.959429824561404,0.644934958510373,0.874580841650195,0.56578947368421,0.572368421052632,0.056210550956037,4,0.964912280701754,0.969298245614035,0.951754385964912,0.951754385964912,0.959429824561404,0.644934958510373,0.874580841650195,0.664442531209643,0.649591046061128,0.654111063280241,0.668171301088904,0.021676849168119,115,0.707920792079208,0.661094770069589,0.642155104383385,0.659803429227348,0.667743523939882,0.024373300569529,0.620836306388955,0.707355789926819,0.619524152071958,0.63202358565376,0.644934958510373,0.036364535820228,7,0.890371960537015,0.868704398739873,0.874455018923304,0.864791988400587,0.874580841650195,0.009743324590161
7,0.008900821208954,0.000127379170123,0.007861793041229,0.000475047908283,entropy,64,4,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 5}",0.664196485284777,0.676620076238882,0.667937314697162,0.649301143583227,0.664513754951012,0.677872652840687,0.013358897889675,0.572368421052632,0.968201754385965,0.395833333333333,0.641738250128024,0.876594489136349,0.234856239008325,0.968201754385965,0.641738250128024,0.876594489136349,0.671052631578947,0.572368421052632,0.059937063020686,4,0.956140350877193,0.956140350877193,0.978070175438596,0.982456140350877,0.968201754385965,0.641738250128024,0.876594489136349,0.678863538527766,0.669608265174344,0.64894532931554,0.666020949921079,0.010837373782734,117,0.683096570526618,0.691082574072746,0.670421120596886,0.647894397015568,0.673123665552954,0.016323303656177,0.607412252386939,0.632160942066747,0.648024899743979,0.67935490631443,0.641738250128024,0.026098533180342,8,0.87382751433038,0.880253309218235,0.869653238483971,0.882643894512808,0.876594489136349,0.005143427359173
8,0.009693562984467,0.000248887607358,0.008258819580078,0.000271077992705,entropy,128,2,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.724751217446538,0.703727234222787,0.704786107581533,0.682549767047861,0.70395358157468,0.715637323469908,0.011683741895229,0.536184210526316,0.971491228070175,0.435307017543859,0.640939539143603,0.893349475835234,0.252409936691631,0.971491228070175,0.640939539143603,0.893349475835234,0.605263157894737,0.536184210526316,0.078051384984899,16,0.964912280701754,0.991228070175439,0.978070175438596,0.951754385964912,0.971491228070175,0.640939539143603,0.893349475835234,0.705122686181662,0.7083512699096,0.683814033577271,0.706697723692149,0.016193783765495,74,0.73209929688621,0.714900638496305,0.706865628811249,0.691943467967573,0.711452258040334,0.014489837806722,0.588815081603298,0.678254638965041,0.6304602714276,0.666228164578472,0.640939539143603,0.034852207163979,9,0.904778178046638,0.886062455083113,0.894756822647047,0.887800447564136,0.893349475835234,0.007356769764662
9,0.006920576095581,0.000319834014052,0.007800102233887,0.000564311871666,gini,128,4,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.654456912979039,0.689326556543837,0.661795849216434,0.662431173231681,0.667002622992748,0.682619372007501,0.015616749014754,0.529605263157895,0.958333333333333,0.428728070175438,0.640903390902826,0.881285079304793,0.240381688401967,0.958333333333333,0.640903390902826,0.881285079304793,0.539473684210526,0.529605263157895,0.034026580371015,24,0.969298245614035,0.964912280701754,0.956140350877193,0.942982456140351,0.958333333333333,0.640903390902826,0.881285079304793,0.69113215669393,0.664657770124839,0.664442531209643,0.669250066303961,0.013027223901957,114,0.669751757784474,0.695028337757371,0.670421120596886,0.677236530597604,0.678109436684084,0.010197698017312,0.622436093461543,0.659084215057661,0.636285882592836,0.645807372499264,0.640903390902826,0.013387997051696,10,0.884829086455556,0.888248829801025,0.880394746281731,0.871667654680859,0.881285079304793,0.00621170984809
