,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__max_features,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,,mean_test_Accuracy,mean_train_Accuracy,diff Acc,mean_test_Specificity,mean_train_Specificity,diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,diff Roc,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.009344100952148,0.001325017114601,0.007769465446472,0.000290081520005,gini,16,,2,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.785871590716585,0.773504997458919,0.792478400813146,0.747077757072675,,0.774733186515331,0.788582076910046,0.013848890394715,0.560526315789474,0.958771929824561,0.398245614035088,0.694524113745107,0.924340041161213,0.229815927416107,0.578947368421053,0.6,0.536842105263158,0.560526315789474,0.030119797742789,91,0.992982456140351,0.982456140350877,0.96140350877193,0.898245614035088,0.958771929824561,0.036748000115181,0.790117079889807,0.776687327823691,0.795626721763085,0.75051652892562,0.778236914600551,0.017423868123899,71,0.804005968778696,0.784033516988062,0.797348484848485,0.757805325987144,0.785798324150597,0.017689311925215,0.669402457590257,0.706225532840365,0.741611389009714,0.66085707554009,0.694524113745107,0.032088556255106,1,0.935155280878965,0.932984047009167,0.920433501683502,0.90878733507322,0.924340041161213,0.010592874546155
1,0.005917072296143,0.000466413440742,0.007946908473969,0.000395943327704,gini,16,log2,2,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.716754192783331,0.726918516008809,0.70896154497713,0.739454514653566,,0.723022192105709,0.734259416116099,0.01123722401039,0.578947368421053,0.942982456140351,0.364035087719298,0.69273189430187,0.900851769287774,0.208119874985904,0.578947368421053,0.589473684210526,0.568421052631579,0.578947368421053,0.007443229275648,61,0.943859649122807,0.947368421052632,0.964912280701754,0.91578947368421,0.942982456140351,0.017609526227969,0.71900826446281,0.729338842975207,0.710915977961432,0.742252066115703,0.725378787878788,0.011727595598908,173,0.725149219467401,0.737832874196511,0.717573461891644,0.742825987144169,0.730845385674931,0.010011868928641,0.689632267652602,0.696188560243584,0.687591525300855,0.697515224010439,0.69273189430187,0.004208914983845,2,0.902968379971968,0.903820400979492,0.897426920722375,0.899191375477261,0.900851769287774,0.002635304072181
2,0.008711993694305,0.001269650483858,0.009929716587067,0.001137352865061,entropy,16,log2,1,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.790953752329324,0.793156022361511,0.795697103167881,0.776554294426563,,0.78909029307132,0.807640182957818,0.018549889886499,0.536842105263158,0.935087719298246,0.398245614035088,0.692188859286646,0.927169622863403,0.234980763576756,0.505263157894737,0.568421052631579,0.494736842105263,0.536842105263158,0.037216146378239,147,0.933333333333333,0.964912280701754,0.92280701754386,0.919298245614035,0.935087719298246,0.017977106606947,0.794421487603306,0.797865013774105,0.799414600550964,0.78116391184573,0.793216253443526,0.00718926294632,63,0.806244260789715,0.81198347107438,0.807966023875115,0.796028466483012,0.805555555555556,0.00588150058515,0.703149014064086,0.689243511671741,0.712059591126577,0.664303320284182,0.692188859286646,0.018036416874136,3,0.926935221432829,0.93524328210333,0.925260479596604,0.921239508320848,0.927169622863403,0.00510024519151
3,0.005934476852417,0.000465473550146,0.007734835147858,0.00034085437658,gini,16,log2,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.867694392681687,0.829578180586143,0.821616127392851,0.836184990682704,,0.838768422835846,0.853690214015472,0.014921791179626,0.497368421052632,0.948245614035088,0.450877192982456,0.690540724227925,0.937034570183494,0.246493845955568,0.568421052631579,0.515789473684211,0.442105263157895,0.497368421052632,0.049020884237361,222,0.957894736842105,0.982456140350877,0.950877192982456,0.901754385964912,0.948245614035088,0.029290890977305,0.87431129476584,0.833849862258953,0.826618457300275,0.84263085399449,0.84435261707989,0.018202301494114,20,0.887683654729109,0.844410009182736,0.827077594123049,0.849403122130395,0.852143595041322,0.022128707523565,0.683027040742352,0.726245106568073,0.705810497317674,0.647080252283602,0.690540724227925,0.029382124453691,4,0.945805644160907,0.941480494740064,0.928749718073881,0.932102423759122,0.937034570183494,0.006885906380237
4,0.013238966464996,0.000561129367363,0.007378697395325,5.78867593606732E-05,entropy,64,,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.807386074877181,0.809418939522277,0.800440454006437,0.807894291038455,,0.806284939861088,0.819555028516573,0.013270088655486,0.542105263157895,1,0.457894736842105,0.688296315426997,0.935898735158604,0.247602419731606,0.505263157894737,0.621052631578947,0.48421052631579,0.542105263157895,0.052894082216426,130,1,1,1,1,1,0,0.81146694214876,0.814393939393939,0.803374655647383,0.81318870523416,0.810606060606061,0.004302685605923,46,0.821338383838384,0.813475665748393,0.807851239669422,0.823748852157943,0.816603535353535,0.006321799396113,0.690106205596636,0.671966072205307,0.730402711323764,0.660710272582282,0.688296315426997,0.026475889415426,5,0.940569873374897,0.932798781273661,0.935525208222577,0.934701077763279,0.935898735158604,0.002872418490271
5,0.013516783714295,0.00155461415877,0.007596790790558,0.000165066204554,entropy,64,,2,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.753006945620871,0.775199051329832,0.746908351685584,0.76452651194308,,0.759910215144842,0.776229600767971,0.01631938562313,0.555263157894737,0.981578947368421,0.426315789473684,0.687949697332174,0.924111353768949,0.236161656436776,0.547368421052632,0.6,0.536842105263158,0.555263157894737,0.026183879923859,104,0.978947368421053,0.975438596491228,0.985964912280702,0.985964912280702,0.981578947368421,0.004558028440971,0.756542699724518,0.778925619834711,0.74931129476584,0.768250688705234,0.763257575757576,0.011291668341646,92,0.772555096418733,0.785697887970615,0.751549586776859,0.78168044077135,0.772870752984389,0.013198842358093,0.676266855154415,0.679274503407279,0.715001993620415,0.681255437146586,0.687949697332174,0.015719316499804,6,0.925535961690268,0.9297903275176,0.914650089410855,0.926469036457075,0.924111353768949,0.005686704702176
6,0.010075986385346,0.001003584917034,0.008052945137024,0.00025511570611,entropy,16,log2,1,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.804167372522446,0.782144672200576,0.801795697103168,0.768931052007454,,0.789259698458411,0.802332147495624,0.013072449037213,0.536842105263158,0.947368421052632,0.410526315789474,0.687667871900826,0.927625965596958,0.239958093696132,0.547368421052632,0.536842105263158,0.505263157894737,0.536842105263158,0.0196929336146,151,0.964912280701754,0.971929824561403,0.919298245614035,0.933333333333333,0.947368421052632,0.021771357273668,0.808195592286501,0.785984848484848,0.806129476584022,0.773243801652893,0.793388429752066,0.014510387602762,62,0.822486225895317,0.794823232323232,0.806244260789715,0.776285583103765,0.799959825528007,0.016835878238008,0.694160504567203,0.699463534870233,0.688256669566478,0.668790778599391,0.687667871900826,0.011597233269519,7,0.927283601565898,0.938710570618465,0.924521430412579,0.919988259790891,0.927625965596958,0.006909384384727
7,0.008608460426331,0.000373420944611,0.00779390335083,0.000395215059432,gini,128,,2,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.795697103167881,0.804844994070811,0.810604777231916,0.80332034558699,,0.803616805014399,0.81890564119939,0.015288836184991,0.544736842105263,1,0.455263157894737,0.68763660830796,0.933114614043143,0.245478005735183,0.48421052631579,0.652631578947368,0.505263157894737,0.544736842105263,0.065048458391096,123,1,1,1,1,1,0,0.799931129476584,0.810089531680441,0.81318870523416,0.808195592286501,0.807851239669422,0.004907779894538,52,0.814967860422406,0.816230486685032,0.814566115702479,0.818009641873278,0.815943526170799,0.001341674670289,0.682172502537335,0.65861153400029,0.750419566478179,0.659342830216036,0.68763660830796,0.03746514748989,8,0.929450002416509,0.934371727643259,0.936476306123435,0.932160419989368,0.933114614043143,0.002608695694816
8,0.015318691730499,0.001584334166368,0.00814825296402,0.000611488960169,entropy,64,,2,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.818736235812299,0.796544130103337,0.825512451295951,0.813484668812468,,0.813569371506014,0.82833587441414,0.014766502908126,0.539473684210526,1,0.460526315789474,0.686691224445411,0.934528549047089,0.247837324601678,0.515789473684211,0.589473684210526,0.452631578947369,0.539473684210526,0.059720030094264,137,1,1,1,1,1,0,0.822314049586777,0.801136363636364,0.829373278236914,0.819387052341598,0.818052685950413,0.010419423257278,34,0.832415059687787,0.817780073461892,0.831668962350781,0.820247933884298,0.825528007346189,0.00657747051614,0.722892199507032,0.667040017398869,0.711226801507902,0.645605879367841,0.686691224445411,0.031570083369112,9,0.941230889436631,0.928956732395728,0.931576530858828,0.936350043497173,0.934528549047089,0.004690382737826
9,0.013626575469971,0.000718656284367,0.008486747741699,0.00016232479936,entropy,16,,2,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.792139590038963,0.767575808910723,0.667118414365577,0.762663052685075,,0.747374216500085,0.75749618837879,0.010121971878706,0.557894736842105,0.903508771929824,0.345614035087719,0.685910087719298,0.907119440014177,0.221209352294878,0.568421052631579,0.631578947368421,0.526315789473684,0.557894736842105,0.048237638894272,96,0.898245614035088,0.92280701754386,0.929824561403509,0.863157894736842,0.903508771929824,0.026080822363717,0.796831955922865,0.770833333333333,0.667699724517906,0.766528925619835,0.750473484848485,0.049175460974724,113,0.804866850321396,0.773989898989899,0.671085858585859,0.770488980716254,0.755107897153352,0.050320880632053,0.680838589241699,0.711166992895462,0.704405901116427,0.647228867623604,0.685910087719298,0.025009814359562,10,0.923089749166304,0.921567448810272,0.885788205016674,0.898032357063458,0.907119440014177,0.015822392325898
