,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.005761802196503,0.000279379597772,0.007590889930725,0.000485338907911,gini,128,1,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.705060343002329,0.710292249047014,0.725328250741211,0.704150783566285,0.71120790658921,0.724725099524529,0.013517192935319,0.546052631578947,0.964912280701754,0.418859649122807,0.656055820228791,0.898582832510671,0.24252701228188,0.578947368421053,0.513157894736842,0.486842105263158,0.605263157894737,0.546052631578947,0.047895459797898,41,0.982456140350877,0.969298245614035,0.93421052631579,0.973684210526316,0.964912280701754,0.018347807599432,0.707122874973101,0.713517003874301,0.729229444683599,0.705768402927249,0.713909431614562,0.00931652428621,40,0.717678289568087,0.713968003443576,0.7335533395509,0.717985508286104,0.720796285212167,0.007533097488372,0.661268447102262,0.63260982848857,0.639599429050457,0.690745576273875,0.656055820228791,0.022644414281928,1,0.89976034216694,0.89924300492245,0.894465138202418,0.900862844750876,0.898582832510671,0.002448275864541
1,0.006597995758057,0.000218517423806,0.008057057857513,0.000195106780009,gini,16,2,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.740630954901546,0.672172808132147,0.709445150360017,0.657983905124947,0.695058204629664,0.713537872407836,0.018479667778171,0.536184210526316,0.865131578947368,0.328947368421053,0.655784039061886,0.869726844876107,0.213942805814221,0.5,0.486842105263158,0.56578947368421,0.592105263157895,0.536184210526316,0.044010158421907,54,0.807017543859649,0.951754385964912,0.758771929824561,0.942982456140351,0.865131578947368,0.084044461166425,0.74456638691629,0.675204476969436,0.711795092552733,0.659061558329746,0.697656878692051,0.033144004548308,55,0.763452432199742,0.689791233230504,0.725016141760528,0.665973168806945,0.71105824399943,0.036827040402524,0.665997021281415,0.606153850510909,0.685785168905907,0.665200115549312,0.655784039061886,0.029816903384476,2,0.873734842019671,0.895276788714738,0.833684644749114,0.876211104020903,0.869726844876107,0.022416230046058
2,0.006561517715454,0.00057900812189,0.008192241191864,0.000134344519225,gini,32,2,5,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 5}",0.712470887147999,0.664337145277425,0.686361711139348,0.639135959339263,0.675576425726009,0.687543641372925,0.011967215646916,0.565789473684211,0.963815789473684,0.398026315789474,0.650472077221642,0.886299997993175,0.235827920771533,0.592105263157895,0.486842105263158,0.552631578947368,0.631578947368421,0.565789473684211,0.053447621083131,15,0.951754385964912,0.978070175438596,0.942982456140351,0.982456140350877,0.963815789473684,0.016808892233285,0.714439423283839,0.667240637107189,0.68854928971158,0.639259578131726,0.677372232058583,0.027632077775276,77,0.719328454584589,0.676590860176483,0.691441279862257,0.644737786067867,0.683024595172799,0.026907635936631,0.666390597216087,0.617671964564878,0.648783900129143,0.66904184697646,0.650472077221642,0.020475185956131,3,0.889179335553693,0.888973635753779,0.885785244731745,0.881261775933485,0.886299997993175,0.003204979567222
3,0.006850481033325,0.000484786792525,0.007753431797028,0.000491011165016,entropy,64,1,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.701884395511328,0.704150783566285,0.729775518847946,0.690808979246082,0.70665491929291,0.719854671979664,0.013199752686754,0.546052631578947,0.967105263157895,0.421052631578948,0.650278702374938,0.897784265457413,0.247505563082475,0.552631578947368,0.473684210526316,0.578947368421053,0.578947368421053,0.546052631578947,0.04314104292304,41,0.973684210526316,0.969298245614035,0.956140350877193,0.969298245614035,0.967105263157895,0.006578947368421,0.70432537120723,0.707920792079208,0.732242789496341,0.692638829100301,0.70928194547077,0.014410187783934,46,0.720476395465633,0.70657866417964,0.731616328287539,0.704569911758376,0.715810324922797,0.010990591486137,0.64822664310874,0.605799839137232,0.672404955026395,0.674683372227383,0.650278702374938,0.027693587656502,4,0.901171510171612,0.895696065438005,0.903086820645847,0.891182665574187,0.897784265457413,0.004677932733043
4,0.006119430065155,0.000533325051975,0.007999181747437,0.0004391072522,gini,64,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.719881431293669,0.752435408725116,0.73422278695468,0.719822109275731,0.731590434062299,0.742972011790419,0.01138157772812,0.529605263157895,0.976973684210526,0.447368421052632,0.649203896038524,0.90851485608012,0.259310960041596,0.592105263157895,0.43421052631579,0.539473684210526,0.552631578947368,0.529605263157895,0.058382366280588,60,0.986842105263158,0.969298245614035,0.973684210526316,0.978070175438596,0.976973684210526,0.006486929586732,0.721971164191952,0.757640981489453,0.737408523461042,0.722557038312527,0.734894426863743,0.014516786002666,26,0.733892954512843,0.756510510079633,0.733696821866705,0.732477222182366,0.739144377160387,0.010041001276899,0.668480230595857,0.609294639418175,0.654677481478125,0.664363232661939,0.649203896038524,0.023580137098741,5,0.906508585641173,0.911112390704863,0.912836381073927,0.903602066900518,0.90851485608012,0.003660033572122
5,0.007685542106628,0.000589055874493,0.009392976760864,0.000229289206436,entropy,128,4,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.624814736396358,0.620711562897078,0.622405760271072,0.614146548072851,0.620519651909339,0.631655279785579,0.011135627876239,0.608552631578947,0.923245614035088,0.31469298245614,0.649108864515371,0.854649052563594,0.205540188048223,0.552631578947368,0.644736842105263,0.631578947368421,0.605263157894737,0.608552631578947,0.035275675311722,1,0.916666666666667,0.93859649122807,0.916666666666667,0.921052631578947,0.923245614035088,0.009041898301793,0.625995265762858,0.62031855359449,0.622255703831253,0.614291863969006,0.620715346789401,0.004232871973203,127,0.636891950064572,0.617834851854509,0.620202310065285,0.63261353038238,0.626885660591686,0.008054791034069,0.625335530563012,0.683069193647053,0.640335772707706,0.647694961143712,0.649108864515371,0.021198122703159,6,0.860820349769531,0.856678944473602,0.849832069052752,0.85126484695849,0.854649052563594,0.004383535904143
6,0.00656920671463,0.000453416709108,0.008306503295898,0.000264848864417,gini,32,2,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 10}",0.661655727291975,0.671113934773401,0.639135959339263,0.65713680643795,0.657260606960648,0.664690223896967,0.007429616936319,0.5625,0.932017543859649,0.369517543859649,0.648743181279288,0.870601412875416,0.221858231596127,0.552631578947368,0.539473684210526,0.56578947368421,0.592105263157895,0.5625,0.019460788760196,20,0.929824561403509,0.921052631578947,0.947368421052632,0.929824561403509,0.932017543859649,0.009558988911273,0.663438777706047,0.673267326732673,0.640335772707706,0.658200602668962,0.658810619953847,0.011959392929036,95,0.66128569378677,0.676519119018581,0.645239974173183,0.658225123753497,0.660317477683008,0.011125867173453,0.644877000441711,0.636042322767746,0.633768153703242,0.680285248204454,0.648743181279288,0.018677610915305,7,0.86860435185395,0.872960411467006,0.869530995326756,0.871309892853951,0.870601412875416,0.00167338464549
7,0.007045149803162,0.000403195371763,0.007609128952026,0.000214670015293,entropy,32,1,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.739360575905145,0.728928420160949,0.72299872935197,0.731046166878441,0.730583473074126,0.742178219271239,0.011594746197113,0.529605263157895,0.971491228070175,0.441885964912281,0.648724296178035,0.906619585627879,0.257895289449844,0.592105263157895,0.460526315789474,0.526315789473684,0.539473684210526,0.529605263157895,0.04686778568676,60,0.973684210526316,0.978070175438596,0.969298245614035,0.964912280701754,0.971491228070175,0.004903657845394,0.74176888315042,0.73331898407232,0.726216099870857,0.734179939733104,0.733870976706675,0.005508498424838,28,0.7517577844741,0.73699691513021,0.725159624076333,0.739794820288399,0.73842728599226,0.009455807122396,0.686627195813938,0.610893354781702,0.640743593810182,0.656633040306319,0.648724296178035,0.02735895544293,8,0.909247846981494,0.909174592805998,0.90479161710863,0.903264285615394,0.906619585627879,0.002647419805409
8,0.006752967834473,0.000304834726612,0.007830142974854,0.000301796534038,entropy,64,1,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.748041499047216,0.72575180008471,0.743964421855146,0.713680643795002,0.732859591195518,0.745619470487881,0.012759879292362,0.516447368421053,0.968201754385965,0.451754385964912,0.647982588947561,0.907540520064454,0.259557931116893,0.552631578947368,0.43421052631579,0.5,0.578947368421053,0.516447368421053,0.055337512635726,65,0.969298245614035,0.973684210526316,0.947368421052632,0.982456140350877,0.968201754385965,0.012927440923851,0.751237357434904,0.730520878174774,0.747955230305639,0.715884631941455,0.736399524464193,0.014222472729596,24,0.760797818912326,0.736136021235383,0.748977688499892,0.722003013128632,0.741978635444058,0.014459512766434,0.674461735358409,0.600108752293994,0.642945544554455,0.674414323583388,0.647982588947561,0.030483839336017,9,0.912570047050472,0.904973015255694,0.911537488530854,0.901081529420797,0.907540520064454,0.00473240265886
9,0.007120370864868,0.000425718288103,0.00823575258255,0.000290954314725,entropy,128,2,2,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.682193521067118,0.682337992376112,0.664760694620923,0.686785260482846,0.67901936713675,0.688531361361894,0.009511994225144,0.549342105263158,0.973684210526316,0.424342105263158,0.647718996436253,0.89043336949889,0.242714373062637,0.56578947368421,0.473684210526316,0.56578947368421,0.592105263157895,0.549342105263158,0.044982876089399,37,0.973684210526316,0.978070175438596,0.973684210526316,0.969298245614035,0.973684210526316,0.00310134553152,0.684097267054013,0.685751183814033,0.666379681446405,0.688334050796384,0.681140545777709,0.008654909214842,70,0.690629932558473,0.692732620704498,0.659731688069445,0.692373914914987,0.683867039061851,0.013957232628788,0.652012333933607,0.609669891474273,0.658622584226386,0.670571176110746,0.647718996436253,0.022952546034408,10,0.891107674840711,0.899810326447441,0.882156180500753,0.888659296206655,0.89043336949889,0.006325369615012
