,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__max_features,param_decisiontreeclassifier__min_samples_leaf,param_decisiontreeclassifier__min_samples_split,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,,mean_test_Accuracy,mean_train_Accuracy,diff Acc,mean_test_Specificity,mean_train_Specificity,diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,diff ROC,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.011585474014282,0.000819669499959,0.008277297019959,0.000245117635627,gini,16,,2,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 2, 'decisiontreeclassifier__min_samples_split': 2}",0.827545315941047,0.871251905810605,0.866169744197866,0.798576994748433,,0.840885990174487,0.860282906996442,0.019396916821955,0.526315789473684,0.986842105263158,0.460526315789474,0.703643794403364,0.96192748860213,0.258283694198766,0.473684210526316,0.631578947368421,0.442105263157895,0.526315789473684,0.074059196207738,60,0.964912280701754,0.989473684210526,0.992982456140351,1,0.986842105263158,0.013216244888877,0.831955922865014,0.877754820936639,0.870006887052342,0.804407713498623,0.846031336088154,0.029630430936144,85,0.851239669421488,0.886421028466483,0.877525252525252,0.817665289256198,0.858212809917355,0.026746028459104,0.727569957952733,0.68724173553719,0.759407169783964,0.640356314339568,0.703643794403364,0.044599181617782,1,0.957987772461457,0.966603233289836,0.963356652650911,0.959762296006315,0.96192748860213,0.00332093813963
1,0.01179176568985,0.000465657345755,0.008612036705017,0.000110270783686,gini,64,,4,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.788920887684228,0.789259698458411,0.801795697103168,0.805522615619177,,0.796374724716246,0.816223389237111,0.019848664520865,0.568421052631579,1,0.431578947368421,0.70264403907496,0.944754009392167,0.242109970317207,0.463157894736842,0.68421052631579,0.526315789473684,0.568421052631579,0.082549406007148,4,1,1,1,1,1,0,0.792011019283746,0.794593663911846,0.803719008264463,0.810089531680441,0.800103305785124,0.007222175337867,158,0.808597337006428,0.808539944903581,0.818296602387511,0.817435720844812,0.813217401285583,0.004658757771302,0.714928592141511,0.648852762070465,0.766735537190083,0.680059264897782,0.70264403907496,0.043767007782958,2,0.942482641406086,0.943737011260935,0.945754293332044,0.947042091569603,0.944754009392167,0.001762759607703
2,0.018595933914185,0.001177143150244,0.008689343929291,0.000519848226752,entropy,64,,4,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.793833643909876,0.802134507877351,0.790106725393868,0.800271048619346,,0.79658648145011,0.814741092100062,0.018154610649952,0.563157894736842,1,0.436842105263158,0.699422756270842,0.94396713345577,0.244544377184927,0.536842105263158,0.631578947368421,0.505263157894737,0.563157894736842,0.047368421052632,7,1,1,1,1,1,0,0.797348484848485,0.806473829201102,0.792699724517906,0.805096418732782,0.800404614325069,0.0056469826485,156,0.817722681359045,0.818985307621671,0.798037190082645,0.812098255280073,0.811710858585859,0.00830931568129,0.704463897346673,0.688297448165869,0.736583840800348,0.66834583877048,0.699422756270842,0.024979524557677,3,0.943873846116669,0.945090961448617,0.940401221142848,0.946502505114945,0.94396713345577,0.002259177502917
3,0.012619316577911,0.000849379018636,0.008359551429749,0.000174281331302,gini,32,,1,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.843130611553447,0.832966288327969,0.839064882263256,0.847873962392004,,0.840758936134169,0.856993619063753,0.016234682929584,0.526315789473684,1,0.473684210526316,0.698823310859794,0.956168417629243,0.257345106769449,0.473684210526316,0.642105263157895,0.431578947368421,0.526315789473684,0.080854165767038,60,1,1,1,1,1,0,0.847796143250689,0.838842975206611,0.84228650137741,0.854683195592286,0.845902203856749,0.005991636584472,87,0.854224058769513,0.850723140495868,0.846877869605142,0.866792929292929,0.854654499540863,0.007474261053798,0.711077279976801,0.669818399304045,0.759929135856169,0.65446842830216,0.698823310859794,0.040904529421161,4,0.954257285776425,0.955666614308959,0.952746564528861,0.962003205902728,0.956168417629243,0.003523423916026
4,0.010772466659546,0.001057979630749,0.007945358753204,0.000501958975694,entropy,128,sqrt,1,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.82534304590886,0.832458072166695,0.838048449940708,0.828392342876503,,0.831060477723192,0.842947089050765,0.011886611327574,0.53421052631579,1,0.465789473684211,0.698503878497898,0.954133338971856,0.255629460473958,0.463157894736842,0.578947368421053,0.536842105263158,0.53421052631579,0.043639799873097,41,1,1,1,1,1,0,0.829717630853994,0.838498622589532,0.84228650137741,0.833161157024793,0.835915977961432,0.00482861696363,97,0.835227272727273,0.841196051423324,0.847164830119376,0.837924701561065,0.840378213957759,0.004451935974547,0.709211432506887,0.661081810932289,0.728465274757141,0.695256995795273,0.698503878497898,0.024613463626786,5,0.950776203019026,0.955860438515941,0.955528067758929,0.954368646593527,0.954133338971856,0.002015804597876
5,0.012732744216919,0.00078054100948,0.007559061050415,0.000537113643192,gini,64,,1,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 64, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 2}",0.921226495002541,0.92495341351855,0.927833305099102,0.931729629002202,,0.926435710655599,0.942204528770682,0.015768818115083,0.463157894736842,1,0.536842105263158,0.698363645425547,0.971625344352617,0.27326169892707,0.368421052631579,0.557894736842105,0.421052631578947,0.463157894736842,0.073307306722022,197,1,1,1,1,1,0,0.928030303030303,0.934056473829201,0.933884297520661,0.940082644628099,0.934013429752066,0.004261798402843,6,0.93595041322314,0.945305325987144,0.933769513314968,0.950011478420569,0.941259182736455,0.006656803601127,0.71531825431347,0.65244399739017,0.745075757575758,0.680616572422793,0.698363645425547,0.034975179985006,6,0.968553859971324,0.974254204726693,0.967430585761925,0.976262726950526,0.971625344352617,0.003723111607395
6,0.007669508457184,0.000572785648101,0.007977485656738,0.000656408457716,gini,32,log2,1,10,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 10}",0.808910723361003,0.840081314585804,0.809249534135186,0.82788412671523,,0.821531424699306,0.838090801287481,0.016559376588176,0.539473684210526,1,0.460526315789474,0.697938868348557,0.95375752138611,0.255818653037552,0.442105263157895,0.610526315789474,0.526315789473684,0.539473684210526,0.063758112839925,30,1,1,1,1,1,0,0.81267217630854,0.846590909090909,0.8125,0.832816804407713,0.826144972451791,0.014407039736069,112,0.823748852157943,0.847107438016529,0.826790633608815,0.844123048668503,0.835442493112948,0.010283711587025,0.714104864433812,0.655413585616935,0.732675438596491,0.689561584746991,0.697938868348557,0.028924674993695,7,0.952277560291914,0.954561463921512,0.952170226990801,0.956020834340212,0.95375752138611,0.001618540813986
7,0.007223427295685,0.000495075343489,0.008095800876617,0.0003847610662,gini,16,log2,4,2,"{'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 16, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 2}",0.678468575300695,0.751990513298323,0.727257326782992,0.75554802642724,,0.728316110452312,0.739736856965385,0.011420746513073,0.602631578947368,0.968421052631579,0.365789473684211,0.697694876395534,0.917789210888792,0.220094334493258,0.568421052631579,0.726315789473684,0.463157894736842,0.602631578947368,0.098006444471243,1,0.894736842105263,0.992982456140351,0.996491228070175,0.989473684210526,0.968421052631579,0.042613887022776,0.678891184573003,0.754993112947658,0.727272727272727,0.760330578512397,0.730371900826446,0.03226296436199,303,0.694616620752984,0.757920110192837,0.72979797979798,0.76165059687787,0.735996326905418,0.026877004248889,0.715573800202987,0.676466217195882,0.762809917355372,0.635929570827896,0.697694876395534,0.046971356748003,8,0.887111344707038,0.9317738791423,0.923041821726032,0.929229797979798,0.917789210888792,0.017994300300516
8,0.019963622093201,0.00164720670546,0.00817334651947,0.000460168873228,entropy,128,,4,10,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 128, 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 4, 'decisiontreeclassifier__min_samples_split': 10}",0.797052346264611,0.816195155005929,0.800271048619346,0.806200237167542,,0.804929696764357,0.81829860522898,0.013368908464623,0.552631578947368,1,0.447368421052632,0.697211649992751,0.944662131683663,0.247450481690912,0.494736842105263,0.673684210526316,0.473684210526316,0.552631578947368,0.07824246709115,13,1,1,1,1,1,0,0.800792011019284,0.821453168044077,0.802341597796143,0.8116391184573,0.809056473829201,0.008272529637421,145,0.809228650137741,0.826905417814509,0.809917355371901,0.815254820936639,0.815326561065197,0.007080238240672,0.70109649122807,0.672932071915326,0.763739669421488,0.651078367406119,0.697211649992751,0.04230498503241,9,0.945259512992766,0.947988255763375,0.942173428866013,0.943227329112496,0.944662131683663,0.002217671411352
9,0.011473417282105,0.000646478846624,0.008248329162598,0.000308514838975,entropy,32,log2,1,5,"{'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 32, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_leaf': 1, 'decisiontreeclassifier__min_samples_split': 5}",0.872268338133153,0.888192444519736,0.888361849906827,0.884126715229544,,0.883237336947315,0.902097803376814,0.018860466429499,0.489473684210526,1,0.510526315789473,0.697031091416558,0.967408887519533,0.270377796102975,0.410526315789474,0.578947368421053,0.442105263157895,0.489473684210526,0.066781987054998,130,1,1,1,1,1,0,0.877926997245179,0.896005509641873,0.893422865013774,0.891356749311295,0.88967803030303,0.006981505160596,41,0.893824609733701,0.908230027548209,0.891643709825528,0.908287419651056,0.900496441689623,0.007800511055907,0.711985283456575,0.661465129766565,0.743324996375236,0.671348956067856,0.697031091416558,0.032753866947471,10,0.965647705121389,0.969623568218066,0.965357321218565,0.969006955520113,0.967408887519533,0.001921543628033
