,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_extratreesclassifier__bootstrap,param_extratreesclassifier__max_depth,param_extratreesclassifier__min_samples_leaf,param_extratreesclassifier__min_samples_split,param_extratreesclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.009894967079163,0.00052810383969,0.012439072132111,0.000372195051211,True,16,1,2,5,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 5}",0.817700614016515,0.797331639135959,0.809826344769166,0.832274459974587,0.814283264474057,0.819648145708229,0.005364881234172,0.332236842105263,0.655701754385965,0.323464912280702,0.640239027196625,0.845728883434372,0.205489856237746,0.368421052631579,0.302631578947368,0.31578947368421,0.342105263157895,0.332236842105263,0.025266926802199,120,0.640350877192982,0.666666666666667,0.675438596491228,0.640350877192982,0.655701754385965,0.015661027255577,0.825048418334409,0.805424020662936,0.817907877744296,0.840292724924666,0.822168260416577,0.012602697615772,1765,0.824078059979911,0.805868426716407,0.820360140612669,0.839012841667265,0.822329867244063,0.011792335017871,0.646602788443025,0.585682080793892,0.641363821736865,0.687307417812719,0.640239027196625,0.036172007187668,1,0.839010731736789,0.838564459430375,0.852201257861635,0.853139084708687,0.845728883434372,0.006950993583534
1,0.042819857597351,0.000378948331539,0.050735294818878,0.00052378327285,False,32,1,2,40,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 40}",0.760745289011222,0.747352816603134,0.775942397289284,0.779119017365523,0.765789880067291,0.773712919638206,0.007923039570916,0.457236842105263,0.856359649122807,0.399122807017544,0.640110829523339,0.889645964500351,0.249535134977011,0.473684210526316,0.43421052631579,0.421052631578947,0.5,0.457236842105263,0.031379578993979,9,0.87280701754386,0.868421052631579,0.850877192982456,0.833333333333333,0.856359649122807,0.01562259522892,0.765440068861631,0.752475247524752,0.78174773999139,0.783684890228153,0.770836986651482,0.012751405316163,1817,0.761945759793371,0.75737140397446,0.778965492503049,0.791161489346438,0.772361036404329,0.013511503788011,0.673765190898486,0.623395620454494,0.618127931214174,0.645154575526203,0.640110829523339,0.021912903992834,2,0.88548440084283,0.891831010556019,0.888211700605269,0.893056745997284,0.889645964500351,0.002990968976834
2,0.060631692409515,0.000226182428091,0.058359742164612,0.00064247535557,True,64,1,2,50,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.824899428329452,0.810038119440915,0.818932655654384,0.832274459974587,0.821536165849834,0.828453997758789,0.006917831908955,0.398026315789474,0.74780701754386,0.349780701754386,0.639262354229955,0.890793983489029,0.251531629259074,0.394736842105263,0.394736842105263,0.394736842105263,0.407894736842105,0.398026315789474,0.005697535551213,52,0.741228070175439,0.75,0.780701754385965,0.719298245614035,0.74780701754386,0.022039200923511,0.831934581450398,0.816831683168317,0.825871717606543,0.839216530348687,0.828463628143486,0.008211159583613,1741,0.83261587028268,0.826888585981778,0.816199153454337,0.843389052299304,0.829773165504525,0.009824051427819,0.632619516835989,0.650324557627387,0.619131907469923,0.654973434986519,0.639262354229955,0.014305353700159,3,0.890045168704513,0.891505186130546,0.891148997574645,0.890476581546412,0.890793983489029,0.000568619330698
3,0.341774821281433,0.000772735662874,0.315070688724518,0.00234396492833,True,64,1,2,300,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.787846707601101,0.818720880982635,0.797331639135959,0.819567979669631,0.805866801847332,0.819383125908162,0.01351632406083,0.404605263157895,0.739035087719298,0.334429824561403,0.637752490160035,0.884770712197775,0.247018222037741,0.394736842105263,0.368421052631579,0.394736842105263,0.460526315789474,0.404605263157895,0.034026580371015,47,0.728070175438597,0.741228070175439,0.767543859649123,0.719298245614035,0.739035087719298,0.018216280401136,0.794275876909834,0.826086956521739,0.803917348256565,0.825441239776152,0.812430355366072,0.013764467355495,1786,0.804204333476826,0.831910467034938,0.820431881770572,0.826242915560657,0.820697399460748,0.010351054999751,0.626143918543939,0.650422264766522,0.596579966921177,0.677863810408501,0.637752490160035,0.029997403243758,4,0.872320527247233,0.889390867224737,0.894527754388482,0.88284369993065,0.884770712197775,0.008295573915721
4,0.190744161605835,0.004634335524952,0.218244254589081,0.000819716159802,False,16,1,2,200,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 200}",0.821511751005717,0.80283778060144,0.807708598051673,0.828038966539602,0.815024274049608,0.819118595669787,0.004094321620179,0.37828947368421,0.723684210526316,0.345394736842105,0.637362027041963,0.891833452532124,0.254471425490162,0.43421052631579,0.289473684210526,0.407894736842105,0.381578947368421,0.37828947368421,0.054549749841372,71,0.719298245614035,0.780701754385965,0.728070175438597,0.666666666666667,0.723684210526316,0.040436598496899,0.82784592210028,0.811235471373224,0.814248816185966,0.835342229875161,0.822168109883658,0.009849273914709,1766,0.814105323575836,0.81849487050721,0.815912188822728,0.834206184087811,0.820679641748396,0.007963837640686,0.685142083743898,0.603766397806829,0.607459444457031,0.653080182160092,0.637362027041963,0.033737312310375,5,0.886154819715381,0.906108130286977,0.890579001488944,0.884491858637195,0.891833452532124,0.008536479719564
5,0.371530592441559,0.002113634453969,0.428431928157806,0.001174564809159,False,16,1,2,400,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 400}",0.809443150539911,0.824015247776366,0.813214739517154,0.812367640830157,0.814760194665897,0.823247947645271,0.008487752979374,0.394736842105263,0.723684210526316,0.328947368421052,0.636521464935028,0.891955319218387,0.25543385428336,0.460526315789474,0.381578947368421,0.342105263157895,0.394736842105263,0.394736842105263,0.04263645196321,54,0.706140350877193,0.701754385964912,0.741228070175439,0.745614035087719,0.723684210526316,0.01985830074153,0.815149558855175,0.83125269048644,0.820921222557038,0.819199311235471,0.821630695783531,0.005937232120832,1770,0.81647295164299,0.836717124614391,0.823660233876175,0.822655857665543,0.824876541949775,0.007369371952582,0.681148279025517,0.612990518159367,0.6052461653488,0.646700897206425,0.636521464935028,0.030112386145913,6,0.889287112349679,0.889908473385918,0.895413191311013,0.89321249982694,0.891955319218387,0.00249230256227
6,0.008911192417145,0.000498525049988,0.013054847717285,0.000202537179343,False,32,1,2,5,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 5}",0.776836756298963,0.756035578144854,0.751588310038119,0.74565861922914,0.757529815927769,0.766901554380548,0.009371738452779,0.470394736842105,0.856359649122807,0.385964912280702,0.635559103337126,0.882186833984142,0.246627730647015,0.526315789473684,0.421052631578947,0.486842105263158,0.447368421052632,0.470394736842105,0.039882748858494,4,0.842105263157895,0.864035087719298,0.868421052631579,0.850877192982456,0.856359649122807,0.01045985966466,0.780933935872606,0.761515281962979,0.755919070167886,0.75053809728799,0.762226596322865,0.011476894364678,1828,0.776223274501363,0.76519119018581,0.756008321974317,0.764330296290982,0.765438270738118,0.007185556624855,0.677518319685592,0.614750662709291,0.620838242291048,0.629129188662573,0.635559103337126,0.024756890912428,7,0.880168251378914,0.887332871420966,0.882051243324611,0.879194969812076,0.882186833984142,0.003143485847207
7,0.476102232933044,0.005057413877126,0.55994439125061,0.003485081681883,False,64,1,2,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.755452043192886,0.762600592969081,0.764506565014824,0.755612028801355,0.759542807494536,0.772918874241103,0.013376066746567,0.430921052631579,0.857456140350877,0.426535087719298,0.635383464711639,0.89077612753754,0.255392662825901,0.513157894736842,0.43421052631579,0.394736842105263,0.381578947368421,0.430921052631579,0.051277819960921,31,0.859649122807017,0.881578947368421,0.833333333333333,0.855263157894737,0.857456140350877,0.017127740517339,0.759414676135141,0.767972449418855,0.770555316401205,0.761730520878175,0.764918240708344,0.004515406790686,1823,0.765246089826374,0.77523495229213,0.778104598608222,0.767558648396585,0.771536072280828,0.005296485426298,0.671849693633697,0.648589901896368,0.595533509300587,0.625560754015905,0.635383464711639,0.028234289554481,8,0.885696807667037,0.900833896564354,0.88902838558481,0.887545420333961,0.89077612753754,0.005925586028238
8,0.442430675029755,0.0010609348483,0.519710540771484,0.002127721810899,False,16,1,5,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 5, 'extratreesclassifier__n_estimators': 500}",0.858776201566801,0.865523083439221,0.869970351545955,0.886277001270648,0.870136659455656,0.873153490391501,0.003016830935845,0.276315789473684,0.589912280701754,0.31359649122807,0.634566348792457,0.870091587150588,0.235525238358131,0.31578947368421,0.263157894736842,0.263157894736842,0.263157894736842,0.276315789473684,0.022790142204854,170,0.587719298245614,0.62280701754386,0.600877192982456,0.548245614035088,0.589912280701754,0.027125694905379,0.86765655261459,0.875376668101593,0.879896685320706,0.896470081790788,0.879849996956919,0.010546565266305,1681,0.866480126273497,0.872802927039242,0.88306191261927,0.888801205251453,0.877786542795865,0.008686538383775,0.659763514661411,0.620310057321522,0.595430137979473,0.662761685207422,0.634566348792457,0.02812809541492,9,0.859427905033066,0.869919435938292,0.874667095854997,0.876351911775996,0.870091587150588,0.006593001908521
9,0.008524358272552,0.000162762583675,0.013118922710419,0.000428178042186,False,16,1,2,5,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 5}",0.798433199237773,0.810038119440915,0.795002117746718,0.769165607793308,0.793159761054678,0.801101028731307,0.007941267676629,0.391447368421053,0.758771929824561,0.367324561403509,0.634452142453126,0.880580835991679,0.246128693538553,0.407894736842105,0.31578947368421,0.421052631578947,0.421052631578947,0.391447368421053,0.044010158421907,58,0.780701754385965,0.736842105263158,0.728070175438597,0.789473684210526,0.758771929824561,0.026678783027624,0.804820314181192,0.818123116659492,0.801119242359018,0.774860094705123,0.799730691976206,0.015689648025895,1803,0.793298895106902,0.823373269244565,0.808379367242987,0.78212210345075,0.801793408761301,0.015557813490698,0.670332019525897,0.599305854498493,0.619900820173551,0.648269875614564,0.634452142453126,0.027043011414929,10,0.877810850306999,0.891528470541444,0.879243898540382,0.873740124577892,0.880580835991679,0.006635251640367
