,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_extratreesclassifier__bootstrap,param_extratreesclassifier__max_depth,param_extratreesclassifier__min_samples_leaf,param_extratreesclassifier__min_samples_split,param_extratreesclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,mean_train_ROC_AUC,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.510818421840668,0.004863580244686,0.592881560325623,0.004213819033858,False,64,1,2,500,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.833580351471522,0.859593392630241,0.872299872935197,0.839051249470563,0.851131216626881,0.867065344781334,0.015934128154453,0.440789473684211,1,0.559210526315789,0.690640695585998,0.996756709766331,0.306116014180333,0.996756709766331,0.5,0.342105263157895,0.486842105263158,0.440789473684211,0.062065665342478,18,1,1,1,1,1,0,0.840111900150635,0.865475678002583,0.880972879896685,0.844812742143779,0.857843300048421,0.016412104060981,1798,0.856650882479552,0.867924528301887,0.876605208408064,0.858382954300882,0.864890893372596,0.008010604972675,0.705681650867,0.699008201735505,0.64209308516664,0.715779844574847,0.690640695585998,0.028657864471382,1,0.996057099989175,0.997110215815023,0.996657428419316,0.997202094841811,0.996756709766331,0.000453498902446
1,0.05518239736557,0.000200997706329,0.064651906490326,0.000569178990733,False,128,1,2,50,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 128, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 50}",0.845437222104594,0.818509106310885,0.852816603134265,0.826556543837357,0.835829868846775,0.852736373564761,0.016906504717985,0.421052631578947,0.99890350877193,0.577850877192982,0.68839235693433,0.996474566863827,0.308082209929497,0.996474566863827,0.447368421052632,0.355263157894737,0.486842105263158,0.421052631578947,0.050103770433315,33,1,0.995614035087719,1,1,0.99890350877193,0.001899178517071,0.852808263395739,0.824580284115368,0.86095566078347,0.832113646147223,0.84261446361045,0.014797059380659,1812,0.862605825799971,0.830834349666404,0.865054881985795,0.842886864193988,0.850345480411539,0.014168607399378,0.692754521876026,0.700136789994789,0.651831230033759,0.708846885832748,0.68839235693433,0.021863576694963,2,0.997353568308776,0.994182987780089,0.996506394402679,0.997855316963763,0.996474566863827,0.001408142576939
2,0.410285592079163,0.001168416222017,0.477151274681091,0.005132145660918,False,64,1,2,400,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 400}",0.851153927588397,0.860440491317238,0.874417619652689,0.834603981363829,0.855154004980538,0.871865391292933,0.016711386312395,0.430921052631579,0.99890350877193,0.567982456140351,0.685187485493076,0.996960198035738,0.311772712542663,0.996960198035738,0.473684210526316,0.381578947368421,0.43421052631579,0.430921052631579,0.032729849904823,26,1,0.995614035087719,1,1,0.99890350877193,0.001899178517071,0.857972885732731,0.866767111493758,0.882479552303056,0.84115368058545,0.862093307528749,0.014940626424308,1787,0.865834409527909,0.869431092617835,0.887868570198723,0.856015496090107,0.869787392108644,0.011536324606231,0.699453807210085,0.701047307247887,0.643269818972744,0.696979008541586,0.685187485493076,0.024244549200495,3,0.997450803432746,0.995087775936002,0.996988129984909,0.998314082789296,0.996960198035738,0.00118114798976
3,0.364148378372192,0.001639464473813,0.329320311546326,0.000383412862259,True,64,1,2,300,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 300}",0.888841837814948,0.901524777636595,0.882465057179161,0.881194409148666,0.888506520444842,0.902800518105257,0.014293997660415,0.378289473684211,0.990131578947368,0.611842105263158,0.685109404692694,0.989280939468276,0.304171534775581,0.989280939468276,0.368421052631579,0.355263157894737,0.447368421052632,0.378289473684211,0.040953617098647,76,0.991228070175439,0.986842105263158,0.995614035087719,0.986842105263158,0.990131578947368,0.003636649989425,0.897783516247041,0.910245372363323,0.891089108910891,0.888291003013345,0.89685225013365,0.008466872631635,1732,0.89826373941742,0.911758375780185,0.896477509146997,0.898988449673578,0.901372018504545,0.00606579423002,0.696560033071704,0.682991311144844,0.654177617418493,0.706708657135736,0.685109404692694,0.019741494248324,4,0.988411870363238,0.989968824061733,0.988228157019998,0.990514906428134,0.989280939468276,0.000982279449122
4,0.601924240589142,0.00324675103914,0.53923511505127,0.004972369161025,True,32,1,2,500,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 32, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 500}",0.893711623967817,0.882253282507412,0.879711986446421,0.870182126217704,0.881464754784839,0.898565544128862,0.017100789344023,0.391447368421053,0.994517543859649,0.603070175438596,0.683968503053946,0.98918910760124,0.305220604547294,0.98918910760124,0.381578947368421,0.368421052631579,0.460526315789474,0.391447368421053,0.040953617098647,61,0.991228070175439,0.995614035087719,0.995614035087719,0.995614035087719,0.994517543859649,0.001899178517071,0.902517753389283,0.890443392165303,0.888075764098149,0.876883340507964,0.889480062540175,0.009104378709097,1746,0.910962835413976,0.892316521988665,0.893249157041395,0.891455628093837,0.896996035634468,0.00808864263875,0.695128719151009,0.67696745361035,0.648456793619865,0.715321045834561,0.683968503053946,0.024584693217456,5,0.988848327052385,0.986573390575225,0.990323282019526,0.991011430757826,0.98918910760124,0.001700391149176
5,0.045235216617584,0.000569181537391,0.053117215633392,0.000669776549954,False,128,1,2,40,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 128, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 40}",0.84268473427906,0.859805167301991,0.845192714951292,0.835239305379077,0.845730480477855,0.859830181039366,0.014099700561511,0.407894736842105,1,0.592105263157895,0.683629603478886,0.996522980596464,0.312893377117578,0.996522980596464,0.381578947368421,0.381578947368421,0.43421052631579,0.407894736842105,0.026315789473684,50,1,1,1,1,1,0,0.849365181837745,0.867628067154541,0.852776582006027,0.841799397331037,0.852892307082337,0.009389479171397,1805,0.854355000717463,0.872946409355047,0.852571920510797,0.850276203457924,0.857537383510308,0.00901313203438,0.703764737861439,0.699796939076059,0.634648934000952,0.696307802977094,0.683629603478886,0.028401800567649,6,0.997148241712043,0.996158544183114,0.995543237892421,0.997241898598278,0.996522980596464,0.000707195910178
6,0.119278430938721,0.000373340542954,0.106998145580292,0.000213344091622,True,16,1,2,100,"{'extratreesclassifier__bootstrap': True, 'extratreesclassifier__max_depth': 16, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 100}",0.915308066906627,0.925243540872512,0.91147818720881,0.90872511647607,0.915188727866004,0.928882800485418,0.013694072619414,0.328947368421053,0.861842105263158,0.532894736842105,0.682763532669902,0.970492447923448,0.287728915253546,0.970492447923448,0.302631578947368,0.31578947368421,0.394736842105263,0.328947368421053,0.038361525623982,110,0.850877192982456,0.855263157894737,0.87719298245614,0.864035087719298,0.861842105263158,0.010049508102973,0.925328168710996,0.93542832544124,0.921222557038313,0.917133017649591,0.924778017210035,0.006797408465834,1672,0.931841010187975,0.937154745677595,0.930626300308487,0.920295573570558,0.929979407436154,0.006106270392175,0.713298336221445,0.659514692888053,0.666478804631035,0.691762296939076,0.682763532669902,0.02132517822203,7,0.969908875899032,0.97334595725989,0.973569047088631,0.965145911446239,0.970492447923448,0.003410791204625
7,0.035992920398712,0.000673553719123,0.041426599025726,0.000226628138888,False,128,1,2,30,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 128, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 30}",0.80817277154351,0.815544260906396,0.833545108005083,0.818509106310885,0.818942811691468,0.840400870155174,0.021458058463706,0.4375,1,0.5625,0.682271627200373,0.996171152661184,0.313899525460811,0.996171152661184,0.473684210526316,0.394736842105263,0.43421052631579,0.4375,0.028487677756067,21,1,1,1,1,1,0,0.814073595868302,0.821136461472234,0.840723202755058,0.824795523030564,0.825182195781539,0.00976526205103,1824,0.83383555746879,0.835282301456346,0.835569266087955,0.846473922089102,0.837790261775548,0.005056390249034,0.69697484511796,0.65423709132927,0.670125121779913,0.707749450574348,0.682271627200373,0.021205995004037,8,0.996857952385628,0.994891589041475,0.995849396430311,0.99708567278732,0.996171152661184,0.00087304797285
8,0.107140183448792,0.001088372829289,0.122114181518555,0.000633329932092,False,64,1,2,100,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 2, 'extratreesclassifier__n_estimators': 100}",0.872750370527207,0.858110969927997,0.847522236340534,0.836509953409572,0.853723382551327,0.869995104931183,0.016271722379856,0.411184210526316,0.99890350877193,0.587719298245614,0.682241278133646,0.997179849237896,0.314938571104251,0.997179849237896,0.368421052631579,0.368421052631579,0.539473684210526,0.411184210526316,0.074067962165774,47,0.995614035087719,1,1,1,0.99890350877193,0.001899178517071,0.880998493651818,0.86612139474817,0.855359448988377,0.841368919500646,0.860962064222253,0.014520311750289,1788,0.880757640981489,0.879331372408351,0.860391706722147,0.851065356194849,0.867886519076709,0.012607281425814,0.675455585380494,0.687439110043727,0.644578245009856,0.721492172100505,0.682241278133646,0.02753270702268,9,0.996516213406238,0.996702581297206,0.997258260616747,0.998242341631394,0.997179849237896,0.000671423047498
9,0.023941397666931,0.000460327362344,0.028562605381012,0.000322251898733,False,64,1,5,20,"{'extratreesclassifier__bootstrap': False, 'extratreesclassifier__max_depth': 64, 'extratreesclassifier__min_samples_leaf': 1, 'extratreesclassifier__min_samples_split': 5, 'extratreesclassifier__n_estimators': 20}",0.901969087444421,0.899618805590851,0.911901736552308,0.904913172384583,0.904600700493041,0.9185063012345,0.013905600741459,0.292763157894737,0.785087719298246,0.492324561403509,0.681744886767895,0.95485838407417,0.273113497306275,0.95485838407417,0.342105263157895,0.276315789473684,0.342105263157895,0.292763157894737,0.054549749841372,145,0.741228070175439,0.785087719298246,0.828947368421053,0.785087719298246,0.785087719298246,0.0310134553152,0.913277383258016,0.908738699956952,0.922298751614292,0.914119672836849,0.914608626916527,0.004888899317543,1703,0.917922227005309,0.918215079991391,0.924887007676304,0.921730396728603,0.920688677850402,0.002849696834519,0.676708515963893,0.713464610190996,0.629994392459841,0.70681202845685,0.681744886767895,0.032931676006907,10,0.948097527144019,0.953138549796544,0.962835720300105,0.955361739056012,0.95485838407417,0.005304674256536
