,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__max_depth,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,mean_train_Accuracy,Diff Acc,mean_test_Specificity,mean_train_Specificity,Diff Spec,mean_test_ROC_AUC,mean_train_ROC_AUC,Diff ROC,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,mean_train_Specificity,std_train_Specificity,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,mean_train_Recall,std_train_Recall,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC
0,0.142852544784546,0.002931544216241,0.106491982936859,0.000428780631383,False,64,1,2,100,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}",0.828287105653187,0.801355357899195,0.804108428631936,0.809826344769166,0.810894309238371,0.823830598310361,0.01293628907199,0.457236842105263,1,0.542763157894737,0.686715943578073,0.995757227367661,0.309041283789589,0.486842105263158,0.460526315789474,0.421052631578947,0.460526315789474,0.457236842105263,0.023491540883365,29,1,1,1,1,1,0,0.83387131482677,0.806930693069307,0.810374515712441,0.815540249677142,0.816679193321415,0.010388075512314,1739,0.829602525469938,0.808881555348303,0.823014563455054,0.822297151876031,0.820948949037332,0.007526466457408,0.709062439831017,0.641096189138365,0.66786936130684,0.72883578403607,0.686715943578073,0.034314000471512,1,0.996986655187258,0.994213194583417,0.995200894121379,0.996628165578592,0.995757227367661,0.00111395355049
1,0.06124883890152,0.001126811448152,0.047373771667481,0.000870357562543,False,64,1,2,40,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 40}",0.801609146728774,0.823591698432867,0.801778907242694,0.800720033883948,0.806924946572071,0.827306776577228,0.020381830005157,0.483552631578947,0.99890350877193,0.515350877192982,0.685721429413281,0.993784106106078,0.308062676692796,0.539473684210526,0.486842105263158,0.447368421052632,0.460526315789474,0.483552631578947,0.035275675311722,13,1,1,1,0.995614035087719,0.99890350877193,0.001899178517071,0.805896277168065,0.829100301334481,0.807576409814894,0.806284976323719,0.81221449116029,0.009768845352113,1747,0.817477399913904,0.833201807877179,0.829901714613674,0.817418753138676,0.824499918885858,0.00714774352773,0.72400841516315,0.688067834243379,0.653683417540839,0.677126050705757,0.685721429413281,0.025356032976897,2,0.994602506589331,0.992235278273883,0.994856977079329,0.993441662481766,0.993784106106078,0.001041269269432
2,0.544763267040253,0.005697974519055,0.394666969776154,0.001431065763683,False,64,1,5,400,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 400}",0.824899428329452,0.842016094875053,0.830156713257095,0.825074121135112,0.830536589399178,0.846418508915967,0.01588191951679,0.424342105263158,0.986842105263158,0.5625,0.680746394146039,0.974619283993901,0.293872889847862,0.460526315789474,0.394736842105263,0.421052631578947,0.421052631578947,0.424342105263158,0.023491540883365,77,0.986842105263158,0.982456140350877,0.995614035087719,0.982456140350877,0.986842105263158,0.005371688032419,0.830858618463525,0.849332759362893,0.836848902281533,0.831683168316832,0.837180862106195,0.007381974768675,1693,0.841727651025972,0.842886864193988,0.842169452614965,0.849702274194705,0.844121560507408,0.003248475337563,0.712958558436116,0.653885912046582,0.677805752543218,0.678335353558239,0.680746394146039,0.021056884364849,3,0.9758685393711,0.976250844846531,0.973663128694827,0.972694623063146,0.974619283993901,0.001486706298132
3,0.045952916145325,0.000772530215709,0.036565840244293,0.000187229745466,False,64,1,2,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 64, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 30}",0.809019690874444,0.794790343074968,0.826344769165608,0.78843710292249,0.804647976509378,0.816524563973436,0.011876587464058,0.486842105263158,1,0.513157894736842,0.680711256898363,0.99374323328329,0.313031976384927,0.56578947368421,0.43421052631579,0.394736842105263,0.552631578947368,0.486842105263158,0.073848501054749,12,1,1,1,1,1,0,0.812997632881429,0.800688764528627,0.833405079638399,0.792294446835988,0.809846480971111,0.015466698114414,1751,0.810948486152963,0.810818566611665,0.831838725877036,0.800487839873735,0.81352340462885,0.011394332963865,0.714633379769631,0.663997892924304,0.641040963364071,0.703172791535446,0.680711256898363,0.029615450708931,4,0.994206171189201,0.991331591407675,0.99497811894684,0.994457051589444,0.99374323328329,0.001419930211066
4,0.549075245857239,0.009909942612879,0.38963258266449,0.004633533846955,False,16,1,2,400,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 16, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 400}",0.824052508998518,0.851757729775519,0.852816603134265,0.816603134265142,0.836307494043361,0.849718316665962,0.013410822622602,0.417763157894737,0.972587719298246,0.554824561403509,0.68071025420895,0.97769636818043,0.296986113971479,0.486842105263158,0.407894736842105,0.342105263157895,0.43421052631579,0.417763157894737,0.052115064203141,98,0.93859649122807,0.995614035087719,0.978070175438596,0.978070175438596,0.972587719298246,0.020890963687783,0.829567462879277,0.859018510546707,0.861170899698666,0.822858372793801,0.843153811479613,0.017123068096299,1670,0.835916200315684,0.856302460721716,0.861898271038095,0.836717124614391,0.847708514172471,0.011565837925884,0.687214728234401,0.665850080431384,0.644929424292544,0.724846783877472,0.68071025420895,0.02954417873175,5,0.9628270750416,0.983891435490225,0.989032885139889,0.975034077050004,0.97769636818043,0.009938299002553
5,0.032700777053833,0.000498432957063,0.025265455245972,0.000220719082026,True,32,1,2,20,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 20}",0.854753334744866,0.854087251164761,0.85154595510377,0.834815756035578,0.848800574262243,0.862565580214417,0.013765005952173,0.424342105263158,0.984649122807017,0.56030701754386,0.680480481325193,0.972801046832521,0.292320565507328,0.421052631578947,0.368421052631579,0.460526315789474,0.447368421052632,0.424342105263158,0.035275675311722,72,0.991228070175439,0.986842105263158,0.986842105263158,0.973684210526316,0.984649122807017,0.006578947368421,0.861846352485475,0.862031855359449,0.857942315970727,0.84115368058545,0.855743551100275,0.008580294922059,1605,0.864255990816473,0.860391706722147,0.86770930482818,0.849917497668412,0.860568625008803,0.006672027214119,0.680998210503664,0.665453587692865,0.691491832249586,0.683978294854657,0.680480481325193,0.00948103533912,6,0.973237369503541,0.974205435210812,0.974548093636056,0.969213288979677,0.972801046832521,0.002126432642638
6,0.423892557621002,0.007070048157854,0.306338727474213,0.003035444121476,False,32,1,2,300,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}",0.816853694685581,0.840533672172808,0.841380770859805,0.827827191867853,0.831648832396512,0.845853565933984,0.014204733537473,0.427631578947368,0.99780701754386,0.570175438596491,0.679720392166508,0.995315221294637,0.31559482912813,0.5,0.43421052631579,0.31578947368421,0.460526315789474,0.427631578947368,0.068686227032306,67,1,0.995614035087719,0.995614035087719,1,0.99780701754386,0.00219298245614,0.822035721971164,0.847180370210934,0.84997847610848,0.83383555746879,0.838257531439842,0.011176969087133,1690,0.827091404792653,0.847621780615539,0.859530812827319,0.839228065140971,0.843368015844121,0.011846917111594,0.694653030251549,0.669779606679203,0.64285066950631,0.711598262228969,0.679720392166508,0.025968143681454,7,0.995039907308809,0.996026389418557,0.995041521768407,0.995153066682777,0.995315221294637,0.000413147503949
7,0.649951457977295,0.013971004233115,0.483673572540283,0.016889482629493,False,128,2,2,500,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 128, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 500}",0.851577387253864,0.875052943667937,0.854934349851758,0.835239305379077,0.854200996538159,0.865530238763298,0.01132924222514,0.421052631578947,0.961622807017544,0.540570175438597,0.67899862140612,0.965727574688714,0.286728953282593,0.421052631578947,0.473684210526316,0.302631578947368,0.486842105263158,0.421052631578947,0.072666848797285,86,0.947368421052632,0.978070175438596,0.960526315789473,0.960526315789473,0.961622807017544,0.010909949968274,0.858618463524855,0.881618596642273,0.863969005596212,0.840938441670254,0.861286126858398,0.014506480327865,1576,0.866264887358301,0.872085515460219,0.871655068512806,0.845828251667982,0.863958430749827,0.010715769622045,0.667251367605586,0.681828737793688,0.651733522894623,0.715180857330584,0.67899862140612,0.023444334731213,8,0.964110484274972,0.968897376161546,0.969911978633721,0.959990459684616,0.965727574688714,0.003971345733143
8,0.712330281734467,0.00971255798267,0.509646356105804,0.00525756164962,False,128,1,2,500,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 128, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 500}",0.812407368198179,0.815332486234646,0.816391359593393,0.820203303684879,0.816083629427774,0.830624473883122,0.014540844455348,0.427631578947368,1,0.572368421052632,0.677707026564377,0.996122804013068,0.318415777448691,0.447368421052632,0.460526315789474,0.342105263157895,0.460526315789474,0.427631578947368,0.049669963389939,67,1,1,1,1,1,0,0.818377447815795,0.821136461472234,0.824149806284976,0.826086956521739,0.822437668023686,0.002933736976703,1726,0.824867269335629,0.825310280507927,0.833990960614104,0.827247291771289,0.827853950557237,0.00365449891777,0.67682885392953,0.684735879194327,0.649617950925527,0.699645422208125,0.677707026564377,0.018169103790066,9,0.996306166657856,0.996410110217074,0.994214138546021,0.997560800631322,0.996122804013068,0.001206959491198
9,0.046821236610413,0.001071000227624,0.036504805088043,0.000454381790229,False,32,1,2,30,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__max_depth': 32, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 30}",0.810078340038111,0.806437950021178,0.824862346463363,0.807073274036425,0.812112977639769,0.823600906677224,0.011487929037455,0.447368421052632,0.99780701754386,0.550438596491228,0.677705136599202,0.99352894601758,0.315823809418378,0.460526315789474,0.460526315789474,0.421052631578947,0.447368421052632,0.447368421052632,0.016115064097258,36,0.995614035087719,1,0.995614035087719,1,0.99780701754386,0.00219298245614,0.815795136647299,0.812096427034008,0.831467929401636,0.812957382694791,0.818079218944433,0.007850184794935,1737,0.813244367915052,0.811822942822297,0.839658512088385,0.818279647033503,0.820751367464809,0.011176552784115,0.672478282536554,0.679795296463285,0.660149081269683,0.698397886127285,0.677705136599202,0.013857252013069,10,0.99158082284201,0.995112790945007,0.993374483809782,0.994047686473519,0.99352894601758,0.001284201979402
