N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.909,0.464,0.917,0.69,0.991,0.117,,,,
1,0.895,0.393,0.904,0.648,0.989,0.082,,MeanAccuracy,0.89383,
2,0.899,0.464,0.906,0.685,0.99,0.104,,StdAccuracy,0.013407411639414,
3,0.893,0.452,0.9,0.676,0.99,0.094,,n,100,
4,0.894,0.429,0.901,0.665,0.99,0.089,,Error estándar,0.001340741163941,
5,0.89,0.357,0.899,0.628,0.988,0.068,,Valor crítico,1.96,(95%)
6,0.899,0.476,0.905,0.691,0.991,0.106,,Margen de error,0.002627852681325,
7,0.881,0.429,0.888,0.658,0.99,0.077,,,,
8,0.901,0.369,0.91,0.639,0.989,0.081,,,,
9,0.89,0.369,0.899,0.634,0.989,0.071,,MeanSpecificity,0.42855,
10,0.9,0.512,0.906,0.709,0.991,0.117,,StdSpecificity,0.065022820391899,
11,0.903,0.405,0.911,0.658,0.989,0.093,,n,100,
12,0.899,0.333,0.908,0.621,0.988,0.07,,Error estándar,0.00650228203919,
13,0.898,0.321,0.907,0.614,0.988,0.066,,Valor crítico,1.96,(95%)
14,0.885,0.476,0.891,0.684,0.991,0.091,,Margen de error,0.012744472796812,
15,0.908,0.286,0.918,0.602,0.988,0.065,,,,
16,0.891,0.452,0.898,0.675,0.99,0.092,,,,
17,0.893,0.429,0.9,0.664,0.99,0.088,,MeanROC_AUC,0.66497,
18,0.894,0.345,0.903,0.624,0.988,0.069,,StdROC_AUC,0.030282993527221,
19,0.902,0.417,0.91,0.663,0.99,0.095,,n,100,
20,0.897,0.417,0.905,0.661,0.99,0.09,,Error estándar,0.003028299352722,
21,0.889,0.44,0.897,0.669,0.99,0.088,,Valor crítico,1.96,(95%)
22,0.885,0.452,0.892,0.672,0.99,0.086,,Margen de error,0.005935466731335,
23,0.885,0.393,0.893,0.643,0.989,0.073,,,,
24,0.876,0.464,0.883,0.674,0.99,0.081,,,,
25,0.917,0.321,0.927,0.624,0.988,0.087,,,,
26,0.909,0.512,0.915,0.714,0.991,0.128,,,,
27,0.885,0.5,0.891,0.696,0.991,0.097,,,,
28,0.872,0.5,0.878,0.689,0.991,0.085,,,,
29,0.897,0.405,0.905,0.655,0.989,0.087,,,,
30,0.882,0.536,0.888,0.712,0.992,0.102,,,,
31,0.922,0.381,0.931,0.656,0.989,0.112,,,,
32,0.904,0.452,0.912,0.682,0.99,0.107,,,,
33,0.891,0.417,0.899,0.658,0.99,0.084,,,,
34,0.89,0.536,0.896,0.716,0.992,0.11,,,,
35,0.917,0.429,0.924,0.677,0.99,0.118,,,,
36,0.884,0.488,0.89,0.689,0.991,0.093,,,,
37,0.895,0.452,0.902,0.677,0.99,0.096,,,,
38,0.876,0.417,0.884,0.65,0.989,0.071,,,,
39,0.899,0.357,0.908,0.632,0.989,0.076,,,,
40,0.907,0.357,0.916,0.637,0.989,0.085,,,,
41,0.88,0.393,0.888,0.64,0.989,0.069,,,,
42,0.896,0.369,0.904,0.637,0.989,0.076,,,,
43,0.858,0.476,0.864,0.67,0.99,0.07,,,,
44,0.901,0.417,0.908,0.663,0.99,0.093,,,,
45,0.887,0.357,0.896,0.626,0.988,0.066,,,,
46,0.884,0.536,0.889,0.712,0.992,0.103,,,,
47,0.893,0.369,0.902,0.636,0.989,0.074,,,,
48,0.904,0.393,0.912,0.652,0.989,0.091,,,,
49,0.874,0.536,0.88,0.708,0.991,0.094,,,,
50,0.894,0.488,0.901,0.694,0.991,0.104,,,,
51,0.891,0.44,0.899,0.67,0.99,0.089,,,,
52,0.877,0.405,0.885,0.645,0.989,0.069,,,,
53,0.911,0.357,0.92,0.638,0.989,0.089,,,,
54,0.89,0.44,0.897,0.669,0.99,0.088,,,,
55,0.909,0.405,0.917,0.661,0.99,0.1,,,,
56,0.872,0.571,0.877,0.724,0.992,0.099,,,,
57,0.897,0.381,0.906,0.643,0.989,0.081,,,,
58,0.901,0.464,0.908,0.686,0.99,0.106,,,,
59,0.921,0.357,0.93,0.644,0.989,0.103,,,,
60,0.913,0.381,0.922,0.651,0.989,0.099,,,,
