N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.894,0.493,0.9,0.697,0.991,0.1,,,,
1,0.89,0.296,0.899,0.597,0.988,0.05,,MeanAccuracy,0.88871,
2,0.875,0.31,0.884,0.597,0.988,0.044,,StdAccuracy,0.013028558375098,
3,0.887,0.38,0.895,0.638,0.989,0.068,,n,100,
4,0.901,0.352,0.91,0.631,0.989,0.073,,Error estándar,0.00130285583751,
5,0.884,0.394,0.892,0.643,0.99,0.069,,Valor crítico,1.96,(95%)
6,0.856,0.394,0.863,0.629,0.989,0.051,,Margen de error,0.002553597441519,
7,0.907,0.38,0.915,0.648,0.99,0.086,,,,
8,0.901,0.324,0.91,0.617,0.989,0.066,,,,
9,0.896,0.423,0.904,0.663,0.99,0.086,,MeanSpecificity,0.3538,
10,0.899,0.282,0.908,0.595,0.988,0.053,,StdSpecificity,0.055941708478333,
11,0.904,0.296,0.914,0.605,0.988,0.061,,n,100,
12,0.885,0.38,0.893,0.636,0.989,0.066,,Error estándar,0.005594170847833,
13,0.862,0.282,0.871,0.576,0.987,0.032,,Valor crítico,1.96,(95%)
14,0.893,0.338,0.901,0.62,0.989,0.062,,Margen de error,0.010964574861753,
15,0.868,0.408,0.875,0.642,0.99,0.06,,,,
16,0.875,0.366,0.883,0.625,0.989,0.056,,,,
17,0.905,0.493,0.912,0.702,0.992,0.113,,MeanROC_AUC,0.62546,
18,0.9,0.324,0.909,0.616,0.989,0.065,,StdROC_AUC,0.028289063454118,
19,0.881,0.352,0.89,0.621,0.989,0.057,,n,100,
20,0.894,0.437,0.901,0.669,0.99,0.087,,Error estándar,0.002828906345412,
21,0.867,0.465,0.873,0.669,0.991,0.07,,Valor crítico,1.96,(95%)
22,0.884,0.31,0.893,0.602,0.988,0.05,,Margen de error,0.005544656437007,
23,0.891,0.408,0.898,0.653,0.99,0.077,,,,
24,0.905,0.296,0.914,0.605,0.988,0.062,,,,
25,0.895,0.338,0.904,0.621,0.989,0.064,,,,
26,0.875,0.268,0.884,0.576,0.987,0.035,,,,
27,0.895,0.282,0.905,0.593,0.988,0.05,,,,
28,0.902,0.394,0.91,0.652,0.99,0.085,,,,
29,0.9,0.352,0.909,0.63,0.989,0.072,,,,
30,0.883,0.324,0.891,0.608,0.988,0.052,,,,
31,0.896,0.338,0.905,0.621,0.989,0.065,,,,
32,0.912,0.338,0.921,0.629,0.989,0.081,,,,
33,0.893,0.268,0.902,0.585,0.988,0.045,,,,
34,0.89,0.408,0.898,0.653,0.99,0.077,,,,
35,0.859,0.338,0.867,0.603,0.988,0.042,,,,
