Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.15,0.907,0.505,0.911,0.708,0.994,0.087
DecisionTree,0.3,0.83,0.57,0.833,0.702,0.994,0.048
DecisionTree,0.25,0.849,0.542,0.852,0.697,0.994,0.053
DecisionTree,0.1,0.931,0.449,0.936,0.693,0.994,0.107
DecisionTree,0.05,0.961,0.418,0.967,0.692,0.993,0.172
DecisionTree,0.5,0.741,0.632,0.742,0.687,0.995,0.03
DecisionTree,0.4,0.773,0.588,0.775,0.682,0.994,0.033
RandomForest,0.5,0.857,0.474,0.861,0.667,0.993,0.047
ExtraTrees,0.25,0.923,0.402,0.928,0.665,0.993,0.084
ExtraTrees,0.3,0.904,0.414,0.909,0.662,0.993,0.067
ExtraTrees,0.5,0.815,0.504,0.818,0.661,0.993,0.036
RandomForest,0.4,0.897,0.412,0.902,0.657,0.993,0.061
ExtraTrees,0.4,0.863,0.425,0.867,0.646,0.993,0.043
RandomForest,0.3,0.937,0.344,0.944,0.644,0.992,0.089
ExtraTrees,0.15,0.957,0.314,0.964,0.639,0.992,0.122
ExtraTrees,0.1,0.972,0.289,0.979,0.634,0.992,0.171
RandomForest,0.25,0.953,0.304,0.961,0.632,0.992,0.108
GradientBoosting,0.5,0.895,0.351,0.9,0.626,0.992,0.049
GradientBoosting,0.4,0.936,0.3,0.943,0.622,0.992,0.076
RandomForest,0.15,0.977,0.249,0.985,0.617,0.992,0.177
LinearSVC,0.05,0.632,0.591,0.632,0.612,0.993,0.013
ExtraTrees,0.05,0.983,0.219,0.992,0.606,0.992,0.213
RandomForest,0.1,0.985,0.216,0.993,0.605,0.991,0.231
LinearSVC,0.3,0.623,0.565,0.624,0.594,0.992,0.011
LinearSVC,0.5,0.618,0.567,0.619,0.593,0.992,0.01
RandomForest,0.05,0.989,0.186,0.998,0.592,0.991,0.258
SVC_Linear,0.05,0.592,0.588,0.592,0.59,0.992,0.009
LinearSVC,0.25,0.624,0.553,0.625,0.589,0.992,0.01
LinearSVC,0.15,0.632,0.542,0.633,0.588,0.992,0.01
LinearSVC,0.4,0.626,0.547,0.627,0.587,0.992,0.01
GradientBoosting,0.25,0.971,0.193,0.979,0.586,0.991,0.114
GradientBoosting,0.3,0.958,0.207,0.966,0.586,0.991,0.083
LinearSVC,0.1,0.622,0.547,0.622,0.585,0.992,0.009
AdaBoost,0.5,0.866,0.295,0.873,0.584,0.991,0.026
SVC_Linear,0.4,0.582,0.572,0.582,0.577,0.992,0.008
SVC,0.3,0.616,0.533,0.617,0.575,0.992,0.008
SVC_Linear,0.5,0.585,0.565,0.585,0.575,0.992,0.008
AdaBoost,0.4,0.916,0.225,0.923,0.574,0.991,0.036
SVC_Linear,0.3,0.584,0.565,0.584,0.574,0.992,0.008
SVC,0.5,0.593,0.553,0.593,0.573,0.992,0.008
SVC_Linear,0.25,0.593,0.542,0.593,0.568,0.992,0.007
SVC_Linear,0.1,0.589,0.544,0.59,0.567,0.992,0.007
KNeighbors,0.3,0.899,0.225,0.906,0.565,0.991,0.027
KNeighbors,0.5,0.806,0.316,0.812,0.564,0.991,0.013
SVC_Linear,0.15,0.614,0.514,0.615,0.564,0.992,0.007
SVC,0.1,0.597,0.528,0.598,0.563,0.991,0.007
SVC,0.05,0.629,0.489,0.631,0.56,0.991,0.007
KNeighbors,0.4,0.846,0.265,0.852,0.559,0.991,0.016
SVC,0.25,0.592,0.525,0.593,0.559,0.991,0.006
KNeighbors,0.25,0.925,0.182,0.933,0.558,0.991,0.031
SGD,0.1,0.669,0.444,0.672,0.558,0.992,0.013
SGD,0.05,0.678,0.435,0.681,0.558,0.991,0.01
SVC,0.4,0.569,0.547,0.569,0.558,0.991,0.006
SVC,0.15,0.625,0.475,0.626,0.551,0.991,0.006
SGD,0.15,0.619,0.479,0.621,0.55,0.991,0.007
GradientBoosting,0.15,0.983,0.105,0.992,0.549,0.99,0.107
SGD,0.5,0.651,0.439,0.653,0.546,0.991,0.009
AdaBoost,0.3,0.944,0.137,0.953,0.545,0.99,0.034
KNeighbors,0.15,0.956,0.114,0.965,0.54,0.99,0.037
GradientBoosting,0.1,0.987,0.082,0.996,0.539,0.99,0.11
SGD,0.25,0.633,0.444,0.635,0.539,0.992,0.012
AdaBoost,0.25,0.964,0.096,0.974,0.535,0.99,0.039
KNeighbors,0.1,0.971,0.075,0.981,0.528,0.99,0.042
KNeighbors,0.05,0.984,0.058,0.994,0.526,0.99,0.064
GradientBoosting,0.05,0.987,0.053,0.997,0.525,0.99,0.076
SGD,0.4,0.483,0.568,0.482,0.525,0.99,0.003
GaussianNB,0.3,0.883,0.156,0.891,0.524,0.991,0.049
SGD,0.3,0.395,0.656,0.392,0.524,0.99,0.004
GaussianNB,0.4,0.875,0.156,0.883,0.52,0.991,0.041
GaussianNB,0.5,0.977,0.046,0.987,0.516,0.99,0.033
AdaBoost,0.15,0.981,0.037,0.991,0.514,0.99,0.031
GaussianNB,0.25,0.514,0.507,0.515,0.511,0.991,0.022
AdaBoost,0.1,0.986,0.023,0.996,0.509,0.989,0.026
GaussianNB,0.1,0.08,0.946,0.071,0.508,0.997,0.001
GaussianNB,0.15,0.31,0.705,0.306,0.505,0.992,0.01
AdaBoost,0.05,0.988,0.004,0.999,0.501,0.989,0.004
GaussianNB,0.05,0.016,0.991,0.006,0.498,0.986,0
