Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.05,0.957,0.398,0.963,0.681,0.993,0.152
ExtraTrees,0.05,0.983,0.225,0.991,0.608,0.992,0.21
DecisionTree,0.1,0.922,0.463,0.927,0.695,0.994,0.096
ExtraTrees,0.1,0.97,0.279,0.977,0.628,0.992,0.151
DecisionTree,0.15,0.895,0.519,0.899,0.709,0.994,0.078
ExtraTrees,0.15,0.957,0.319,0.964,0.642,0.992,0.124
DecisionTree,0.25,0.841,0.547,0.844,0.696,0.994,0.05
ExtraTrees,0.25,0.922,0.425,0.928,0.676,0.993,0.088
DecisionTree,0.3,0.819,0.56,0.822,0.691,0.994,0.043
ExtraTrees,0.3,0.905,0.419,0.91,0.665,0.993,0.069
DecisionTree,0.4,0.777,0.611,0.779,0.695,0.995,0.036
ExtraTrees,0.4,0.861,0.46,0.865,0.663,0.993,0.048
DecisionTree,0.5,0.735,0.621,0.736,0.679,0.994,0.028
ExtraTrees,0.5,0.821,0.514,0.824,0.669,0.994,0.038
