Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RandomForest,0.05,0.625,0.649,0.625,0.637,0.994,0.015
RandomForest,0.1,0.471,0.704,0.468,0.586,0.993,0.007
GradientBoosting,0.05,0.659,0.504,0.661,0.582,0.992,0.01
GradientBoosting,0.15,0.482,0.677,0.48,0.579,0.993,0.007
AdaBoost,0.05,0.75,0.386,0.754,0.57,0.991,0.012
RandomForest,0.15,0.385,0.754,0.381,0.568,0.993,0.005
LinearSVC,0.05,0.419,0.718,0.416,0.567,0.993,0.005
GradientBoosting,0.1,0.554,0.57,0.554,0.562,0.992,0.006
GradientBoosting,0.3,0.39,0.735,0.387,0.561,0.993,0.004
SVC_Linear,0.05,0.457,0.663,0.455,0.559,0.992,0.005
GradientBoosting,0.25,0.427,0.695,0.424,0.559,0.992,0.004
GaussianNB,0.15,0.754,0.358,0.759,0.558,0.991,0.01
SGD,0.05,0.416,0.7,0.413,0.557,0.993,0.004
SGD,0.1,0.449,0.667,0.447,0.557,0.992,0.005
AdaBoost,0.15,0.518,0.598,0.517,0.557,0.992,0.005
GradientBoosting,0.4,0.34,0.779,0.335,0.557,0.993,0.004
GaussianNB,0.5,0.723,0.388,0.726,0.557,0.991,0.009
SVC,0.05,0.486,0.626,0.484,0.555,0.992,0.005
RandomForest,0.25,0.319,0.796,0.313,0.555,0.993,0.003
RandomForest,0.3,0.276,0.84,0.27,0.555,0.994,0.003
AdaBoost,0.3,0.431,0.682,0.428,0.555,0.992,0.004
SGD,0.4,0.413,0.7,0.41,0.555,0.993,0.004
LinearSVC,0.4,0.437,0.674,0.434,0.554,0.992,0.004
LinearSVC,0.5,0.457,0.654,0.454,0.554,0.992,0.004
LinearSVC,0.15,0.405,0.704,0.402,0.553,0.992,0.004
SGD,0.25,0.477,0.628,0.476,0.552,0.992,0.004
AdaBoost,0.1,0.62,0.481,0.622,0.551,0.991,0.006
SVC_Linear,0.15,0.438,0.667,0.436,0.551,0.992,0.004
SVC_Linear,0.5,0.535,0.563,0.535,0.549,0.991,0.005
SGD,0.5,0.339,0.763,0.334,0.549,0.992,0.004
GaussianNB,0.05,0.841,0.249,0.847,0.548,0.99,0.013
GradientBoosting,0.5,0.284,0.818,0.278,0.548,0.993,0.003
LinearSVC,0.3,0.427,0.67,0.424,0.547,0.992,0.003
GaussianNB,0.4,0.744,0.346,0.749,0.547,0.991,0.008
RandomForest,0.4,0.24,0.858,0.234,0.546,0.993,0.003
SVC,0.4,0.528,0.561,0.528,0.545,0.991,0.004
RandomForest,0.5,0.182,0.916,0.174,0.545,0.995,0.002
LinearSVC,0.1,0.414,0.677,0.411,0.544,0.992,0.003
SVC_Linear,0.25,0.475,0.614,0.474,0.544,0.991,0.003
LinearSVC,0.25,0.42,0.668,0.418,0.543,0.991,0.003
SVC_Linear,0.1,0.452,0.633,0.45,0.542,0.991,0.003
AdaBoost,0.25,0.454,0.632,0.452,0.542,0.991,0.003
SGD,0.3,0.378,0.709,0.374,0.541,0.991,0.003
SVC_Linear,0.4,0.503,0.581,0.502,0.541,0.991,0.004
SVC,0.5,0.44,0.642,0.438,0.54,0.991,0.003
GaussianNB,0.25,0.728,0.346,0.732,0.539,0.99,0.006
SVC_Linear,0.3,0.486,0.593,0.485,0.539,0.991,0.003
GaussianNB,0.1,0.791,0.277,0.797,0.537,0.99,0.007
SVC,0.25,0.547,0.526,0.547,0.537,0.991,0.003
AdaBoost,0.4,0.38,0.693,0.377,0.535,0.991,0.002
SVC,0.3,0.476,0.593,0.475,0.534,0.991,0.003
GaussianNB,0.3,0.739,0.325,0.743,0.534,0.99,0.005
SVC,0.15,0.509,0.558,0.508,0.533,0.991,0.003
SGD,0.15,0.358,0.711,0.354,0.532,0.991,0.002
SVC,0.1,0.491,0.57,0.49,0.53,0.991,0.002
KNeighbors,0.15,0.493,0.558,0.493,0.525,0.99,0.002
KNeighbors,0.4,0.38,0.67,0.376,0.523,0.991,0.002
AdaBoost,0.5,0.35,0.7,0.346,0.523,0.991,0.002
KNeighbors,0.5,0.327,0.718,0.322,0.52,0.991,0.001
KNeighbors,0.3,0.392,0.647,0.389,0.518,0.99,0.001
KNeighbors,0.05,0.685,0.346,0.689,0.517,0.99,0.002
KNeighbors,0.25,0.43,0.598,0.428,0.513,0.99,0.001
KNeighbors,0.1,0.574,0.44,0.575,0.508,0.99,0.001
