Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.3,0.826,0.591,0.828,0.71,0.995,0.049
DecisionTree,0.15,0.894,0.505,0.898,0.702,0.994,0.075
DecisionTree,0.1,0.923,0.451,0.928,0.689,0.994,0.096
DecisionTree,0.5,0.756,0.604,0.758,0.681,0.994,0.031
DecisionTree,0.4,0.78,0.577,0.783,0.68,0.994,0.034
DecisionTree,0.25,0.841,0.514,0.844,0.679,0.994,0.046
ExtraTrees,0.4,0.864,0.465,0.868,0.667,0.993,0.05
ExtraTrees,0.5,0.821,0.507,0.824,0.666,0.994,0.038
DecisionTree,0.05,0.955,0.368,0.962,0.665,0.993,0.136
ExtraTrees,0.3,0.905,0.412,0.91,0.661,0.993,0.068
RandomForest,0.5,0.852,0.46,0.857,0.658,0.993,0.044
RandomForest,0.4,0.895,0.414,0.9,0.657,0.993,0.061
RandomForest,0.25,0.949,0.354,0.956,0.655,0.993,0.116
ExtraTrees,0.15,0.956,0.339,0.963,0.651,0.993,0.127
ExtraTrees,0.25,0.921,0.367,0.927,0.647,0.993,0.074
RandomForest,0.3,0.934,0.353,0.94,0.646,0.993,0.086
ExtraTrees,0.1,0.972,0.277,0.979,0.628,0.992,0.161
GradientBoosting,0.5,0.901,0.346,0.907,0.626,0.992,0.052
RandomForest,0.1,0.983,0.254,0.991,0.623,0.992,0.237
RandomForest,0.15,0.976,0.258,0.984,0.621,0.992,0.174
GradientBoosting,0.4,0.93,0.302,0.937,0.619,0.992,0.068
RandomForest,0.05,0.989,0.225,0.997,0.611,0.992,0.293
GradientBoosting,0.3,0.962,0.242,0.969,0.606,0.992,0.108
ExtraTrees,0.05,0.982,0.216,0.99,0.603,0.991,0.198
AdaBoost,0.5,0.877,0.3,0.883,0.592,0.991,0.031
GradientBoosting,0.25,0.971,0.184,0.979,0.582,0.991,0.111
KNeighbors,0.4,0.853,0.284,0.86,0.572,0.991,0.02
KNeighbors,0.5,0.814,0.319,0.819,0.569,0.991,0.016
GradientBoosting,0.15,0.982,0.126,0.991,0.559,0.991,0.119
AdaBoost,0.4,0.915,0.193,0.923,0.558,0.991,0.028
KNeighbors,0.3,0.899,0.205,0.907,0.556,0.991,0.023
KNeighbors,0.25,0.917,0.174,0.925,0.549,0.99,0.025
AdaBoost,0.3,0.95,0.123,0.959,0.541,0.99,0.035
KNeighbors,0.15,0.96,0.109,0.969,0.539,0.99,0.04
GradientBoosting,0.1,0.986,0.079,0.996,0.537,0.99,0.101
KNeighbors,0.1,0.972,0.086,0.981,0.534,0.99,0.049
AdaBoost,0.25,0.963,0.096,0.972,0.534,0.99,0.039
SGD,0.4,0.942,0.111,0.951,0.531,0.99,0.023
LinearSVC,0.5,0.947,0.104,0.957,0.53,0.99,0.023
KNeighbors,0.05,0.984,0.061,0.994,0.528,0.99,0.069
SGD,0.25,0.976,0.06,0.986,0.523,0.99,0.042
GradientBoosting,0.05,0.988,0.044,0.998,0.521,0.99,0.067
LinearSVC,0.4,0.97,0.06,0.98,0.52,0.99,0.027
SGD,0.5,0.877,0.154,0.885,0.52,0.99,0.014
SVC_Linear,0.5,0.978,0.049,0.988,0.519,0.99,0.038
SGD,0.3,0.981,0.044,0.991,0.518,0.99,0.038
GaussianNB,0.5,0.981,0.042,0.991,0.517,0.99,0.037
AdaBoost,0.15,0.98,0.042,0.99,0.516,0.99,0.031
LinearSVC,0.25,0.982,0.04,0.992,0.516,0.99,0.038
GaussianNB,0.25,0.78,0.246,0.786,0.516,0.982,0.024
SVC_Linear,0.3,0.984,0.037,0.995,0.516,0.99,0.04
GaussianNB,0.3,0.678,0.351,0.682,0.516,0.993,0.025
SVC_Linear,0.4,0.983,0.037,0.993,0.515,0.99,0.036
SVC_Linear,0.25,0.986,0.032,0.996,0.514,0.99,0.041
LinearSVC,0.3,0.98,0.039,0.99,0.514,0.99,0.028
SVC_Linear,0.1,0.988,0.026,0.998,0.512,0.99,0.04
SGD,0.15,0.987,0.026,0.998,0.512,0.99,0.036
SVC,0.5,0.957,0.058,0.967,0.512,0.99,0.018
SVC_Linear,0.15,0.988,0.025,0.998,0.511,0.989,0.035
LinearSVC,0.1,0.987,0.023,0.998,0.51,0.989,0.033
SGD,0.1,0.988,0.021,0.998,0.51,0.989,0.031
LinearSVC,0.15,0.987,0.023,0.997,0.51,0.989,0.03
GaussianNB,0.4,0.884,0.128,0.893,0.51,0.987,0.025
SVC,0.3,0.986,0.021,0.997,0.509,0.989,0.022
SVC,0.4,0.972,0.035,0.983,0.509,0.989,0.01
AdaBoost,0.1,0.986,0.018,0.996,0.507,0.989,0.02
GaussianNB,0.15,0.399,0.616,0.397,0.506,0.993,0.011
SVC_Linear,0.05,0.989,0.011,1,0.505,0.989,0.019
SVC,0.25,0.987,0.012,0.998,0.505,0.989,0.016
LinearSVC,0.05,0.989,0.009,1,0.504,0.989,0.016
SGD,0.05,0.989,0.009,1,0.504,0.989,0.015
SVC,0.15,0.988,0.007,0.999,0.503,0.989,0.008
AdaBoost,0.05,0.988,0.005,0.999,0.502,0.989,0.007
SVC,0.05,0.989,0.002,1,0.501,0.989,0.003
SVC,0.1,0.988,0.004,0.999,0.501,0.989,0.004
GaussianNB,0.05,0.017,0.993,0.007,0.5,0.99,0
GaussianNB,0.1,0.113,0.896,0.104,0.5,0.99,0.001
