Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.1,0.929,0.474,0.934,0.704,0.994,0.109
DecisionTree,0.05,0.959,0.423,0.965,0.694,0.994,0.169
DecisionTree,0.15,0.902,0.479,0.906,0.693,0.994,0.078
DecisionTree,0.3,0.826,0.554,0.829,0.692,0.994,0.045
DecisionTree,0.4,0.768,0.614,0.77,0.692,0.995,0.034
RandomForest,0.4,0.912,0.465,0.917,0.691,0.994,0.086
DecisionTree,0.25,0.844,0.505,0.848,0.677,0.994,0.046
RandomForest,0.5,0.865,0.482,0.87,0.676,0.994,0.053
ExtraTrees,0.4,0.865,0.474,0.869,0.672,0.993,0.051
RandomForest,0.25,0.961,0.354,0.968,0.661,0.993,0.153
DecisionTree,0.5,0.749,0.572,0.751,0.661,0.994,0.027
ExtraTrees,0.3,0.909,0.396,0.915,0.656,0.993,0.068
ExtraTrees,0.15,0.96,0.34,0.967,0.654,0.993,0.142
RandomForest,0.3,0.949,0.333,0.956,0.645,0.992,0.109
ExtraTrees,0.1,0.974,0.309,0.981,0.645,0.992,0.191
ExtraTrees,0.25,0.928,0.354,0.934,0.644,0.993,0.079
GradientBoosting,0.5,0.895,0.386,0.901,0.643,0.993,0.057
RandomForest,0.15,0.98,0.284,0.988,0.636,0.992,0.227
ExtraTrees,0.5,0.83,0.437,0.834,0.636,0.993,0.033
RandomForest,0.1,0.986,0.265,0.994,0.63,0.992,0.29
ExtraTrees,0.05,0.984,0.267,0.992,0.629,0.992,0.253
GradientBoosting,0.4,0.935,0.296,0.942,0.619,0.992,0.073
RandomForest,0.05,0.99,0.237,0.998,0.617,0.992,0.321
GradientBoosting,0.3,0.963,0.237,0.971,0.604,0.992,0.106
AdaBoost,0.5,0.87,0.326,0.876,0.601,0.992,0.033
LinearSVC,0.1,0.619,0.563,0.619,0.591,0.992,0.01
SVC_Linear,0.15,0.59,0.581,0.59,0.586,0.992,0.009
LinearSVC,0.3,0.62,0.547,0.621,0.584,0.992,0.009
LinearSVC,0.5,0.605,0.556,0.606,0.581,0.992,0.009
KNeighbors,0.5,0.801,0.356,0.806,0.581,0.991,0.017
LinearSVC,0.25,0.624,0.535,0.625,0.58,0.992,0.009
LinearSVC,0.15,0.633,0.525,0.634,0.579,0.992,0.009
GradientBoosting,0.25,0.97,0.179,0.979,0.579,0.991,0.101
KNeighbors,0.4,0.857,0.295,0.863,0.579,0.991,0.023
LinearSVC,0.05,0.629,0.521,0.63,0.576,0.992,0.009
SVC_Linear,0.05,0.586,0.558,0.586,0.572,0.992,0.007
SVC_Linear,0.25,0.584,0.56,0.585,0.572,0.992,0.007
SVC_Linear,0.3,0.588,0.556,0.588,0.572,0.992,0.007
SVC,0.5,0.575,0.568,0.575,0.572,0.992,0.008
SVC,0.3,0.602,0.537,0.603,0.57,0.992,0.008
LinearSVC,0.4,0.621,0.518,0.622,0.57,0.992,0.008
SVC,0.25,0.606,0.53,0.606,0.568,0.992,0.007
AdaBoost,0.4,0.918,0.205,0.926,0.566,0.991,0.033
SVC_Linear,0.1,0.584,0.544,0.585,0.564,0.992,0.007
SVC,0.15,0.607,0.519,0.608,0.564,0.992,0.007
KNeighbors,0.25,0.919,0.198,0.927,0.562,0.991,0.031
SVC,0.05,0.638,0.481,0.64,0.56,0.991,0.007
SVC,0.4,0.622,0.495,0.623,0.559,0.991,0.007
SVC_Linear,0.5,0.577,0.54,0.577,0.559,0.991,0.006
SVC,0.1,0.625,0.488,0.626,0.557,0.991,0.007
SGD,0.4,0.599,0.507,0.6,0.554,0.991,0.007
SGD,0.25,0.538,0.563,0.538,0.551,0.989,0.011
SGD,0.15,0.718,0.379,0.722,0.55,0.991,0.015
AdaBoost,0.3,0.95,0.139,0.959,0.549,0.99,0.038
SVC_Linear,0.4,0.589,0.505,0.59,0.548,0.991,0.005
KNeighbors,0.3,0.9,0.186,0.908,0.547,0.99,0.02
GradientBoosting,0.15,0.983,0.1,0.992,0.546,0.99,0.099
SGD,0.3,0.514,0.579,0.513,0.546,0.992,0.005
KNeighbors,0.15,0.956,0.125,0.965,0.545,0.99,0.042
SGD,0.5,0.441,0.644,0.439,0.541,0.991,0.005
SGD,0.1,0.598,0.481,0.6,0.54,0.991,0.016
SGD,0.05,0.405,0.674,0.402,0.538,0.992,0.008
GradientBoosting,0.1,0.985,0.075,0.995,0.535,0.99,0.09
GradientBoosting,0.05,0.989,0.068,0.999,0.534,0.99,0.111
KNeighbors,0.1,0.972,0.084,0.981,0.533,0.99,0.047
AdaBoost,0.25,0.966,0.088,0.976,0.532,0.99,0.04
KNeighbors,0.05,0.984,0.058,0.994,0.526,0.99,0.066
GaussianNB,0.3,0.66,0.389,0.663,0.526,0.993,0.016
GaussianNB,0.5,0.97,0.07,0.98,0.525,0.99,0.043
GaussianNB,0.4,0.796,0.233,0.802,0.518,0.988,0.027
AdaBoost,0.15,0.98,0.039,0.991,0.515,0.99,0.03
GaussianNB,0.25,0.673,0.344,0.676,0.51,0.988,0.013
AdaBoost,0.05,0.989,0.011,0.999,0.505,0.989,0.018
AdaBoost,0.1,0.986,0.012,0.997,0.505,0.989,0.013
GaussianNB,0.15,0.302,0.712,0.298,0.505,0.988,0.005
GaussianNB,0.05,0.016,0.996,0.005,0.501,0.996,0
GaussianNB,0.1,0.016,0.995,0.005,0.5,0.993,0
