Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.1,0.925,0.498,0.93,0.714,0.994,0.109
DecisionTree,0.15,0.9,0.495,0.904,0.7,0.994,0.079
DecisionTree,0.25,0.843,0.532,0.846,0.689,0.994,0.049
DecisionTree,0.3,0.822,0.544,0.825,0.684,0.994,0.042
DecisionTree,0.05,0.956,0.402,0.962,0.682,0.993,0.153
DecisionTree,0.4,0.784,0.567,0.786,0.677,0.994,0.034
DecisionTree,0.5,0.756,0.591,0.758,0.675,0.994,0.03
RandomForest,0.5,0.852,0.489,0.856,0.673,0.994,0.048
ExtraTrees,0.5,0.831,0.496,0.835,0.666,0.993,0.04
ExtraTrees,0.4,0.866,0.447,0.871,0.659,0.993,0.049
RandomForest,0.25,0.948,0.361,0.955,0.658,0.993,0.116
RandomForest,0.4,0.897,0.402,0.902,0.652,0.993,0.06
ExtraTrees,0.25,0.922,0.374,0.928,0.651,0.993,0.076
RandomForest,0.3,0.936,0.349,0.942,0.646,0.993,0.088
ExtraTrees,0.3,0.904,0.375,0.91,0.643,0.993,0.06
RandomForest,0.15,0.976,0.284,0.984,0.634,0.992,0.199
ExtraTrees,0.1,0.973,0.288,0.98,0.634,0.992,0.171
GradientBoosting,0.5,0.898,0.347,0.904,0.625,0.992,0.05
ExtraTrees,0.15,0.957,0.277,0.964,0.621,0.992,0.107
RandomForest,0.1,0.983,0.239,0.991,0.615,0.992,0.221
GradientBoosting,0.4,0.936,0.277,0.943,0.61,0.992,0.07
ExtraTrees,0.05,0.983,0.216,0.991,0.604,0.991,0.207
RandomForest,0.05,0.989,0.207,0.997,0.602,0.991,0.278
GradientBoosting,0.25,0.97,0.225,0.978,0.601,0.991,0.131
GradientBoosting,0.3,0.961,0.204,0.97,0.587,0.991,0.089
AdaBoost,0.5,0.874,0.26,0.881,0.57,0.991,0.023
KNeighbors,0.4,0.855,0.265,0.861,0.563,0.991,0.018
GradientBoosting,0.15,0.983,0.13,0.992,0.561,0.991,0.132
AdaBoost,0.4,0.915,0.198,0.922,0.56,0.991,0.03
KNeighbors,0.25,0.918,0.193,0.926,0.559,0.991,0.031
KNeighbors,0.5,0.803,0.302,0.809,0.555,0.991,0.012
KNeighbors,0.3,0.902,0.195,0.91,0.552,0.99,0.022
AdaBoost,0.25,0.963,0.116,0.972,0.544,0.99,0.051
KNeighbors,0.15,0.959,0.118,0.968,0.543,0.99,0.042
AdaBoost,0.3,0.952,0.116,0.962,0.539,0.99,0.033
GradientBoosting,0.1,0.985,0.079,0.995,0.537,0.99,0.095
LinearSVC,0.5,0.949,0.114,0.958,0.536,0.99,0.032
SGD,0.5,0.774,0.277,0.779,0.528,0.99,0.017
SGD,0.4,0.878,0.168,0.886,0.527,0.99,0.023
KNeighbors,0.1,0.971,0.07,0.981,0.525,0.99,0.037
GradientBoosting,0.05,0.988,0.046,0.998,0.522,0.99,0.069
AdaBoost,0.15,0.98,0.054,0.99,0.522,0.99,0.043
GaussianNB,0.3,0.975,0.056,0.984,0.52,0.99,0.033
SVC_Linear,0.5,0.973,0.058,0.983,0.52,0.99,0.04
GaussianNB,0.5,0.982,0.047,0.992,0.52,0.99,0.045
KNeighbors,0.05,0.984,0.044,0.994,0.519,0.99,0.048
SGD,0.3,0.971,0.053,0.981,0.517,0.99,0.031
LinearSVC,0.4,0.966,0.058,0.976,0.517,0.99,0.025
SGD,0.25,0.963,0.06,0.973,0.516,0.99,0.033
LinearSVC,0.3,0.978,0.044,0.989,0.516,0.99,0.033
GaussianNB,0.4,0.884,0.139,0.892,0.515,0.989,0.034
SVC_Linear,0.25,0.986,0.032,0.996,0.514,0.99,0.038
LinearSVC,0.25,0.982,0.035,0.992,0.514,0.99,0.032
SVC_Linear,0.4,0.985,0.033,0.995,0.514,0.99,0.039
GaussianNB,0.25,0.783,0.235,0.789,0.512,0.989,0.025
SVC_Linear,0.3,0.984,0.03,0.994,0.512,0.99,0.031
SVC_Linear,0.15,0.988,0.021,0.999,0.51,0.989,0.034
LinearSVC,0.15,0.987,0.023,0.997,0.51,0.989,0.032
GaussianNB,0.15,0.289,0.735,0.284,0.51,0.989,0.005
SVC,0.4,0.972,0.039,0.982,0.51,0.989,0.012
SVC,0.5,0.935,0.075,0.944,0.51,0.989,0.008
SGD,0.15,0.988,0.019,0.998,0.509,0.989,0.03
SVC_Linear,0.1,0.988,0.016,0.998,0.507,0.989,0.023
AdaBoost,0.1,0.986,0.018,0.996,0.507,0.989,0.019
SVC_Linear,0.05,0.989,0.012,1,0.506,0.989,0.023
SVC,0.25,0.987,0.014,0.998,0.506,0.989,0.018
SGD,0.05,0.989,0.011,1,0.505,0.989,0.019
SGD,0.1,0.987,0.012,0.998,0.505,0.989,0.018
LinearSVC,0.05,0.989,0.009,1,0.504,0.989,0.017
LinearSVC,0.1,0.987,0.011,0.998,0.504,0.989,0.012
SVC,0.3,0.986,0.011,0.997,0.504,0.989,0.011
AdaBoost,0.05,0.989,0.007,0.999,0.503,0.989,0.011
SVC,0.15,0.989,0.005,1,0.502,0.989,0.008
SVC,0.05,0.989,0,1,0.5,0.989,0
SVC,0.1,0.988,0.002,0.999,0.5,0.989,0.001
GaussianNB,0.05,0.016,0.993,0.006,0.499,0.99,0
GaussianNB,0.1,0.016,0.986,0.006,0.496,0.972,0
