Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.1,0.931,0.479,0.936,0.708,0.994,0.115
DecisionTree,0.15,0.907,0.482,0.912,0.697,0.994,0.083
DecisionTree,0.3,0.826,0.565,0.829,0.697,0.994,0.046
DecisionTree,0.25,0.854,0.535,0.857,0.696,0.994,0.054
DecisionTree,0.4,0.772,0.612,0.774,0.693,0.995,0.035
RandomForest,0.5,0.867,0.511,0.87,0.69,0.994,0.057
DecisionTree,0.05,0.962,0.404,0.968,0.686,0.993,0.171
RandomForest,0.4,0.904,0.442,0.909,0.676,0.993,0.073
ExtraTrees,0.4,0.865,0.465,0.869,0.667,0.993,0.05
DecisionTree,0.5,0.757,0.57,0.759,0.665,0.994,0.028
RandomForest,0.15,0.979,0.337,0.986,0.661,0.993,0.242
ExtraTrees,0.15,0.96,0.353,0.967,0.66,0.993,0.147
ExtraTrees,0.3,0.906,0.4,0.912,0.656,0.993,0.066
RandomForest,0.3,0.941,0.354,0.947,0.651,0.993,0.098
ExtraTrees,0.25,0.927,0.361,0.933,0.647,0.993,0.08
RandomForest,0.25,0.952,0.321,0.959,0.64,0.992,0.111
ExtraTrees,0.1,0.974,0.3,0.981,0.64,0.992,0.185
GradientBoosting,0.5,0.903,0.358,0.909,0.634,0.992,0.056
ExtraTrees,0.5,0.818,0.435,0.823,0.629,0.993,0.029
GradientBoosting,0.4,0.936,0.298,0.943,0.62,0.992,0.074
ExtraTrees,0.05,0.984,0.247,0.992,0.62,0.992,0.24
RandomForest,0.1,0.985,0.244,0.993,0.619,0.992,0.259
RandomForest,0.05,0.989,0.207,0.998,0.602,0.991,0.286
LinearSVC,0.15,0.617,0.575,0.617,0.596,0.993,0.011
LinearSVC,0.1,0.637,0.547,0.638,0.593,0.992,0.011
LinearSVC,0.5,0.623,0.56,0.624,0.592,0.992,0.01
GradientBoosting,0.3,0.962,0.212,0.97,0.591,0.991,0.093
AdaBoost,0.5,0.872,0.304,0.878,0.591,0.991,0.029
SVC_Linear,0.15,0.586,0.589,0.586,0.588,0.992,0.009
LinearSVC,0.4,0.628,0.547,0.629,0.588,0.992,0.01
SVC_Linear,0.1,0.585,0.577,0.585,0.581,0.992,0.008
LinearSVC,0.25,0.629,0.53,0.63,0.58,0.992,0.009
LinearSVC,0.05,0.625,0.528,0.626,0.577,0.992,0.009
SVC_Linear,0.25,0.604,0.544,0.605,0.575,0.992,0.008
SVC,0.4,0.598,0.553,0.598,0.575,0.992,0.008
AdaBoost,0.4,0.919,0.221,0.926,0.574,0.991,0.038
SVC_Linear,0.05,0.606,0.539,0.607,0.573,0.992,0.008
SVC,0.5,0.547,0.6,0.547,0.573,0.992,0.007
GradientBoosting,0.25,0.971,0.165,0.979,0.572,0.991,0.095
SVC,0.15,0.588,0.554,0.589,0.571,0.992,0.008
LinearSVC,0.3,0.622,0.514,0.623,0.568,0.992,0.008
SVC_Linear,0.3,0.589,0.542,0.589,0.566,0.992,0.007
KNeighbors,0.4,0.86,0.265,0.867,0.566,0.991,0.02
SVC_Linear,0.5,0.583,0.546,0.583,0.564,0.992,0.007
SVC,0.1,0.603,0.519,0.604,0.562,0.991,0.007
GradientBoosting,0.15,0.982,0.132,0.991,0.561,0.991,0.122
KNeighbors,0.5,0.81,0.307,0.816,0.561,0.991,0.014
SVC_Linear,0.4,0.594,0.521,0.595,0.558,0.991,0.006
SVC,0.25,0.622,0.491,0.624,0.557,0.991,0.007
KNeighbors,0.3,0.889,0.216,0.896,0.556,0.991,0.021
SGD,0.15,0.612,0.495,0.614,0.554,0.992,0.013
SVC,0.05,0.631,0.468,0.633,0.551,0.991,0.006
SGD,0.1,0.616,0.484,0.617,0.551,0.991,0.01
KNeighbors,0.25,0.917,0.177,0.925,0.551,0.99,0.026
SVC,0.3,0.617,0.482,0.619,0.551,0.991,0.006
SGD,0.4,0.55,0.549,0.55,0.55,0.992,0.006
KNeighbors,0.15,0.956,0.133,0.965,0.549,0.99,0.043
AdaBoost,0.3,0.95,0.139,0.959,0.549,0.99,0.04
SGD,0.05,0.587,0.507,0.588,0.548,0.991,0.009
SGD,0.25,0.617,0.475,0.618,0.547,0.991,0.009
GradientBoosting,0.1,0.986,0.084,0.996,0.54,0.99,0.108
KNeighbors,0.1,0.97,0.093,0.98,0.536,0.99,0.049
AdaBoost,0.25,0.961,0.1,0.971,0.535,0.99,0.038
SGD,0.5,0.536,0.525,0.536,0.53,0.991,0.007
GradientBoosting,0.05,0.988,0.058,0.998,0.528,0.99,0.087
SGD,0.3,0.403,0.654,0.4,0.527,0.99,0.002
KNeighbors,0.05,0.983,0.049,0.994,0.521,0.99,0.052
GaussianNB,0.15,0.479,0.563,0.478,0.521,0.995,0.021
GaussianNB,0.25,0.938,0.095,0.947,0.521,0.99,0.03
GaussianNB,0.5,0.804,0.228,0.811,0.519,0.991,0.033
AdaBoost,0.15,0.981,0.04,0.991,0.516,0.99,0.034
GaussianNB,0.4,0.884,0.133,0.892,0.513,0.985,0.031
GaussianNB,0.3,0.777,0.242,0.782,0.512,0.992,0.016
AdaBoost,0.1,0.986,0.018,0.996,0.507,0.989,0.02
GaussianNB,0.1,0.039,0.984,0.029,0.507,0.992,0
AdaBoost,0.05,0.989,0.005,0.999,0.502,0.989,0.008
GaussianNB,0.05,0.016,0.991,0.006,0.499,0.992,0
